[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[00:00:13.493 --> 00:00:16.798]  Are we gonna do what they say can't be done?
[00:00:16.798 --> 00:00:18.440]  We've got a long way to go.
[00:00:25.478 --> 00:00:29.901]  Massive anti-government protests are taking place all across Iran.
[00:00:29.901 --> 00:00:34.245]  And these protests were sparked Thursday and they've only continued to grow in size.
[00:00:34.245 --> 00:00:37.807]  Massive demonstrations against the Islamist regime as a whole.
[00:00:37.807 --> 00:00:40.309]  They're chanting, we do not want an Islamic Republic.
[00:00:40.309 --> 00:00:43.431]  We do not want an oppressive regime.
[00:00:43.431 --> 00:00:45.873]  We do not want mercenary police.
[00:00:45.873 --> 00:00:50.457]  There have been reports that protesters have been shot at, several of them killed.
[00:00:50.457 --> 00:00:52.178]  But they want the Ayatollah out.
[00:00:52.598 --> 00:01:00.383]  But to hear the mainstream media talk about these Iranian protests, you would think that it's just over economic unrest.
[00:01:00.383 --> 00:01:02.244]  Just your typical labor protest.
[00:01:02.244 --> 00:01:03.325]  Something we see in Iran.
[00:01:03.325 --> 00:01:05.146]  But these are massive demonstrations.
[00:01:05.146 --> 00:01:07.208]  They haven't had this many people taken to the streets.
[00:01:07.948 --> 00:01:13.209]  Since 2009, when the people were protesting what they thought was a rigged election.
[00:01:13.209 --> 00:01:22.731]  So, what we're seeing is CNN's headline, Iranians hold pro-government rallies after two days of rare anti-government protests.
[00:01:22.731 --> 00:01:26.291]  A witness said government supporters rallied in Tehran.
[00:01:26.291 --> 00:01:35.813]  So, they're not talking to you about the massive numbers of people who are protesting against the government, but they'll tell you about this one little group that a witness said took
[00:01:35.973 --> 00:01:41.135]  ...place where they were pro their oppressive Iranian regime.
[00:01:41.135 --> 00:01:41.895]  Why?
[00:01:41.895 --> 00:01:45.097]  What in the world is this reporting style?
[00:01:45.097 --> 00:01:50.719]  The Washington Post, there was absolutely nothing about the Iranian protests on their front page.
[00:01:50.719 --> 00:02:00.303]  CNN was actually called out by Ted Cruz, who said, look, when you guys are being accused of being fake news propaganda, maybe try not to write stories that read like Iranian Pravda.
[00:02:00.663 --> 00:02:09.787]  Now, of course, we've got an opinion article up by Stephen L. Miller over at Fox News who's saying, why are the mainstream media outlets so hesitant to report on Iran's protests?
[00:02:09.787 --> 00:02:25.754]  And he points out how the New York Times and others, the Washington Post, they talked about these protests and described them simply as economic grievances, which is the same way Iranian state-run television described them as well.
[00:02:25.754 --> 00:02:26.995]  So a lot of people are wondering,
[00:02:27.515 --> 00:02:31.220]  What's up with the mainstream media coverage of these protests?
[00:02:31.220 --> 00:02:44.237]  Are they for an authoritarian police state, Islamofascist dictatorship that subjugates women and tortures and kills its dissidents and issues the death penalty for crimes like homosexuality?
[00:02:45.177 --> 00:02:50.258]  You know, it seems like this is something they could get behind, but for whatever reason they are not.
[00:02:50.258 --> 00:03:00.920]  Is it because women in Iran are defying the Islamic religious dress code that was implemented in 1979 that said women had to wear their hijab or they would face arrest?
[00:03:00.920 --> 00:03:09.302]  Here we have one woman standing up defying that law, that dress code, and she doesn't have her head covering, she doesn't have her male handler out there with her.
[00:03:09.782 --> 00:03:12.804]  She's standing up alone quickly becoming an icon of that protest.
[00:03:12.804 --> 00:03:28.935]  You can compare her to the original women's marchers in Iran in 1979 who came out to show that they were also against this Islamic dress code as well when it was originally imposed after the Iranian revolution in 1979.
[00:03:28.935 --> 00:03:32.277]  Are these Western media outlets silent because they
[00:03:32.817 --> 00:03:40.700]  Promoted the women's marks and the hijab as a symbol of empowerment like they're just it's so empowering Remember people were crying.
[00:03:40.700 --> 00:03:43.081]  We even have a man wearing a hijab.
[00:03:43.081 --> 00:03:43.682]  Oh my god.
[00:03:43.682 --> 00:03:55.527]  He's so empowered People were really upset about this They said you know what women in oppressive countries don't have a choice when it comes to wearing the hijab So it's kind of a ridiculous that you would use this as a symbol of female empowerment
[00:03:56.407 --> 00:04:00.749]  Is that why the media isn't really covering that angle of the protests?
[00:04:00.749 --> 00:04:07.452]  Or is the media failing to cover these Iranian protests in order to protect the legacy of the Obama-Iran nuclear deal?
[00:04:07.452 --> 00:04:13.675]  Let's not forget the establishment media were the main cheerleaders pumping out propaganda about this deal.
[00:04:13.675 --> 00:04:18.978]  Anyone who even asked questions about it or criticized it at all was immediately attacked.
