[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones. Coming to you live from the front lines of the Info War.
[00:18.000 --> 00:36.000]  It is Sunday, April 22nd, 2012. Welcome to the Alex Jones show. This is Mike Adams, the Health Ranger, filling in for Alex today and bringing you just a whirlwind of breaking news on many different fronts.
[00:36.000 --> 00:48.000]  This is going to be a very exciting show, an information packed show. Also going to be featuring in the last half hour of this show, about an hour and a half from now, an interview conducted with Senator Rand Paul by Alex Jones himself.
[00:48.000 --> 00:53.000]  That looks to be a fascinating interview. You don't want to miss that. Make sure you stay tuned for that.
[00:53.000 --> 01:05.000]  In the meantime, today we've got breaking news about vaccines causing seizures and babies eating the brains of babies, even while doctors tell parents to ignore the symptoms.
[01:05.000 --> 01:25.000]  And they now have a way, they call the five S's of the things you're supposed to do to your baby while the vaccine is causing them to lose brain matter and undergo a seizure. You're supposed to do these five things to them and ignore the symptoms of the vaccine actually causing brain damage and perhaps causing autism.
[01:25.000 --> 01:37.000]  We've also got news coming up here about, let's see, Department of Homeland Security, yes, their purchase of up to 450 million rounds of 40 caliber hollow point ammo.
[01:37.000 --> 01:44.000]  That story has been covered here on Info Wars and the Alex Jones show, but we've got a new angle on that. We've done the math on it.
[01:44.000 --> 02:01.000]  We've talked to some experts who've actually been on active duty in the theater of war in the Middle East, and we've come to find that that is enough pistol ammo for DHS to wage a seven year war on the American people because that's domestic ammo for domestic use.
[02:01.000 --> 02:07.000]  It's actually illegal to use in an international theater because it violates the Geneva Convention.
[02:07.000 --> 02:16.000]  So that article, details about that are going to be coming up. We're going to be breaking that down. We've also got details about Pepsi's next generation product.
[02:16.000 --> 02:28.000]  It has less sugar, more chemical sweeteners in it. We'll talk to you about that, why it may not be a very good choice, but they're desperately trying to reduce high fructose corn syrup in their drinks in order to make them more palatable to consumers,
[02:28.000 --> 02:33.000]  but in the process they're putting in more chemicals that have a questionable safety record.
[02:33.000 --> 02:41.000]  I've also got some more comments for you on The Hunger Games. I actually read the two books that follow the popular movie, The Hunger Games.
[02:41.000 --> 02:55.000]  Two books that follow that written by Suzanne Collins, and it turns out she is someone who is very much aware of the tyranny of government, and in her book she talks about the rebels overthrowing their corrupt capital.
[02:55.000 --> 03:08.000]  And I'm going to go into that and bring you some details from her book Commentary that will leave no doubt in your mind about the fact that The Hunger Games is a book of patriotism of restoring liberty and freedom.
[03:08.000 --> 03:12.000]  That's an interesting angle that hasn't yet been covered here on Infowars.com.
[03:12.000 --> 03:31.000]  We've also got news about an NSA whistleblower that says the agency, the NSA, has copies of every email of every American, every email that's been sent over the last several years, perhaps even a decade, over 20 trillion transactions have been recorded by the NSA.
[03:31.000 --> 03:47.000]  That's 20 trillion. That's phone calls, that's emails, that's text messages. The government is building a massive database of everything that you say, all of your interests, all of the words that you use, and this is on top of the search terms that you use when you might search at Google.
[03:47.000 --> 04:04.000]  This is on top of being recorded when you go through an electronic toll booth, as they have in Texas where we are right now, and other states all across the country every time you go through a toll booth that is an automated electronic surveillance system that tracks your vehicle and your location in real time.
[04:04.000 --> 04:20.000]  They can use that combined with your emails, combined with your cell phone texts, combined with your phone calls, combined with your financial transactions to build a very powerful psychological profile of who you are, what you're doing, what your interests are, and what your next action might be.
[04:20.000 --> 04:25.000]  In fact, they're working on predictive algorithms right now to predict what you are going to do next.
[04:25.000 --> 04:38.000]  I bet they can't predict what I'm going to do next, though, because I have here a baby bottle with a 7-up logo on it. We're going to get into the history of the advertising of sodas to infants on the show here on The Alex Jones Show.
[04:38.000 --> 04:59.000]  Stay with us. We've got so much more straight ahead. All of that news, details, plus John Rappaport, our guest, right here on The Alex Jones Show. This is Mike Adams filling in. Stay with us. We'll be right back with all that and much more.
[04:59.000 --> 05:15.000]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[05:15.000 --> 05:32.000]  My name is Mario Safaldi, and I'm the developer of the Silver Lungs Generator. Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[05:32.000 --> 05:50.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system. Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[05:50.000 --> 06:03.000]  As well, we are always ready to answer any questions you may have. That's www.silverlungs.com.
[06:03.000 --> 06:17.000]  You are listening to an Infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[06:17.000 --> 06:32.000]  It is Sunday, April 22, 2012. This is the Alex Jones Show.
