[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[00:11.600 --> 00:16.600]  Defending the Republic from enemies, foreign, and domestic fear.
[00:16.600 --> 00:20.600]  And everyone telling you be a good cheer.
[00:20.600 --> 00:27.600]  It's the most wonderful time of the year.
[00:27.600 --> 00:34.600]  It's the half-happiest season of all.
[00:34.600 --> 00:41.600]  With those holiday greetings and gay happy meetings when friends come to call.
[00:41.600 --> 00:45.600]  It's the half-happiest season of all.
[00:45.600 --> 00:50.600]  Trump has caused international outrage by recognizing Jerusalem as the capital of Israel.
[00:50.600 --> 00:51.600]  Who would do such a thing?
[00:51.600 --> 00:57.600]  Jerusalem is still the capital of Israel and must remain an undivided city accessible to all.
[00:57.600 --> 01:05.600]  As soon as I take office, I will begin the process of moving the United States ambassador to the city of Israel as chosen as its captain.
[01:05.600 --> 01:12.600]  I continue to say that Jerusalem will be the capital of Israel. And I have said that before and I will say it again.
[01:12.600 --> 01:15.600]  And Jerusalem will remain the capital of Israel.
[01:15.600 --> 01:23.600]  Oh, but why is Trump doing this now? Why is he inflaming the Middle East and provoking an explosion of violence?
[01:23.600 --> 01:26.600]  Whoa, whoa, whoa, whoa, whoa. Why would Muslims resort to violence?
[01:26.600 --> 01:32.600]  As we all know by now, Islam is a religion of peace. I mean, it's impossible. I don't understand.
[01:32.600 --> 01:38.600]  You're saying Muslims have so little control over their actions, they're just gonna flip out like animals.
[01:38.600 --> 01:40.600]  Sounds pretty Islamophobic to me.
[01:40.600 --> 01:45.600]  I mean, it's not as if they're setting fire to their own neighborhoods and violently attacking Jewish restaurants.
[01:53.600 --> 01:55.600]  And firing rockets into Israel.
[01:55.600 --> 02:00.600]  It's not like the leader of Hamas called for peace to be abandoned and for Palestinians to launch an uprising.
[02:00.600 --> 02:04.600]  It's not like the head of Hamas and Gaza literally called for terrorism.
[02:04.600 --> 02:08.600]  Islam's a religion of peace. That's impossible. It's not happening.
[02:08.600 --> 02:15.600]  These are reasonable people. It's not like they were massacring Jews in Jerusalem 20 years before Israel even existed.
[02:15.600 --> 02:21.600]  It's not like they've repeatedly called for Israel to be wiped from the pages of history. That's never happened.
[02:21.600 --> 02:27.600]  It's not like the Palestinian Authority still refuses to acknowledge Israel's right to even exist.
[02:27.600 --> 02:33.600]  It's not like Muslims have launched violence against Jews for the sin of visiting Jewish holy sites for decades.
[02:33.600 --> 02:38.600]  It's not like Muslims used gravestones from Jewish cemeteries to pave their roads.
[02:38.600 --> 02:41.600]  None of that happened. These are reasonable people.
[02:41.600 --> 02:47.600]  There's no history whatsoever of them turning violent and if they ever did, it could only be Donald Trump's fault.
[02:47.600 --> 02:51.600]  Not because they're anti-Semites who just hate Jewish people. They're reasonable.
[02:51.600 --> 02:58.600]  Also, Trump recognizing Jerusalem as the capital of Israel is so reckless, it's unprecedented.
[02:58.600 --> 03:05.600]  It's not like Congress passed a law 22 years ago called the Jerusalem Embassy Act which described Jerusalem as the capital of Israel.
[03:05.600 --> 03:13.600]  Oh, it did. It's not like the U.S. Senate voted 90 to 0 that Jerusalem should remain the undivided capital of Israel just six months ago.
[03:13.600 --> 03:19.600]  Oh, it did. It's not like Bill Clinton came into office supporting the declaration of Jerusalem as the capital of Israel.
[03:19.600 --> 03:24.600]  Oh, he did. Yeah, but it's not like George W. Bush promised to move the U.S. Embassy to Jerusalem.
[03:24.600 --> 03:31.600]  Oh, he did. But Trump's bad anyway because he's following through on his promise. That's bad.
[03:31.600 --> 03:36.600]  I mean, CNN literally says he's bad for keeping his promises, so I guess it must be true.
[03:36.600 --> 03:41.600]  Also, doesn't this just prove everyone right who said that Trump was a Nazi and literally Hitler?
[03:41.600 --> 03:49.600]  It is time to officially recognize Jerusalem as the capital of Israel.
[03:49.600 --> 03:54.600]  Trump's bending over backwards to please Zionists and Jews just like Hitler did.
[03:54.600 --> 04:01.600]  What? Yeah, anyway, here's a list of groups and people furious at Trump's decision to move the embassy to Jerusalem.
[04:01.600 --> 04:07.600]  Turkey's Islamist President Erdogan, Saudi King Salman bin Abdulaziz, ISIS, Hamas,
[04:07.600 --> 04:12.600]  globalist political leaders, virtually the entire political left, the mainstream media.
[04:12.600 --> 04:14.600]  Totally erratic decision by this president.
[04:14.600 --> 04:20.600]  Even Muslims in general, hashtag not all Muslims, what an upstanding alliance. I'm so proud to be a part of it.
[04:20.600 --> 04:24.600]  Erdogan was right when he accused Trump of throwing the region into a ring of fire.
