[00:00.000 --> 00:03.440]  mainstream media, government cover-ups.
[00:03.440 --> 00:05.040]  You want answers?
[00:05.040 --> 00:06.560]  Well, so does he.
[00:06.560 --> 00:10.720]  He's Alex Jones on the GCN Radio Network.
[00:10.720 --> 00:15.160]  And now, live from Austin, Texas, Alex Jones.
[00:17.000 --> 00:19.480]  Welcome, ladies and gentlemen, welcome.
[00:19.480 --> 00:21.440]  I am not Alex Jones, I am Jason Burmus.
[00:21.440 --> 00:24.280]  I'll be subbing in today and tomorrow.
[00:24.280 --> 00:27.920]  We're gonna be wide open on the phones all day long.
[00:27.920 --> 00:33.320]  And I want to start it with a news item I didn't cover yesterday because I just didn't
[00:33.320 --> 00:34.320]  really have time.
[00:34.320 --> 00:38.960]  I mentioned it when Alex called in, but a man was arrested for turning without signalling.
[00:38.960 --> 00:43.440]  And not only was he arrested for turning without signalling, basically he refused an illegal
[00:43.440 --> 00:44.440]  search on his car.
[00:44.440 --> 00:48.240]  There was no probable cause to have him get out of the car and have it searched again.
[00:48.240 --> 00:49.240]  He just didn't signal.
[00:49.240 --> 00:53.560]  I mean, how many times have you made a right or a left turn on a small road and not signaled?
[00:53.560 --> 00:55.440]  It's pretty ridiculous.
[00:55.440 --> 01:01.160]  However, that didn't stop the cop from, uh, grabbed him out of the car, searching his
[01:01.160 --> 01:05.960]  car anyway, and bring him down to the station and arresting him.
[01:05.960 --> 01:09.520]  So let's see if we can get this little, little YouTube clip to play.
[01:09.520 --> 01:14.800]  Well, then county driver did not, and that mistake landed him in jail.
[01:14.800 --> 01:19.760]  An arrest for not using the turn signal is so rare that even the Melissa police chief
[01:19.760 --> 01:21.360]  has never heard of it happening.
[01:21.360 --> 01:28.040]  But as Channel East Jonathan Betts explains, it's completely legal.
[01:28.040 --> 01:31.760]  Mark Robinson was driving through downtown Melissa last week when he was pulled over
[01:31.760 --> 01:34.520]  for failing to use his turn signal.
[01:34.520 --> 01:39.400]  But instead of just getting a ticket, the officer took the 24 year old to jail.
[01:39.400 --> 01:44.600]  He was booked, strip searched, and sat for three hours, he says, with criminals.
[01:44.600 --> 01:49.720]  People talking about using drugs and shooting heroin asked me what I was in there for.
[01:49.720 --> 01:52.280]  And I told him, well, a turn signal violation.
[01:52.280 --> 01:54.240]  There aren't any warrants out for Robinson.
[01:54.240 --> 01:57.000]  In fact, he says he's never even been in jail.
[01:57.000 --> 02:01.080]  But he does admit to challenging the officer's questions during the stop.
[02:01.080 --> 02:05.640]  It's just unacceptable to me to have my son thrown in jail for such a minor offense.
[02:05.640 --> 02:10.560]  His father thinks the officer assumed he had drugs because of his age, but she didn't.
[02:10.560 --> 02:14.520]  I think if they stopped me in the same circumstances, I would have never gone to jail or probably
[02:14.520 --> 02:15.800]  never even got a ticket.
[02:15.800 --> 02:19.680]  In fact, News 8 contacted various cities in Cullin County, many of which have not
[02:19.680 --> 02:23.520]  made a single arrest this year for turn signal violations.
[02:23.520 --> 02:27.760]  Even the police chief in Melissa acknowledges he's never seen this happen in his own city.
[02:27.760 --> 02:31.440]  I'm just sure that I've been the police chief this is the first time.
[02:31.440 --> 02:35.760]  But he stands behind his officer, saying state law gives him the power to arrest someone
[02:35.760 --> 02:37.960]  for many crimes, no matter how minor.
[02:37.960 --> 02:40.600]  I can't discuss the specifics of the case.
[02:40.600 --> 02:44.960]  The officer was within his right to arrest the person and which he did.
[02:44.960 --> 02:49.640]  Still he tells News 8 this afternoon he will review department policy and may make changes.
[02:49.640 --> 02:53.720]  For Mark Robinson, what he most wants is an apology.
[02:53.720 --> 02:57.000]  He says for a trip he never should have been forced to make.
[02:57.000 --> 02:59.040]  In Melissa, Jonathan Betts, Channel 8 News.
[02:59.040 --> 03:00.760]  An apology.
[03:00.760 --> 03:01.760]  An apology.
[03:01.760 --> 03:05.560]  I think he deserves a little bit more than an apology.
[03:05.560 --> 03:06.560]  Okay.
[03:06.560 --> 03:09.080]  He was taken to jail for a turn signal.
[03:09.080 --> 03:13.800]  Now the guy who's the police chief for six years gets up there and goes, whoa, yeah,
[03:13.800 --> 03:15.440]  it's never happened before.
[03:15.440 --> 03:17.880]  He's looking like, wow, yeah, it sounds pretty ridiculous.
[03:17.880 --> 03:23.200]  But of course, because it's that gang mentality, he's going to say he's within his rights to
[03:23.200 --> 03:24.200]  do so.
[03:24.200 --> 03:26.200]  We can arrest anybody for anything.
[03:26.200 --> 03:29.400]  There's a multitude of crimes out there that we can just arrest people for.
[03:29.400 --> 03:31.400]  Isn't that great?
[03:31.400 --> 03:35.120]  You don't put on a turn signal, you can end up in a cell.
[03:35.120 --> 03:36.360]  It's absolutely ridiculous.
[03:36.360 --> 03:37.360]  It's beyond Lucas.
[03:37.360 --> 03:41.040]  I guess this guy should just count as lucky stars that he didn't get beaten over the head
[03:41.040 --> 03:43.000]  with a billy club like those Philly guys.
[03:43.000 --> 03:45.560]  Oh, but they were on edge.
[03:45.560 --> 03:46.560]  They're on edge.
[03:46.560 --> 03:47.800]  There was a bank robbery.
[03:47.800 --> 03:48.800]  They didn't know.
