[00:00.000 --> 00:02.000]  We've got it
[00:07.400 --> 00:09.400]  Waging war on corruption
[00:09.400 --> 00:38.860]  Welcome my friends welcome and thank you so much for joining us on this live
[00:38.860 --> 00:50.320]  Sunday the 15th day of January 2012 we're going to be live here for the next
[00:50.320 --> 00:56.080]  two hours and what I'm gonna do today is something to shake the show up a bit
[00:56.080 --> 01:01.160]  not because the show isn't exploding by leaps and bounds and breaking all
[01:01.160 --> 01:05.880]  previous records but I still don't want to become stagnant here I want to open
[01:05.880 --> 01:14.360]  the phones up at about 20 after or so today and take phone calls pretty much
[01:14.360 --> 01:21.160]  in the first hour and then get into more of the news in the second hour and so
[01:21.160 --> 01:24.040]  without further ado I'm going to give the phone number out right now you guys
[01:24.040 --> 01:30.480]  got the phone system open and ready to roll fantastic on any issue you want to
[01:30.480 --> 01:36.320]  mention the Iran situation European countries losing their debt credit
[01:36.320 --> 01:42.160]  rating IBM announcing the casual society rentness scanning to buy and sell
[01:42.160 --> 01:47.720]  that Harris has got big news on potential election fraud going on Ron
[01:47.720 --> 01:59.360]  Paul surging that's just some of the news we've got coming up today also I want
[01:59.360 --> 02:03.200]  to get into the fact that Stephen Colbert is talking about running for
[02:03.200 --> 02:08.560]  president to kind of make things a joke he's putting out political ads making
[02:08.560 --> 02:13.840]  fun of Romney and really it makes all this criminality a joke but that's what
[02:13.840 --> 02:18.720]  they do quote as you know comedy people but a lot of times they can tell more
[02:18.720 --> 02:26.480]  truth as comics than the bought and paid for globalist ABC NBC CBS Fox CNN can
[02:26.480 --> 02:32.600]  do but still it pretty much has the same goal in the final equation a week or so
[02:32.600 --> 02:37.200]  ago they had a report on the National Defense Authorization Act and John I
[02:37.200 --> 02:43.120]  meant to play or to play today John Stewart makes jokes about it it's not a
[02:43.120 --> 02:46.880]  laughing matter the end of the Bill of Rights the end of the Constitution this
[02:46.880 --> 02:51.560]  is earth-shattering type stuff that is happening so we're going to get to that
[02:51.560 --> 03:01.280]  first but the toll-free number to join us on air here on the Sunday
[03:01.280 --> 03:11.000]  transmission is 877-789 Alex 877-789-2539 and we don't screen your calls but if
[03:11.000 --> 03:16.200]  you'd like to tell us some of the basics maybe one line of what you're
[03:16.200 --> 03:20.800]  calling in about or one word that that like I disagree then you go to the head
[03:20.800 --> 03:30.000]  of the line the toll-free number again is 877-789-2539 here on this live Sunday
[03:30.000 --> 03:34.560]  edition obviously big developments every day there's huge developments in the
[03:34.560 --> 03:41.120]  economy in Iran in Syria Russia saying they take it as a military threat to
[03:41.120 --> 03:47.280]  their national interest if Syria or Iran are struck within a day of Russia saying
[03:47.280 --> 03:52.560]  that the United States canceled its drill in Australia for Moose menacing
[03:52.560 --> 04:02.880]  Iranian forces so still the Ruskies and their big ICBM baseball bat have some
[04:02.880 --> 04:07.680]  effect because the Russians are not known to make threats without being ready
[04:07.680 --> 04:11.760]  to follow through with them in fact even during the Cuban Missile Crisis they
[04:11.760 --> 04:16.320]  were not threatening to use nuclear weapons when the United States back
[04:16.320 --> 04:22.520]  Jordan forces with NATO attack Russian held at Kasia and South Ossetia the
[04:22.520 --> 04:27.640]  Russians did roll in a medium-range mobile missile launchers their chairman of
[04:27.640 --> 04:34.960]  Joint Chiefs of Staff did come out and he said if you don't stop landing US troops
[04:34.960 --> 04:39.400]  and NATO troops these airports we're going to fire nuclear weapons at you
[04:39.400 --> 04:44.720]  needless to say Cheney blanked bionic heart and all and they load the troops
[04:44.720 --> 04:50.760]  back up on the aircraft but they still engage in a probing exercise I guess
[04:50.760 --> 04:55.520]  his old wicked men it's the only thing that gets their hearts beating we'll be
[04:55.520 --> 05:01.520]  right back stay with us hi this is Alex Jones did you know that the global
[05:01.520 --> 05:05.080]  elite are now storing non-hybrid seeds and secret storage vaults near the
[05:05.080 --> 05:08.840]  Arctic Circle did you know that in a real meltdown non-hybrid seeds could
[05:08.840 --> 05:12.520]  become more valuable than silver or gold it's true seeds that all perform even
[05:12.520 --> 05:15.760]  golden silver before in this country and it's possible that could even happen
[05:15.760 --> 05:19.880]  again so our friends at solutions from science have put together the perfect
[05:19.880 --> 05:25.280]  mix of non-hybrid seeds they call it a survival seed bank and it can produce an
[05:25.280 --> 05:29.320]  endless supply of nutrient-dense food for you and your family and here's the
[05:29.320 --> 05:33.280]  best part these seeds have not been genetically modified in any way and you
[05:33.280 --> 05:37.400]  actually get enough seeds to plant a full acre crisis garden so visit them
[05:37.400 --> 05:42.600]  today at survivalseedbank.com that's survivalseedbank.com or give them a
[05:42.600 --> 05:52.760]  call at 877-327-0365 that's 877-327-0365 remember in a real crisis
[05:52.760 --> 05:56.880]  non-hybrid seeds are the ultimate barter item this is Alex Jones for
[05:56.880 --> 05:59.960]  survivalseedbank.com
[05:59.960 --> 06:11.080]  you are listening to an Infowars.com frontline report if you are receiving
[06:11.080 --> 06:15.880]  this transmission you are the resistance
[06:20.640 --> 06:28.560]  from deep in the heart of FEMA region 6 Austin Texas transmitting worldwide it's
[06:28.560 --> 06:31.840]  Alex Jones
[06:37.560 --> 06:42.200]  welcome my friends welcome to all of you out there listening on the AM and FM
[06:42.200 --> 06:48.680]  dial via the internet at Infowars.com and prisonplanet.tv and those listening on
[06:48.680 --> 06:54.000]  global shortwave as well as the weekday radio listeners that listen on XM thank
[06:54.000 --> 07:00.200]  you so much for joining us while others are watching football this Sunday
[07:00.200 --> 07:07.560]  afternoon and while others are going to the topless bars or doing whatever
[07:07.560 --> 07:12.640]  people do we are here live on the radio and a lot of you are listening to us as
[07:12.640 --> 07:21.320]  well because we understand that the future of human civilization is in the
