[00:00.000 --> 00:04.740]  Gavin McInnis is back with his all-new online network, FreeSpeech.tv.
[00:04.740 --> 00:30.740]  Gavin McInnis, Joe Biggs, Milo Yiannopoulos, and Soph, all at FreeSpeech.tv.
[00:30.740 --> 00:39.740]  I was a prisoner in Syria until last week when you freed me, so I just wanted to say thank you for bringing jobs back to ISIS.
[00:39.740 --> 00:44.740]  And I promise that I will make ISIS great again.
[00:44.740 --> 00:46.740]  Now what do you have to say, Never Trumpers?
[00:46.740 --> 00:54.740]  As we leave one of the many foreign entanglements in Syria that George Washington warned us about, President Trump cuts the head off the snake.
[00:54.740 --> 01:01.740]  Last night, the United States brought the world's number one terrorist leader to justice.
[01:01.740 --> 01:07.740]  Abu Bakr al-Baghdadi is dead.
[01:07.740 --> 01:14.740]  He was the founder and leader of ISIS, the most ruthless and violent terror organization anywhere in the world.
[01:14.740 --> 01:20.740]  He died after running into a dead-end tunnel, whimpering and crying and screaming all the way.
[01:20.740 --> 01:37.740]  The thug who tried so hard to intimidate others spent his last moments in utter fear, in total panic and dread, terrified of the American forces bearing down on him.
[01:37.740 --> 01:57.740]  We were in the compound for approximately two hours, and after the mission was accomplished, we took highly sensitive material and information from the raid, much having to do with ISIS, origins, future plans, things that we very much want.
[01:57.740 --> 02:08.740]  Have you notified the Congress leaders about this policy?
[02:08.740 --> 02:15.740]  We've notified some. Others are being notified now as I speak. We were going to notify them last night, but we decided not to do that because Washington leaks like I've never seen before.
[02:15.740 --> 02:29.740]  There's no country in the world that leaks like we do, and Washington is a leaking machine, and I told my people we will not notify them until our great people are out, not just in, but out.
[02:29.740 --> 02:36.740]  No matter how much they spend, the never-trumpers will never be able to put their finger on the pulse of the American people.
[02:36.740 --> 02:44.740]  Amazingly, they are openly campaigning to return America back to the path it was on, as America spiraled towards an end to its sovereignty.
[02:44.740 --> 02:54.740]  He's a complete isolationist, and he wants to will out of existence every other country in the world, it seems. America first, last, and always.
[02:54.740 --> 03:04.740]  Again, the President's ignorance in foreign affairs is maddening. He opposed or joining the Trans-Pacific Partnership on the ground that it would be dominated by China.
[03:04.740 --> 03:15.740]  Is the Trump administration coming anywhere near the future of work and the future of education? No, they're not. And you know why? Because it takes too much work.
