[00:00:09.732 --> 00:00:13.093]  It's Sunday, October 30th, 2022.
[00:00:13.093 --> 00:00:15.554]  We are live.
[00:00:15.554 --> 00:00:16.674]  InfoWars.
[00:00:16.674 --> 00:00:17.855]  Tomorrow's news.
[00:00:17.855 --> 00:00:18.215]  Today.
[00:00:21.491 --> 00:00:24.393]  This is Uncle Sam with music and the truth until dawn.
[00:00:24.393 --> 00:00:28.476]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[00:00:28.476 --> 00:00:30.678]  The chair is against the wall.
[00:00:30.678 --> 00:00:32.399]  John has a long mustache.
[00:00:32.399 --> 00:00:35.782]  This is the heart of 1776.
[00:00:35.782 --> 00:00:37.083]  It's 12 o'clock, Americans.
[00:00:37.083 --> 00:00:38.664]  Another day closer to victory.
[00:00:38.664 --> 00:00:42.747]  And for all of you out there on or behind the lines, this is your song.
[00:00:53.996 --> 00:00:55.697]  Big Brother.
[00:00:55.697 --> 00:00:58.019]  Mainstream media.
[00:00:58.019 --> 00:00:59.801]  Government cover-ups.
[00:00:59.801 --> 00:01:01.882]  You want to stop tyranny?
[00:01:01.882 --> 00:01:04.044]  Well, so does he.
[00:01:04.044 --> 00:01:08.748]  Live from the InfoWars.com studios, it's Alex Jones.
[00:01:29.571 --> 00:01:32.332]  It's Sunday, October 30th, 2022.
[00:01:32.332 --> 00:01:42.916]  And I'm your host, Alex Jones, and you have found it, the tip of the spear in the fight against globalist anti-human tyranny.
[00:01:42.916 --> 00:01:50.278]  All right, I was already planning today, last night and this morning, to come in here on this special Sunday broadcast.
[00:01:50.278 --> 00:01:51.859]  And every broadcast is special.
[00:01:51.859 --> 00:01:53.039]  This is particularly special.
[00:01:53.039 --> 00:01:57.421]  And just talk about why there's a war on children and why the real currency
[00:01:58.740 --> 00:01:59.180]  Of course!
[00:02:22.441 --> 00:02:26.144]  Why they target children as an affront to God.
[00:02:26.144 --> 00:02:27.645]  And that's really what it's all about.
[00:02:27.645 --> 00:02:34.390]  And then they're given basically evil rewards by the God of this world for what they do.
[00:02:34.390 --> 00:02:49.801]  And it ties into the massive studies, there's just so many of them, but new ones came out this last few days, of incredible numbers of death and illness in small children right through to old people taking these poison shots and how the system knows it
[00:02:50.666 --> 00:02:50.906]  I don't
[00:03:09.178 --> 00:03:23.226]  The medical systems, who've now been part of the corruption, actually go after the good doctors and scientists like Dr. Peter McCullough, who they're trying to strip of his medical licenses right now, even though he's been vindicated and proven absolutely right.
[00:03:23.226 --> 00:03:28.929]  They need to send a message to other doctors, you don't stand up, you don't tell the truth, or you will be destroyed.
[00:03:28.929 --> 00:03:37.974]  We will all be destroyed, not just physically, but spiritually, if we do not take right action against these truly, truly evil, wicked people.
[00:03:39.105 --> 00:03:51.931]  Also, we have the ADL that is openly the arbiter with big tech and the censors on who can be online, who can basically in the future with a social credit score even have a job.
[00:03:51.931 --> 00:03:56.073]  You're going to be put into ghettos and then into camps under their admitted plans.
[00:03:56.073 --> 00:04:01.635]  The head of the ADL put out a letter attacking Elon Musk and saying, you will not reinstate President Trump.
[00:04:01.635 --> 00:04:03.456]  He is a danger and a terrorist.
[00:04:03.976 --> 00:04:11.021]  And they went on to say Alex Jones is the other big enemy and he must not be allowed back on Twitter.
[00:04:11.021 --> 00:04:14.483]  Now a lot of people are saying, well when are we going to see you back on Twitter?
[00:04:14.483 --> 00:04:17.185]  Musk hasn't gotten control of the company yet.
[00:04:17.185 --> 00:04:18.766]  He's firing a bunch of people.
[00:04:18.766 --> 00:04:24.010]  They have the EU trying to have huge fines or criminal charges against Twitter if he allows free speech.
[00:04:24.010 --> 00:04:29.354]  So he's got to create one of those boards and official policies and challenge all the different laws.
[00:04:30.134 --> 00:04:32.476]  I'm not worried about trying to get back on Twitter.
