[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:33.000]  Hello my friends, it is Sunday, the 17th day of July 2011. We're going to be live here on this Sunday Transmission as we are every Sunday 4-6pm live.
[00:33.000 --> 00:51.000]  Thank you for joining us. We, of course, return weekdays 11am-2pm Central as well. That's 12-9-3pm Eastern. I just returned from Los Angeles and it wasn't really a secret why I went out there, but I hadn't really told anybody.
[00:51.000 --> 01:03.000]  I was invited to Jesse Ventura's private 60th birthday that also coincides with his good friend Harry Dean Stanton, the legendary actor's 85th birthday.
[01:03.000 --> 01:19.000]  It was quite an event, got to meet a lot of great people and also get some inside baseball from Jesse Ventura on his federal court case against the TSA that is coming up to decide if he has standing and if the lawsuit can go forward in federal court next Friday.
[01:19.000 --> 01:37.000]  And he said he would come on our show, though he's not scheduled for media the first few days of the week after that, and that if they do strike down his lawsuit that, quote, Friday is going to be one hell of a press conference that nobody is going to want to miss.
[01:37.000 --> 01:49.000]  It's going to be, what was the exact word he used? He said it was going to be pretty extreme. It was going to be something that people were going to be shocked by what he had to say.
[01:49.000 --> 01:57.000]  And he pretty much told me what he was going to say and I said, well, can I put that on record? And he said, yeah, but I'm not doing the interviews right now.
[01:57.000 --> 02:07.000]  I was like, well, that's good stuff. Let me pull the iPhone out and get one. He's like, no, Alex. Plus the music's too loud. I got to see Ventura sing.
[02:07.000 --> 02:27.000]  Doing jazz, rock and roll country, stuff that sounded like 100 year old Spanish songs. That guy's quite the musician. I know he's played with Bob Dylan on his tour and stuff, but really blown away by getting to go to that and meet all those great people.
[02:27.000 --> 02:37.000]  It was also wild to pull up at the private party and to have TMZ out there and they run up and know who I am and are asking me questions. It was pretty ridiculous.
[02:37.000 --> 02:51.000]  And to meet a lot of famous actors and to know that they were listeners of the show as well. I tell you, we have got to do, not a good job. We already do a good job, but we've got to do an even better job with the amount of people that are watching and listening to this show.
[02:51.000 --> 03:05.000]  It just was dumbfounding. Rob Dew went me to ride shotgun and watch my back and do some other reports when we went down to RT to their LA office and did a 16 minute piece with them.
[03:05.000 --> 03:19.000]  And we also went out to the Rand Corporation, filed some reports. We killed multiple birds with one stone, but Dew himself was pretty blown away by we go in restaurants, hot dog places, walk down the street.
[03:19.000 --> 03:31.000]  All the bouncers at the private club, it was one of those private clubs that doesn't even have a name. It's got like one of those doors you duck in and they were listeners.
[03:31.000 --> 03:40.000]  It's just, those are radar pings or sonar pings that just everywhere I go now, it gets more and more and more people coming up.
[03:40.000 --> 03:50.000]  This signifies the fact that we are reaching huge amounts of people. I met quite a few famous actors and I'd say, hey, I'm going to marry your work and I'm going to marry your work. Alex liked the show.
[03:50.000 --> 03:59.000]  Now let's talk about the government. And also I ran into, Sean Stone has been a guest, Oliver Stone's son. He's going to be part of the third season of conspiracy theory.
[03:59.000 --> 04:11.000]  It is coming back for a third season. I'm going to be changing it up a bit because Jesse won't fly. He'll basically sit at a command based war room judging what he thinks is real and what isn't.
[04:11.000 --> 04:18.000]  And Sean Stone and Tyrell Ventura will travel around as the reporters and they want me to be involved as well.
[04:18.000 --> 04:30.000]  But I'll tell you, Oliver Stone's son is a big guy. I mean, I mean, you meet him in person. He's just, he's a big guy and has a lot of presence.
[04:30.000 --> 04:34.000]  So it'll be interesting seeing him with a television show. I know he's made a lot of films.
[04:34.000 --> 04:41.000]  All right, that's enough of the pleasantries. I'll tell you more of what Ventura said coming up. We got all the huge world news.
[04:41.000 --> 04:59.000]  We got the head of news core holdings in England, arrested the police chief of London stepping down over the news core, hacking a bunch of other news, geopolitically, the economy, whistleblowers being arrested and sentenced, the front yard gardener and more trouble.
[05:12.000 --> 05:22.000]  Just go to eFoodsDirect.com slash Alex and register to win a one year food supply with a 25 year shelf life at eFoodsDirect.com slash Alex.
[05:22.000 --> 05:42.000]  Look for the new Patriot Pack, a $149 12 day supply of food plus accessories that is free with a purchase of $235 or more. Call 800 409 5633 or on the web eFoodsDirect.com slash Alex and register to win a free one year supply of food.
[05:42.000 --> 05:52.000]  Then listen to Alex Jones to announce the weekly winners. Also the first 50 to register each day when a $50 subscription to The Voice of Reason eNewsletter.
[05:52.000 --> 06:13.000]  Go to eFoodsDirect.com slash Alex or call 800 409 5633. The Genesis Communications Radio Network proudly presents the Alex Jones show because there's a war on for your mind.
[06:13.000 --> 06:23.000]  All right, my friends, we are live. It is the 17th day of July 2011 on this live Sunday broadcast.
[06:23.000 --> 06:29.000]  We're going to be here for the next two hours as we are every Sunday, four to six p.m. central back weekdays.
[06:29.000 --> 06:33.000]  I'm on the air six days a week, 11 a.m. to two p.m. central standard time.
[06:33.000 --> 06:43.000]  I want to thank all the wonderful AM and FM affiliates that pick up the broadcast and of course XM Sirius for picking up it as well.
[06:43.000 --> 06:56.000]  A WWCR 100,000 watt shortwave out of Tennessee. And of course you can also listen to the show wherever you are, whenever you'd like with the free iPhone and Android apps that are at infowars.com.
[06:56.000 --> 07:06.000]  And on the free streams there, they're live as well as the podcast you can subscribe to all in the listen tab at infowars.com.
[07:06.000 --> 07:22.000]  Well, I wasn't in on Thursday and Friday. I want to thank Mike Adams, Paul Watson, Aaron Dykes and others for being a sit in host while I was in Los Angeles working on a host of different stories.
