[00:00.000 --> 00:27.480]  The
[00:27.480 --> 00:32.760]  world health organization recommended forcibly removing family members from their homes and
[00:32.760 --> 00:40.120]  putting them in quarantine. Now we need to go and look in families to find those people who may
[00:40.120 --> 00:46.840]  be sick and remove them and isolate them in a safe and dignified manner. Queen Elizabeth seemed
[00:46.840 --> 00:53.720]  to be echoing this idea to the UK. It reminds me of the very first broadcast I made in 1940,
[00:53.720 --> 01:02.040]  helped by my sister. We as children spoke from here at Windsor to children who had been evacuated
[01:02.040 --> 01:10.360]  from their homes and sent away for their own safety. Today, once again, many will feel a
[01:10.360 --> 01:18.960]  painful sense of separation from their loved ones. But now as then, we know deep down that it is the
[01:18.960 --> 01:24.760]  right thing to do. Bill Gates has been pushing the idea of tracking people with digital tattoos,
[01:24.760 --> 01:34.160]  and Microsoft was recently granted patent number 0600606 for a cryptocurrency surveillance system
[01:34.160 --> 01:45.220]  connected to the human body. Now enter HR6666. To authorize the Secretary of Health and Human
[01:45.220 --> 01:52.780]  Services to award grants to eligible entities to conduct diagnostic testing for COVID-19 and
[01:52.780 --> 02:00.580]  related activities such as contact tracing through mobile health units and as necessary at
[02:00.580 --> 02:08.700]  individuals' residences and for other purposes. On May 1st of 2020, Illinois Congressman Bobby
[02:08.700 --> 02:17.440]  Rush introduced HR6666. This act is essentially setting up a nationwide contact tracing and
[02:17.440 --> 02:25.680]  quarantine program run by Big Pharma. Section 2, COVID-19 testing and contact tracing using
[02:25.680 --> 02:33.800]  mobile health units will allow Bill Gates loyalist Alex Azar and the CDC to fund eligible entities
[02:33.800 --> 02:40.880]  to conduct tests, trace and monitor the contacts of infected individuals, and to support the
[02:40.880 --> 02:48.280]  quarantine of these contacts via mobile health units. Who are the eligible entities qualified
[02:48.280 --> 02:55.200]  to receive this funding? Health centers, non-profit organizations, high schools, and anyone else
[02:55.200 --> 03:01.800]  that Alex Azar deems eligible. The amount of taxpayer dollars being asked for to trace the
[03:01.800 --> 03:09.200]  public and force quarantines is $100 billion for 2020 alone and whatever may be necessary
[03:09.200 --> 03:25.440]  as long as the emergency period continues. For Infowars.com, this is Greg Rees.
[03:25.440 --> 03:33.440]  The naïveté of our best political minds that are pro-human is very dangerous. But I
[03:33.440 --> 03:48.640]  understand what's happening. They are projecting their own humanity onto the decisions that
[03:48.640 --> 03:57.240]  the establishment's making. And that is a grave mistake, a very, very serious mistake.
[03:57.240 --> 04:06.200]  Like clockwork, Barack Obama, the United Nations, the WHO, Bill of Melinda Gates, all
[04:06.200 --> 04:17.440]  opened fire on the president, all scientifically prepared in the last 48 hours. We have plotted
[04:17.440 --> 04:24.480]  their operations with precision because I'm inside their head. It's actually very easy
[04:24.480 --> 04:29.080]  to defeat them, and that's why they are so scared that if President Trump listens to
[04:29.080 --> 04:36.640]  me, it's over for them. But the truth is, no matter what happens to me, you understand
[04:36.640 --> 04:44.480]  the paradigm, I didn't tell you what to think. You see what I see. And once you see it, you
[04:44.480 --> 04:53.240]  never go back. I'm Alex Jones. Remember, the way we defeat the globalist is your will,
[04:53.240 --> 04:56.640]  and you taking action. It's an Info War.
[04:56.640 --> 05:04.400]  Please remember that we have a lot of great products that have been out of stock, back
[05:04.400 --> 05:07.720]  in stock, like Krill Oil. We have the ultimate Krill Oil. We don't have the benefits of Krill
[05:07.720 --> 05:12.880]  Oil. It's incredible. Everything in your body, your heart, your skin, your libido, your
[05:12.880 --> 05:16.480]  stamina, your dreams, take one of these before you go to sleep. It's well-known. Experience
[05:16.480 --> 05:21.920]  it for yourself. Infowarstore.com. X2 sold out for much. Deep Earth Cure Crystal Iodine.
[05:21.920 --> 05:26.120]  Back in stock, 50% off. Vaso Beats. Back in stock, 50% off. Vitamin Real Fusion. Back
[05:26.120 --> 05:29.760]  in stock, 50% off. Real Red Pill, Red Pill, Red Pill Plus with all the vitamins and minerals
[05:29.760 --> 05:32.840]  and the pregnant one out. That's close to selling out. Both formulas were really close
[05:32.840 --> 05:36.320]  to selling out. Real Red Pill Plus, it's got some stimulant in it, natural caffeine. That's
[05:36.320 --> 05:41.320]  close to selling out. 50% off still. Infowarstore.com. And we're already talking to our suppliers
[05:41.320 --> 05:45.400]  and some of them are saying, we may not take orders in a few months. I may not ever be able
[05:45.400 --> 05:50.320]  to get products again. Things are collapsing so bad, folks. This is total depression. The
[05:50.320 --> 06:17.280]  infrastructure is going down. Get the products while you still can. If you are receiving
[06:17.280 --> 06:25.320]  this transmission, you are the resistance. Live from the Infowarstore.com studios, it's
[06:25.320 --> 06:36.200]  Alex Jones. 174 days out from the election. I'm your host, Alex Jones. Thank you for
[06:36.200 --> 06:42.800]  joining us on this May 12th, Tuesday, 2020 transmission. We've got a lot of big guests
[06:42.800 --> 06:52.240]  coming up today. Your calls and so much breaking news. Faustus, Mr. Fauci, Dr. Faustus is in
[06:52.240 --> 06:59.040]  the Senate right now, like a snake attacking the president as much as he can without being
[06:59.040 --> 07:04.840]  removed from his position of power, bringing America into hysteria and collapsing the United
[07:04.840 --> 07:10.880]  States. He, of course, is testifying from his home because the earth is so toxic and
[07:10.880 --> 07:18.200]  so evil and so bad, and then humans are so bad that we must all no longer shake hands
[07:18.200 --> 07:24.400]  or love each other because, again, biology is bad. Only silicon is good. Carbon bad,
[07:24.400 --> 07:36.120]  silicon good. Post-human world. Extermination of the parasite humans. We come in peace.
[07:36.120 --> 07:41.240]  For those of us that understand the Globalist Plan and who have actually read with the Council
[07:41.240 --> 07:45.560]  on Foreign Relations and the Club of Rome and the Bilderberg Group and these other organizations
[07:45.560 --> 07:53.200]  have said, we know how the book ends. We know as we turn each page what we're going to see
[07:53.200 --> 07:59.560]  because it's their world. We're just living in it because we have dialed into Hollywood,
[07:59.560 --> 08:03.680]  dialed into sports, dialed into all the bread and circuses and distractions that they've
[08:03.680 --> 08:19.240]  laid out for us, the poison buffet, that we've given over our destiny. But for anyone that
[08:19.240 --> 08:25.360]  actually studies the Globalist and how they operate and what their in-game is and what
[08:25.360 --> 08:32.440]  makes them tick and what their philosophy and ethos is, this is like shooting fish in
[08:32.440 --> 08:41.520]  a barrel. It's like two plus two equals four. It's absolutely elementary, my dear Watson.
[08:41.520 --> 08:48.680]  But you've got to have the courage to admit what's coming at you. And I liken it as an
[08:48.680 --> 08:56.400]  allegory or an analogy or a parable to most big comets and asteroids that end up being
[08:56.400 --> 09:00.960]  found aren't found by the big radio telescopes or not found by the big observatories. Most
[09:00.960 --> 09:07.200]  of them are found by the millions of amateur astronomers that have high-powered equipment
[09:07.200 --> 09:16.480]  now thanks to capitalism, what would cost $100 million 50 years ago, cost $5,000 today,
[09:16.480 --> 09:23.120]  telescopes that can aim at stars, constellations, planets, asteroids, Kuiper belts, and even
[09:23.120 --> 09:31.320]  follow objects in real time with just a few numbers you dial in to the keypad. Back in
[09:31.320 --> 09:41.800]  1993, I had to go down to a university warehouse and pay $25,000 for a 12-inch refractor telescope
[09:41.800 --> 09:47.160]  that had just come out, that had the McDonald Observatory technology in it, that had cost
[09:47.160 --> 09:51.200]  tens of millions of dollars, but now it was miniaturized. And I could aim it at Jupiter,
[09:51.200 --> 09:58.520]  aim it at Saturn, aim it at Uranus, aim it at Pluto, aim it at Venus, aim it at Mars,
[09:58.520 --> 10:04.480]  and it would track for hours through the night sky, tiny servo motors that go out in the
[10:04.480 --> 10:10.360]  hill country, sometimes by myself with a six pack of beer and spend all night looking at
[10:10.360 --> 10:17.560]  the stars. And so imagine today you can go to Walmart and buy one for like $1,000 when
[10:17.560 --> 10:22.560]  I paid $27,000 for. That's the empowerment of technology. That's the good side of technology
[10:22.560 --> 10:32.640]  on a double-edged sword. So imagine if you're like Shoemaker Levy, amateur astronomers, they
[10:32.640 --> 10:37.200]  were professors, but with their telescope found the big comet that was going to slam
[10:37.200 --> 10:42.160]  into one of the gas giants 30 years ago, and you become world famous because the establishment
[10:42.160 --> 10:48.120]  isn't really looking, they're just posing like they're scientifically curious. And imagine
[10:48.120 --> 10:55.840]  you see coming out of the Kuiper Belt out past Pluto, a 10th planet, a 20th planet,
[10:55.840 --> 11:01.520]  a 100th planet, there's hundreds of them out there now they've scanned. And it's coming
[11:01.520 --> 11:07.680]  in and you see it and you're like, I'm an amateur astronomer and I've taken photographs
[11:07.680 --> 11:15.320]  of this thing entering our solar system. It's now past Pluto, it's coming in at a million
[11:15.320 --> 11:20.160]  miles an hour, and it's going to get here in six months. And you go tell your local
[11:20.160 --> 11:25.080]  news, you tell the FBI, you tell the local astronomer club, and they laugh at you. But
[11:25.080 --> 11:29.480]  more people begin to aim their telescopes up in the sky and they pick it up and they
[11:29.480 --> 11:37.040]  see it coming. And then you ask the question, how did all the government and industry observatories
[11:37.040 --> 11:43.040]  not see this? How did the CIA not see this? How did NASA not see this? And then you come
[11:43.040 --> 11:51.640]  to the realization, oh my God, they know this planet's coming in to our solar system. Why
[11:51.640 --> 12:04.480]  did they make the decision not to tell us? And then you come up with the realization
[12:04.480 --> 12:11.080]  the mathematicians that it's going to hit Earth. And you go, oh my God, they don't want
[12:11.080 --> 12:18.680]  us to panic. But if we panic, we could put spacecraft out there and go out and meet it
[12:18.680 --> 12:25.680]  with nuclear weapons and blow it up. Then you hit the realization they want humanity
[12:25.680 --> 12:32.160]  to die. And then you look at that planet a little bit closer and you notice it's got
[12:32.160 --> 12:39.040]  an ion trail behind it and it's got a propulsion system behind it and it's not a planet. It's
[12:39.040 --> 12:46.360]  a planetoid weapon aimed at Earth to kill us. It's an alien attack. And then you look
[12:46.360 --> 12:51.640]  at your leaders and you say, who are you with? Why are you doing this? Now, that's an allegory.
[12:51.640 --> 12:56.080]  They'll have headlines today that Jones believes a 10th planet's coming to kill the Earth and
[12:56.080 --> 13:05.280]  aliens running. No, I don't believe that. What I'm telling you is the biologicals, the GMOs,
[13:05.280 --> 13:11.640]  the 4G, the 5G, the 6G, they've already got 7G being tested. All of it makes Earth uninhabitable
[13:11.640 --> 13:17.760]  to carbon-based lifeforms. And then you study what the globalists are openly saying. They
[13:17.760 --> 13:25.000]  believe they're going to merge with silicon and become these gods. And then you have the
[13:25.000 --> 13:33.200]  realization that a decision has been made for an evolutionary path that we didn't choose
[13:33.200 --> 13:42.600]  and that we're being overwritten, not genetically, but chemically, by silicon. And so you can
[13:42.600 --> 13:47.560]  debate who came up with it. Is it the devil? Is it aliens? Whatever you want to call it,
[13:47.560 --> 13:53.360]  it's anti-human and it's the philosophy of Big Tech and the philosophy of the ruling
[13:53.360 --> 14:03.280]  scientific dictatorship that resonates with psychotic coldness. And so that's the M4 story.
[14:03.280 --> 14:08.200]  Imagine if you were an astronomer and you saw this planet coming towards Earth and you
[14:08.200 --> 14:12.120]  tracked it and you knew it was going to hit Earth in six months. And you knew within just a
[14:12.120 --> 14:16.560]  couple months it'd be visible to everybody and you wouldn't be able to deny it. So the
[14:16.560 --> 14:22.080]  government comes and arrests you. Would you feel bad being in jail? Like you were a loser? No,
[14:22.080 --> 14:29.280]  you feel sad for everybody because everybody's going to die. And see, that's the allegory.
[14:29.280 --> 14:35.520]  I'm not worried about Alex Jones. I've read the white papers where Bill Gates says he wants to
[14:35.520 --> 14:41.800]  kill everybody down to 500 million. Ted Turner, all of them have said that. Jeffrey Epstein managed
[14:41.800 --> 14:47.600]  the group. But every time I kind of get concerned like, hey, these guys are psychotic killers and
[14:47.600 --> 14:51.840]  are coming after me, I'm kind of like, well, it's okay. At least I won't have to watch my
[14:51.840 --> 14:56.560]  children die. And really, that's where I've mentally gotten. So when everybody understands
[14:56.560 --> 15:02.480]  something, I'm not a hero. If an asteroid or a planetoid was coming at Earth, and we had a year
[15:02.480 --> 15:07.440]  to stop it or six months to stop it, I'd say, we need maximum effort, put spacecraft up there,
[15:07.440 --> 15:13.080]  10 to 1. I don't want backup plans. Blow that thing up. Let's send one mission out there on a
[15:13.080 --> 15:16.800]  suicide mission. You know, we've got astronauts that would do it. They would want to catch it way
[15:16.800 --> 15:20.880]  before it got to Earth. They drive the missile in themselves to save their family. And then let's
[15:20.880 --> 15:26.000]  have backup plans if that fails to blow it off course before it gets here. We would all line up
[15:26.000 --> 15:30.560]  and be ready to die for that. Because we get there's something bigger, our families, our culture,
[15:30.560 --> 15:36.160]  the future of humanity. That's what matters, not our individualism. But the collectivists,
[15:36.160 --> 15:39.840]  they're all a bunch of selfish people who actually aren't collectivist. They're actually
[15:39.840 --> 15:45.520]  satanic individualists. But that's that paradox, that economy. I am the ultimate individual. And
[15:45.520 --> 15:51.280]  then I'm the ultimate collectivist. The satanists are individualists who are anti freedom, anti
[15:51.280 --> 15:54.400]  group. That's why they tell you all day they're for the group because they're not.
[15:56.560 --> 16:01.920]  Holland Block has really been a sleeper product for us. We got it in a few years ago. It's an amazing
[16:01.920 --> 16:07.360]  product that comes from all natural quail eggs. They discovered this more than 30 years ago in
[16:07.360 --> 16:12.960]  France that if you ate quail eggs from a certain type of quail, that it had an anti histamine
[16:12.960 --> 16:18.960]  effect and people saw their allergies and seasonal discomfort knocked way, way down. Well, now this
[16:18.960 --> 16:24.560]  is available in the United States. It's proprietary. It has rave reviews. It's a product that I never
[16:24.560 --> 16:30.320]  even really promote, but that people keep reordering and has become a best seller. We're very close to
[16:30.320 --> 16:35.040]  selling out Holland Block right now. It'll take eight weeks to get more in. But despite that,
[16:35.040 --> 16:40.480]  I'm going to sell it at 50% off until it sells out. So for those of you that have never ordered it
[16:40.480 --> 16:45.680]  and been on the fence and have seasonal discomfort, experience Holland Block for yourself right now
[16:45.680 --> 16:52.080]  at infowarstore.com for 50% off Holland Block. I want people that haven't tried it,
[16:52.080 --> 16:55.680]  tried for themselves. So it's the lowest price ever, even though it's selling out.
[16:56.800 --> 17:02.560]  What info wars has been able to do thanks to your support and your prayers and your word of mouth
[17:02.560 --> 17:10.720]  has been nothing short of historic and truly epic. This is the battle for the future of humanity. And
[17:10.720 --> 17:18.320]  now open world government is being established with an end game to depopulate the planet. Now,
