[00:00:03.039 --> 00:00:05.381]  I don't think so.
[00:00:28.806 --> 00:00:33.527]  Coming to you live from deep in the heart of Texas broadcasting worldwide.
[00:00:33.527 --> 00:00:36.268]  It's Wednesday, March 3rd.
[00:00:36.268 --> 00:00:37.909]  The year is 2021.
[00:00:37.909 --> 00:00:39.329]  I'm your host, Alex Jones.
[00:00:39.329 --> 00:00:41.409]  Honored and blessed to be here, my friends.
[00:00:41.409 --> 00:00:47.651]  No matter where you live, whether you be a man or a woman, you bleed red blood and you have a connection to God.
[00:00:47.651 --> 00:00:49.172]  You are my brother.
[00:00:49.172 --> 00:00:51.012]  You are my sister.
[00:00:51.012 --> 00:00:54.933]  Well, did the Texas governor really reverse the lockdown?
[00:00:54.933 --> 00:00:55.993]  What's really behind it?
[00:00:55.993 --> 00:00:57.994]  We're going to lay it all out today.
[00:00:58.672 --> 00:01:03.474]  As I told you, the mask lockdown is never going away until you make it go away.
[00:01:03.474 --> 00:01:05.555]  That doesn't mean it's not going to go away.
[00:01:05.555 --> 00:01:09.496]  It means they are never going to remove it until you make them remove it.
[00:01:09.496 --> 00:01:11.357]  Until you stop submitting.
[00:01:11.357 --> 00:01:14.038]  I shot a detailed 9-minute report last night laying this out.
[00:01:14.038 --> 00:01:14.919]  Let's air part of it.
[00:01:14.919 --> 00:01:18.060]  Then I'm going to come back and give you the rest of the story.
[00:01:19.247 --> 00:01:22.288]  It has been said by Republican and Democrat presidents alike.
[00:01:22.288 --> 00:01:25.509]  It's been said by political historians over and over again.
[00:01:25.509 --> 00:01:26.629]  This is true.
[00:01:26.629 --> 00:01:30.111]  As Texas goes, so goes the rest of the nation.
[00:01:30.111 --> 00:01:42.054]  And within hours of Governor Abbott saying he's going to lift the unconstitutional mask mandate and open businesses up 100 percent, all these other states began to follow suit.
[00:01:42.054 --> 00:01:43.435]  Because that's the leadership of Texas.
[00:01:44.088 --> 00:01:47.689]  That's why it's so sad that Governor Abbott went along with this hoax.
[00:01:47.689 --> 00:01:51.269]  But now he's come out and said the restrictions are lifted.
[00:01:51.269 --> 00:01:54.030]  But these are restrictions that were not passed by the legislature.
[00:01:54.030 --> 00:01:56.550]  These are restrictions that violate the state and federal constitution.
[00:01:56.550 --> 00:01:59.191]  So they were frauds the entire time.
[00:01:59.191 --> 00:02:10.113]  And it's just now that the public began to wake up to this and resist it, and the courts began to challenge it, and the legislature prepared to convene to block it that Governor Abbott pulled back from his previous activity.
[00:02:11.340 --> 00:02:20.285]  So in my view, this does not clear Governor Abbott of what he's done, helping the globalists bankrupt the state.
[00:02:20.285 --> 00:02:25.448]  It is now time to open Texas 100%.
[00:02:39.256 --> 00:02:43.520]  Everybody who wants to work should have that opportunity.
[00:02:43.520 --> 00:02:48.183]  Every business that wants to be open should be open.
[00:02:48.183 --> 00:02:56.950]  Effective next Wednesday, all businesses of any type are allowed to open 100 percent.
[00:02:56.950 --> 00:03:00.734]  That includes any type of entity in Texas.
[00:03:00.734 --> 00:03:00.894]  Also,
[00:03:09.537 --> 00:03:15.640]  I am ending the stay wide mask mandate.
[00:03:15.640 --> 00:03:26.905]  Well, the day finally came, March 2nd, 2021, after a year of lockdowns and businesses being closed and hundreds of thousands of family businesses and operations shuttering their doors forever.
[00:03:27.702 --> 00:03:40.108]  Governor Abbott has followed in the footsteps of Governor DeSantis of Florida and Governor Noem, of course, of South Dakota and set a 100% order to reopen the state and no mask mandate.
[00:03:40.108 --> 00:03:42.629]  Now, there's a lot to unpack there.
[00:03:42.629 --> 00:03:48.271]  First off, why should the governor be in control of whether we wear a mask over our faces, whether local businesses are open?
[00:03:48.271 --> 00:03:49.512]  And the whole thing's based on a fraud.
[00:03:49.512 --> 00:03:56.555]  Almost all the deaths were cancer and heart attacks and car wrecks and pneumonia and the flu, which they said doesn't exist this year anywhere in the world.
[00:03:57.492 --> 00:03:59.373]  The UK didn't have one case of flu.
[00:03:59.373 --> 00:04:01.073]  Folks, all this is a fraud.
[00:04:01.073 --> 00:04:05.074]  The same number of people roughly died in 2020, died in 2019.
[00:04:05.074 --> 00:04:06.915]  And so this hoax is wearing out.
[00:04:06.915 --> 00:04:09.436]  And thank God, Texas has some history of freedom.
[00:04:09.436 --> 00:04:13.997]  So unlike California, unlike New York, we had already partially reopened.
[00:04:13.997 --> 00:04:23.440]  But the idea that we're lucky that he's next Wednesday, because I guess, as one of the crew members, Rob said, COVID-19 is going to fly out of town from Austin, the capital, next Tuesday.
[00:04:24.040 --> 00:04:34.626]  So again, this arbitrary idea that he's God, he's the king, and because the vaccines have worked so well, and because the numbers of cases are down so much, now he can reopen things.
[00:04:34.626 --> 00:04:38.989]  It's the PCR test the inventor said years ago is fake.
[00:04:38.989 --> 00:04:39.949]  It's not for viral tests.
[00:04:39.949 --> 00:04:42.251]  And there's been other big developments on this front.
[00:04:42.251 --> 00:04:44.752]  We'll tell you the rest of the story in 60 seconds.
[00:04:44.752 --> 00:04:46.393]  Stay with us and spread the word.
[00:04:47.678 --> 00:04:51.972]  Infowars.com, Newswars.com, Band.Video.
[00:04:51.972 --> 00:04:53.638]  Tomorrow's news today.
[00:05:00.538 --> 00:05:03.739]  March is here, and we're running a special for only one week.
[00:05:03.739 --> 00:05:07.340]  Store-at-free shipping up to 50% off on our best-selling items.
[00:05:07.340 --> 00:05:10.801]  Free shipping on storable food till this next Saturday, and 10% off.
[00:05:10.801 --> 00:05:15.602]  If you have any idea that most of the cost of storable food is the shipping, that is the best deal ever.
[00:05:15.602 --> 00:05:16.623]  Only till this Saturday.
[00:05:16.623 --> 00:05:19.783]  Survival Shield X2, the good halogen, 50% off.
[00:05:19.783 --> 00:05:21.404]  TurboForce, the 10-hour clean energy,
[00:05:22.525 --> 00:05:22.825]  40% off.
[00:05:22.825 --> 00:05:24.807]  Ultra 12, the best vitamin B12 out there.
[00:05:24.807 --> 00:05:25.567]  Take it out of the tongue.
[00:05:25.567 --> 00:05:26.128]  It's incredible.
[00:05:26.128 --> 00:05:27.249]  50% off.
[00:05:27.249 --> 00:05:28.630]  All of it free shipping.
[00:05:28.630 --> 00:05:31.232]  Huge deals on Gravity's Bed water filters.
[00:05:31.232 --> 00:05:33.935]  Amazing deals on all of our products.
[00:05:33.935 --> 00:05:34.715]  I'll be frank with you.
[00:05:34.715 --> 00:05:43.523]  Stuff's so bad, things are so out of control, I'm trying to sell them everything so we actually have funds inside our coffers to keep operating if they shut our shopping carts down.
[00:05:43.523 --> 00:05:45.424]  We're under a major globalist attack.
[00:05:45.424 --> 00:05:49.388]  Not because we're the enemy, but because we're standing between you and the globalists.
[00:05:49.768 --> 00:05:56.073]  The globalists want to bankrupt you, they want to enslave you, they want to depopulate you, they want to force-inoculate you.
[00:05:56.073 --> 00:06:01.858]  Fund InfoWars and we'll take action against them in the fight.
[00:06:01.858 --> 00:06:04.380]  We shall go on to the end.
[00:06:04.380 --> 00:06:06.762]  We shall fight in France.
[00:06:06.762 --> 00:06:09.944]  We shall fight on the seas and oceans.
[00:06:09.944 --> 00:06:15.869]  We shall fight with growing confidence and growing strength in the air.
[00:06:15.869 --> 00:06:19.032]  We shall defend our island, whatever the cost may be.
[00:06:19.901 --> 00:06:22.083]  We shall fight on the beaches.
[00:06:22.083 --> 00:06:24.826]  We shall fight on the landing grounds.
[00:06:24.826 --> 00:06:28.489]  We shall fight in the fields and in the streets.
[00:06:28.489 --> 00:06:30.932]  We shall fight in the hills.
[00:06:30.932 --> 00:06:35.336]  We shall never surrender!
[00:06:35.336 --> 00:06:40.521]  Live from Freedom Command Central, it's the Alex Jones Show!
[00:06:47.486 --> 00:06:50.327]  Ladies and gentlemen, I am all about positive news.
[00:06:50.327 --> 00:06:51.927]  I am all about victory.
[00:06:51.927 --> 00:06:54.328]  But I'm also not about false hope.
[00:06:54.328 --> 00:06:59.569]  Because false hope is the siege of our destruction.
