[00:00:00.389 --> 00:00:06.753]  Wow!
[00:00:06.753 --> 00:00:09.075]  How am I going to cover all this?
[00:00:09.075 --> 00:00:13.538]  Alex Jones, the cure to fake news.
[00:00:13.538 --> 00:00:24.024]  Coming to you live from Austin, Texas.
[00:00:24.024 --> 00:00:26.586]  Well, I take absolutely no pleasure
[00:00:27.774 --> 00:00:32.436]  In saying, once again, see, I told you so.
[00:00:32.436 --> 00:00:34.336]  Wow.
[00:00:34.336 --> 00:00:37.017]  We are two seconds from midnight.
[00:00:37.017 --> 00:00:40.658]  We are one tip of the pinky.
[00:00:40.658 --> 00:00:46.880]  We're about five millimeters away from massive nuclear strikes on North Korea.
[00:00:46.880 --> 00:00:55.903]  Because if you're gonna hit that militarized state, with all its nuclear weapons and missiles and a hundred thousand pieces of artillery,
[00:00:58.155 --> 00:01:26.624]  Bearing down, aiming, there at South Korea and their ICBMs pointed at the United States and more, if you're going to preemptively stop them when they're saying, we've got missiles aimed at you, we're going to attack you, we're going to come after you, we're going to annihilate you, under international law, under common law, under common sense, under basic brain cells,
[00:01:27.717 --> 00:01:37.711]  If somebody loads a gun in front of you, test fires it into a wall, and starts shooting at your feet, and saying, I'm gonna reload and blow your head off!
[00:01:37.711 --> 00:01:39.814]  Or I'm gonna shoot you right in the heart!
[00:01:39.814 --> 00:01:42.257]  Or I'm gonna shoot you right between the legs!
[00:01:42.257 --> 00:01:43.339]  At that point...
[00:01:46.758 --> 00:01:48.639]  You'd have to be crazy not to take action.
[00:01:48.639 --> 00:01:50.540]  Yeah, look at the headlines on Drudge Report.
[00:01:50.540 --> 00:01:52.281]  We'll punch them up.
[00:01:52.281 --> 00:02:06.790]  Kim Pal, North Korea's sixth and most powerful nuke test of a hydrogen bomb, and the experts, the nuclear physicists, engineers, and seismologists say it appears to be just what they said, a powerful hydrogen thermonuclear detonation.
[00:02:08.479 --> 00:02:10.520]  A perfect success, they're calling it.
[00:02:10.520 --> 00:02:14.483]  Yes, they're being given the technology from Pakistan and others.
[00:02:14.483 --> 00:02:26.011]  North Korea claims test of hydrogen bomb for long-range missile of success and now they claim they've got the casing to load it on the tip of the ICBM.
[00:02:26.011 --> 00:02:33.677]  Now, a few weeks ago, they said they were going to fire missiles at Guam and Trump said, go ahead and do that and we're going to have to peripherally strike you.
[00:02:33.677 --> 00:02:37.980]  Here's what's so concerning, in a bad way and a good way.
[00:02:39.628 --> 00:02:42.351]  China and Russia are going, okay, we totally could have them.
[00:02:42.351 --> 00:02:43.893]  You're right, we may have to do something.
[00:02:43.893 --> 00:02:46.516]  North Korea, you're really asking for it.
[00:02:46.516 --> 00:02:50.240]  We're not going to do anything if you strike North Korea, but we really don't want you to.
[00:02:50.240 --> 00:02:57.287]  So they've gone from a posture of, you better not do it, we might do something, to absolutely being hands-off, backing away.
[00:02:57.287 --> 00:03:00.531]  Because the North Korean dictator is out of his mind.
[00:03:01.775 --> 00:03:10.798]  Mattis, this just came out 30 minutes ago, it's on Infowars.com, Newswars.com, PrisonPlanet.com, right now.
[00:03:10.798 --> 00:03:18.381]  Mattis, massive, that's the Secretary of Defense, massive, this is a quote, massive military response if North Korea threatens U.S.
[00:03:18.381 --> 00:03:21.883]  or its allies, which it's constantly doing!
[00:03:21.883 --> 00:03:30.826]  And he's been the guy, not saber-rattling, he's been the guy trying to de-escalate things, and now he's saying, okay,
[00:03:32.093 --> 00:03:35.374]  I mean, just last week they said, let's go to the table, North Korea, what do you want?
[00:03:35.374 --> 00:03:36.414]  And they said, what do we want?
[00:03:36.414 --> 00:03:45.958]  We have a demonic, vampiric chipmunk who can't even hardly walk, who was given hereditary power over a bunch of slaves with a bunch of megalomaniacs around him, and he thinks he's God.
[00:03:45.958 --> 00:03:47.298]  His dad died a few years ago.
[00:03:47.298 --> 00:03:49.479]  He's all creeping around, all scared at first.
[00:03:49.479 --> 00:03:50.859]  Looks like a little kid.
