[00:00:00.869 --> 00:00:06.991]  I am really honored to have Michael Bagnerik in studio with us for several reasons.
[00:00:06.991 --> 00:00:12.373]  I've known Michael, I guess, about eight, nine years, and he's really been involved in local politics.
[00:00:12.373 --> 00:00:15.334]  He's helped teach Constitution classes for free.
[00:00:15.334 --> 00:00:17.835]  He really knows the Constitution, Bill of Rights.
[00:00:17.835 --> 00:00:20.736]  He's done a lot of different local TV shows, radio shows.
[00:00:20.736 --> 00:00:22.397]  He's been involved in the community.
[00:00:22.397 --> 00:00:28.039]  He's helped a lot of people that have had trouble with the corrupt government and the police being out of control.
[00:00:28.954 --> 00:00:44.544]  And then, he came from nowhere, really, just on his eloquence and his understanding of our form of government, and was able to beat out some formidable opponents for a highly contested libertarian presidential nomination.
[00:00:45.144 --> 00:00:49.946]  I mean, this is the guts of what Americana is all about.
[00:00:49.946 --> 00:00:59.609]  I mean, I'd almost call him Jacksonian in that, you know, this guy, grassroots coming from nowhere, and he really injected a lot of important information into the national debate.
[00:00:59.609 --> 00:01:08.851]  And the Libertarian Party really is the only real third party, the only serious one that doesn't, you know, flash in the pan or comet across the night sky.
[00:01:08.851 --> 00:01:09.972]  And it gets stronger and better.
[00:01:09.972 --> 00:01:12.873]  And I agree with most of the policies and views of the Libertarian Party.
[00:01:12.873 --> 00:01:13.753]  I'm more of a conservative.
[00:01:14.093 --> 00:01:20.697]  He's now running against one of the worst congressmen there is, who was literally installed, and that's Michael McCall.
[00:01:32.249 --> 00:01:39.515]  Who, of course, is married to the owner of Clear Channel's daughter, and who just so happens to own the voting machines, but we're not going to get off into all that today.
[00:01:39.515 --> 00:01:44.238]  And he's right here running for District 10 against Michael McCall.
[00:01:44.238 --> 00:01:50.343]  We've also had Stahl on, who's running for the state senate against the corridors and the toll roads and all that.
[00:01:50.343 --> 00:01:53.125]  So we're trying to really... I mean, Texas is the front line.
[00:01:53.125 --> 00:01:57.088]  We are under massive attack, and everything that's happening here is coming to your area.
[00:01:57.088 --> 00:01:59.450]  So this affects everybody in the country.
[00:01:59.450 --> 00:02:01.692]  And Michael Bagnerik, thank you so much for coming on with us.
[00:02:01.952 --> 00:02:02.992]  Thanks so much, Jack.
[00:02:02.992 --> 00:02:04.493]  It's good to see you again.
[00:02:04.493 --> 00:02:04.933]  You bet.
[00:02:04.933 --> 00:02:10.935]  It is really exciting to have you here in studio with us today.
[00:02:10.935 --> 00:02:27.881]  Why don't you, Michael, just kind of recap what happened during the Libertarian presidential campaign, and then I want to go through some of your personal views and policies on the toll roads in Texas and the Supreme Court ruling on private property, and then I want to just get into the Constitution itself and the true role of government.
[00:02:28.658 --> 00:02:35.302]  Well, let me first say that I am honored and very privileged to have been nominated.
[00:02:35.302 --> 00:02:40.485]  There was nobody on the convention floor more surprised than I was.
[00:02:40.485 --> 00:02:48.109]  I had done my best to bring libertarians into the party, to help push the ideas forward.
[00:02:48.109 --> 00:02:54.312]  We participated in the presidential debate that Saturday night, and the first vote
[00:02:55.962 --> 00:03:04.132]  Gary Nolan, Aaron Russo, and I split the vote, 33% each, and it was very, very dramatic and exciting.
[00:03:05.857 --> 00:03:11.662]  After I won the nomination, John Earhart and I traveled about 75,000 miles by air.
[00:03:11.662 --> 00:03:20.750]  We visited 42 states, I believe, trying to do, I think we totaled up to 400 interviews during that time.
[00:03:20.750 --> 00:03:31.079]  And one thing that was not known, David Cobb of the Green Party and I are both legitimate candidates for legitimate political parties.
[00:03:31.079 --> 00:03:32.340]  We were both arrested
[00:03:32.681 --> 00:03:33.182]  In St.
[00:03:33.182 --> 00:03:35.912]  Louis, attempting to attend the presidential debate.
[00:03:37.057 --> 00:03:39.358]  They put us into a, they handcuffed us.
[00:03:39.358 --> 00:03:39.938]  I remember that.
[00:03:39.938 --> 00:03:45.241]  Well, Alan Keyes was on the list back in 96 of Republican presidential candidates.
[00:03:45.241 --> 00:03:47.882]  He was getting about 12% of the time, so they were afraid of him.
[00:03:47.882 --> 00:03:53.065]  They actually kidnapped him, drove him around for an hour and threw him out in a crack-infested neighborhood.
[00:03:53.065 --> 00:03:54.786]  But did that happen to you?
[00:03:54.786 --> 00:03:55.126]  No.
[00:03:55.126 --> 00:03:57.347]  What they did was they, they were very polite.
[00:03:57.347 --> 00:04:03.790]  Once we got through the police line, they arrested us, they handcuffed us, put us into a police van and left us there.
[00:04:03.790 --> 00:04:06.051]  Well, about 20 minutes later, a police officer came up
[00:04:06.611 --> 00:04:10.634]  And said, which one of you guys is a presidential candidate?
[00:04:10.634 --> 00:04:13.476]  And I said, well, we are both presidential candidates.
[00:04:13.476 --> 00:04:17.478]  We are at a presidential debate, and you have us in handcuffs.
[00:04:17.478 --> 00:04:18.839]  I said, can you explain that to me?
[00:04:19.482 --> 00:04:21.503]  And the guy says, let me get back to you on that.
[00:04:21.503 --> 00:04:23.763]  Well, Alan Keyes was even on the list.
[00:04:23.763 --> 00:04:28.805]  In fact, they had Nader on and then pulled him just because the Republicans said so and then nothing ever happened.
[00:04:28.805 --> 00:04:30.145]  He wasn't even allowed to be in the audience.
[00:04:30.145 --> 00:04:30.865]  Right.
[00:04:30.865 --> 00:04:33.866]  Well, that's basically what we were trying to do is to be in the audience.
[00:04:33.866 --> 00:04:36.887]  I also was acting as a process server.
[00:04:36.887 --> 00:04:42.389]  The third debate in Arizona was paid for by tax money on a
[00:04:43.969 --> 00:04:46.032]  Tax funded campus.
[00:04:46.032 --> 00:04:53.980]  And so the Arizona Libertarians filed a lawsuit and said you either have to let Michael in the debate or shut down the debate.
[00:04:53.980 --> 00:04:59.066]  And we had this court order that I was going to try to present to the... Oh, that's right!
[00:04:59.066 --> 00:05:02.069]  You even get the courts ordering it and they still ignore it.
[00:05:02.069 --> 00:05:03.851]  That's the thing about the government now.
[00:05:03.851 --> 00:05:04.772]  They just do whatever they want.
[00:05:05.252 --> 00:05:07.854]  I never really got a chance to present that paperwork.
[00:05:07.854 --> 00:05:14.439]  So, the interesting thing as far as I'm concerned... Well, my point is, it had been in the news that you guys had the order.
[00:05:14.439 --> 00:05:16.120]  They knew and they just didn't care.
[00:05:16.120 --> 00:05:18.382]  And, well, it was never advertised.
[00:05:18.382 --> 00:05:23.106]  The fact that David Nye had been arrested was only broadcast on my blog and his blog.
[00:05:23.106 --> 00:05:23.746]  We covered it here.
[00:05:24.046 --> 00:05:25.509]  Oh, that's excellent, thank you.
[00:05:25.509 --> 00:05:28.413]  So, we were trying to get that information out.
[00:05:28.413 --> 00:05:33.320]  But you'd think that'd be newsworthy, because all over the country they were talking about how they were shutting everybody out of the debate.
[00:05:33.320 --> 00:05:37.586]  How are we going to have a legitimate third party if we can't ever even get people in the debate?
[00:05:37.586 --> 00:05:39.128]  There should be ten guys up there.
[00:05:39.128 --> 00:05:39.649]  Absolutely.
[00:05:40.149 --> 00:05:43.710]  So, it was a very interesting and exciting process.
[00:05:43.710 --> 00:05:58.656]  I'm, again, honored to have been able to represent the Libertarian Party, and this year, in order to continue lighting the fires of liberty, we've decided the best thing for me to do is to run for Congress in 2006.
[00:05:58.656 --> 00:06:01.817]  Well, that's exciting, and I want to talk about later why you're doing that.
[00:06:01.817 --> 00:06:08.520]  Just out of the gate, I don't think most Americans realize that when we've been saying 6,000 miles of toll roads, it's now 8,000 miles of toll roads.
[00:06:08.520 --> 00:06:09.140]  This is official.
[00:06:10.046 --> 00:06:12.009]  And the whole country only has 7,000 miles of toll roads.
[00:06:12.009 --> 00:06:14.993]  We're going to have transponders and all the inspection stickers.
[00:06:14.993 --> 00:06:16.615]  We narrowly beat that bill last year.
[00:06:16.615 --> 00:06:18.417]  That was going to start this year.
