[00:00:13.078 --> 00:00:13.218]  Food.
[00:00:13.218 --> 00:00:15.700]  And there's no one in the hospital.
[00:00:15.700 --> 00:00:16.321]  Exactly.
[00:00:16.321 --> 00:00:16.901]  Nobody.
[00:00:16.901 --> 00:00:18.302]  Nobody.
[00:00:18.302 --> 00:00:19.943]  What is going on in this country?
[00:00:19.943 --> 00:00:21.705]  They discharged everybody.
[00:00:21.705 --> 00:00:22.846]  So there's nobody even in there?
[00:00:22.846 --> 00:00:23.706]  Nobody's in there.
[00:00:23.706 --> 00:00:25.388]  Nobody's in the hospital?
[00:00:25.388 --> 00:00:28.630]  How is that possible in a medical pandemic?
[00:00:28.630 --> 00:00:29.951]  That's fake news, that's why.
[00:00:29.951 --> 00:00:31.132]  Fake news.
[00:00:31.132 --> 00:00:32.733]  It's all fake news, isn't it?
[00:00:32.733 --> 00:00:33.874]  There's nobody in there.
[00:00:33.874 --> 00:00:35.996]  Is there anybody in there?
[00:00:35.996 --> 00:00:36.656]  No.
[00:00:36.656 --> 00:00:38.237]  But there's free food.
[00:00:42.907 --> 00:00:49.952]  Ladies and gentlemen, that video comes from a hospital.
[00:00:49.952 --> 00:00:53.735]  I'm not sure where.
[00:00:53.735 --> 00:01:07.565]  And as you can see, all the nurses, as they say, as the man is asking them, had been discharged and there wasn't a single person in the hospital.
[00:01:07.565 --> 00:01:09.326]  Their words, not ours.
[00:01:09.326 --> 00:01:10.147]  It's right there on the video.
[00:01:12.117 --> 00:01:14.878]  And obviously the guy filming is saying, well, what the heck's going on?
[00:01:14.878 --> 00:01:17.518]  I was told that it's a medical pandemic.
[00:01:17.518 --> 00:01:19.919]  COVID's spiraling out of control, but nobody's in the hospital.
[00:01:19.919 --> 00:01:22.620]  No patients, no nurses.
[00:01:22.620 --> 00:01:24.620]  They say, yeah, it's fake news.
[00:01:24.620 --> 00:01:26.741]  Just, you know, because that's what we deal with in this country.
[00:01:26.741 --> 00:01:31.702]  It's just fake news 24-7, dominating our lives, enslaving us.
[00:01:31.702 --> 00:01:40.864]  And so look, you got two angles of this today, where I've got all the latest COVID
[00:01:41.610 --> 00:01:55.735]  Tyranny, developments, where the United States has said, well, we have to raise our travel notice for people from Israel because they're having a COVID outbreak.
[00:01:55.735 --> 00:01:59.496]  Israel is the most vaccinated nation on earth.
[00:01:59.496 --> 00:02:05.198]  And the CDC even makes a statement on the travel advisory from Israel, and they say,
[00:02:06.929 --> 00:02:18.979]  Israel's having a COVID outbreak, so we have to reconsider letting people in from Israel, but we also want to mimic their vaccination rates.
[00:02:18.979 --> 00:02:20.600]  Hmm.
[00:02:20.600 --> 00:02:34.010]  So Israel did such a good job with vaccines that you want to mimic that, yet you have a travel advisory from Israel because they have a COVID outbreak.
[00:02:34.010 --> 00:02:34.711]  That makes sense.
[00:02:35.660 --> 00:02:43.383]  And of course, the American media is so inept and pathetic, they're not even going to question any of that.
[00:02:43.383 --> 00:02:44.963]  And I've got other developments like that.
