[00:00.000 --> 00:15.000]  From the front lines of the Information War, it's Alex Jones.
[00:15.000 --> 00:35.000]  Mother, tell your children not to look my way, tell your children not to near my words, what they mean, what they say. Mother, can you keep them in the dark for life?
[00:35.000 --> 00:46.000]  Can you hide them from the waiting world? And of course there's father.
[00:46.000 --> 00:55.000]  Gonna take your daughter out tonight. Gonna show her my world.
[00:55.000 --> 01:15.000]  Yes, ladies and gentlemen, we are the real rebels. We are the Black Sheep. We are the Resistance. I am your host, Alex Jones, and I'm extremely honored to be here with you live on this Friday, April 15th, 2022, transmission.
[01:15.000 --> 01:30.000]  All right, here we are, ladies and gentlemen. We have Mike Adams joining us today to talk about the world economic collapse that he and I predicted with great precision two years ago and just how bad it currently is and how bad it's going to be getting
[01:30.000 --> 01:38.000]  and how to hopefully protect yourself some from that, but we are gonna have to look now into the future and lay out the sad truths that are now inevitable.
[01:38.000 --> 01:45.000]  The question is, how severe will it be? He'll be joining me to discuss that so the latest COVID tyranny developments.
[01:45.000 --> 01:56.000]  And then humanitarian author, researcher, army veteran, Jason Jones just spent quite a bit of time in Poland and in Ukraine and those areas.
[01:56.000 --> 02:08.000]  Of course, he's been into war zones all over the world, but he is returning and he's gonna have some photos and videos and more for us to give us his take on what he's really witnessing there in studio today.
[02:08.000 --> 02:17.000]  And then, of course, the great J. Dyer will be hosting the fourth hour at Evo and Shroyer at 3 p.m. Central Standard Time today.
[02:17.000 --> 02:30.000]  All right, here's the deal. Somewhere around my house, I bought an old fashioned scale, like you see Lady Justice holding in her hand, where it's brass as a marble bottom,
[02:30.000 --> 02:38.000]  but I couldn't find it this morning. I wanted to bring it in and put weights on one side and weights on the other to decide whether Elon Musk is a good guy or a bad guy.
[02:38.000 --> 02:51.000]  But what matters is he's moving in the direction of being a good guy in so many ways. And I was mentally this morning thinking about the good things he does versus the bad things and the good things massively outweigh the bad.
[02:51.000 --> 03:05.000]  And I'm told by people very close to him, both in the military that do work for him, but also other well-known people that are friends with him here in Austin, that he is totally awake and a listener of this show.
[03:05.000 --> 03:13.000]  I haven't had a chance to meet him yet. I was out of town actually when some of my friends got to go with Joe Rogan to his factory late at night and hang out for a few hours with him.
[03:13.000 --> 03:22.000]  I got extremely envious of that, one of the few things that actually made me shake within me, just because I really do want to meet Elon Musk and I do want to pick his brain about things.
[03:22.000 --> 03:37.000]  But I was told over a year ago about Elon Musk's plan to try to restore free speech and I know some other individuals have been developing plans as well and I've been let in on some of those plans.
[03:37.000 --> 03:45.000]  And either one of these people could definitely make a move on the globalist and really restore free speech on a massive level.
[03:45.000 --> 03:54.000]  Can you imagine if Joe Rogan started his own podcasting media network? Can you imagine if Elon Musk did that?
[03:54.000 --> 04:06.000]  And I've basically got mad at Joe four years ago because I told him he could basically do that and I described for him exactly what was going to happen and what was going to unfold and he just couldn't believe it.
[04:06.000 --> 04:20.000]  And now he's fully on board because he sees it and he knows it's real and the worst thing they could do and I've told people this would be to try to take his Spotify show away because even CNN said a few months ago they said well the problem is he'll just go do his own thing.
[04:20.000 --> 04:31.000]  Yeah, he's locked and loaded for that. It's all set up. I'll just leave it at that. And Elon Musk is doing the same thing.
[04:31.000 --> 04:42.000]  So I'm going to exclusively tell you about Plan B here that Elon Musk was talking about yesterday and more, but of course you know another big sign he's a good guy or at least coming over to the light.
[04:42.000 --> 04:52.000]  And that is that they started two criminal investigations of him and his company yesterday, hours after he announced he was going to fight censorship and promote freedom worldwide.
[04:52.000 --> 05:01.000]  So we've got that here for you as well. Infowars.com. Tomorrow's news today.
[05:01.000 --> 05:10.000]  It was about 25 years ago that I wanted to expand Infowars. I've been on the air a couple of years, but I only had money to finance my own simple little local radio show.
[05:10.000 --> 05:14.000]  I wanted to hire camera people. I wanted to make films. I wanted to really challenge the globalist.
[05:14.000 --> 05:23.000]  And it was a t-shirt I designed. The first one, Mass Murderers Agreed Gun Control Works that helped us finance hiring the first two members of my crew.
[05:23.000 --> 05:32.000]  That's our oldest design and we still sell it. We have that design over 100 others that will now all be limited editions because whatever stock we've got in, that's it.
[05:32.000 --> 05:38.000]  We're selling everything out to find the operation to get rid of inventory. We'll still have some t-shirts in the future.
[05:38.000 --> 05:44.000]  They'll just be limited editions and short runs. So if you want to get any of these historic shirts, this is your last chance.
[05:44.000 --> 05:57.000]  I almost forgot. We're selling them all at cost at Infowarsstore.com. Every ball cap, every flag, every hoodie, every long sleeve, every t-shirt, regular shirts, designer shirts, they're all selling at cost.
[05:57.000 --> 06:10.000]  Infowarsstore.com.
[06:27.000 --> 06:41.000]  Here we are, embattled, wounded, but in ways stronger and better than ever. We are the Infowar. I am your host, Alex Jones.
[06:41.000 --> 06:49.000]  Very blessed and thankful again to be here on this live Friday the 15th, April 15th transmission.
[06:49.000 --> 07:01.000]  Let me just do this. Let me get into what we're going to cover today and then let me start plowing into it and then we have one guest in studio and then one guest over Skype, Mike Adams, Jason Jones and others today.
[07:01.000 --> 07:10.000]  This will be quite a Friday broadcast and I'm working on what time I'm going to come in on Saturday, whether I'm going to shoot a live report with everybody and take calls or whether I'm going to tape something tomorrow.
[07:10.000 --> 07:23.000]  But obviously, I've been diverted and distracted by a lot of ongoing attempts to shut down Infowars. So I've not been on air as much as I'd like to be. So I'm going to attempt to do a lot more broadcasting this week and next week and the week after that.
[07:23.000 --> 07:33.000]  And of course, don't forget the Sunday show that I've been doing for 15 years from 4 to 6 p.m. We've expanded that from 4 to 8 p.m. now calling it Sunday Live.
[07:33.000 --> 07:41.000]  But we are here on Friday afternoon on the East Coast and still the morning here on the Central and Mountain and Pacific.
[07:41.000 --> 07:44.000]  And so let me just tell you the stacks of news we have here.
[07:44.000 --> 07:59.000]  We have what is now confirmed, it broke last night, criminal investigations by the Securities and Exchange Commission and the DOJ of Musk and his companies right after he announced that he wants to fight censorship.
[07:59.000 --> 08:04.000]  You know, I must say he wants to help freedom in the world. Well, that is a big no-no.
[08:04.000 --> 08:12.000]  And the media is completely decrying him saying billionaires should not own any type of media outlet even though it's billionaires that own all the other ones.
[08:12.000 --> 08:17.000]  What they mean is they don't want a populist worldview or a pro-human view coming out.
[08:17.000 --> 08:20.000]  We've got all those clips and information coming up.
[08:20.000 --> 08:30.000]  There's an amazing coincidence. SEC and DOJ swoop in and investigate Tesla and Musk mulls Twitter takeover.
[08:30.000 --> 08:35.000]  Isn't that a surprise? Of course, it's not a surprise.
[08:35.000 --> 08:42.000]  There are at least two grand juries open on me right now trying to frame me and put me in jail.
[08:42.000 --> 08:48.000]  And they've had other ones that they opened up that did not indict me last year for other supposed things I've done.
