[00:00.000 --> 00:22.000]  Waging war on corruption. It's Alex Jones. Coming to you live from the front lines of the Info War.
[00:22.000 --> 00:25.000]  Welcome to the Alex Jones Show. I'm David Knight, filling in for Alex.
[00:25.000 --> 00:29.000]  But Alex is going to be joining us in the second hour and we've got a lot to talk about.
[00:29.000 --> 00:35.000]  And there's been a lot of news starting actually a little bit, about a week ago, a little bit earlier than that.
[00:35.000 --> 00:42.000]  They started towards the end of the week and we were supposed to have some kind of a terror incident that was going to happen last Sunday, if you remember.
[00:42.000 --> 00:48.000]  All the embassies were shut down worldwide. We were told that they didn't know exactly what it was going to be.
[00:48.000 --> 00:52.000]  We were told that it was going to be very, very big, but they knew when it was going to be.
[00:52.000 --> 00:55.000]  So they were going to shut down all the embassies. They did that.
[00:55.000 --> 01:02.000]  But then of course last Sunday, it didn't happen. And so now they don't know what it's going to be, where it's going to be, when it's going to be, but it's going to be big.
[01:02.000 --> 01:11.000]  And you know, there was a lot of fun had with that. Stephen Colbert, all the late night talk show hosts, they all had a lot of fun with that.
[01:11.000 --> 01:16.000]  Colbert said, I hope your diapers are clean because we've just gone to Code Brown.
[01:16.000 --> 01:28.000]  And it really is pretty funny because nobody is buying their story anymore. And you know, the reason they did this was because they're trying to get back the fear-mongering.
[01:28.000 --> 01:36.000]  Everything the government is doing to destroy this country's Bill of Rights, to destroy our legal framework, is being done on the basis of fear.
[01:36.000 --> 01:41.000]  It's fear-mongering. And so of course you have to be afraid. Be very afraid.
[01:41.000 --> 01:49.000]  And people are not afraid of them. People are kind of, some people are waking up and understanding that they're shredding our Constitution, that they're looking at us personally.
[01:49.000 --> 01:53.000]  And so a lot of people are pushing back against that. We're going to talk about that today.
[01:53.000 --> 01:59.000]  We're also going to talk about some news that broke during the week and towards the end of the week about Austin specifically.
[01:59.000 --> 02:06.000]  We learned in the middle of the week that Austin was going to be the site of a lot of DHS drills for quite some time from Homeland Security.
[02:06.000 --> 02:18.000]  And then towards the end of the week on Thursday, we received a specific memo that was leaked internally to InfoWars about a planned terror incident, a suspected terror incident.
[02:18.000 --> 02:22.000]  And we'll talk about that in detail. And we'll talk about what happened in that.
[02:22.000 --> 02:27.000]  And we also talked, we've got a man on the street, Leanne McAdoo went out and talked to residents in Austin.
[02:27.000 --> 02:35.000]  See what they thought about these DHS drills. See what they thought about this memo that implied very specific times here in Austin that there may be attacks.
[02:35.000 --> 02:39.000]  We're also going to talk about some Obamacare information.
[02:39.000 --> 02:47.000]  We just had Representative Louis Gohmert have a back and forth with George Will as to what really is the responsibility of the Congress.
[02:47.000 --> 02:54.000]  Are they supposed to be a rubber stamp to whatever the government says? Is it bad politics to follow the Constitution?
[02:54.000 --> 02:59.000]  Well, according to George Will it is. So we're going to have that back and forth. That's very good.
[02:59.000 --> 03:07.000]  I think you'll want to hear that. Here we have to say about that. And of course, the ad hominem attacks on Edward Snowden are picking up.
[03:07.000 --> 03:14.000]  And his father and his lawyer, Bruce Fine, who, as you remember, was part of the Ron Paul campaign.
[03:14.000 --> 03:18.000]  Bruce Fine is an excellent constitutional lawyer, really knows the Constitution.
[03:18.000 --> 03:23.000]  And unlike a lot of other people, he respects it. So he not only knows what it is, but respects it.
[03:23.000 --> 03:29.000]  And he was on the talk show circuits talking about what was going to happen with Snowden.
[03:29.000 --> 03:33.000]  And of course, all of the congressmen here are trying to make this about Snowden.
[03:33.000 --> 03:38.000]  They're trying to go after and make it an ad hominem attack on him personally.
[03:38.000 --> 03:46.000]  You know, this really isn't about Snowden. This is about the illegal criminal actions of the NSA that he exposed.
[03:46.000 --> 03:50.000]  But they don't talk about that. But we're going to talk about that when we come back.
[03:50.000 --> 03:55.000]  And you know, there's some interesting news that just broke today about honey. That's right.
[03:55.000 --> 04:00.000]  When we look at big pharma, we look at some of the awful, harmful things that are coming out of the pharmaceutical companies.
[04:00.000 --> 04:06.000]  And we look at their stranglehold on medicine that they get by using the government, by the influence that they purchase through the government.
[04:06.000 --> 04:17.000]  It's amazing to see natural things. Now they have a super honey. This is being reported in the mail online that has an amazing power to treat soldiers wounds and kill superbug infections.
[04:17.000 --> 04:27.000]  They say that Dr. Matthew Dryden, a consultant microbiologist at the New Hampshire Hospitals NHS Foundation Trust, said it will revolutionize wound care around the world.
[04:27.000 --> 04:33.000]  He said honey has been used for healing powers for thousands of years, although doctors favor penicillin and antibiotics.
[04:33.000 --> 04:40.000]  Now they find that this is much better, even treating wounds of returning soldiers. All I can say is, sweet.
[04:40.000 --> 04:45.000]  But we're going to talk about that. And you know, we should take a look at some things like medical marijuana.
[04:45.000 --> 04:53.000]  It has some very important, unique properties. But of course, nobody controls the patents to it, so it's demonized.
[04:53.000 --> 05:16.000]  We'll be right back. Stay tuned.
[05:23.000 --> 05:30.000]  You're protected by a Harvard Business School engineer, and it's revolutionary. You'll get 24-hour protection for just $14.99 a month.
[05:30.000 --> 05:37.000]  There are no hidden fees and no contracts. You'll save thousands. Plus, you're protected by their 100% money-back guarantee.
[05:37.000 --> 05:47.000]  Protect yourself against home invasions and break-ins. Order your SimplySafe system now and receive a wireless keychain remote, a $25 gift, free.
[05:47.000 --> 05:57.000]  So don't waste your time dealing with scum. Visit GetSimplySafe.com GetSimplySafe.com GetSimplySafe.com
[06:17.000 --> 06:28.000]  Welcome back to the Alex Jones Show. I'm David Knight, filling in for Alex. Alex will be joining us in the second hour.
[06:28.000 --> 06:36.000]  We're going to talk about some of the fear-mongering tactics that have been used in the last week by our government, trying to get everybody afraid.
[06:36.000 --> 06:43.000]  Afraid and running to them for protection. Afraid and telling them, do whatever you need to do to us. Just make us safe.
[06:43.000 --> 06:49.000]  Destroy the Constitution. Destroy our property. We don't care. Just make us safe.
[06:49.000 --> 06:55.000]  And this is a very pathetic, very pathetic situation, and we got some men on the street to back that up.
[06:55.000 --> 07:03.000]  Leanne McAdoo went out and talked to some people about what they thought about some of the revelations that were going on in and around Austin specifically.
[07:03.000 --> 07:15.000]  So we're going to cover that, but first there's some breaking news that came out of Breitbart and Fox News, talking about a sudden flood of asylum requests at the U.S.-Mexico border.
[07:15.000 --> 07:21.000]  It appears that the U.S. border with Mexico is now kind of operating like a speakeasy.
[07:21.000 --> 07:26.000]  If you come up and you say the proper magic words, you can get in. No problem.
[07:26.000 --> 07:32.000]  And those magic words are that you have a credible fear of drug cartels.
[07:32.000 --> 07:36.000]  Well, we're all afraid of the drug cartels. We're afraid of what they're doing to our country.
[07:36.000 --> 07:43.000]  We're afraid of the crime as well as the destruction of the Constitution that's been going on for decades under the war on drugs.
[07:43.000 --> 07:51.000]  The war on drugs started with Richard Nixon. Ronald Reagan put it on steroids, made it a no-zero tolerance law,
[07:51.000 --> 07:59.000]  filled up the prisons with nonviolent offenders, and then started releasing violent criminals into society because they couldn't build the prisons fast enough.
[07:59.000 --> 08:07.000]  And so as a result of the war on drugs, we now have a larger prison population than Communist China or the Soviet Union ever did.
[08:07.000 --> 08:12.000]  And of course, that's an absolute number. And that's not even in terms of a percentage,
[08:12.000 --> 08:17.000]  even though China has many times the number of people we do in a very authoritarian regime.
[08:17.000 --> 08:20.000]  It is nothing like the United States in terms of prison population.
[08:20.000 --> 08:25.000]  And most of the people are there because of drug offenses, because of their drug users.
[08:25.000 --> 08:32.000]  And most of the drug users are marijuana users, even though marijuana has many beneficial side effects.
[08:32.000 --> 08:40.000]  We were just talking before the break about a super honey that has been bioengineered called Serja Honey.
[08:40.000 --> 08:49.000]  And it's capable of stopping some of the superbugs that have been fatal, as well as cutting the number of infections by cesarean sections in half.
