[00:00:53.399 --> 00:00:55.080]  Okay.
[00:00:55.080 --> 00:00:56.981]  Here's what's happening right now.
[00:00:56.981 --> 00:01:01.924]  I've been getting prepared for this broadcast for hours today.
[00:01:01.924 --> 00:01:08.328]  And so much is breaking right as we go on air that I am basically speechless.
[00:01:08.328 --> 00:01:11.550]  That's not something I'm known for.
[00:01:11.550 --> 00:01:18.755]  We have really a particularly powerful broadcast lined up for you today.
[00:01:20.567 --> 00:01:26.653]  on this Wednesday, May 15th, 2019 global transmission.
[00:01:26.653 --> 00:01:38.083]  And we have Soph, the 14-year-old young lady whose parents have given her permission to take off from school today to give us a big exclusive live interview because she's not being scripted.
[00:01:38.083 --> 00:01:40.365]  She's not being handed talking points.
[00:01:40.365 --> 00:01:41.486]  She's extremely smart.
[00:01:42.756 --> 00:01:44.517]  And it's very refreshing.
[00:01:44.517 --> 00:01:47.698]  She probably has an IQ twice that of AOC.
[00:01:47.698 --> 00:01:53.441]  And so she's going to be joining us live, unscripted, on air today.
[00:01:53.441 --> 00:01:58.343]  And we look forward to that because the thought police over at BuzzFeed, you know, the villains,
[00:02:00.282 --> 00:02:05.105]  They've been running around tattletaling on her and trying to get her removed.
[00:02:05.105 --> 00:02:10.487]  And YouTube has been taking action and removing her videos, giving her strikes.
[00:02:10.487 --> 00:02:12.869]  And well, BuzzFeed says, good job.
[00:02:12.869 --> 00:02:17.711]  Now completely de-platform her for life.
[00:02:17.711 --> 00:02:21.193]  Get her web ID or Google ID and ban her.
[00:02:21.193 --> 00:02:23.114]  Do not let her talk.
[00:02:23.114 --> 00:02:24.395]  Shut her up.
[00:02:24.395 --> 00:02:27.297]  She's dangerous.
[00:02:27.297 --> 00:02:27.877]  Shut her up now.
[00:02:30.854 --> 00:02:35.056]  Again, Tucker Carlson said these people aren't scary or anything.
[00:02:35.056 --> 00:02:37.797]  It's the little girl.
[00:02:37.797 --> 00:02:39.277]  But I just said girl.
[00:02:39.277 --> 00:02:41.158]  That infers that some people might not be a girl.
[00:02:41.158 --> 00:02:45.139]  I'm not talking about her, but I just... Well, I just committed a thought crime.
[00:02:45.139 --> 00:02:47.680]  And you know, we can joke about this all day.
[00:02:47.680 --> 00:02:49.261]  These people are serious.
[00:02:50.819 --> 00:02:52.039]  They are the threat.
[00:02:52.039 --> 00:02:55.640]  You know, Hitler and the Soviet Union was the threat last century.
[00:02:55.640 --> 00:03:02.302]  We're definitely run by the bad guys at the universities and the Hollywood level.
[00:03:02.302 --> 00:03:04.342]  And more and more people are getting it.
[00:03:04.342 --> 00:03:13.504]  There's a very powerful article up on Infowars.com dealing with a man that they're calling Trump 2.0.
[00:03:13.504 --> 00:03:14.785]  And I was already familiar with him.
[00:03:14.785 --> 00:03:15.505]  I already knew what he did.
[00:03:15.505 --> 00:03:18.946]  He's Attorney General of Missouri, the show me state.
[00:03:18.946 --> 00:03:19.786]  And I was already a fan.
[00:03:21.616 --> 00:03:42.589]  But then I kind of went on a binge on Josh Hawley last night and this morning and probably watched two hours of him in Congress in speeches and I'm telling you, he'll give Ted Cruz or Rand Paul a big run for their money at 39 years old.
[00:03:42.589 --> 00:03:46.071]  This guy and people like him are the future.
[00:03:46.071 --> 00:03:49.453]  He's populist and he gets the fact that
[00:03:51.803 --> 00:03:59.370]  The Democrats are working with foreign governments and combines to act as governments to usurp our freedoms.
[00:03:59.370 --> 00:04:08.978]  And so this whole Brookings Institution, you know, libertarian type idea of get out of the way of corporations is suicide.
[00:04:10.285 --> 00:04:22.373]  Because if the corporations are working with the CHICOMS and the EU, by extension with regulations that we then go under, the government not getting involved is the same as the government ending free speech and getting involved.
[00:04:22.373 --> 00:04:26.436]  And it's simple little mind games the globalists play.
[00:04:26.436 --> 00:04:27.416]  Simple little mind games.
[00:04:27.416 --> 00:04:30.579]  You know, he's top of his class lawyer, whole nine yards.
[00:04:30.579 --> 00:04:34.461]  But you're going to hear his speeches, you're going to say, that sounds exactly like Alex Jones.
[00:04:34.461 --> 00:04:36.362]  That's exactly what Alex Jones is saying.
[00:04:36.362 --> 00:04:38.744]  Because it's what's going on.
[00:04:38.744 --> 00:04:39.645]  Anybody can look at
[00:04:40.555 --> 00:04:42.037]  A pink pig.
[00:04:42.037 --> 00:04:44.900]  And say that's a pink pig.
[00:04:44.900 --> 00:04:48.704]  Anybody can look at what the EU and the UN and Hollywood, the Democrats are doing.
[00:04:48.704 --> 00:04:49.825]  They're running roughshod.
[00:04:49.825 --> 00:04:52.207]  They're a bunch of tyrants.
[00:04:52.207 --> 00:04:54.129]  Lock their asses up, man.
[00:04:54.129 --> 00:04:54.530]  Jeez.
[00:04:54.530 --> 00:04:57.993]  I mean, this is survival we're talking about.
[00:04:57.993 --> 00:04:59.495]  Silicon Valley needs to be raided.
[00:05:00.543 --> 00:05:02.044]  Let's shut down our speech!
[00:05:02.044 --> 00:05:07.549]  We're at InfoWars.com and NewsWars.com, and we're defeating the leftist tyrants!
[00:05:07.549 --> 00:05:15.055]  I got mobbed on the streets by fans, but almost all of them said, we used to love you on air, it was so good to see you on the iTunes or on YouTube.
[00:05:15.055 --> 00:05:16.357]  Are you coming back?
[00:05:16.357 --> 00:05:17.498]  We're at InfoWars.com.
[00:05:18.078 --> 00:05:19.479]  We're at NewsWars.com.
[00:05:19.479 --> 00:05:21.740]  Paul Watson's launched his own Summit.News.
[00:05:21.740 --> 00:05:23.721]  We have our own videos, we have our own articles.
[00:05:23.721 --> 00:05:28.483]  They're trying to destroy us, but thanks to you and others having us on, InfoWars is still chugging along.
[00:05:28.483 --> 00:05:30.724]  So we're there, folks, tomorrow's news, today.
[00:05:30.724 --> 00:05:34.006]  InfoWars.com, man!
[00:05:34.006 --> 00:05:34.366]  Woo!
[00:05:37.097 --> 00:05:39.860]  InfoWars.com, because that's a bunch of people out here.
[00:05:39.860 --> 00:05:41.681]  I'm talking about InfoWars.com.
[00:05:41.681 --> 00:05:44.403]  I'm at InfoWars.com and NewsWars.com.
[00:05:44.403 --> 00:05:46.625]  We knew this censorship was coming forever.
[00:05:46.625 --> 00:05:50.148]  We have our own video streams, our own audio streams, and it's all free to air.
[00:05:50.148 --> 00:05:52.871]  Anybody can use it, re-upload it, do whatever you want.
[00:05:52.871 --> 00:05:55.293]  People go to InfoWars.com and NewsWars.com.
[00:05:55.293 --> 00:05:56.154]  That's where they find it.
[00:05:56.154 --> 00:05:58.115]  You know, there's things called websites.
[00:05:58.115 --> 00:05:58.536]  Just go there.
[00:06:08.050 --> 00:06:16.501]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:28.277 --> 00:06:46.901]  Well, the 14-year-old who's exploded in the last few months, with hundreds of millions of views on YouTube, a million subscribers, is the next person to be digitally crucified, then burned into ashes, and scattered to the four winds, like Winston Smith at the end of 1984.
[00:06:46.901 --> 00:06:57.123]  And she's going to be joining us, coming up, ladies and gentlemen, on the broadcast today.
[00:06:57.123 --> 00:06:57.783]  In the second hour.
[00:06:58.638 --> 00:07:07.183]  Mike Adams is going to be hosting the 4th Hour War Room after that, 3 o'clock central, with the great Owen Troyer.
[00:07:07.183 --> 00:07:09.324]  This is going to be a very important broadcast today.
[00:07:09.324 --> 00:07:28.136]  I've done a lot of research, a lot of preparation for the topics I want to get into and the points I want to make, and I really want to get these salvos out there, because if people listen, if people research, if they find out I'm telling the truth, and then if we take action collectively, it's bye-bye New World Order and hello prosperity!
[00:07:29.804 --> 00:07:43.926]  Because the globalists admit they have been purposely sabotaging, purposely demoralizing, and pumping cultural poison into the system because they can't run a free, open, virtuous people.
[00:07:45.114 --> 00:07:46.694]  I know that's really simple.
[00:07:46.694 --> 00:07:50.875]  A free people can't be enslaved by authoritarians.
[00:07:50.875 --> 00:07:54.176]  So they want us to be slaves.
[00:07:54.176 --> 00:08:06.158]  And the credo of slaves is ignorance, it's backbiting, it's stupidity, it's feeling like you're victims, so you lay down and die instead of overcoming.
[00:08:06.158 --> 00:08:09.298]  And there is a war against the middle of the country.
[00:08:09.298 --> 00:08:12.139]  And I don't just mean that geographically, there's that too.
[00:08:12.139 --> 00:08:13.219]  There is a war.
[00:08:14.045 --> 00:08:15.066]  And everybody already knows this.
[00:08:15.066 --> 00:08:20.590]  When I say this, you're going to say, Jones just said the grass is green.
[00:08:20.590 --> 00:08:30.717]  I know, but the enemy is obsessed with this, the enemy admits this, and now they've gotten so freaked out that we're fighting back that they've uncloaked themselves.
[00:08:30.717 --> 00:08:32.678]  Because they don't get how we operate.
[00:08:32.678 --> 00:08:34.299]  They've miscalculated.
[00:08:34.299 --> 00:08:36.401]  They've thrown a lot of kindling on this blaze.
[00:08:38.835 --> 00:08:42.597]  They want you to worship Hollywood.
[00:08:42.597 --> 00:08:45.098]  They want you to worship their emptiness.
[00:08:45.098 --> 00:08:48.400]  They want control of everything because they have no control.
[00:08:48.400 --> 00:08:50.721]  They want power because they don't have power.
[00:08:50.721 --> 00:08:51.922]  Inherently.
[00:08:51.922 --> 00:08:56.084]  No matter how much power they've got, it's like a colander, the water just pours out.
[00:08:56.084 --> 00:08:58.306]  It's like a boat with holes in it.
[00:08:58.306 --> 00:08:59.786]  And this happens throughout history.
[00:08:59.786 --> 00:09:00.767]  It's known psychology.
[00:09:03.123 --> 00:09:16.909]  And so the left runs the gambit from arrested development fools, low IQ minions, slaves, right up through mercenaries, control freaks, absolutely evil people.
[00:09:16.909 --> 00:09:18.769]  And it runs that spectrum.
[00:09:18.769 --> 00:09:24.792]  And we have to fully come to Jesus on that.
[00:09:24.792 --> 00:09:27.473]  And understand that we are blind.
[00:09:29.912 --> 00:09:33.533]  To the way they operate, because we don't think like that.
[00:09:33.533 --> 00:09:37.834]  We have a blind spot the size of the Grand Canyon.
[00:09:37.834 --> 00:09:47.877]  And once you finally understand, oh my God, there are really evil people in the world, and how they operate, then we can start beating them.
[00:09:47.877 --> 00:09:50.378]  And look, I know you know there's evil people.
[00:09:50.378 --> 00:09:58.900]  But you've got to realize that a lot of evil people aren't gonna climb in to your daughter's bedroom at night and slit their throat.
[00:09:59.744 --> 00:10:01.386]  Those psychos exist.
[00:10:01.386 --> 00:10:02.627]  I don't want to play that clip on Friday.
[00:10:02.627 --> 00:10:03.128]  I never played it.
[00:10:03.128 --> 00:10:03.708]  Let's cue that up.
[00:10:03.708 --> 00:10:06.652]  That's serial killer.
[00:10:06.652 --> 00:10:09.355]  For later in the hour.
[00:10:09.355 --> 00:10:18.585]  But there's a lot of other cowardly evil people that set up systems of corruption and oppression so they can get away with carrying it out in an institutional system.
[00:10:19.815 --> 00:10:34.023]  And then those of us that are trying to just have good country and healthy people and live a long time and love God and have justice and we believe in success and we like other people's success and we like our success because we're confident, we're strong, we come from, you know, good gene pools basically.
[00:10:34.023 --> 00:10:36.224]  We are blind to these people.
[00:10:36.224 --> 00:10:39.265]  But I'm telling you, once you've seen their ass, you're never blind again.
[00:10:39.265 --> 00:10:46.449]  And every fiber of your soul will be, get them off our back.
[00:10:46.449 --> 00:10:49.251]  So that's where I'm coming from here today is, I know you know this.
[00:10:52.039 --> 00:10:57.631]  But they're as evil as we thought they were and more.
[00:10:57.631 --> 00:11:01.579]  And they are seeking always to have power and control over us.
[00:11:04.246 --> 00:11:11.608]  And they want to extinguish what makes us great, because that greatness inherently threatens the corrupt, upside-down system they're trying to build.
[00:11:11.608 --> 00:11:13.568]  They can't have a successful America.
[00:11:13.568 --> 00:11:16.269]  They can't have successful race relations.
[00:11:16.269 --> 00:11:22.310]  They can't have good, strong families and culture, because that threatens their strategic takeover, and they admit that.
[00:11:22.310 --> 00:11:24.211]  And I know you know that!
[00:11:24.211 --> 00:11:32.473]  But every moment of every day, in everything we do, we have to remember they are literally out to get us.
