[00:00:01.130 --> 00:00:06.472]  I'm good.
[00:00:14.099 --> 00:00:16.520]  It's Friday, October 2nd.
[00:00:16.520 --> 00:00:17.240]  The year is 2020.
[00:00:17.240 --> 00:00:21.421]  We are 32 days out from the election.
[00:00:21.421 --> 00:00:29.644]  The deep state Democrats have said they will contest and they will try to drive the country into civil war, balkanization, even secession.
[00:00:29.644 --> 00:00:37.746]  And right on time, we learned that President Trump has tested positive for COVID-19 and so has his wife, Melania.
[00:00:39.534 --> 00:00:40.975]  Now let's talk about this.
[00:00:40.975 --> 00:00:51.702]  Many times I have said that one scenario would be the president getting COVID-19 near the election date and they could use that to try to put him under house arrest.
[00:00:51.702 --> 00:00:58.146]  How can the president again be put under quarantine and made to stay in one spot for 14 days?
[00:00:58.146 --> 00:01:08.393]  It's simply outrageous and it's part of the paralyzation of our economy where one person has COVID-19 in a meatpacking plant or a warehouse and they shut the whole thing down when the facts are 100% clear.
[00:01:10.275 --> 00:01:21.462]  COVID-19 has a lower death rate than the flu by many magnitudes when you take out the comorbidities of 94% of the people that died of COVID-19 really died of something else.
[00:01:21.462 --> 00:01:24.865]  But that's the facts and they don't want the facts to get in the way.
[00:01:24.865 --> 00:01:33.291]  All over Fox, CNN, oh we told you so, those of you that say COVID-19's a hoax, well you see that Trump and Melania have it.
[00:01:34.161 --> 00:01:37.663]  So it's always about there being more cases, not there being more death.
[00:01:37.663 --> 00:01:51.251]  But now that fall is here, and now that winter is coming, and people are indoors not getting vitamin D3 from the sun, you're going to see the regular flu deaths, the pneumonia deaths, the cold deaths of old people that will be put in the COVID-19 column.
[00:01:51.251 --> 00:01:53.653]  But here's the big takeaway, and here's some of the articles.
[00:01:53.653 --> 00:01:54.853]  They're at Infowars.com.
[00:01:54.853 --> 00:01:57.915]  We'll break down more in the next segment.
[00:01:57.915 --> 00:02:01.377]  No one else asked this question as of us publishing this about an hour ago.
[00:02:01.377 --> 00:02:01.778]  No one.
[00:02:01.778 --> 00:02:02.278]  I searched it.
[00:02:02.278 --> 00:02:03.459]  I got up at 4.30 this morning.
[00:02:04.591 --> 00:02:05.719]  My phone was ringing off the hook.
[00:02:06.676 --> 00:02:14.080]  I'd gone to sleep last night, had missed Trump's tweet at like 11.55, that he and Melania had tested positive, supposedly, for COVID-19.
[00:02:14.080 --> 00:02:20.784]  I wake up 4.30, my phone is loaded with text messages and calls saying, President Trump and Melania have COVID-19.
[00:02:20.784 --> 00:02:22.445]  No, they've tested positive for it.
[00:02:22.445 --> 00:02:25.707]  So I searched, hey, is it a false positive?
[00:02:25.707 --> 00:02:35.993]  No one even asked that question until Paul Joseph Watson and I put this article out on Infowars.com, which is scary because remember, you'd hear whole football teams had it and it was all false positives?
[00:02:36.971 --> 00:02:37.371]  Remember that?
[00:02:37.371 --> 00:02:40.092]  Or you'd hear a whole school had it, that they were all false positives.
[00:02:40.092 --> 00:02:44.914]  Even the New York Times had to admit that upwards of 90% of the tests are false positives.
[00:02:44.914 --> 00:02:45.574]  Simply incredible.
[00:02:45.574 --> 00:02:46.454]  So here's the headline.
[00:02:46.454 --> 00:02:49.955]  Could Trump's coronavirus test be a false positive?
[00:02:49.955 --> 00:02:52.536]  And it goes over the history and the evidence of it.
[00:02:52.536 --> 00:02:53.797]  What an important article.
[00:02:53.797 --> 00:02:55.557]  We'll cover more next segment.
[00:02:55.557 --> 00:02:56.678]  Meanwhile, you knew this was coming.
[00:02:57.563 --> 00:03:02.145]  Leftists claim Trump faked his coronavirus infection.
[00:03:02.145 --> 00:03:04.146]  And I think it's fine to always question things.
[00:03:04.146 --> 00:03:05.446]  Does he have a motive?
[00:03:05.446 --> 00:03:07.727]  Does he want to be locked down for 14 days?
[00:03:07.727 --> 00:03:13.290]  The deep state and Democrats have used COVID-19 to keep things locked down and the economy to try to stop Trump rallies.
[00:03:13.290 --> 00:03:16.831]  But their BLM rallies and other rallies are supposedly okay.
[00:03:16.831 --> 00:03:20.052]  Trump does not have a motive to say he has COVID-19.
[00:03:20.052 --> 00:03:23.114]  I'll talk about what I believe has probably happened more in the next segment.
[00:03:24.673 --> 00:03:35.797]  Democrats are certainly welcome, and I think it's reasonable to question any government official, any agency, any corporation, any big group, or any individual, and say, there's a history of lying.
[00:03:35.797 --> 00:03:39.339]  There's a history of people staging that they've been attacked, or that they're sick.
[00:03:39.339 --> 00:03:53.625]  And so it's totally reasonable, with all the fake folks that say they have cancer, that do GoFundMes, and all the babies in incubators being killed by Saddam that didn't exist, and all the Jussie Smollett's, and all the Bubba Wallace's, and all of that going on,
[00:03:54.565 --> 00:04:08.630]  To say, did Trump stage this to get sympathy, to make himself look human, to counter-strike against all those that say he's the guy that ignored COVID so he made it worse than it was, but now that he's got it, he's one of us.
[00:04:08.630 --> 00:04:11.550]  I've looked at the calculus and I don't believe that that's what happened.
[00:04:11.550 --> 00:04:12.631]  This hurts Trump.
[00:04:12.631 --> 00:04:13.431]  It doesn't help Trump.
[00:04:13.431 --> 00:04:15.472]  Plus, I know how Trump operates.
[00:04:15.472 --> 00:04:18.993]  He is neurotically pragmatic and by the book.
[00:04:19.773 --> 00:04:20.274]  I don't know.
[00:04:35.455 --> 00:04:35.675]  And perhaps...
[00:05:00.762 --> 00:05:15.892]  Most cruelly of all, if Donald Trump has his way, the complications from COVID-19, which are well beyond what they should be, it's estimated that 200 million people have died.
[00:05:15.892 --> 00:05:20.755]  200 million people have died, probably by the time I finish this talk.
[00:05:21.354 --> 00:05:33.079]  Right after Joe Biden made that statement that more than 60% of America has died from COVID-19, when it's not even 200,000 in reality, he went on to say 6 million have lung scarring and heart damage.
[00:05:33.079 --> 00:05:34.140]  It's all made up.
[00:05:34.140 --> 00:05:34.980]  But you know where he got it?
[00:05:34.980 --> 00:05:38.161]  The mainstream media that continues to actually say things like that.
[00:05:38.161 --> 00:05:39.202]  They said that
[00:05:41.273 --> 00:05:43.015]  Would be dead already.
[00:05:43.015 --> 00:05:48.058]  Of course it's .0000 and then add a number because the numbers vary.
[00:05:48.058 --> 00:05:52.642]  It's a real virus just like people being struck by lightning is real.
[00:05:52.642 --> 00:05:57.626]  But to shut down society over lightning strikes is hysteria and is mind control.
[00:06:11.937 --> 00:06:15.959]  It's Friday, October 2nd, 2020.
[00:06:15.959 --> 00:06:20.100]  We're 32 days out from the election.
[00:06:20.100 --> 00:06:35.066]  And we've got exclusive, beyond bombshell, game-changing, world-event-defining, chill-up-and-down-the-back-of-your-spine-level information, if people will just listen to me.
[00:06:36.348 --> 00:06:51.003]  And if we can just get Tucker Carlson to talk about this, and Sean Hannity, and Rush Limbaugh, and Glenn Beck, and Senator Cruz, and Senator Paul, especially Medical Doctor, we can save America and the world.
[00:06:51.003 --> 00:06:52.664]  You knew there'd be a dirty trick.
[00:06:53.592 --> 00:06:56.113]  30-something days out from the election.
[00:06:56.113 --> 00:06:57.154]  And I'm on record.
[00:06:57.154 --> 00:06:58.214]  The crew's digging it up.
[00:06:58.214 --> 00:07:10.559]  We'll have it later in the broadcast, here on this Friday edition, where I said they could use a false positive COVID test on the president to lock him down, and that I predicted they'd do it in and around the election.
[00:07:10.559 --> 00:07:13.261]  I also said they could give him a weaponized strain.
[00:07:13.261 --> 00:07:16.862]  When I came in this morning, the crew reminded me of that, and again, they're digging it out.
[00:07:16.862 --> 00:07:18.223]  But look, that's just a scenario.
[00:07:18.223 --> 00:07:22.785]  That's just analysis of a probability, of a possibility, knowing the MO.
[00:07:23.905 --> 00:07:26.207]  Doesn't matter.
[00:07:26.207 --> 00:07:32.271]  Listen to me very, very, very, very carefully.
[00:07:32.271 --> 00:07:42.918]  Not only do we have proof that this is almost certainly a false positive, and I'll present it in a moment, but then if we don't get Trump to understand that, and if he goes the Boris Johnson victim route,
[00:07:43.806 --> 00:07:53.111]  And plays along with it, it will only help intensify the lockdown and let the deep state blame Trump for the COVID-19 deaths, which are really China's fault that they've already been hyping.
[00:07:53.111 --> 00:07:59.015]  So let me break down this political calculus, this political trigonometry, if you want to win.
[00:07:59.015 --> 00:08:02.877]  Now let's get into it right now.
[00:08:02.877 --> 00:08:04.578]  These articles are on Infowars.com.
[00:08:04.578 --> 00:08:05.699]  They've got all the links proving it.
[00:08:05.699 --> 00:08:08.080]  Then I'll go over the actual original articles for you right after that.
[00:08:10.168 --> 00:08:13.329]  Could Trump's coronavirus test be a false positive?
[00:08:13.329 --> 00:08:17.531]  Paul Joseph Watson, Alex Jones, Infowars.com.
[00:08:17.531 --> 00:08:23.713]  As of 6 o'clock in the morning when we got this article out, no one else had asked the question, even though it came out last night.
[00:08:25.339 --> 00:08:26.900]  It's not about us being cutting edge.
[00:08:26.900 --> 00:08:28.500]  That's scary.
[00:08:28.500 --> 00:08:36.983]  Whole football teams, I'll show you the articles, and whole groups of sports teams would test positive, and then they'd go get tested again, and they'd all be negative.
[00:08:36.983 --> 00:08:39.444]  But they'd make them get two more tests to prove it.
[00:08:39.444 --> 00:08:40.924]  Three in a row.
[00:08:40.924 --> 00:08:42.765]  Some teams, four in a row.
[00:08:42.765 --> 00:08:43.525]  Five in a row.
[00:08:43.525 --> 00:08:46.326]  I'll show you the articles, but you remember that.
[00:08:46.326 --> 00:08:50.347]  So, they now admit 90% of the average tests are false positive.
[00:08:50.347 --> 00:08:54.529]  The new rapid reaction test that Trump got convinced to put out, that the White House uses?
[00:08:55.828 --> 00:08:58.753]  They're saying they may be like 98% false positive.
[00:08:58.753 --> 00:09:01.657]  So, think about that.
[00:09:01.657 --> 00:09:09.450]  This is all hidden in plain view, that almost everyone is false positive, but on this test, we don't even hear, let's get a second opinion.
[00:09:10.421 --> 00:09:11.242]  That's the first thing you do.
[00:09:11.242 --> 00:09:15.124]  They tell you you have cancer or you've got something else or you've got a venereal disease.
[00:09:15.124 --> 00:09:16.225]  You go get a second opinion.
[00:09:16.225 --> 00:09:26.952]  They're telling the most important person in the world, the leader of the free world, that he's got something and he's got to just go away for 14 days in the homestretch of a campaign and kill his ground game.
[00:09:26.952 --> 00:09:28.594]  This helps America's enemies.
[00:09:28.594 --> 00:09:32.676]  And China is laughing at us saying, oh, look, it's our fault.
[00:09:32.676 --> 00:09:35.819]  The Democrats are calling it the Trump virus.
[00:09:35.819 --> 00:09:38.881]  And no one in his own campaign is getting other doctors in.
[00:09:40.188 --> 00:09:40.588]  I don't know.
[00:10:04.787 --> 00:10:07.048]  Well, how did he fake it if they went and tested him?
[00:10:07.048 --> 00:10:18.535]  But there's a kernel of truth there, because if almost all these tests are false positive, if 9 out of 10 times they're false positive, well then, you'd be reasonable to say it's a fake test.
[00:10:18.535 --> 00:10:27.521]  90% chance, conservatively, it is a false positive, but asking that question is evil and horrible, and the media spins it, well, Jones is saying COVID-19's a hoax.
[00:10:27.521 --> 00:10:28.601]  No, it's not.
[00:10:28.601 --> 00:10:33.945]  It's a man-made virus, game of function, Fauci, Bill Gates, even mainstream news, Newsweek, AP reported.
[00:10:34.705 --> 00:10:37.848]  So they can own it and patent it and control it, and there are worse strains out there.
[00:10:37.848 --> 00:10:40.671]  But compared to many other flus and things, it's not that deadly.
[00:10:40.671 --> 00:10:56.548]  But it does spread, so people get tested positive, so they can then be identified and be told they've got to be contact traced, got to have apps on your phone, got to have a social credit score, got to shut society down, got to bring in the carbon tax, got to have the Great Reset the Davos Group is openly talking about.
[00:10:58.442 --> 00:10:59.563]  Do I think Trump staged this?
[00:10:59.563 --> 00:10:59.743]  No.
[00:10:59.743 --> 00:11:01.184]  This hurts Trump.
[00:11:01.184 --> 00:11:02.224]  This hurts the recovery.
[00:11:02.224 --> 00:11:03.205]  This hurts America.
[00:11:03.205 --> 00:11:07.007]  This helped shut him down with just 32 days left.
[00:11:07.007 --> 00:11:10.609]  Now let's go into those articles that I just mentioned.
[00:11:10.609 --> 00:11:11.650]  These are all mainstream news.
[00:11:12.682 --> 00:11:18.446]  Up to 90% of those who tested positive for COVID-19 wrongly diagnosed.
[00:11:18.446 --> 00:11:22.148]  And even Lancet Medical Journal is saying that.
[00:11:22.148 --> 00:11:27.452]  Trump administration's new rapid coronavirus test plagued by confusion and lack of planning.
[00:11:27.452 --> 00:11:31.715]  Washington Post, and it says most of them are false positives.
[00:11:31.715 --> 00:11:33.456]  Here's the New York Times.
[00:11:33.456 --> 00:11:35.137]  Your coronavirus test is positive.
