[00:00.000 --> 00:10.000]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[00:10.000 --> 00:15.000]  Yeah, yeah, yeah. In Fort Worth dot com, yeah.
[00:15.000 --> 00:35.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:45.000 --> 01:06.000]  Ladies and gentlemen, thank you so much for joining us on this live Sunday edition already the 13th day of this month, 13th day of April, 2014.
[01:06.000 --> 01:17.000]  I can certainly say without a doubt that we have turned a major page in the revolution to restore our Republic. We've turned a major corner.
[01:17.000 --> 01:39.000]  What happened in Southern Nevada, right on the border with Arizona is so unprecedented modern times, such pure crystalline Americana and so real.
[01:39.000 --> 01:49.000]  And of course, the enemy will say, oh, the BLM just back down one spot. Yes, but the fact is, if you let one aunt stand up, they might all stand up.
[01:49.000 --> 02:02.000]  Those puny little ants outnumber us 100 to one. And if they ever figure that out, there goes our way of life. In fact, maybe the start of the next segment if we have time, we should play the ants intro.
[02:02.000 --> 02:09.000]  And maybe later the FIFA Vendetta one, because I mean, that's what it's all about here. And you've got to weigh each situation.
[02:09.000 --> 02:16.000]  But this is so unspeakably amazing. I want to try to calmly when we come back and all the angles of it.
[02:16.000 --> 02:20.000]  It's an issue of the mainstream media dying. It's an issue of the government not having credibility.
[02:20.000 --> 02:30.000]  It's an issue of the fact they tried a lot of the public and said he didn't have any property rights to it when they had the surface forage and water rights since 1877.
[02:30.000 --> 02:40.000]  The BLM tried to buy his land a decade ago because he did have rights. He just didn't physically own it. He had the grazing rights and they played on public ignorance.
[02:40.000 --> 02:54.000]  Even Fox News put out reports. I couldn't believe it watching it yesterday and the day before and even some mainline conservative talk show host acting like Bundy was cheating the taxpayer not paying grazing rights.
[02:54.000 --> 03:05.000]  When he is great, great, great, great was it said six generations ago, seven generations he said. It was seven generations ago when that wasn't even a territory.
[03:05.000 --> 03:12.000]  And they went out there. That's when they got the rights and the public is just so ignorant about law.
[03:12.000 --> 03:21.000]  And there's the law of the gun now with government. The government had a bunch of guns and when I saw the paramilitary BLM they called out in the confrontation that happened yesterday.
[03:21.000 --> 03:30.000]  The historic standoff. They looked like serious paramilitaries, not like normal BLM and they were all ready and they looked eager to start shooting people.
[03:30.000 --> 03:43.000]  Just a simple bloodlust. But I do know a lot of police and people here in Austin. I ran into two yesterday strangely enough that were following our Facebook, following others, watching the videos online.
[03:43.000 --> 03:52.000]  And we're just so happy that the citizens didn't get shot up in a firefight or the BLM, but we're rooting for the people. Just the two cops I ran into yesterday.
[03:52.000 --> 04:05.000]  I talked to somebody else who ran into a cop and heard them listening to my show off duty as a security guard, listening to the show.
[04:05.000 --> 04:17.000]  And they said, oh, you listen to Alan Jones? Oh, yeah, I'm so glad this didn't end violently. This is such a big deal. I mean, I'll break it all down and tell the truth of what really happened when we come back.
[04:17.000 --> 04:27.000]  And then I'm going to get into all the other news and there's a lot of it. The situation in Ukraine has now turned into a civil war as the globalist planned, old fashioned order out of chaos.
