[00:00.000 --> 00:25.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:25.000 --> 00:44.000]  The quickening is here. There's no doubt about that. We're live broadcasting worldwide.
[00:44.000 --> 00:50.000]  It's Sunday, December 9th, 2018. I am your host, Alex Jones.
[00:50.000 --> 00:56.000]  We'll be here for the next two hours as we are every Sunday, live, 4 to 6 p.m. Central.
[00:56.000 --> 01:06.000]  And of course, there's always, especially produced hour-long counterthink with Mike Adams that comes on right after this transmission on the TV and radio satellites
[01:06.000 --> 01:16.000]  and also streamed out at infowars.com forward slash show and the folks watching at PrisonPlanet.tv.
[01:16.000 --> 01:23.000]  You know, people ask why I get so angry and why I work so hard, and it's the old classic statement because it's true.
[01:23.000 --> 01:28.000]  It's why anybody stands up. I love my children.
[01:28.000 --> 01:38.000]  And I know that the globalists are building a world that is very oppressive and very anti-human
[01:38.000 --> 01:47.000]  and that sees us as basically obsolete. That's just the excuse of these robber barons to want total absolute control over everyone's lives.
[01:47.000 --> 01:52.000]  They want the final revolution.
[01:52.000 --> 02:00.000]  And I was sitting back today thinking about why they target infowars and why they're so scared of it.
[02:00.000 --> 02:10.000]  And it's simple. There's a war on men. There's a war on nationalism. There's a war on resistance. And who's going to resist a big global authoritarian takeover?
[02:10.000 --> 02:17.000]  Historically. It's men that tend to organize and lead against it.
[02:17.000 --> 02:27.000]  And that's why Gavin McGinnis, right after Glenn Beck took over CRTV, I know the inside baseball, that's why he got kicked off the air.
[02:27.000 --> 02:35.000]  And that very day he got kicked off the FBI so they can't get sued, said, actually, we never said he was an extremist group, but the Proud Boys were bad.
[02:35.000 --> 02:46.000]  But it didn't matter. They'd already had leftist FBI, tell the media that, so that just saying you're an extremist, you get banned off Facebook, Twitter, YouTube, everywhere else.
[02:46.000 --> 02:48.000]  So that's how this operates. What was his crime?
[02:48.000 --> 02:55.000]  Say, we believe the nation state exists. We believe that men have a right to be men. They were inclusive to all men.
[02:55.000 --> 03:07.000]  And it's fraternal order of men, not men watching football, not men watching basketball, not men being led around by their nose, by their so-called feminist wife that really just gets orders from the government.
[03:07.000 --> 03:18.000]  But no, just men being men, that is incredibly frightening to the globalist and having nationalist movements letting people get organized and come together.
[03:18.000 --> 03:29.000]  And that is extremely frightening because if you can't let men organize and you won't let them get together, well, then you've got total checkmate over the civilization and over the population.
[03:29.000 --> 03:35.000]  And that's why there's a war on men because there's a war on the family. There's a war on the individual.
[03:35.000 --> 03:43.000]  And there is a system where now the state becomes the pimp, the pimp daddy of the women, women of the house slaves.
[03:43.000 --> 03:50.000]  I'm not saying women are the house slaves. I'm not saying women are even buying this, but this is the big goal is to divide men and women from each other.
[03:50.000 --> 03:59.000]  And if you can do that, as a species, we're done. So this is full spectrum dominance that we're facing, period.
[03:59.000 --> 04:08.000]  So we'll talk about some of that today. We're going to have Gavin McGinnis on the show here in the next few days, but make no mistake, ladies and gentlemen,
[04:08.000 --> 04:15.000]  the establishment is making their move ahead of some very, very big events.
[04:15.000 --> 04:24.000]  Now, the Democrats and the incoming head of the House Intelligence Committee have made open announcements that they have a plan to arrest President Trump.
[04:24.000 --> 04:31.000]  That's right. Now, they can't really do that in the Constitution. They don't care. There's a lot of stuff they do that isn't in the Constitution.
[04:31.000 --> 04:43.000]  And, chef, Trump may face real prospect of jail times, the quote. All this as we learned that the president has been dead on, that Comey perjured himself hundreds of times before Congress has been caught perjuring himself
[04:43.000 --> 04:48.000]  after his new closed-door testimony in the transcript that was released. He had to admit he lied.
[04:48.000 --> 05:00.000]  So much more coming up today and the fall of the New World Order starting in Europe, we predicted straight ahead as well. We have reporters on the ground in Paris.
