[00:00.000 --> 00:20.000]  It's for Wars, tomorrow's news, today.
[00:30.000 --> 00:59.000]  Just two weeks ago, and then another week ago, the puppet president promised we would not see any images that resembled the fall of Saigon in 1975.
[00:59.000 --> 01:03.000]  But maybe we should probably go to YouTube and type that in.
[01:03.000 --> 01:10.000]  Helicopter Airlift Saigon 1975 and then compare the two together.
[01:10.000 --> 01:13.000]  In fact, there it is on Twitter. They're basically identical.
[01:13.000 --> 01:29.000]  They're still using the Chinooks from Vietnam to do it. They still can't make a better helicopter design the 1950s. It goes 200 miles an hour and can pick people up off the side of a cliff or a mountain.
[01:29.000 --> 01:33.000]  Pretty amazing. And there are the images for TV viewers, radio listeners.
[01:33.000 --> 01:56.000]  It's all posted on infowars.com. People scrambling for dear life. After 20 years and $2 trillion spent to create this United Nations utopia of love and kindness and goodness, it's all been a giant fraud to get the opium.
[01:56.000 --> 02:05.000]  It's all been a giant scam to secure the country for China so they can get trillions of dollars in rare earth minerals out of the country.
[02:05.000 --> 02:12.000]  And now China is moving in to replace the United States as the new empire to take control, but they don't need to use any violence.
[02:12.000 --> 02:26.000]  They'll just simply buy off the Taliban. They're trying to blame President Trump for what has happened, but he had a completely different plan of withdrawal.
[02:26.000 --> 02:35.000]  This has been a panic withdrawal, almost as if they wanted this to happen on purpose.
[02:35.000 --> 02:44.000]  Helicopters are evacuating staff from the U.S. Embassy in Kabul as the Taliban entered the Afghan capital from all sides.
[02:44.000 --> 02:55.000]  Watch hundreds of U.S. citizens scramble aboard C-17 as Taliban ready to declare Islamic Emirate of Afghanistan, which China has already recognized.
[02:55.000 --> 03:01.000]  Former CIA officer, the most infamous and devastating press conference ever held by an American president.
[03:01.000 --> 03:17.000]  Twenty years of war in Afghanistan has cost the U.S. taxpayer over $2.2 trillion, which of course was the plan, a giant cash machine of U.S. taxpayer money directly into globalist coffers.
[03:17.000 --> 03:20.000]  Again, you can watch the footage at infowars.com.
[03:20.000 --> 03:27.000]  U.S. choppers evacuate Kabul Embassy as Blinken defiantly rejects Vietnam pullout comparisons.
[03:27.000 --> 03:34.000]  Talk about gaslighting. The Afghan president has fled the country as the Taliban enter the capital.
[03:34.000 --> 03:44.000]  The Biden relaxes on vacation, while Saigon moment looms in Afghanistan, and it's all ready here.
[03:44.000 --> 03:53.000]  That's just some of the news we're going to be covering, like this important John Bound report that's coming up next segment.
[03:53.000 --> 04:00.000]  Afghanistan falls. Biden fails. That's coming up.
[04:00.000 --> 04:08.000]  But we've got some really big news other than this today, as important as this is, and as predictable as this was.
[04:08.000 --> 04:17.000]  I haven't said last year that if Trump wasn't careful, it could end up looking like the fall of Saigon in 1975.
[04:17.000 --> 04:25.000]  Because the whole thing was a mistake to ever go in there to begin with. Much less stay there. And to act like it's a victory for the Taliban to take over the place that they've been in control of,
[04:25.000 --> 04:28.000]  because they're from there for thousands of years, is also a misnomer.
[04:28.000 --> 04:34.000]  But this is really emblematic of a collapsing empire now turning inward on itself.
[04:34.000 --> 04:50.000]  Turns out, info wars trended yesterday and today on Twitter and other places, because NBC and others ran a headline, we'll cover when we first get back,
[04:50.000 --> 04:55.000]  saying that if you protest any form of COVID restriction, you are a terrorist.
[04:55.000 --> 05:00.000]  Well, that's in the official U.S. government policy, but now they're announcing it.
[05:00.000 --> 05:06.000]  So when I first started taking survival skills, basically I was 275 pounds overweight.
[05:06.000 --> 05:13.000]  I had brain fog like you wouldn't believe. I was barely holding onto a job, and I heard Dr. Group on your show, and I listened to it.
[05:13.000 --> 05:16.000]  So the first one I got was the original survival shield, the X1.
[05:16.000 --> 05:19.000]  And it worked pretty good. And then shortly thereafter, you came out with that.
[05:19.000 --> 05:23.000]  You had, you know, with the deep burdens, tourists, you know, and I got really excited about that, so I took it.
[05:23.000 --> 05:30.000]  And then in two weeks, I went from brain fog to like literally like my brain was enlightened.
[05:30.000 --> 05:33.000]  You know, I could think again, I could connect with people again.
[05:33.000 --> 05:39.000]  And over the course of the next couple of years, I got my health back and I religiously take basically all of your supplements.
[05:39.000 --> 05:41.000]  They're all absolutely amazing supplements.
[05:41.000 --> 05:47.000]  The one I like recently is knockout literally like if you want to sleep, just take it. It's amazing. It works.
[05:47.000 --> 05:53.000]  But anyway, so the point is we have to get ourselves clean. We have to break free of the globalist system.
[05:53.000 --> 05:56.000]  And the only way to do that is to take our own health into our own hands.
[05:56.000 --> 05:59.000]  Beautifully said, brother. I thank you so much for calling Godspeed.
[05:59.000 --> 06:02.000]  From the front lines of the Information War, it's Alex Jones.
[06:30.000 --> 06:34.000]  It's Sunday, August 15th of the year.
[06:34.000 --> 06:37.000]  It's 2021.
[06:37.000 --> 06:46.000]  I'm your host, Alex Jones, and I'm very blessed to be here with you live on air this evening, broadcasting worldwide.
[06:46.000 --> 06:58.000]  Now, let's go ahead and put on screen for everybody something that came from an NBC News program on NBC National Friday evening.
[06:58.000 --> 07:04.000]  Now, when this went out on the news, they also announced this, we have the video clip.
[07:04.000 --> 07:10.000]  People were pretty shocked because it is an extremely authoritarian statement.
[07:10.000 --> 07:14.000]  Then the left began to say on Twitter and Instagram that it wasn't true.
[07:14.000 --> 07:19.000]  And I've got those printouts here as well.
[07:19.000 --> 07:26.000]  And they said it can't be true because Alex Jones can't be right again. How could this be?
[07:26.000 --> 07:39.000]  And then I saw massive, massive numbers of tweets and comments just explode out saying Jones must be in the CIA.
[07:39.000 --> 07:43.000]  How did he know this? So we can put that back on screen please.
[07:43.000 --> 07:47.000]  For radio listeners, I'm going to go ahead and I'm going to read this for everybody.
[07:47.000 --> 08:03.000]  Potential terror threats, opposition to COVID measures, claims of election fraud, belief Trump can be reinstated, 9-11 anniversary and religious holidays.
[08:03.000 --> 08:09.000]  Now, where is there evidence that people that want to reinstate Trump or question the election are going to blow stuff up?
[08:09.000 --> 08:17.000]  And where is there evidence that people protesting masks that don't work and experimental vaccines that don't work and make people sick?
[08:17.000 --> 08:23.000]  Where is there evidence that we're terrorists, much less that we're the number one terror threat?
[08:23.000 --> 08:32.000]  So again, for all those new viewers and all those new listeners, let me show you where I got this.
[08:32.000 --> 08:36.000]  I didn't get it from the CIA. I didn't get it out of a crystal ball.
[08:36.000 --> 08:40.000]  I didn't learn about this from a fortune cookie.
[08:40.000 --> 08:53.000]  I learned about it two months ago when they issued the new official policy of the Biden administration, the National Strategy for Conducting Domestic Terrorism.
[08:53.000 --> 08:58.000]  The National Strategy for Countering Domestic Terrorism.
[08:58.000 --> 09:07.000]  That's really what they're doing is conducting terrorism against us with the Chinese bio-weapon that their controllers released to take control of the United States.
[09:07.000 --> 09:14.000]  So this was put out in June and I covered it every day that I was on air since then.
[09:14.000 --> 09:19.000]  Every day. Every day. I'm on the air seven days a week now.
[09:19.000 --> 09:25.000]  Every show, I showed you this and I said, this is the holy grail of what's coming.
[09:25.000 --> 09:30.000]  This is totally illegal, extremely dangerous, completely out of control.
[09:30.000 --> 09:35.000]  But see, the average person online thinks it's voodoo to know anything.
[09:35.000 --> 09:47.000]  So they thought I must have magically just thought this up on my own or I'm in the CIA as if people in the CIA know anything.
[09:47.000 --> 09:49.000]  That's a low-level criminal organization.
[09:49.000 --> 09:58.000]  So here it is. Opposition to COVID measures is terrorism. Claims of election fraud is terrorism.
[09:58.000 --> 10:02.000]  Belief that Trump can be reinstated is terrorism.
[10:02.000 --> 10:10.000]  Now you can go read the June 2021 document for yourself.
[10:10.000 --> 10:18.000]  And I'm going to be going over all this because they plan to implement this and I'm going to explain how they're going to do it and how they're going to bankrupt you and take everything you've got to destroy your life.
[10:18.000 --> 10:22.000]  Unless you wake up and say no. This is a real globalist takeover.
[10:22.000 --> 10:31.000]  But first, a very important report on the fall of Afghanistan by design by the Puppet and Chief Biden.
[10:31.000 --> 10:38.000]  Similar to the 7.2 magnitude earthquake that rocked Haiti.
[10:38.000 --> 10:42.000]  That massive 7.2 earthquake leaving hundreds dead.
[10:42.000 --> 11:03.000]  The Taliban is a force of nature causing tectonic shifts under a crumbling Biden administration led by the NOS by incompetent Defense Department bigwigs that have mismanaged the effort in Afghanistan from day one destroying the lives of countless American soldiers.
[11:03.000 --> 11:17.000]  The United States will continue to support consular services and that includes the processing and operations of the special immigrant visa program and will continue to engage in diplomacy with the Afghan government and the Afghan people.
[11:17.000 --> 11:21.000]  Additionally, we will continue our focus on counterterrorism.
[11:21.000 --> 11:46.000]  Regardless of Biden's half-baked prediction, is the Taliban takeover of Afghanistan now inevitable? No, it is not. Because you have the Afghan troops have 300,000 well equipped as well as equipped as any army in the world and an Air Force against something like 75,000 Taliban.
[11:46.000 --> 12:01.000]  It is not inevitable. I was up in that pass where Osama bin Laden was allegedly escaped or out of harm's way. We went for two reasons.
[12:01.000 --> 12:20.000]  One, two. In just nine days, the Taliban took control of more than half of Afghanistan's provinces and as Biden has done when it comes to the border, the economy and COVID.
[12:20.000 --> 12:35.000]  Biden blamed the Trump administration for the chaos in Afghanistan while Trump responded to the mischaracterization. As Biden's globalist mouthpiece, Jen Psaki revealed just how disconnected this administration is.
[12:35.000 --> 12:40.000]  The Taliban also has to make an assessment about what they want their role to be in the international community.
[12:40.000 --> 12:59.000]  Anyone with any recollection will recall that the Trump administration bombed the Taliban to the negotiating table as the New York Post recounted after warning Taliban leader Hibbatullah Akhanzada that he would come back and hit you harder than any country has ever been hit.
[12:59.000 --> 13:13.000]  If he welched on the deal, Trump made good on his threat and launched punishing airstrikes the first time the Taliban violated the agreement. Since then, not a single U.S. soldier has died in combat in Afghanistan.
[13:13.000 --> 13:29.000]  That they had to kill people in order to put themselves in a little better negotiating position. When they did that, they killed 12 people. One happened to be a great American soldier and we've hit the Taliban harder in the last four days than they've been hitting over 10 years.
[13:29.000 --> 13:45.000]  Biden, who has always regarded himself as a foreign policy genius, is now frantically upping the ante, increasing troops from 3,000 to 5,000 in order to avoid what could be his Saigon moment.
