[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[00:22.000 --> 00:39.000]  Live from the InfoWars.com Studios, it's Alex Jones.
[00:39.000 --> 00:47.000]  Well, if you're a TV viewer, you can see a satellite HD shot of our little spaceship we call Earth here.
[00:47.000 --> 00:57.000]  We've got amazing power that by 1943, the US government had produced the first atomic bombs.
[00:57.000 --> 01:06.000]  They've been on the drawing board since the 1890s by Max Planck and others, but they were then a reality and you know the rest is history.
[01:06.000 --> 01:16.000]  And of course, those weapons are quite weak compared to some of the other even more deadly weapons that have been developed by the United States.
[01:16.000 --> 01:20.000]  And some evidence shows that Russia and China may also have them.
[01:20.000 --> 01:24.000]  One class of them is the antimatter bomb.
[01:24.000 --> 01:31.000]  Of course, there's space-based DU, Shabo meteor guns, and other very serious issues.
[01:31.000 --> 01:38.000]  There are neutron bombs that destroy life but not infrastructure.
[01:38.000 --> 01:55.000]  And then of course, there are X-ray laser arrays. Let's just say this, there is a lot of stuff in space and a lot of stuff on the ground and in the ocean that launches from the surface and goes up into space.
[01:55.000 --> 02:04.000]  So when you're looking at a hydrogen bomb or an atomic bomb before that, you're kind of looking at the blunderbust compared to the Howitzer.
[02:04.000 --> 02:08.000]  And then it just goes up in magnitudes from there.
[02:08.000 --> 02:17.000]  But what you're seeing is a massive conventional World War II style invasion of Ukraine.
[02:17.000 --> 02:28.000]  And I'm not lionizing the Russians or Putin, but if they wanted to clear out those areas, they would just drop heavy munitions on them and cluster bombs.
[02:28.000 --> 02:47.000]  Because they don't want a high civilian casualty. They are facing massive casualties with their infantry going in to the areas because they have been ordered to attack people that have guns after they've got them in their sights or they're being fired upon.
[02:47.000 --> 02:51.000]  And so that is why there is a large Russian death toll.
[02:51.000 --> 02:58.000]  From what I've been seeing, I would imagine there's 20,000 dead Russian troops, not 5,000 like the Ukrainians are saying.
[02:58.000 --> 03:04.000]  And I would imagine there are also tens of thousands of dead Ukrainians, but you're not going to ever be hearing about that.
[03:04.000 --> 03:12.000]  The level of propaganda coming out from all different angles, both the Russians and NATO and all of it is just staggering levels of BS.
[03:12.000 --> 03:21.000]  But I got to say, as usual, the West has clearly topped Russia in all of it, including hypocrisy with all the massive censorship going on over here.
[03:21.000 --> 03:26.000]  And then you've got them demonizing Russia for their censorship, which I do not support either.
[03:26.000 --> 03:33.000]  Let's be very clear. I think Putin's bit off more than he can chew. I said that before the invasion began.
[03:33.000 --> 03:47.000]  And I said that the globalists are going to try to stage cyber attacks against themselves, and that once they've done that, they could really ratchet up things with the Russians that could lead to a regional tactical nuclear war
[03:47.000 --> 03:52.000]  and then probably a full-scale nuclear war because of just the satanic evil running our world.
[03:52.000 --> 04:01.000]  I mean, we're really close to that. And here it is, Biden. If U.S. has real shooting war, it could be the result of cyber attacks.
[04:01.000 --> 04:09.000]  I've been telling you now for the last two years that the next move to bring down civilization by the globalists, because they want to depopulate everybody.
[04:09.000 --> 04:12.000]  They don't care if you're Chinese, Russian, Mexican, they don't care.
[04:12.000 --> 04:16.000]  American, you live in an African country. They want your ass dead.
[04:16.000 --> 04:19.000]  And they've got their big bunker complexes, everything set up.
[04:19.000 --> 04:24.000]  And they keep saying, when there's a cyber attack, by whoever, they're going to launch nukes on them.
[04:24.000 --> 04:29.000]  I famously have Hillary saying that if you even launch a cyber attack, we'll nuke you.
[04:29.000 --> 04:32.000]  Well, how do you even know they launch a cyber attack?
[04:32.000 --> 04:38.000]  And now Putin has taken his nuclear forces to their highest level before launch.
[04:38.000 --> 04:44.000]  So they're fueled, they're ready, they're on, they're hot, the keys are in, the codes are punched,
[04:44.000 --> 04:49.000]  and the nuclear forces only have to get the order and press the button.
[04:49.000 --> 04:59.000]  So thank you, NATO. Thank you, New World Order. Thank you, Jordan Soros. We'll be right back. Stay with us.
[05:19.000 --> 05:24.000]  It's 50% off, despite the fact it's going to sell out very, very quickly, because everybody needs this.
[05:24.000 --> 05:29.000]  Old, young, black, white, it doesn't matter. You need what's in winter, sun, and then.
[05:29.000 --> 05:34.000]  We have brain force, ultra, super fast acting, amazing, clean,
[05:34.000 --> 05:40.000]  neutropic system that is a complement to brain force plus, and of course, turbo force.
[05:40.000 --> 05:46.000]  All three of these are different formulas, but all three of them take your mind and take your focus and clarity
[05:46.000 --> 05:53.000]  and alertness to the next level. It is 40% off at infowarstore.com for a limited time.
[05:53.000 --> 05:57.000]  Thank you all for your support. If you haven't tried these products, you really need to because they are amazing.
[05:57.000 --> 06:23.000]  infowarstore.com.
[06:23.000 --> 06:29.000]  There's our headline of your TV viewer, the radio simulcasters. Let me read it to you.
[06:29.000 --> 06:35.000]  On the info wars, Sunday, February 27th, Worldwide Live Edition.
[06:35.000 --> 06:56.000]  Sunday Live, Putin warns the world is on the brink of nuclear war as NATO ramps up arms, shipments, and sanctions against Russia.
[06:56.000 --> 07:02.000]  Think about that, ladies and gentlemen, and we have the video of him saying it.
[07:02.000 --> 07:10.000]  Unlike corporate establishment, globalist media, and their empire of lies, when I tell you something or I make a claim,
[07:10.000 --> 07:17.000]  I show you the clip. Or sometimes I've already shown it 10 times in the last week, I'll say,
[07:17.000 --> 07:24.000]  remember that clip and I'll show you an article, but you don't get that from the corporate media because they're such deceivers.
[07:24.000 --> 07:29.000]  And how do I know other liars? Well, I've caught them in lies myself tens of thousands of times, so have you.
[07:29.000 --> 07:37.000]  But I've also experienced the lies of the corporate media. CNN for weeks has been advertising every break,
[07:37.000 --> 07:44.000]  breathlessly, and Alex Jones special tonight, 10 p.m. Eastern, 9 p.m. Central, that I was going to watch live and comment on here,
[07:44.000 --> 07:50.000]  but my family's more important, and World War III is more important, and the crisis going on is more important,
[07:50.000 --> 07:55.000]  and it's obscene for CNN to air something like that during a time like this.
[07:55.000 --> 08:02.000]  And it's not because I'm scared of it, it'll make us get more viewers and have a small audience, but still, we'll take them.
[08:02.000 --> 08:08.000]  And I already know it's regurgitated lies, they sent me questions and wanted me to respond to it, of course I didn't because it's all BS,
[08:08.000 --> 08:14.000]  but I saw the questions, it was a bunch of made up malarkey, just ridiculous stuff.
[08:14.000 --> 08:20.000]  It's the same regurgitated stuff out of the New York Times and John Ronson and NPR that I walk around the office,
[08:20.000 --> 08:26.000]  somebody had a goldfish, nobody ever had a goldfish here, and I reach in and kill or eat their goldfish.
[08:26.000 --> 08:34.000]  That's from Wolfville Wall Street, folks. They don't even hire people that could actually make something up original.
[08:34.000 --> 08:43.000]  So I'm not worried about whatever is going to happen. I'm going to be hoping there's a peace deal between Ukraine and Russia that's going on right now
[08:43.000 --> 08:51.000]  in the middle of the night, their time or early morning, so that I can stop worrying about my children's future and your children's future.
[08:51.000 --> 09:01.000]  But that said, we've experienced incredible lies and it's very, very sad, but that's the way these people work.
[09:01.000 --> 09:07.000]  I think the only way to do this properly is just read headlines and then actually go into these video clips themselves.
[09:07.000 --> 09:13.000]  Putin and Western countries aren't only taking unfriendly economic actions against our country,
[09:13.000 --> 09:18.000]  but leaders of major NATO countries are making aggressive statements about our country.
[09:18.000 --> 09:24.000]  So I order to move Russia's deterrents, nuclear forces to a special regime of duty.
[09:24.000 --> 09:29.000]  Now, that's their next to last death con.
[09:29.000 --> 09:40.000]  And if they go up one other level, that's to launch, and it just depends on what is it tactical, is it regional, is it continental, is it global.
[09:40.000 --> 09:47.000]  The submarines Russia has off our coast, the bombers in the air, the hypersonic cruise missiles.
[09:47.000 --> 09:57.000]  This is the nuclear brink of a ship we've been led to, and here is Putin in Russian, but there's subtitles saying what I just said.
[09:57.000 --> 10:07.000]  Dear colleagues, as you can see, Western countries are not only taking unfriendly actions against our country.
[10:07.000 --> 10:12.000]  In the economic sphere, I mean the legal sanctions that everyone knows well,
[10:12.000 --> 10:24.000]  but the higher-ranked persons of leading NATO countries are making aggressive statements about our country.
[10:24.000 --> 10:42.000]  That's why I order the Minister of Defense and the head of the General Staff to move the Russian Army's deterrent to a special regime of duty.
