[00:00:08.949 --> 00:00:09.390]  Death and taxes.
[00:00:09.390 --> 00:00:11.031]  Don't talk about politics or religion.
[00:00:11.031 --> 00:00:14.753]  This is all the equivalent of enemy propaganda rolling across the picket line.
[00:00:14.753 --> 00:00:15.814]  Lay down, G.I.
[00:00:15.814 --> 00:00:17.055]  Lay down, G.I.
[00:00:17.055 --> 00:00:19.076]  We saw it all through the 20th century.
[00:00:19.076 --> 00:00:22.058]  And now in the 21st century, it's time to stand up and realize.
[00:00:22.438 --> 00:00:25.621]  That we should not allow ourselves to be crammed into this rat maze.
[00:00:25.621 --> 00:00:28.444]  We should not submit to dehumanization.
[00:00:28.444 --> 00:00:32.088]  I don't know about you, but I'm concerned with what's happening in this world.
[00:00:32.088 --> 00:00:33.810]  I'm concerned with the structure.
[00:00:33.810 --> 00:00:36.072]  I'm concerned with the systems of control.
[00:00:36.072 --> 00:00:40.517]  Those that control my life, and those that seek to control it even more!
[00:00:40.517 --> 00:00:41.538]  I want freedom!
[00:00:41.538 --> 00:00:43.841]  That's what I want, and that's what you should want!
[00:00:44.421 --> 00:00:52.768]  It's up to each and every one of us to turn loose just some of the greed, the hatred, the envy, and yes, the insecurities, because that is the central mode of control.
[00:00:52.768 --> 00:00:59.993]  Make us feel pathetic, small, so we'll willingly give up our sovereignty, our liberty, our destiny.
[00:00:59.993 --> 00:01:04.517]  We have got to realize that we're being conditioned on a mass scale.
[00:01:04.517 --> 00:01:07.239]  Start challenging this corporate slave state.
[00:01:07.239 --> 00:01:08.760]  The 21st century is going to be another
[00:01:09.650 --> 00:01:18.917]  Not the century of slavery, not the century of lies and individual significance and classism, statism, and all the rest of the modes of control.
[00:01:18.917 --> 00:01:23.881]  It's going to be the age of humankind standing up for something pure and something right.
[00:01:23.881 --> 00:01:26.903]  What a bunch of garbage, liberal, democrat, conservative, republican.
[00:01:26.903 --> 00:01:31.106]  It's all there to control you, two sides of the same coin.
[00:01:31.106 --> 00:01:36.811]  Two management teams, bidding for control, the CEO job of slavery incorporated.
[00:01:36.811 --> 00:01:39.433]  The truth is out there in front of you when they lay out this
[00:01:39.813 --> 00:01:41.475]  I'm sick of it!
[00:01:41.475 --> 00:01:45.598]  And I'm not going to take a bite out of it!
[00:01:45.598 --> 00:01:47.760]  Do you got me?
[00:01:47.760 --> 00:01:49.281]  Human kind is too good!
[00:01:49.281 --> 00:01:51.283]  We're not a bunch of underachievers!
[00:01:51.283 --> 00:01:54.165]  We're going to stand up and we're going to be human beings!
[00:01:54.165 --> 00:01:56.327]  We're going to do real things!
[00:01:56.327 --> 00:01:57.748]  The things that matter!
[00:01:57.748 --> 00:01:58.769]  Creativity!
[00:01:58.769 --> 00:02:02.693]  And the dynamic human spirit that refuses to submit!
[00:02:02.693 --> 00:02:03.273]  Well that's it!
[00:02:03.273 --> 00:02:04.414]  That's all I've got to say!
[00:02:04.414 --> 00:02:05.195]  Continue your court!
[00:02:34.135 --> 00:02:44.289]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex.
[00:02:46.354 --> 00:02:50.137]  I hereby declare this to be an unlawful assembly.
[00:02:50.137 --> 00:02:53.720]  I order all those assembled to immediately disperse.
[00:02:53.720 --> 00:02:55.922]  It's a military mission in North St.
[00:02:55.922 --> 00:02:56.583]  Louis.
[00:02:56.583 --> 00:02:59.145]  Heavily armored vehicles are rolling into town.
[00:02:59.145 --> 00:03:03.809]  And don't be alarmed if you see those over the next seven days rolling through your neighborhood.
[00:03:03.809 --> 00:03:08.593]  If you see military helicopters flying low over Minneapolis, do not be alarmed.
[00:03:08.593 --> 00:03:09.654]  Guns will be taken.
[00:03:09.654 --> 00:03:10.975]  No one will ever be armed.
[00:03:10.975 --> 00:03:11.976]  We will take all weapons.
[00:03:12.156 --> 00:03:14.537]  Mr. and Mrs. America, turn them all in.
[00:03:14.537 --> 00:03:19.119]  Just really brainwash people into thinking about guns in a vastly different way.
[00:03:19.119 --> 00:03:19.960]  Enough.
[00:03:19.960 --> 00:03:20.760]  Enough.
[00:03:20.760 --> 00:03:21.821]  Enough.
[00:03:21.821 --> 00:03:22.201]  Enough.
[00:03:22.201 --> 00:03:26.763]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:03:26.763 --> 00:03:31.125]  It comes out to like 1.6 billion rounds of ammunition.
[00:03:31.125 --> 00:03:37.248]  NSJS Late News 12's Jeff Ferrell discovered that clergy would help the government with potentially their biggest problem.
[00:03:38.289 --> 00:03:46.320]  So part of it is we have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:03:46.320 --> 00:03:49.945]  If you've got a business, you didn't build that.
[00:03:49.945 --> 00:03:51.527]  Somebody else made that happen.
[00:03:52.364 --> 00:03:58.648]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatrics.
[00:03:58.648 --> 00:04:03.611]  Blackhawk choppers soaring through the night sky, but this is only a drill.
[00:04:03.611 --> 00:04:08.293]  Heavily armed officers in Watertown search for the suspect, house to house.
[00:04:16.044 --> 00:04:21.853]  It's a joint military training exercise involving local police, also military.
[00:04:21.853 --> 00:04:22.674]  In your apartment!
[00:04:22.674 --> 00:04:23.756]  I am in my apartment, sir.
[00:04:23.756 --> 00:04:25.058]  Go back inside right now!
[00:04:25.058 --> 00:04:26.079]  I am inside.
[00:04:26.079 --> 00:04:27.982]  I have two words for you.
[00:04:27.982 --> 00:04:29.805]  Predator groans.
[00:04:29.805 --> 00:04:30.807]  You will never see it coming.
[00:04:34.847 --> 00:04:37.690]  The dramatic scene played out in front of our cameras.
[00:04:37.690 --> 00:04:46.978]  Parents grabbing their children and running after spending the night hunkering in their houses and then finding themselves face-to-face with the muzzle of a SWAT officer's rifle.
[00:04:46.978 --> 00:04:52.143]  They let them in the area, they told them they could come in, and now they're coming in like they're trespassers, punching and shoving people.
[00:04:52.423 --> 00:04:57.466]  We're not turning our guns in, and we're not running, and we're not backing down!
[00:04:57.466 --> 00:04:59.727]  If you want them, come and take them!
[00:04:59.727 --> 00:05:00.467]  We're live, folks.
[00:05:00.467 --> 00:05:01.088]  Stay with us.
