[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[00:07.000 --> 00:15.000]  What type of evil heart seeks to attack something as pure and good and beautiful as Christmas?
[00:15.000 --> 00:23.000]  What type of demon sees happy families and smiling faces as a threat and decides to smash a truck into it?
[00:23.000 --> 00:34.000]  What type of evil is drawn out of its spider hole to attack smiling families dancing under the stars around Christmas trees?
[00:34.000 --> 00:41.000]  What type of serpent is conjured by Christmas carols and prays to Jesus Christ?
[00:41.000 --> 01:01.000]  And what type of evil knowingly brings this cancer into the midst of the people and then protects it, then lies for it and even finances it?
[01:01.000 --> 01:17.000]  As we approach the twilight of 2016, I personally am reflecting on the historical, the magical things that have happened in the last year.
[01:17.000 --> 01:23.000]  We have seen a global awakening to the corporate planetary tyranny that was being established.
[01:23.000 --> 01:29.000]  We have seen nations across the world begin to pull out of the unelected globalist system.
[01:29.000 --> 01:37.000]  We have seen human self-determination spring back to life like the mythical phoenix.
[01:37.000 --> 01:43.000]  I am so honored to be able to speak to you every day. I am so honored to be able to talk to you and your families.
[01:43.000 --> 01:52.000]  I am humbled by the fact that infall wars is such a critical part of the fight against the globalist and the fact that we're beginning to turn the tide.
[01:52.000 --> 02:02.000]  I always want to make the point that it's you that is the lifeblood, the core of what we're doing, because you really are the key to everything.
[02:02.000 --> 02:07.000]  You have the light of God in your eyes. You're made the image of the Creator.
[02:07.000 --> 02:12.000]  And that's what this Christmas is all about, is remembering our Lord the Savior, Jesus Christ.
[02:12.000 --> 02:21.000]  That's why the jihadis controlled by the globalist have been turned loose and brought into Europe to attack viciously and drive us into submission.
[02:21.000 --> 02:30.000]  The social engineers admit they're going to bring in political correctness that are already doing it to say that we have no free speech because we're the ones that are causing the Islamist to attack us.
[02:30.000 --> 02:40.000]  Obama, when there was a stabbing attack of nine people, and he was running over people with cars in Ohio State, came out the day after and said, this is not Islam.
[02:40.000 --> 02:47.000]  So-called liberals came out and said that he should have been shot by police as he ran towards them with a knife after stabbing nine people.
