[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:30.000 --> 00:48.000]  It's 7-Eleven already the 11th day of July 2017 on this worldwide broadcast on this Tuesday edition.
[00:48.000 --> 01:00.000]  I want to be very, very clear with the listeners and viewers right now. We are witnessing the greatest witch shine in US history.
[01:00.000 --> 01:15.000]  The most transparent, the most fraudulent, the most upside down, the most twisted, compendium of fraud that I have ever seen in modern history.
[01:15.000 --> 01:29.000]  Ladies and gentlemen, we have seen the entire Russia narrative shot down with each new piece of disinformation, each new red herring, each new hoax.
[01:29.000 --> 01:45.000]  But I get up this morning and I learned from Ellen L. Weintraub, Commissioner on the Federal Election Commission, what I already knew from four months ago.
[01:45.000 --> 02:01.000]  I am under criminal espionage investigation by the FBI for taking money from Russians or Russian owned companies.
[02:01.000 --> 02:12.000]  Ladies and gentlemen, we are almost exclusively funded by private sales of books, videos, t-shirts, supplements, water filters, storeable foods. Everybody knows that.
[02:12.000 --> 02:24.000]  The rest is totally transparent. Third party Google and ad blade and all these other sites.
[02:24.000 --> 02:32.000]  We have third parties that handle our comments on info wars. That's called discus. We do everything third party, so it's all completely transparent.
[02:32.000 --> 02:49.000]  I've never gotten one centella of money from Russia. I've never gotten any directives from Russia. Hillary finally got it right when she said that Russia didn't come up with the way to beat her.
[02:49.000 --> 03:00.000]  That info wars did and the Russians picked it up. Now that's not true, but at least she gets that I wag the dog, not the other way around.
[03:00.000 --> 03:10.000]  My listeners defeated you, which America defeated you, which and they say in the letter that info wars.
[03:10.000 --> 03:19.000]  Drudge and Breitbart because before they just said in the armed services committee in the house months ago will play the clip coming up.
[03:19.000 --> 03:27.000]  That Russia RT roughly those are both Russian and info wars are under FBI investigation.
[03:27.000 --> 03:49.000]  And then it was confirmed by McClatchy. This is a member, a commissioner, Ellen L. Weintraub on the federal elections commission saying in the letter calling for congressional hearings that we're under investigation for espionage.
[03:49.000 --> 04:10.000]  Let me tell you something right now. Like I told Congressman Schiff in a flowerly way I met metaphysically in the info war that we will defeat them with the truth and beat them up one side and down the other with logic peacefully in the market of ideas.
[04:10.000 --> 04:30.000]  Welcome being called to Congress and I will only testify in public and I'm begging you scum that put this type of garbage out to put me in Congress because I'm going to bring up all your Russian connections and your communist Chinese connections and I'm going to politically give you your waterloo.
[04:30.000 --> 04:49.000]  I'm going to destroy you politically. I love this un-American desperation by you. This is outrageous. But here's the best part they want to shut down. Oh yes. I mean if they couldn't make us more of superstars now.
[04:49.000 --> 04:59.000]  I mean I fully embrace these false charges. I love this. You just jumped a Megalodon shark.
[04:59.000 --> 05:13.000]  This is a public service announcement from info wars dot com. Are you aware of political fraud. It is rampant out there. Here are some of its main exhibitors Barack Obama after running for president for the little guy campaigning against big money.
[05:13.000 --> 05:21.000]  He got out of office and immediately became that which he campaigned against Washington fancasts multi million dollar book deals multi million dollar mansions.
[05:21.000 --> 05:31.000]  Meanwhile the little guy is looking for a new doctor or insurance plan they can afford because the health care bill he lied about Leonardo DiCaprio a man committed to warning you about the perils of global warming.
[05:31.000 --> 05:42.000]  Right after he flies to you on his G 20 jet airplane then cascades off into the great blue on a super yacht George Clooney a man who preaches open borders and tolerance but could not tolerate the open borders of Europe.
[05:42.000 --> 05:53.000]  So move back to the United States Bernie Sanders the head commie who has been against millionaires and billionaires that is except himself with his multiple houses and cars and with his wife under investigation for bank fraud.
[05:53.000 --> 06:09.000]  Don't fall victim to political fraud. Stay informed at info wars dot com. This is Owen shroyer. We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us your mother nature to detoxify the body.
