[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[00:24.000 --> 00:44.000]  I will see you on the other side.
[00:44.000 --> 00:55.000]  I am Niger with my heart.
[00:55.000 --> 01:20.000]  I am tonight announcing my candidacy for President of the United States.
[01:20.000 --> 01:35.000]  Thank you, kids. Thank you. All of you.
[01:35.000 --> 01:39.000]  It's Wednesday, November 16th, 2022. I'm your host, Donald Jones.
[01:39.000 --> 01:41.000]  Obviously a very important broadcast today.
[01:41.000 --> 01:48.000]  Trump last night announced he is running for president and then gave a lengthy speech.
[01:48.000 --> 01:52.000]  It's now official. The Republicans have won the House of Representatives.
[01:52.000 --> 01:58.000]  But narrowly, Roger Stone is going to be joining us to talk about all of this here in just a few minutes.
[01:58.000 --> 02:06.000]  Yesterday, I went on air when it was being announced that Russia had launched a cruise missile at Poland
[02:06.000 --> 02:11.000]  that had blown up a grain silo and killed two people with no evidence.
[02:11.000 --> 02:19.000]  And I said, and even the fellow running the boom said, we were talking during a break, I said, I bet.
[02:19.000 --> 02:24.000]  He said, I bet that it's a air defense missile.
[02:24.000 --> 02:32.000]  Because if you know war, you know most cross-border attacks are accidents in a war zone.
[02:32.000 --> 02:37.000]  And the most common is a air defense missile.
[02:37.000 --> 02:46.000]  Where do you think a giant air defense missile, a SAM missile, a service to air missile goes when it misses its target?
[02:46.000 --> 02:50.000]  Well, it goes somewhere and crashes.
[02:50.000 --> 02:55.000]  So why on earth when Russia is trying to deescalate things, would they attack Poland?
[02:55.000 --> 02:59.000]  Only fools would take the bait and believe that.
[02:59.000 --> 03:05.000]  Well, Zelensky came out and said Russia has attacked us, confirmed it within minutes with no evidence.
[03:05.000 --> 03:10.000]  They lied to the world and called for NATO to attack Russia and we'd be in World War 3 right now.
[03:10.000 --> 03:14.000]  Probably nuclear war. Probably a lot of us dead.
[03:14.000 --> 03:20.000]  These people are out of control. They're lies. They're recklessness. Everything they do.
[03:20.000 --> 03:25.000]  So here's CNBC News. Here's the Associated Press.
[03:25.000 --> 03:31.000]  NATO chief says Poland blasts likely caused by Ukrainian missile, but not Ukraine's fault.
[03:31.000 --> 03:37.000]  People in NATO say missile strike wasn't a Russian attack and that was early this morning.
[03:37.000 --> 03:43.000]  Now they're confirming it and we have pictures of the Ukrainian missile that we'll be showing you on screen.
[03:43.000 --> 03:46.000]  Here's a shot of it right here.
[03:46.000 --> 03:52.000]  Ukraine fired a missile at a Russian aircraft. It missed.
[03:52.000 --> 03:58.000]  They didn't care which direction they were shooting it. They didn't think about the trajectory.
[03:58.000 --> 04:05.000]  Because reportedly the Russian jets had already gone over and were going close to Polish airspace and they still fired at them.
[04:05.000 --> 04:12.000]  Knowing their missiles would go into Poland and knowing a lot of hotheads would then call for nuclear war.
[04:12.000 --> 04:18.000]  How's the song go? Thank God the Russians love their children too.
[04:18.000 --> 04:23.000]  Meanwhile, Biden asked for another $37 billion in Ukraine aid.
[04:23.000 --> 04:29.000]  They've already gotten over $100 billion. Congress needs to say no. I agree with that red state.
[04:29.000 --> 04:37.000]  Headline. So that's what I wanted to start the broadcast with today is that tomorrow's news today.
[04:37.000 --> 04:40.000]  I told you probably a air defense missile.
[04:40.000 --> 04:45.000]  Play that clip and come back just to show. We actually do our research folks. We actually study a lot of things.
[04:45.000 --> 04:49.000]  We don't just shit up here and say things. I do make mistakes, but not on purpose.
[04:49.000 --> 04:53.000]  And nine times out of 10, we're right when everybody else is wrong. I just want to point that out.
