[00:00.000 --> 00:02.000]  We've got it.
[00:02.000 --> 00:04.000]  This transmission is coming to you.
[00:07.000 --> 00:09.000]  Waging war on corruption.
[00:11.000 --> 00:13.000]  It's Alex Jones.
[00:13.000 --> 00:17.000]  Coming to you live from the front lines of the InfoWar.
[00:22.000 --> 00:25.000]  It is March 10th, 2013.
[00:26.000 --> 00:28.000]  I'm Alex Jones, your host.
[00:28.000 --> 00:32.000]  I've been chomping at the bit to be back on the air the last four or five days.
[00:32.000 --> 00:40.000]  I have not taken off seven shows in a row in about five years, best we can tell.
[00:40.000 --> 00:47.000]  But I took off Friday before last right through to today.
[00:48.000 --> 00:52.000]  Now I was obviously working while I was on the road with my family.
[00:52.000 --> 00:56.000]  And I probably filed, I don't know, something like eight or nine video reports on the road.
[00:56.000 --> 01:01.000]  Wrote a news article with Paul Watson as well.
[01:01.000 --> 01:04.000]  And worked on some other things behind the scenes.
[01:04.000 --> 01:09.000]  But I have not been here in the last seven broadcasts.
[01:11.000 --> 01:18.000]  And I've had a really good chance to have some retrospective time to sit back and look at the state of the world.
[01:18.000 --> 01:21.000]  But also the state of this broadcast.
[01:21.000 --> 01:25.000]  And it's always restive and important to take off.
[01:25.000 --> 01:27.000]  So again, thank you for joining us.
[01:27.000 --> 01:29.000]  I'd like to thank the crew for doing a great job while I was gone.
[01:29.000 --> 01:35.000]  And Mike Adams sitting in, Aaron Dykes, the rest of the reporters who also filled in with him on, what was it, Thursday.
[01:35.000 --> 01:40.000]  And Catherine Albrecht, Dr. Catherine Albrecht who did three of the broadcasts while I was gone.
[01:40.000 --> 01:44.000]  And Chris Alanis that did that best of for you last Sunday.
[01:44.000 --> 01:49.000]  And again, just the entire crew, John Bounds, CJ, everybody.
[01:49.000 --> 02:01.000]  Okay, that said, wow, there are just some huge news items that are hiding in plain view that we're gonna be covering.
[02:01.000 --> 02:04.000]  And after I get into the latest attacks on the Second Amendment.
[02:04.000 --> 02:09.000]  The latest attacks on our economy to consolidate things for the globalist.
[02:09.000 --> 02:14.000]  A lot of really important tech news, some important TSA news.
[02:14.000 --> 02:20.000]  Some extremely important geopolitical news as well.
[02:20.000 --> 02:27.000]  With riots going on all over the world being funded and controlled by the globalist.
[02:27.000 --> 02:33.000]  Mainly in Muslim controlled areas.
[02:33.000 --> 02:37.000]  After I get into all that, I'm gonna break down in the second hour.
[02:37.000 --> 02:41.000]  I think it's important to cover our biggest news story in the second hour.
[02:41.000 --> 02:46.000]  Because I always tend to put a lot of the most important news right up front, but then not cover it in detail.
[02:46.000 --> 02:53.000]  So I'm gonna switch things around today and cover our top story that intersects though.
[02:53.000 --> 02:58.000]  Everything intersects to understand how the globalist operate.
[02:58.000 --> 03:02.000]  Everything has a linkage in the philosophy, in the mindset.
[03:02.000 --> 03:07.000]  And if you really wanna know how these people operate, this is gonna be the broadcast for you.
[03:07.000 --> 03:11.000]  And I know I move quick because even the English language.
[03:11.000 --> 03:17.000]  Though it's the most widely used and also probably the deepest language out there.
[03:17.000 --> 03:21.000]  Because it adopts other languages.
[03:21.000 --> 03:34.000]  It falls short when my little humble brain is trying to assemble a very complex situation.
[03:34.000 --> 03:38.000]  And I've likened it many times to describing a beautiful woman.
[03:38.000 --> 03:39.000]  Somebody says, well, what does she look like?
[03:39.000 --> 03:41.000]  She had electricity in her eyes.
[03:41.000 --> 03:49.000]  Her hair was dark black and flowing and just her curves and her spirit and the smell.
[03:49.000 --> 03:51.000]  Well, tell me more.
[03:51.000 --> 03:53.000]  Show me a picture.
[03:53.000 --> 03:57.000]  Be like someone trying to describe the Grand Canyon who's never seen it.
[03:57.000 --> 04:00.000]  Or seeing a photo of it versus being there.
[04:00.000 --> 04:06.000]  Okay, it's a big wide canyon with scrub brush and trees growing on its edge and miles across.
[04:06.000 --> 04:09.000]  And it makes you catch your breath.
[04:09.000 --> 04:11.000]  Well, describe more.
[04:11.000 --> 04:16.000]  Now, those are good things we're trying to describe.
[04:16.000 --> 04:29.000]  Bad things, wicked things that have built up over thousands of years and been honed and been turned into scientific algorithms.
[04:29.000 --> 04:39.000]  One can grasp it just as you can grasp the first time you fell in love.
[04:39.000 --> 04:42.000]  You know what it was like, other people don't.
[04:42.000 --> 04:45.000]  You have to experience the matrix to know what it's like.
[04:45.000 --> 04:49.000]  But there's been some major cracks in the matrix.
[04:49.000 --> 04:52.000]  And we're going to break those down when we come back.
[04:52.000 --> 05:01.000]  And it's now coming out that Al-Qaeda publicly works for the government.
[05:01.000 --> 05:09.000]  If you want an American company with American products made by Americans, here is the Cal-Ben Soap Company.
[05:09.000 --> 05:13.000]  Alex and his staff have used these pure soap products for years.
[05:13.000 --> 05:20.000]  These all natural soaps are made from the highest quality vegetable and coconut oils that are earth friendly and safe.
[05:20.000 --> 05:28.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
