[00:00.000 --> 00:11.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:30.000 --> 00:54.000]  My friends, it is the 30th day of June 2013. I am your host Alex Jones, and we are going to be live here for the next two hours as we are every single Sunday, 4 to 6 p.m. Central, back weekdays, 11 a.m. to 2 p.m. Central.
[00:54.000 --> 01:08.000]  Wayne Madsen is going to be joining us in the second hour for three of the segments. Wayne did work at the National Security Agency. He's testified to Congress before about illegal spying over a decade ago.
[01:08.000 --> 01:37.000]  And Wayne was in a big London Guardian article yesterday that got pulled from the Guardian and the Observer, one of the biggest group of publications in the U.K. It got pulled, and then at the same time they even went into the Google system, which I've never seen before, and took it out of the Google wayback machine.
[01:37.000 --> 01:50.000]  In fact, if we punch up my middle computer, folks can see it there. If you're watching on prisonplanet.tv or infowars.com, we now offer the radio show free everybody while we can pay for the bandwidth.
[01:50.000 --> 01:55.000]  And subscribers get the nightly news and all the films. The rest of it, our goal is just to get the word out, period.
[01:55.000 --> 02:11.000]  And that's why we're putting that out so people can actually see it if you're a radio listener. But shocking NSA scoop on Saturday, the Guardian revealed a major NSA scoop, then deleted it from their website.
[02:11.000 --> 02:20.000]  I saw this in the business insider this morning, posted up on infowars.com, so I called Wayne. And on his site, he has it archived, but other than that, it's gone.
[02:20.000 --> 02:31.000]  You click on the Google wayback machine and I actually searched the article headline in a fresh search of their site. I clicked on this this morning and it was there.
[02:31.000 --> 02:40.000]  It's now gone, ladies and gentlemen. That's the type of stuff that is going on.
[02:40.000 --> 02:51.000]  Now continuing here. Look at it. There's the Wayne Madsen right there revealed secret European deals to hand over private data to America. This has been known forever.
[02:51.000 --> 03:01.000]  That this has been declassified over and over again. That is called info poll nine basically over Europe. And it's the same grid.
[03:01.000 --> 03:10.000]  And they all share and Europeans can then listen to us. So see the Europeans are out in the press going out there America. We would never put up with this.
[03:10.000 --> 03:22.000]  I saw an article two years ago where a guy was in France and he said, man, this is the bomb going to this sporting event. And he was arrested.
[03:22.000 --> 03:32.000]  And then you've seen examples of Europeans coming over here and others saying, man, we're coming to America to tear the place down. Here comes the FBI.
[03:32.000 --> 03:43.000]  They're reading the emails, the text listening. That is on record. They're only going after Snowden and people because they're saying it's morally wrong.
[03:43.000 --> 03:52.000]  So they're really going after their free speech. They're going after Greenwald speech interviewing somebody like Snowden and having David Gregory on NBC say arresting.
[03:52.000 --> 04:01.000]  And it is disgusting. So there it is revealed secret European deals to hand over private data to America. That's up on info wars.com.
[04:01.000 --> 04:08.000]  And then we're linked to the new article to Wayne Madsen. I'm putting out a report today responding to all this. It is a big deal.
[04:08.000 --> 04:14.000]  You know, we tend to have Wayne on so much every few months. People think, oh, that's just Wayne Madsen. Folks, he worked at the NSA.
[04:14.000 --> 04:24.000]  He worked before that in Navy security. And he worked in the Naval War College. And he has testified to Congress and he has the sources.
[04:24.000 --> 04:36.000]  And he just, it's just, but he's going after a European commission that admitted a decade ago and James Vanford's book 12 years ago, Body of Secrets and Exposed Operation Northwoods, among other things.
[04:36.000 --> 04:48.000]  So he'll be joining us. We've got all the other news first, though. We've got reports out there right now. They're planning massive rioting.
[04:48.000 --> 04:59.000]  What did that story go? Megaviral folks are planning that if Zimmerman doesn't get convicted, we'll be covering that and a lot more. Stay with us.
[04:59.000 --> 05:10.000]  There is an increased need to support our immunity and health. At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver based products.
[05:10.000 --> 05:22.000]  Our most popular silver based products are the 32 ounce nano silver solutions. Our two ounce nano silver nasal applicators, as well as our all natural silver soaps.
[05:22.000 --> 05:34.000]  Just released is our 100% natural silver gel. Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[05:34.000 --> 05:46.000]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[05:46.000 --> 05:59.000]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you. That's www.silverlungs.com.
[06:16.000 --> 06:21.000]  Here are the highlights of the Info War.
