[00:00:00.611 --> 00:00:00.871]  SIREN
[00:00:10.815 --> 00:00:12.917]  More than simply for physical health.
[00:00:12.917 --> 00:00:15.498]  The Dow Jones average fell more than 2,000 points today.
[00:00:15.498 --> 00:00:16.999]  That's a decline of more than 7.5%.
[00:00:16.999 --> 00:00:21.242]  It was the market's worst day since the 2008 financial crisis.
[00:00:21.242 --> 00:00:24.604]  It was the fourth worst day since the Great Depression.
[00:00:24.604 --> 00:00:32.470]  Grant Thornton, a major accounting firm, is predicting a global recession due to this epidemic and very low growth, if any, here in the United States.
[00:00:32.470 --> 00:00:35.692]  If a recession does hit, it will not be so simple to fight it.
[00:00:36.232 --> 00:00:42.355]  The usual stimulus efforts, tax cuts and lower rates, won't reopen factories that have shut down to contain a virus.
[00:00:42.355 --> 00:00:47.598]  We won't get people to eat at closed restaurants, or shop in closed malls, or attend canceled sporting events.
[00:00:47.598 --> 00:00:50.399]  We're going to have a demand problem in this economy.
[00:00:50.399 --> 00:00:51.160]  And that's a big deal.
[00:00:51.160 --> 00:00:56.943]  In other words, our country is likely to experience a painful period we are powerless to stop.
[00:00:56.943 --> 00:00:58.523]  None of this is justification to panic.
[00:00:58.523 --> 00:00:59.164]  You shouldn't panic.
[00:00:59.804 --> 00:01:02.766]  In crisis, it's more important than ever to be calm.
[00:01:02.766 --> 00:01:06.169]  But staying calm is not the same as remaining complacent.
[00:01:06.169 --> 00:01:09.351]  It does not mean assuring people that everything will be fine.
[00:01:09.351 --> 00:01:10.853]  We don't know that.
[00:01:10.853 --> 00:01:12.534]  Instead, it's better to tell the truth.
[00:01:12.534 --> 00:01:14.656]  That is always the surest sign of strength.
[00:01:15.652 --> 00:01:19.273]  As they level with us, our leaders ought to prepare the public for what may come next.
[00:01:19.273 --> 00:01:23.033]  If a recession is coming, we need to save money for the possible effect of that.
[00:01:23.033 --> 00:01:25.754]  If travel restrictions are coming, we should know that too.
[00:01:25.754 --> 00:01:31.775]  Already, the non-stop Acela train service between New York and Washington, which is critical to a lot of people, has been suspended.
[00:01:31.775 --> 00:01:36.476]  The Indian Wells tennis tournament in California, one of the largest in the world, has been canceled for this year.
[00:01:36.476 --> 00:01:43.397]  The March Madness basketball tournament is supposed to start in a couple of weeks, but it could be held in front of empty stands or postponed or canceled as well.
[00:01:44.747 --> 00:01:49.291]  In the end, you may be given the option to work from home, but eventually may be ordered to do that.
[00:01:50.270 --> 00:01:51.571]  You should know.
[00:01:51.571 --> 00:01:55.033]  We should also focus on preparing our healthcare system for the worst.
[00:01:55.033 --> 00:02:00.617]  The time of containing coronavirus with widespread testing and individual quarantines, blocking the borders.
[00:02:00.617 --> 00:02:02.298]  Useful, but that time is over.
[00:02:02.298 --> 00:02:03.679]  There are too many cases here now.
[00:02:03.679 --> 00:02:05.640]  We cannot stop this epidemic.
[00:02:05.640 --> 00:02:08.382]  We can only limit the damage that it does.
[00:02:08.382 --> 00:02:10.864]  Now is also the time to start looking ahead to the future.
[00:02:10.864 --> 00:02:15.567]  Think about what it would mean to face a deadlier version of coronavirus.
[00:02:15.567 --> 00:02:16.688]  It's not unimaginable.
[00:02:16.688 --> 00:02:18.249]  It's very easy to imagine.
[00:02:18.249 --> 00:02:19.149]  Are we ready for that?
[00:02:19.149 --> 00:02:19.870]  We're not ready now.
[00:02:20.510 --> 00:02:21.551]  We ought to be.
[00:02:21.551 --> 00:02:27.536]  One of the first things we can do to prepare ourselves is break our dependence on China for essential medical supplies.
[00:02:27.536 --> 00:02:34.142]  Last week, China's official news service published a piece gloating that the country has brought coronavirus under control.
[00:02:34.142 --> 00:02:41.429]  The story claims the rest of the world should apologize to China for criticizing the country over the virus, and then drops this not very subtle warning, quote,
[00:02:42.049 --> 00:02:54.537]  If China retaliates against the United States at this time, in addition to announcing a travel ban on the United States, it will also announce strategic control over medical products and ban exports to the United States.
[00:02:54.537 --> 00:03:02.181]  If China announces that its drugs are for domestic use and bans exports, the United States will fall into the hell of a new coronavirus epidemic."
[00:03:04.517 --> 00:03:07.301]  In other words, they're threatening to kill us.
[00:03:07.301 --> 00:03:08.923]  And that's not an empty threat.
[00:03:08.923 --> 00:03:15.532]  We really are that dependent on China for masks and medical equipment, for basic medicines, for pharmaceuticals of all kinds.
[00:03:16.539 --> 00:03:23.681]  It is shocking to wake up one morning and find ourselves in this supine position, dependent on a country that hates us.
[00:03:23.681 --> 00:03:29.382]  The people who did it, who made us this dependent on a hostile foreign power, deserve to be punished for what they did.
[00:03:29.382 --> 00:03:31.103]  That won't happen, probably.
[00:03:31.103 --> 00:03:34.684]  But at least we can try to fix the damage they caused, and there's a lot of it.
[00:03:34.684 --> 00:03:37.065]  The Chinese coronavirus will get worse.
[00:03:37.065 --> 00:03:39.545]  Its effects will be far more disruptive than they are right now.
[00:03:39.545 --> 00:03:40.465]  That is not a guess.
[00:03:40.465 --> 00:03:43.306]  It is inevitable, no matter what they're telling you.
[00:03:43.306 --> 00:03:45.727]  Let's hope everyone stops lying about that, and soon.
[00:03:48.052 --> 00:03:53.616]  Well, that's what you call a perfect statement of reality.
[00:03:53.616 --> 00:04:00.001]  Reasonable, measured, and pointing out the Chi-Com supply most of our drugs and are gloating about it, threatening to cut us off.
[00:04:00.001 --> 00:04:01.922]  Just incredible.
[00:04:01.922 --> 00:04:04.084]  And that's just one piece of all of this.
[00:04:05.080 --> 00:04:09.242]  Thank you for joining us on this March 10th, Tuesday, global transmission.
[00:04:09.242 --> 00:04:13.184]  327 days out from the historic election.
[00:04:13.184 --> 00:04:15.885]  Wow, so much crazy stuff's going on.
[00:04:15.885 --> 00:04:18.846]  The listeners have really liked the calls.
[00:04:18.846 --> 00:04:24.309]  We did a decent job of taking a lot of calls, but still didn't get to as many as I wanted to.
[00:04:24.309 --> 00:04:26.150]  And so, we're going to open the phones up.
[00:04:27.844 --> 00:04:34.767]  And we're going to take calls throughout the broadcast today until Paul Joseph Watson hosts the fourth hour ahead of the War Room with Owen Schroer.
[00:04:34.767 --> 00:04:37.569]  We just had a kick-butt David Knight show on.
[00:04:37.569 --> 00:04:41.431]  I was watching some of that this morning, getting ready for the transmission.
[00:04:41.431 --> 00:04:44.132]  I haven't had any sleep tonight.
[00:04:44.132 --> 00:04:45.653]  That's right, no sleep last night.
[00:04:45.653 --> 00:04:47.333]  I'll tell you about that, too.
[00:04:47.333 --> 00:04:49.575]  Interesting story, very informative.
[00:04:49.575 --> 00:04:54.297]  Talk about a bird's-eye view from a very interesting place.
[00:04:54.297 --> 00:04:55.718]  So it's a big transmission today.
[00:04:55.718 --> 00:04:56.358]  You don't want to miss it.
[00:04:59.190 --> 00:05:10.895]  Across the Western world, from high school to college sports, to even the Olympics, men, biological men, are winning almost all of the sporting events.
[00:05:10.895 --> 00:05:19.578]  This is men invading women's spaces and bullying them and taking their rights away, all in the name of liberalism and openness.
[00:05:19.898 --> 00:05:30.462]  And that every day I have stacks of news articles just like today, UK teen fined under house arrest for asking trans police officers gender and it hurt their feelings.
[00:05:30.462 --> 00:05:42.307]  UK mother spared jail for misgendering trans woman ordered to pay thousand pound fine because it could have caused anxiety in the new royalty.
[00:05:42.307 --> 00:05:43.988]  That's the thought police.
[00:05:43.988 --> 00:05:48.790]  If a leftist has their feelings hurt for any reason, you get fined and you go to jail.
[00:05:49.130 --> 00:05:50.411]  This is tyranny.
[00:05:50.411 --> 00:05:56.693]  These people are bullies, and it's sick, and it's evil, and it's part of a scientific anti-human takeover.
[00:05:56.693 --> 00:05:57.293]  Resist it.
[00:05:57.293 --> 00:05:59.895]  Speak out against it.
[00:05:59.895 --> 00:06:01.215]  We've got it.
[00:06:01.215 --> 00:06:07.058]  This transmission is coming to you.
[00:06:07.058 --> 00:06:11.419]  Waging war on corruption.
[00:06:11.419 --> 00:06:13.420]  It's Alex Jones.
[00:06:13.420 --> 00:06:17.082]  Coming to you live from the front lines of the Infowar.
[00:06:25.893 --> 00:06:34.277]  Task Force, we had the opportunity to brief the President today on a broad range of issues.
[00:06:34.277 --> 00:06:42.301]  And once again, because of the unprecedented action that President Trump took in January, suspending all travel from China,
[00:06:44.114 --> 00:06:51.658]  Establishing travel advisories for portions of South Korea and Italy.
[00:06:51.658 --> 00:07:00.942]  Establishing screening of all direct flights, all passengers from all airports, Italy and South Korea.
