[00:00.000 --> 00:02.000]  We've got it
[00:07.440 --> 00:09.440]  Waging war on corruption
[00:09.440 --> 00:36.720]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:36.720 --> 00:51.200]  I was sitting there this morning and this afternoon with a little notebook and I'd written about 10 pages of text of issues that I wanted to cover here today
[00:51.200 --> 01:11.200]  Not so much from a futureist perspective, that's kind of what the popular lexicon would label it as in an attempt to simplify things. The future is here, it's been here for a long time.
[01:11.200 --> 01:26.200]  There are technological government and corporate reservations that are highly advanced above the quasi-dormant post-industrial civilization that we live in.
[01:26.200 --> 01:49.200]  There is a completely engineered revolution against the natural world and natural processes being carried out by the scientific elite and the world they are building is not a pretty one for the average person.
[01:49.200 --> 02:02.200]  The world they are building is very, very cold-blooded and anti-family, anti-human and does not look to lift up humanity but instead to end humanity as we know it.
[02:02.200 --> 02:30.200]  What's frustrating about this is not the lack of proof but the ocean-size amounts of information with the different technocrats in public communiques telegraphing their unbelievable disgust and disdain for public.
[02:30.200 --> 02:44.200]  They don't really publicize their disdain but they communicate it in establishment journals so it is public. It's open source and it's really horrible.
[02:44.200 --> 03:04.200]  Then they've got all of their propaganda minions, their fake futurists and the rest of them that go out and proselytize to the low-level and mid-level manager class in academia and the medical system and the financial system and the culture system.
[03:04.200 --> 03:25.200]  In fact, for the incredible amounts of propaganda that we see being ladled out in the so-called news, broadcast TV, cable news channels, newspapers, radio, political books.
[03:25.200 --> 03:42.200]  That propaganda is at least a little more sophisticated because it's targeting someone who's, quote, politically aware or at one level higher in complexity and understanding and one degree closer to reality.
[03:42.200 --> 04:07.200]  But for the unwashed masses that just think the men with suits are running things and choose a politician even if they vote off of how they look, it's like trying to teach quantum mechanics to a bowl weevil.
[04:07.200 --> 04:23.200]  And it's hard enough to get the general public to look around them and realize that they're in the middle of deep space on a planetoid with incredible opportunities and wonderment all around them.
[04:23.200 --> 04:39.200]  It's hard to get them to look up from the dirt long enough to do that, but when the system sets everything up to keep them looking down on the dirt, that's a crime against humanity, creates blowback cycles into the elite themselves and is super bad news.
[04:39.200 --> 04:54.200]  So the world is being engineered into an authoritarian system not to even shield the elite in the future, but to just totally have a revolution against our modern world itself and humanity.
[04:54.200 --> 05:10.200]  The news is coming up and I'm going to break down the future of humanity straight ahead.
[05:24.200 --> 05:33.200]  There's only one thing you can control, your greatest dependency, your food supply. Make 2012 the year you take control by getting prepared.
[05:33.200 --> 06:00.200]  Eat Foods Direct introduces the best way to build your food supply in the 21st century. Get a 21-day supply of food free with purchase. Call 800-409-5633 or go to eatfoodsdirect.com forward slash alex. Take back control in 2012. Call 800-409-5633 or go to eatfoodsdirect.com forward slash alex. Remember, you can bet your life on Eat Foods Direct.
[06:03.200 --> 06:21.200]  You are listening to an Infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[06:21.200 --> 06:34.200]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:34.200 --> 07:01.200]  For more than 16 years on radio, I have pointed out that I come to you live from deep behind enemy lines, FEMA Region 6, and I remember a long time ago different radio consultants that contacted me over the years and vice presidents and presidents at major radio networks who contacted me.
[07:01.200 --> 07:21.200]  It was always the same line. Okay, Alex, there is globalism, there is a move to get rid of national sovereignty, but that's a natural progression, and you need to decide whether you're going to be on a crusade that goes nowhere or whether you want to be a star.
