[00:00:01.050 --> 00:00:03.591]  The Information War continues.
[00:00:03.591 --> 00:00:07.773]  It's Alex Jones and the GCN Radio Network.
[00:00:07.773 --> 00:00:12.576]  Alright, a new 9-11 development that's big.
[00:00:12.576 --> 00:00:16.878]  The perfect terrorist plan to level the Twin Towers, created in 1976.
[00:00:16.878 --> 00:00:23.022]  And if you go to PrisonPlanet.com or InfoWars.com, you can link through to American Free Press.
[00:00:24.796 --> 00:00:25.497]  Our own U.S.
[00:00:25.497 --> 00:00:34.202]  Army devised a plan commissioned by Congress to bring down the WTC using commercial airliners and box cutters as weapons.
[00:00:34.202 --> 00:00:46.790]  A laundry list of terrorist warnings handed to the Bush administration prior to 9-11 makes the President and others look like bumbling idiots or a bunch of conniving criminals.
[00:00:47.913 --> 00:00:53.096]  Responsible for the mass murders at the Twin Towers and in Afghanistan and Iraq.
[00:00:53.096 --> 00:01:00.439]  These are the harsh words of Timothy McNiven, an outspoken critic of the President's handling of 9-11 and a 29-year U.S.
[00:01:00.439 --> 00:01:04.441]  Defense Department operative still under contract with the government.
[00:01:04.441 --> 00:01:10.204]  He says, not only did the Bush administration purposely ignore Al-Qaeda in the months preceding the WTC attacks,
[00:01:10.979 --> 00:01:22.706]  But the situation is even more disturbing considering the military unit way back in 76 devised a mock terrorist attack of the Twin Towers exactly like what happened on 9-11.
[00:01:22.706 --> 00:01:32.512]  Including using commercial airliners to be flown into the towers and plastic box cutters.
[00:01:32.512 --> 00:01:35.394]  And we're going to also later in the week get
[00:01:37.228 --> 00:01:40.272]  Timothy McNiven on the broadcast right now.
[00:01:40.272 --> 00:01:42.855]  Greg Siminski joins us.
[00:01:42.855 --> 00:01:44.657]  Greg, good to have you on with us.
[00:01:44.657 --> 00:01:45.818]  Nice to be with you, Alex.
[00:01:45.818 --> 00:01:46.960]  Thanks for having me.
[00:01:46.960 --> 00:01:51.205]  I know you're out there at court today, so you're via the telephone.
[00:01:51.205 --> 00:01:52.106]  Yes.
[00:01:52.106 --> 00:01:53.307]  Via the cell phone with us.
[00:01:54.733 --> 00:01:56.815]  You write for American Free Press.
[00:01:56.815 --> 00:01:59.858]  You're involved in a lot of other truth-seeking out there.
[00:01:59.858 --> 00:02:05.683]  Bring us up to speed in a thumbnail sketch and go over more details for us.
[00:02:05.683 --> 00:02:11.368]  Regarding Timothy, Timothy had contacted me through email first.
[00:02:11.368 --> 00:02:18.175]  I imagine he had read some of my articles and basically laid out what you just mentioned on the radio.
[00:02:19.356 --> 00:02:31.265]  But he mentioned it in this way, and he said basically that he's tried to get his story out now for over a year and a half, unsuccessful with much of the media, all the media for that fact.
[00:02:31.907 --> 00:02:35.250]  And basically asked me if I would just listen to him.
[00:02:35.250 --> 00:02:40.255]  So I read his whole story.
[00:02:40.255 --> 00:02:52.166]  Timothy's name sounded familiar and I remember about a year and a half or two years ago I was working on a story with the lawsuit in Philadelphia filed by Attorney Philip Berg against Bush and his cronies.
[00:02:53.006 --> 00:02:56.349]  I don't have them with me so I can't give you the name of the company.
[00:03:17.168 --> 00:03:21.630]  But I will say that it is a credible company that does... No, I understand.
[00:03:21.630 --> 00:03:23.031]  I saw this story yesterday.
[00:03:23.031 --> 00:03:24.151]  I called you this morning.
[00:03:24.151 --> 00:03:25.952]  You're at court.
[00:03:25.952 --> 00:03:33.555]  But we're going to have you back on, and I'd like to have you back on with Timothy McNiven as well as soon as possible.
[00:03:33.555 --> 00:03:37.017]  And of course, we'll also put links to and post all these documents as well.
[00:03:37.797 --> 00:03:45.001]  I've interviewed Mr. Berg, I've interviewed Ellen Mariani, the first person on the suit, so I was familiar with some of this.
