[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:30.000 --> 00:40.000]  And I am bound and determined to calmly go over all the news and all of the video and audio clips that I have today.
[00:40.000 --> 00:44.000]  They run the gamut.
[00:44.000 --> 00:51.000]  News like this, DHS now testing new thought crime detection technology.
[00:51.000 --> 00:57.000]  SWAT team and riot police called on dancing protesters Saturday at the Jefferson Memorial,
[00:57.000 --> 01:04.000]  shoving and roughing people up until they kicked them out of Thomas Jefferson's Memorial.
[01:04.000 --> 01:11.000]  We have obviously, blood was everywhere, 63 killed at Syria protests.
[01:11.000 --> 01:21.000]  And that's, the numbers went from 5, 20, 63, the numbers are growing and the media here in the U.S. is hailing it.
[01:21.000 --> 01:33.000]  In fact, the AP headline, Israeli troops battle protesters in Syria and then it lists the dead.
[01:33.000 --> 01:41.000]  Regardless of whether you support Israel or not, or don't support Israel, it is double speak.
[01:41.000 --> 01:53.000]  It is double think to say they battle protesters. They mowed a bunch of peaceful protesters down who were kicked out decades ago when Israel took that area of Syria.
[01:53.000 --> 02:02.000]  They were protesting holding their keys in their hands saying they wanted their homes back.
[02:02.000 --> 02:12.000]  And how is this hypocritical? We're told that the new war in Libya, I'm sorry, that's not a war, a kinetic action that wouldn't be a ground war and would last days.
[02:12.000 --> 02:20.000]  See, lies, lies, lies, is to stop Qaddafi from killing peaceful people when there's no proof of that.
[02:20.000 --> 02:24.000]  Oh, you've heard it in the media, but they've always been forced to then later retract it.
[02:24.000 --> 02:39.000]  And no rape teams armed with Viagra. Similar, waving the bloody shirt, propaganda operation as saying Saddam's people were throwing babies out of incubators and stomping their brains out.
[02:39.000 --> 02:47.000]  I didn't really like Saddam Hussein, Handelbar Mustache and all. I don't like Muammar Qaddafi. I don't like dictators. I don't like big government.
[02:47.000 --> 02:55.000]  I don't like guys strutting around in military outfits. I don't like our corrupt government. See, it's not that Iran's good, the U.S. is good.
[02:55.000 --> 03:06.000]  It's Iran's bad and the U.S. is bad. It's not Israel good and China good. It's China bad, Israel bad.
[03:06.000 --> 03:19.000]  Look at history. Governments 99.9% of the time are corrupt criminal institutions, but they play this game where we're supposed to choose who we support, who we like.
[03:19.000 --> 03:28.000]  Well, I don't choose any of the above. I don't have allegiance to any of these groups. I have an allegiance to the Bill of Rights Constitution and Declaration of Independence,
[03:28.000 --> 03:36.000]  because it's the best document ever produced, and it produced the most wealth, and it produced the freest society the world's ever seen.
[03:36.000 --> 03:46.000]  Certainly wasn't perfect, but humans aren't perfect. There's no such thing as heaven on earth, Valhalla on earth. Humans are imperfect.
[03:46.000 --> 03:55.000]  There's no such thing as a utopia. Anybody promises you they got a utopia? In every case in history, they deliver a dystopia.
[03:55.000 --> 04:04.000]  They deliver a nightmare. We have incredible news, and I don't have the staff for this.
[04:04.000 --> 04:14.000]  But I do need to assign some of the people I've got to marking down predictions I make, because I make them constantly. They come true constantly.
[04:14.000 --> 04:24.000]  Many of them are pointed out by listeners simply so that new listeners, the reason it's important to point out when we predict things accurately is so folks understand we know what we're talking about.
[04:24.000 --> 04:34.000]  I've been saying for the last six months, every week on the week, at least, that right at the time they try to pass cybersecurity, that massive false flags will be launched on the internet.
[04:34.000 --> 04:41.000]  They're trying to pass it in the coming weeks. They're trying to pass a world government ruling on it as well.
[04:41.000 --> 04:44.000]  You notice all the hack attacks have started up right on time.
[04:44.000 --> 04:50.000]  Meanwhile, the U.S. government admits, along with Microsoft and Google, they've recruited the hackers and they worked for them.
[04:50.000 --> 04:58.000]  We're going to break that down. The incredible news on the economy, the E. Coli, and the biggest news is right ahead. Stay with us.
[04:58.000 --> 05:03.000]  You may be arrested and or subject to other police action.
[05:03.000 --> 05:08.000]  tyranny is here. The grim future foretold in 1984 has become reality.
[05:08.000 --> 05:10.000]  It really says that the state is God.
[05:10.000 --> 05:22.000]  The United States is now recognized globally as one of the most oppressive police states on earth. This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[05:22.000 --> 05:28.000]  This documentary exposes how the continuity of government program has established an old powerful shadow state.
[05:28.000 --> 05:43.000]  Police State 4 chronicles the sickening depths to which our republic has fallen. Repair to enter the secretive world of emergency dictatorship, body scanners, sound cameras, citizen spies, staged terror and cameras on every street corner.
[05:43.000 --> 05:58.000]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming. It's here. Secure your copy today at infowars.com or see it online in the highest quality at prismplanet.tv.
[06:14.000 --> 06:32.000]  It is Sunday, the fifth day of June 2011. We're going to be live here for the next two hours as we are every Sunday, 4-6 PM Central, 5-7 Eastern, 2-4 Pacific, 3-5 Mountain.
[06:32.000 --> 06:47.000]  The news websites are infowars.com and prismplanet.tv and we are streaming the radio show in a full 4-camera video streaming shoot at prismplanet.tv.
[06:47.000 --> 07:03.000]  I think it's important at the beginning of this transmission to point out that liberty is rising. People are becoming less and less gullible. Folks are beginning to wake up to the way this planet really is run and operated.
[07:03.000 --> 07:23.000]  A lot of exciting things are happening and evidence of how exciting this awakening is. My radio show is number one conservatively according to every Google analytic Alexa shoutcast tracking system.
[07:23.000 --> 07:34.000]  Number one radio show in the world on the internet. Over 500,000 podcast listeners today. Over a million people tuning in off and on a day to the streams.
[07:34.000 --> 07:45.000]  Over 3 million people a day now listening on AM and FM affiliates. On average we're getting three new affiliates a week. Many of them top stations in the biggest markets in the country.
[07:45.000 --> 08:06.000]  We're also of course on XM, Global, Shortwave, WWCR. The point is the fact that my radio show as hardcore as it is, as shocking as it is, the public and station managers and radio listeners and sponsors have gotten to a point in this country
[08:06.000 --> 08:17.000]  that things I was talking about 16 years ago that were seen as howling at the moon nuts are now more and more being seen as common sense.
[08:17.000 --> 08:29.000]  Because almost everything we predicted has now unfortunately come to past and now I'm breaking down what is going to happen in the near future and the long term future and folks know to listen.
[08:29.000 --> 08:44.000]  Now to be clear, I'm not the smartest guy in the world. I don't claim to have all the answers. I have studied history. I've studied anthropology, sociology, psychology, criminology and those that know history are not doomed to repeat it.
[08:44.000 --> 09:00.000]  So you're an expert in football or you're an expert in selling insurance or you're an expert in gardening. I'm an expert in geopolitical systems and systems analysis and studying civilization because I love knowledge.
[09:00.000 --> 09:16.000]  I love history. I find it absolutely engrossing and I am constantly, constantly whether I'm jogging or whether I'm driving or whether I'm even dreaming thinking about this information.
[09:16.000 --> 09:27.000]  And so that's how I've been able to so effectively break down what's happening. Now I have just an incredible amount of news and I'm going to be calm here and try to cover it all.
[09:27.000 --> 09:34.000]  And because I am bound and determined to cover all of this news and information, we're not going to take calls to take.
[09:34.000 --> 09:53.000]  But you're not just going to have Alex Jones for the full broadcast. Max Kaiser, BBC host, RT host, Press TV host, former top stockbroker, inventor of one of the major stock market systems, virtual trading systems that is used by most stock markets in the world.
[09:53.000 --> 10:03.000]  He'll be joining us from his palatial manner in Paris to break down the evidence that he has and has been breaking over the last few days.
[10:03.000 --> 10:13.000]  The big part of the invasion of Libya isn't just about the trillions in oil, but about the tens of billions that Gaddafi invested with Goldman Sachs, JPMorgan and others,
[10:13.000 --> 10:25.000]  and that large portions of the bailout money, and that was confirmed a month ago when the lawsuit went through with Bloomberg against the Federal Reserve, the private Fed, and they got the documents that a lot of it did go to Libya.
