[00:00.000 --> 00:01.000]  Nails.
[00:01.000 --> 00:07.480]  Finally, toenails by diabetic-friendly, money-back-guaranteed, non-ex-nail gel.
[00:07.480 --> 00:13.880]  It's in the foot care aisle at Supercenters, Walgreens, CVS, Longs, Meyer, Giant Eagle,
[00:13.880 --> 00:18.960]  Car Drug, Sniders, Dwayne Reed, Bylo, and Rite Aid.
[00:18.960 --> 00:32.280]  You are listening to GCN, the Genesis Communications Radio Network for O'Clock.
[00:32.280 --> 00:34.000]  I are in USA Radio News.
[00:34.000 --> 00:35.000]  I'm Jimmy Jordan.
[00:35.000 --> 00:39.400]  George and troops are pulling out of the breakaway province of South Ossetia.
[00:39.400 --> 00:42.200]  Its force is overwhelmed by Russian firepower.
[00:42.200 --> 00:44.720]  George's government is pressing for a truce.
[00:44.720 --> 00:46.800]  James Shearer is a Russia analyst.
[00:46.800 --> 00:52.760]  Russia is now particularly determined to demonstrate what it has always stated, that Russia and
[00:52.760 --> 00:58.360]  Russia alone is the guarantor of stability and security in the region.
[00:58.360 --> 01:02.320]  And President Bush is appealing to Russia to halt its attacks on Georgia.
[01:02.320 --> 01:06.760]  White House Press Secretary Dana Perino says Bush has spoken with Russia's Vladimir Putin
[01:06.760 --> 01:12.160]  twice, but would not comment on reports of a testy exchange between the men.
[01:12.160 --> 01:16.680]  President Bush has worked hard to establish with leaders from Russia or from China and
[01:16.680 --> 01:22.000]  other places where we have complex relationships, a relationship based on trust.
[01:22.000 --> 01:25.680]  And because of that, they are able to speak very candidly with one another, and very honestly.
[01:25.680 --> 01:29.240]  This is IRN USA Radio News.
[01:29.240 --> 01:33.320]  You can make extra money working from home with the Three-Stip Plant Home Business System.
[01:33.320 --> 01:37.800]  Hi, my name is Patty Messer, and I've been using Andy Willoughby's Three-Stip Plant for
[01:37.800 --> 01:38.800]  the last three years.
[01:38.800 --> 01:40.680]  Hi, how in the world are you anyway?
[01:40.680 --> 01:41.960]  This is Andy Willoughby.
[01:41.960 --> 01:46.360]  The Three-Stip Plant was designed to help you add to your income, but still have time
[01:46.360 --> 01:47.360]  for your family.
[01:47.360 --> 01:52.120]  I was a retired teacher, and this was a wonderful way to stay home, be with my family, and
[01:52.120 --> 01:54.440]  still build that residual income each month.
[01:54.440 --> 01:56.520]  Most of our people work in their spare time.
[01:56.520 --> 02:00.480]  Many have built their businesses to a full-time income and are able to make more money than
[02:00.480 --> 02:02.320]  they could earn at a regular job.
