[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:16.000 --> 00:24.000]  We're live! Here we are, 30th day of January, 2011 on this Sunday edition.
[00:24.000 --> 00:30.000]  We'll be here for the next two hours as we are every Sunday, 4-6pm Central Standard Time.
[00:30.000 --> 00:34.000]  In studio, Dr. Andrew Wakefield will be joining us.
[00:34.000 --> 00:38.000]  He was in just a few weeks ago in studio because he's in Austinite.
[00:38.000 --> 00:49.000]  And the Doctor of the Stomach and the Intestines, I won't give you the technical name, will be joining us again in studio.
[00:49.000 --> 00:56.000]  He, of course, exposed many years ago the connection between autism and the MMR vaccine.
[00:56.000 --> 01:00.000]  Also, Crohn's disease and different types of vaccines.
[01:00.000 --> 01:05.000]  And they wrote hit pieces for the British Medical Journal against him.
[01:05.000 --> 01:12.000]  And it turns out that that is more propaganda and he's demanded a retraction.
[01:12.000 --> 01:23.000]  Dr. Wakefield demands retraction from British Medical Journal after documents prove innocence from allegations of vaccine autism data fraud.
[01:23.000 --> 01:29.000]  And, of course, they never had any evidence. They just ran around like chickens with their heads cut off screaming fraud.
[01:29.000 --> 01:39.000]  And now in over 30 countries, they've duplicated exactly what Dr. Andrew Wakefield found going back close to two decades ago.
[01:39.000 --> 01:45.000]  So he'll be joining us in studio today. Of course, he's been saying it was a fraud from day one.
[01:45.000 --> 01:52.000]  We know that autism was one in 25,000 and then one in 2,000 and then one in 1,200.
[01:52.000 --> 01:58.000]  One in 168. One out of 96. And now in boys, one out of 54.
[01:58.000 --> 02:03.000]  And that's the federal government's own admissions. The brain damage is ultra massive.
[02:03.000 --> 02:16.000]  And I've had countless other medical doctors on, including brain surgeons, neurologists and others, finding the same inflammation hitting the stomach and the intestines hitting the brain.
[02:16.000 --> 02:21.000]  So when it turns out a lot of these big universities, they were already aware.
[02:21.000 --> 02:24.000]  That's what the new information is before Wakefield ever did these studies.
[02:24.000 --> 02:34.000]  It turns out that many years before and then right before major universities basically did research and found exactly what he found.
[02:34.000 --> 02:44.000]  But the British Medical Journal is running with what a reporter has come out and said that Wakefield just made it all up with no evidence.
[02:44.000 --> 02:46.000]  So we're going to be breaking that down.
[02:46.000 --> 02:54.000]  Obviously, we're going to spend the first hour talking about the situation in Egypt and all of the geopolitical ramifications of this.
[02:54.000 --> 03:15.000]  When you look at the Zbigniew Brzezinski and geopolitical grand chessboard model, there is a lot of evidence and outright admissions right now that the opposition is led and commanded by George Soros, NATO and the Pentagon.
[03:15.000 --> 03:21.000]  In fact, there's no doubt that Mohammed L. Baraday is a global astuge.
[03:21.000 --> 03:23.000]  That is not even debated.
[03:23.000 --> 03:24.000]  In fact, that's all over.
[03:24.000 --> 03:29.000]  London Telegraph Associated Press, they're pushing it like it's credentials for the guy.
[03:29.000 --> 03:34.000]  But there's something more sophisticated going on at work here.
[03:34.000 --> 03:38.000]  And I'm going to break that down first when we come back from break.
[03:38.000 --> 03:43.000]  Also, it's been an illustration of how easy the Internet can be shut down.
[03:43.000 --> 03:52.000]  That's what we've witnessed not just in China in the last few years, but now in a single day, almost total Internet shutdown by the Egyptian government.
[03:52.000 --> 04:05.000]  We've got confirmations out of Al Jazeera and many other publications that are respected that the police and military are involved in the looting under orders.
[04:05.000 --> 04:08.000]  We'll break down why governments tend to do that.
[04:08.000 --> 04:19.000]  There's a lot of amazing information here to cover, obviously, the 150-point drop in the U.S. stock market, even bigger drops in the Saudi Arabian stock market.
[04:19.000 --> 04:26.000]  The rebellions are spreading to Yemen, Jordan, Tunisia, as you know already fell a week and a half ago.
[04:26.000 --> 04:34.000]  And that was due to some WikiLeaks releases, which we know is government-connected.
[04:34.000 --> 04:40.000]  I'm going to try to go over all the angles of this when we come back and the economic ramifications of it,
[04:40.000 --> 04:52.000]  and how the globalists are going to try to trigger a false revolution in this country when their bellwethers, when their weather veins gauge that we're about to have a real revolution.
[04:52.000 --> 04:55.000]  This is very important. We're going to break it down.
[04:55.000 --> 05:06.000]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions,
[05:06.000 --> 05:14.000]  yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[05:14.000 --> 05:19.000]  My name is Mario Safaldi and I'm the developer of the Silver Lungs Generator.
[05:19.000 --> 05:32.000]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[05:32.000 --> 05:40.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[05:40.000 --> 05:51.000]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[05:51.000 --> 06:18.000]  As well, we are always ready to answer any questions you may have. That's www.silverlungs.com.
[06:21.000 --> 06:32.000]  This is a broadcast as we attempt to awaken humanity to the globalist social engineers that are openly setting up an unelected private corporate planetary government
[06:32.000 --> 06:44.000]  that is openly waging war on the family, private property, and basic liberties in their move to consolidate a collectivist planet where only the ultra rich are allowed to own property
[06:44.000 --> 06:58.000]  and where the general public are literally brain-numbed, drug-doubt, servile zombies, and that's only part of the next phase towards forced world population reduction.
[06:58.000 --> 07:10.000]  Now, obviously, we're going to be breaking down the situation in Egypt here in the first hour, and then gastroenterologist Dr. Andrew Wakefield will be joining us in studio.
[07:10.000 --> 07:25.000]  He pointed out a year ago when a media reporter first claimed that his research connecting vaccines to autism claiming that that was fraudulent research with no evidence.
[07:25.000 --> 07:35.000]  I read those reports, and now Wakefield has demanded a retraction because it turns out that Wakefield was not the first person to do this research and find this.
[07:35.000 --> 07:52.000]  I already knew that from researching it myself. Decades before, years before, and even months before, major prestigious medical institutions including in England in government studies found what Wakefield found.
[07:52.000 --> 08:05.000]  They've just chosen Wakefield to try to politically lynch him and politically decimate him, destroy him, show that then other scientists and people are scared away from the research.
[08:05.000 --> 08:23.000]  Kind of like, they've now released, and it's been hacked, the UN over the last 20 years trying to persecute research scientists, climatologists, and others who have been researching and proving the fact that man-made global warming is a fraud,
[08:23.000 --> 08:31.000]  and you get the internal UN documents, and it turns out that they talk about how to intimidate people, how to get their funding cut, how to lie about them,
[08:31.000 --> 08:37.000]  how to cover up the UN's own knowledge that we're actually cooling for the last 15 years.
[08:37.000 --> 08:44.000]  That's all now public for over a year, and it's exactly what they're doing to Wakefield.
[08:44.000 --> 08:51.000]  And it turns out this reporter's connected and works for Rupert Murdoch, Rupert Murdoch's on the board of one of the big vaccine makers,
[08:51.000 --> 09:01.000]  and this was basically done in a desperate attempt to stop the incredible tsunami of awakening to just how dangerous vaccines are.
[09:01.000 --> 09:05.000]  But it's too late. I mean, you could open the newspaper any day and read about it.
[09:05.000 --> 09:15.000]  Australian government stops giving flu vaccines because of deaths and increased brain disorders, narcolepsy, epilepsy.
[09:15.000 --> 09:21.000]  The list goes on and on and on, and so the truth is coming out. Same thing in England.
