[00:00.000 --> 00:02.000]  You
[00:30.000 --> 00:32.000]  You
[01:00.000 --> 01:17.040]  Big brother mainstream media government cover-ups you want to stop tyranny well, so does he lie from the info wars.com studios
[01:17.040 --> 01:39.040]  It's Alex Jones
[01:39.040 --> 01:45.640]  Well, well, well ladies and gentlemen, I'm Alex Jones your host and I'm gonna start the show at the beginning of the next segment
[01:45.640 --> 01:50.960]  It's a new pastime a new thing we do here. Hell will probably do it tomorrow again
[01:51.960 --> 01:55.520]  I'm not ready to start the show and that's just the way it is
[01:56.360 --> 02:02.440]  I've become a little OCD over the years and if the broadcast starts with music that sounds like
[02:02.560 --> 02:08.080]  We're sitting back drinking pina coladas and just woke up in the garden to Eden before the serpent
[02:08.080 --> 02:10.080]  Well, it just makes me
[02:10.480 --> 02:15.400]  Not feel like I'm in the middle of a total fight for the complete future of human
[02:16.560 --> 02:18.560]  civilization
[02:21.040 --> 02:23.040]  So that's where we are right now I
[02:23.680 --> 02:29.360]  Will tell you it's going to be a particularly important broadcast. They're all incredibly important, but it's just amazing
[02:30.120 --> 02:34.280]  What's happening and what we've got here and the amount of preparation I personally have done
[02:34.280 --> 02:43.360]  Probably ten hours of research has gone into this two-hour program that you are about to watch and listen to and I also intend
[02:43.560 --> 02:46.040]  To open the phones up in the second hour
[02:46.800 --> 02:51.400]  I'm obsessed with the coronavirus because it is man-made and
[02:51.760 --> 02:58.480]  They're acting really sneaky about it and they're not just doing this martial law thing to create a precedent and
[02:59.080 --> 03:03.160]  Get us scared. They're like, oh, don't be scared, but we've got martial law in place
[03:03.160 --> 03:07.880]  And the UN is praising Xi Jinping for killing people in the streets at checkpoints
[03:07.920 --> 03:14.040]  But then if we don't have open borders and let more Chinese come in unvetted the UN and China is mad
[03:14.200 --> 03:18.320]  So there's just a lot of really weird stuff going on, but I know this
[03:20.320 --> 03:22.320]  They have been trying
[03:22.680 --> 03:25.040]  To plunge the stock market
[03:25.960 --> 03:30.600]  Using this information we're in economic war. They have not been successful, but they're going to try
[03:30.600 --> 03:33.840]  very very hard this week
[03:36.320 --> 03:42.440]  So we're going to be going over all of it coming up when we start the broadcast
[03:44.040 --> 03:48.520]  At the start of the next segment, I mean right now you might as well just wind your watches
[03:49.240 --> 03:54.960]  Might as well check the weather look at the thermometer. I don't know go to the
[03:54.960 --> 03:59.960]  refrigerator and get a glass of ice water because
[04:00.760 --> 04:02.760]  I've just got this big giant
[04:03.280 --> 04:08.360]  Compendium of information ready to launch ready to trigger and I've got it on the runway
[04:09.360 --> 04:11.000]  Right there
[04:11.000 --> 04:13.000]  And that's why we're going to come back
[04:13.760 --> 04:16.360]  With something fitting for a moment like this
[04:17.360 --> 04:19.360]  Prioxyn 9
[04:19.960 --> 04:21.960]  I'm going to start the broadcast over
[04:21.960 --> 04:26.720]  And it's all gonna be peachy King
[04:27.720 --> 04:34.240]  After that point and I'm going to knock it out of the park. Thanks to all of you and all of your support. I don't know
[04:36.880 --> 04:41.320]  You know, it's like you got Labrador Retrievers in your brain. I mean you have Labrador Retriever puppies
[04:41.680 --> 04:48.560]  But then they have puppies and it's say poodles come out, you know, that music was say panic that got into the computer system
[04:48.560 --> 04:54.200]  Now we'll be right back stay with us. I'm going to clear my palate and be ready
[05:00.480 --> 05:02.800]  It is I the leader of
[05:02.960 --> 05:09.880]  Cobra here for a message to President Trump the American people and Alex Jones of info wars
[05:09.880 --> 05:18.240]  Our operation for our partners the Communist Chinese have bought control of your media, but it's true
