[00:00:00.669 --> 00:00:02.430]  Government cover-ups.
[00:00:02.430 --> 00:00:04.011]  You want answers?
[00:00:04.011 --> 00:00:04.911]  Well, so does he.
[00:00:04.911 --> 00:00:09.753]  He's Alex Jones on the GCN Radio Network.
[00:00:09.753 --> 00:00:13.815]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.210 --> 00:00:35.453]  This is a message from the New World Order.
[00:00:35.453 --> 00:00:41.137]  To those of you in the population who are aware of our existence.
[00:00:41.137 --> 00:00:45.120]  Those of you who have chosen to resist us.
[00:00:45.120 --> 00:00:47.002]  The final war is approaching.
[00:00:47.002 --> 00:00:52.746]  This is your last chance to join us.
[00:00:52.746 --> 00:00:56.769]  You must accept that you are not the majority.
[00:00:56.769 --> 00:00:58.831]  Your numbers are not growing.
[00:01:00.851 --> 00:01:06.835]  Your efforts to expose our methods have gone unnoticed and buried.
[00:01:06.835 --> 00:01:11.418]  Your brothers and sisters are not awake.
[00:01:11.418 --> 00:01:14.880]  Your children will not rise up.
[00:01:14.880 --> 00:01:23.105]  They will remain unaware of our presence and live lives of no significance.
[00:01:23.105 --> 00:01:27.147]  You must thank us for giving them this blessing.
[00:01:27.147 --> 00:01:29.729]  We have clouded their eyes by design.
[00:01:31.792 --> 00:01:41.838]  Even your leaders, those you look to for inspiration and direction, know fully well of their impending defeat.
[00:01:41.838 --> 00:01:46.140]  They see the fate that awaits their movement.
[00:01:46.140 --> 00:01:57.867]  They cannot rise above the full force of our manipulation and control of the government, of the media, of the economy, of the armies.
[00:02:03.730 --> 00:02:15.295]  Alex Jones, the 4th of July is approaching.
[00:02:15.295 --> 00:02:20.217]  You have already slowed our judder-knot machine.
[00:02:20.217 --> 00:02:23.599]  You have made your point.
[00:02:23.599 --> 00:02:28.061]  You are beginning to become a nuisance.
[00:02:28.061 --> 00:02:31.222]  Lay down your arms.
[00:02:31.222 --> 00:02:32.943]  Silence your flock of sheep.
[00:02:38.151 --> 00:02:43.413]  Do not force our hand on Independence Day.
[00:02:43.413 --> 00:02:48.836]  Those who cling to the old world must accept what is coming.
[00:02:48.836 --> 00:02:53.838]  On July 4th, the truth must not rise.
[00:03:14.779 --> 00:03:27.899]  Alright folks, it is Monday the 30th day of June 2008 and Truth Rising will come out this Friday at PrisonPlanet.tv and of course you can now officially order it.
[00:03:27.899 --> 00:03:30.303]  For all intents and purposes it is not pre-ordering.
[00:03:31.245 --> 00:03:51.337]  Because it'll be shipping out Saturday and next Monday to all of you out there on DVD, the preeminent 9-11 film, because it shows the activism that is taking over the media, that is short-circuiting the New World Order's puppets, that is really giving them the shakes.
[00:03:51.337 --> 00:03:54.919]  Now that trailer you just heard, I first saw it Friday night on YouTube.
[00:03:54.919 --> 00:03:59.222]  We got it posted by Saturday afternoon, and we
[00:04:00.495 --> 00:04:04.376]  Posted it there, making clear that it was a fan video.
[00:04:04.376 --> 00:04:06.857]  Obviously, that's not the New World Order.
[00:04:06.857 --> 00:04:15.099]  And if you watch the images, it says, you know, you're not the majority, and we show a poll where 80-something percent believe 9-11's an inside job.
[00:04:15.099 --> 00:04:27.982]  I mean, really, sometimes, I don't think of myself as that smart, and I don't think of most of us in this movement as that smart, but really, sometimes, we have to realize that we're just average, and that a lot of people
[00:04:28.999 --> 00:04:31.441]  Are just totally dumb.
[00:04:31.441 --> 00:04:36.025]  Because the video has gone completely viral and people think it's real.
[00:04:36.025 --> 00:04:40.669]  Or they think we made it and they think it's... There's no end to it.
[00:04:40.669 --> 00:04:45.053]  There is not a thimble, a thimble's worth of discernment out there.
[00:04:45.053 --> 00:04:47.956]  Sometimes, and uh... Just amazing.
[00:04:47.956 --> 00:04:51.679]  Alright, huge news, massive guest, totally jam-packed, stay with us.
[00:04:53.604 --> 00:04:55.585]  Heart disease is on the rise.
[00:04:55.585 --> 00:05:02.548]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:05:02.548 --> 00:05:10.951]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:05:10.951 --> 00:05:16.674]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:05:16.974 --> 00:05:17.375]  I don't know.
[00:05:35.558 --> 00:05:38.040]  Order your two-month supply today by calling 866-295-5305.
[00:05:38.040 --> 00:05:38.860]  That's 866-295-5305.
[00:05:38.860 --> 00:05:39.981]  Or order online at HBextract.com.
