[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[00:00:33.351 --> 00:00:40.555]  A new bill introduced into the Texas legislature just two days ago would allow cops to take your money on the spot.
[00:00:40.555 --> 00:00:42.076]  What are the implications of that?
[00:00:42.076 --> 00:00:44.417]  The bill was introduced by Representative Alan Fletcher.
[00:00:44.417 --> 00:00:45.737]  He is a former cop.
[00:00:45.737 --> 00:00:50.200]  He's the vice chair of the Homeland Security Committee and he's on the Transportation Committee.
[00:00:50.200 --> 00:00:55.823]  This bill would require cops to inform defendants of the possibility of making an immediate payment of the fine
[00:00:56.563 --> 00:01:01.164]  And related court costs by use of a credit or debit card.
[00:01:01.164 --> 00:01:04.485]  And the cop would be the one accepting payment.
[00:01:04.485 --> 00:01:12.907]  Now of course the argument for this is that it would expedite collection, it would make everything just run so much more smoothly and securely for the police.
[00:01:12.907 --> 00:01:15.827]  But is it something that would increase your security?
[00:01:15.827 --> 00:01:22.469]  The police officer, as Adan points out, is going to have all of your personal information, now your credit card information as well.
[00:01:23.069 --> 00:01:27.673]  Do we have to worry about a cop committing fraud or identity theft?
[00:01:27.673 --> 00:01:34.658]  But by pulling you over and taking your money right there on the spot, it might help people to understand what this is really about.
[00:01:34.658 --> 00:01:36.479]  It's not about safety.
[00:01:36.479 --> 00:01:38.701]  It's about highway robbery.
[00:01:38.701 --> 00:01:39.522]  Literally.
[00:01:39.522 --> 00:01:48.689]  About 150 years ago, before we had cars and speeding tickets, Lysander Spooner asked the rhetorical question, what's the difference between government and a highway robber?
[00:01:49.653 --> 00:01:57.295]  Well, he pointed out the highway robber doesn't pretend he has any rightful claim to your money, or that he intends to use it for your own benefit.
[00:01:57.295 --> 00:02:03.057]  And, having taken your money, he says he leaves you as you would like for him to do.
[00:02:03.057 --> 00:02:06.858]  But unlike the government, the highway robber doesn't keep protecting you.
[00:02:07.478 --> 00:02:13.322]  By commanding that you bow down and serve him, by requiring you to do this and forbidding you to do that.
[00:02:13.322 --> 00:02:18.525]  Of course, this is all about the vanishing due process, vanishing trial by jurors.
[00:02:18.525 --> 00:02:23.948]  And of course, the idea and the understanding of jury nullification has long since left us.
[00:02:23.948 --> 00:02:26.030]  But this is heading in another direction as well.
