[00:00:07.907 --> 00:00:09.648]  Now listen up!
[00:00:09.648 --> 00:00:11.768]  The globalists are making their move.
[00:00:11.768 --> 00:00:12.608]  But we know their plan.
[00:00:12.608 --> 00:00:19.390]  And we can stop them.
[00:00:19.390 --> 00:00:21.951]  She'll get her way.
[00:00:21.951 --> 00:00:29.493]  America cannot be defeated as long as we get on our knees before God.
[00:00:29.493 --> 00:00:32.154]  Ladies and gentlemen, we are broadcasting worldwide.
[00:00:33.306 --> 00:00:37.289]  On this Tuesday, March 31st, 2020.
[00:00:37.289 --> 00:00:40.772]  Global Transmission.
[00:00:40.772 --> 00:00:42.994]  I am your host, Alex Jones.
[00:00:42.994 --> 00:01:01.708]  We've got a raft of incredible guests today, including Paul Joseph Watson, whose story is right up at the top of the vaunted Drudge Report, like the Eye of Sauron, a giant red siren, like the Drudge Siren.
[00:01:03.337 --> 00:01:07.341]  Is there like the eye of Sauron to scare the public?
[00:01:07.341 --> 00:01:14.749]  And now we know the Democrats want to replace Cuomo, if Hillary can't do it, in as faltering Joe Biden prepares to collapse.
[00:01:14.749 --> 00:01:22.978]  That is 1 billion percent being done to create panic and total and complete hysteria.
[00:01:22.978 --> 00:01:23.719]  Ladies and gentlemen.
[00:01:25.390 --> 00:01:29.071]  That story is absolutely critical from Summit.News.
[00:01:29.071 --> 00:01:37.573]  Also, there's another drug report linked to ImpleWars.com and ZeroHedge, dealing with all over the country, boarding up for civil unrest.
[00:01:37.573 --> 00:01:50.997]  We have massive developments, cutting-edge intel, and scuttlebutt inside Fox News and the NRA about the Democrats' plans, if they can steal the election, to shutter the NRA and take over Fox News.
[00:01:50.997 --> 00:01:54.298]  But first, Governor Cuomo with egg on his filthy face.
[00:01:55.592 --> 00:02:04.820]  Were there ventilators found in a storage facility or something that the president is claiming that there were ventilators found that they need to be distributed?
[00:02:04.820 --> 00:02:06.882]  Is there any truth to that?
[00:02:06.882 --> 00:02:13.507]  That is incorrect and grossly uninformed.
[00:02:13.507 --> 00:02:20.974]  The point is we have ventilators in a stockpile and we haven't sent them to the hospitals yet.
[00:02:21.656 --> 00:02:22.697]  Of course we didn't.
[00:02:22.697 --> 00:02:23.937]  That's the whole point.
[00:02:23.937 --> 00:02:25.618]  The hospitals don't need them yet.
[00:02:25.618 --> 00:02:27.560]  Hospitals aren't at their apex.
[00:02:27.560 --> 00:02:30.401]  The hospitals have enough ventilators today.
[00:02:30.401 --> 00:02:32.863]  The numbers are going up.
[00:02:32.863 --> 00:02:37.326]  We're planning for an apex, a high point, in about 21 days.
[00:02:37.326 --> 00:02:38.746]  That's when we need the 30,000 ventilators.
[00:02:40.822 --> 00:02:43.424]  Right now, we're putting them in a stockpile.
[00:02:43.424 --> 00:02:47.086]  So the point is, while they're in a stockpile, you must not need them.
[00:02:47.086 --> 00:02:48.527]  It's just ignorant.
[00:02:48.527 --> 00:02:50.408]  Of course you don't need them today.
[00:02:50.408 --> 00:02:55.111]  You need them when you hit the climax, which is 30,000.
[00:02:55.111 --> 00:02:59.774]  Where are the ventilators?
[00:02:59.774 --> 00:03:00.674]  Where are the gowns?
[00:03:00.674 --> 00:03:01.815]  Where's the PPEs?
[00:03:01.815 --> 00:03:02.635]  Where are the masks?
[00:03:02.635 --> 00:03:04.417]  Where are they?
[00:03:04.417 --> 00:03:06.098]  It is a war!
[00:03:06.098 --> 00:03:07.839]  Well, then act like it's a war!
[00:03:09.133 --> 00:03:15.057]  And at the rate they are going, it is not happening!
[00:03:15.057 --> 00:03:18.720]  FEMA says we're sending 400 ventilators.
[00:03:18.720 --> 00:03:20.081]  Really?
[00:03:20.081 --> 00:03:21.922]  What am I going to do with 400 ventilators when I need 30,000?
[00:03:21.922 --> 00:03:27.206]  You picked the 26,000 people who are going to die because you only sent 400 ventilators.
[00:03:33.979 --> 00:03:39.561]  We have ventilators in a stockpile and we didn't send them to the hospitals yet.
[00:03:39.561 --> 00:03:40.601]  Of course we didn't.
[00:03:40.601 --> 00:03:42.081]  That's the whole point.
[00:03:42.081 --> 00:03:43.722]  The hospitals don't need them yet.
[00:03:43.722 --> 00:03:45.462]  The hospitals aren't at their apex.
[00:03:45.462 --> 00:03:48.623]  The hospitals have enough ventilators today.
[00:03:48.623 --> 00:03:53.124]  We're planning for an apex, a high point, in about 21 days.
[00:03:53.124 --> 00:03:55.445]  That's when we need the 30,000 ventilators.
[00:03:55.445 --> 00:03:56.585]  Not today.
