[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[00:04.440 --> 00:08.480]  They're going to help me get my invention off the drawing board and into the marketplace.
[00:08.480 --> 00:11.620]  I really need Inventek. What's that number again?
[00:11.620 --> 00:14.800]  1-800-313-6868.
[00:14.800 --> 00:15.660]  One more time?
[00:15.660 --> 00:18.960]  Call 1-800-313-6868.
[00:18.960 --> 00:22.300]  That's 1-800-313-6868.
[00:22.300 --> 00:24.300]  You're listening to GCN.
[00:28.300 --> 00:40.300]  Big Brother. Mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:40.300 --> 00:56.300]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[01:11.300 --> 01:18.300]  The Big Texas Independence Day rally is tomorrow, March 2nd. It is March 1st.
[01:18.300 --> 01:26.300]  Already the beginning of the third month of 2007. We're going to be live here for the next three hours.
[01:26.300 --> 01:37.300]  And I want to open the phones up for the entire three hours and take your calls on the BBC Building 7 Implosion Control Demolition cover-up.
[01:37.300 --> 01:41.300]  On the latest Oklahoma City revelations that came out a week ago.
[01:41.300 --> 01:50.300]  On what's happening to the global stock market and the stock markets here in the United States with the different indexes, indices.
[01:50.300 --> 02:02.300]  You want to discuss how the carriers are lined up and major publications are reporting that the White House is intending to order an attack on Iran simultaneously with Israel.
[02:02.300 --> 02:10.300]  With Israel getting clearance from Arab states, Gulf states to fly over their nations to attack Iran.
[02:10.300 --> 02:21.300]  Ahmed Adinajad, Adinajid, depending on the pronunciation you favor, is going to engage in an extremely rare trip to Saudi Arabia.
[02:21.300 --> 02:28.300]  They're arch enemies with the Sunni versus the Shia.
[02:28.300 --> 02:34.300]  We have just got so much news going on as we literally edge up against the edge of the precipice.
[02:34.300 --> 02:41.300]  I remember the old timers always saying there'd be World War III starting in the Middle East and the Russians and the Chinese might be involved.
[02:41.300 --> 02:47.300]  And there'd be a domestic police state and foreign troops and North American unions and cameras everywhere.
[02:47.300 --> 02:54.300]  And even when I was just waking up in Anti-Federal Reserve and Anti-Police State 12, 15 years ago.
[02:54.300 --> 02:58.300]  I woke up about 15 years ago, got on air over 12 years ago.
[02:58.300 --> 03:04.300]  I still didn't buy into all that and boy did they know what they were talking about because now we've entered that time.
[03:04.300 --> 03:07.300]  We've got a government that blows up skyscrapers right in front of us.
[03:07.300 --> 03:11.300]  We've got a government that puts live cancer viruses in our vaccines.
[03:11.300 --> 03:15.300]  We've got a, and I'm not talking about the new one they're pushing that's a live cancer virus to cure cancer.
[03:15.300 --> 03:19.300]  I mean they put cancer viruses in many of the other vaccines.
[03:19.300 --> 03:22.300]  We live in just an insane asylum.
[03:22.300 --> 03:30.300]  We are in a total twilight zone, outer limits, brave new world, cuckoo for cocoa puffs land.
[03:30.300 --> 03:34.300]  Every day is so exciting. Every day is a new twist.
[03:34.300 --> 03:38.300]  And I want to hear what you think is going to happen in the next year, the next two years.
[03:38.300 --> 03:41.300]  Will they go into Iran? What do you think will happen when they go into Iran?
[03:41.300 --> 03:48.300]  What do you think about the BBC and now seeing in cover up of the footage of them saying,
[03:48.300 --> 03:53.300]  yeah, building seven Solomon Brothers has fallen. There's been big new developments there.
[03:53.300 --> 03:55.300]  We'll go through for you.
[03:55.300 --> 04:11.300]  The toll free number to join us on this first day of March beware the Ides of March 1-800-259-9231-800259-9231.
[04:11.300 --> 04:14.300]  When we get back, I'll go straight into the world economic outlook right now.
[04:14.300 --> 04:23.300]  Global stock markets resume plunge. This out of AFP, AP stocks try to recover.
[04:23.300 --> 04:25.300]  Nice spin there.
[04:25.300 --> 04:30.300]  Africa where the next U.S. oil wars may be interesting article I have there.
[04:30.300 --> 04:35.300]  Greenspan says U.S. recession possible, not probable. We're already in a recession.
[04:35.300 --> 04:40.300]  And much more coming up today here on the broadcast.
[04:40.300 --> 04:51.300]  And then we'll get into the latest information, media blacklist, BBC fiasco, Google dig sensor 9-11 truth.
[04:51.300 --> 05:00.300]  News 24 time stamp video disappears from Google video, despite the fact it's under 30 seconds in length and clearly contains fair use.
[05:00.300 --> 05:05.300]  Dig lets small minority of morons decide its content.
