whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 |

main: processing 'wav/20140914_Sun_Alex.wav' (115184536 samples, 7199.0 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:08.440]   I have sworn upon the altar of God eternal hostility against every form of
[00:00:08.440 --> 00:00:15.800]   tyranny over the mind of man. Thomas Jefferson. It's Alex Jones on the GCN
[00:00:15.800 --> 00:00:19.000]   radio network.
[00:00:19.000 --> 00:00:29.520]   Welcome, welcome, welcome everyone out there listening to my voice. This is the
[00:00:29.520 --> 00:00:33.320]   Alex Jones show. We're gonna be here live for the next two hours till 4 p.m.
[00:00:33.320 --> 00:00:38.640]   Central. You can catch us every day during the week 11 a.m. to 2 p.m. Central
[00:00:38.640 --> 00:00:43.400]   and it's the Alex Jones show. I'm your host Rob Doo and we've got quite a show
[00:00:43.400 --> 00:00:48.240]   for you. Next segment we're gonna have Paul Watson coming in through Skype, the
[00:00:48.240 --> 00:00:50.920]   magic of Skype from across the river. We're gonna be talking about Ebola. I
[00:00:50.920 --> 00:00:55.640]   have a whole plethora of information on Ebola that we're gonna be covering from
[00:00:55.640 --> 00:00:58.760]   the government's preparation that they're not telling you about to the
[00:00:58.760 --> 00:01:02.800]   fact that they've known this thing can be airborne and for at least 25 years
[00:01:02.800 --> 00:01:06.680]   they've known this and we're gonna go over all that coming up. We've got quite
[00:01:06.680 --> 00:01:10.200]   a show for you. We're gonna be covering the latest ISIS news. If you don't know
[00:01:10.200 --> 00:01:16.480]   that ISIS has released a third professional quality beheading video.
[00:01:16.480 --> 00:01:22.040]   This guy's a Brit. We're gonna be covering that and what it means. They've
[00:01:22.040 --> 00:01:26.920]   released tons of videos before of them capturing Syrians and Iraqis and cutting
[00:01:26.920 --> 00:01:31.040]   their heads off and decapitating them but these videos that really don't show
[00:01:31.040 --> 00:01:35.840]   any of the the brutal carnage of it seem to really hit home with the American
[00:01:35.840 --> 00:01:39.760]   public and the government. There's the article today on Infowars.com. There's
[00:01:39.760 --> 00:01:43.960]   yesterday video ISIS reportedly behead the British aid worker and then they
[00:01:43.960 --> 00:01:49.180]   bring up another one saying they're gonna do him next. And Ebola news we have
[00:01:49.180 --> 00:01:54.760]   four doctors now in the United States who are to have recovered. One's in
