[00:00:09.864 --> 00:00:11.726]  Riding on the highway!
[00:00:11.726 --> 00:00:15.069]  From the InfoWars.com studio, it's Alex Jones.
[00:00:40.086 --> 00:00:41.887]  Promoting liberty and freedom!
[00:00:41.887 --> 00:00:45.769]  Gettin' took!
[00:00:45.769 --> 00:00:47.430]  I'll tell ya!
[00:00:59.387 --> 00:01:01.589]  Welcome so much for joining us.
[00:01:01.589 --> 00:01:03.070]  I really appreciate you tuning in today.
[00:01:03.070 --> 00:01:10.794]  There's a lot of football games on, a lot of sunny skies out there, a lot of good stuff happening, a lot of bad stuff happening as well.
[00:01:10.794 --> 00:01:17.998]  You have a lot of choices out there in the media and I appreciate folks being concerned about what's happening in the world.
[00:01:17.998 --> 00:01:19.759]  We are broadcasting worldwide.
[00:01:19.759 --> 00:01:21.960]  It's four o'clock Central Standard Time.
[00:01:21.960 --> 00:01:24.742]  Already, already, hard to believe,
[00:01:25.899 --> 00:01:36.563]  The sixth day of September, 2015, and we will be live here, my friends, for the next two hours, as we are every Sunday.
[00:01:36.563 --> 00:01:39.384]  Every day I start the broadcast, and I'm just honest with you.
[00:01:39.384 --> 00:01:41.265]  Wow, we got a lot of news!
[00:01:41.265 --> 00:01:43.565]  And usually I cover about 20% of it.
[00:01:43.565 --> 00:01:44.626]  Some days I cover 60-70% of it.
[00:01:44.626 --> 00:01:48.407]  Every once in a while I cover 90-something percent of it.
[00:01:48.407 --> 00:01:50.728]  Today's one of the days I really should cover all of it.
[00:01:54.827 --> 00:01:58.470]  Because when you look at this world, there are two types of people when you boil it all down.
[00:01:58.470 --> 00:02:02.193]  There's different subgroups, but there's dogs and there's cats.
[00:02:02.193 --> 00:02:05.876]  And I got this article right here out of the National Post.
[00:02:05.876 --> 00:02:10.300]  Your cat doesn't love you, scientific studies show.
[00:02:10.300 --> 00:02:18.067]  I don't need a scientific study to show me that my cat, and I do have one cat and two dogs, does not love me.
[00:02:19.295 --> 00:02:25.417]  It only wants to pretend I'm its mother and make biscuits on my stomach in an infantile manner.
[00:02:25.417 --> 00:02:28.397]  But it could care less if I fell down and died tomorrow.
[00:02:28.397 --> 00:02:33.278]  It doesn't have anxiety when I'm gone, except it wants to bitch and gripe and ask for food.
[00:02:33.278 --> 00:02:35.399]  It wants a free handout.
[00:02:35.399 --> 00:02:40.660]  My dogs, on the other hand, would basically die and have heart attacks if something happened to me.
[00:02:40.660 --> 00:02:41.420]  And that's clear.
[00:02:41.420 --> 00:02:48.022]  And it's that spiritual connection, it's that honorableness of the dog, which isn't perfect, but it has honor.
[00:02:49.395 --> 00:02:55.979]  Silly and ignorant, but has guts and guts is enough, is why I'm a dog person and not a cat person.
[00:02:55.979 --> 00:03:05.984]  And people out there that think they're getting ahead being cat people, folks that think they're getting ahead not caring about other folks, you think you're cool, only caring about yourself, you're an idiot.
[00:03:05.984 --> 00:03:08.966]  It's like people that get in a hot tub and take a crap.
[00:03:08.966 --> 00:03:13.048]  And I hate to be gross here, but you think you're getting away with it, go to the bathroom!
[00:03:13.048 --> 00:03:16.310]  When you crap on everyone else, you're crapping on yourself.
[00:03:16.310 --> 00:03:18.611]  And these are just elementary understandings here.
[00:03:19.761 --> 00:03:25.363]  Cats are not pack animals unless you look at lions in Africa and they still feed on each other.
[00:03:25.363 --> 00:03:29.504]  Dogs are creatures of honor, first and foremost.
[00:03:29.504 --> 00:03:35.266]  And if I had to have an archetypal totem animal, it would be the dog.
[00:03:35.266 --> 00:03:41.288]  Cats are cute, cats are funny, but make no mistake, they won't be there for you when you're in a jam.
[00:03:41.288 --> 00:03:45.029]  And if somebody comes in your house and attacks you, they're not going to stand up for you.
[00:03:45.765 --> 00:03:46.986]  Dogs will.
[00:03:46.986 --> 00:03:50.828]  You don't hear about cops going to people's houses and shooting their cats, do you?
[00:03:50.828 --> 00:03:53.349]  It's the dog, because they're not cowards.
[00:03:53.349 --> 00:03:57.832]  Even if they're little or they're big, they stand up because they love you.
[00:03:57.832 --> 00:04:05.075]  And our society is imploding because we're becoming a cat society, not a dog society.
[00:04:05.075 --> 00:04:09.598]  And listen, people that don't stand up for themselves, people that don't care about you, don't stand up for them.
[00:04:11.394 --> 00:04:18.240]  But people that are willing to stand up for you, people that have will, that's who I'm gonna stand up with.
[00:04:18.240 --> 00:04:22.023]  Now we got a lot of news, we're gonna cover it all here today.
[00:04:22.023 --> 00:04:29.570]  And we've got the last three minutes of a 14 minute video I shot yesterday, when the spirit of liberty, you could call it, was really upon me.
[00:04:29.570 --> 00:04:32.593]  The spirit of Paul Revere was strong yesterday.
[00:04:32.593 --> 00:04:36.176]  And I shot this video yesterday morning, total emergency alert update.
[00:04:37.756 --> 00:04:39.477]  The global meltdown has begun.
[00:04:39.477 --> 00:04:42.499]  I can say that with confidence now.
[00:04:42.499 --> 00:04:48.662]  We're going to intro with that in the next segment, and then we're going to launch straight ahead, and you ain't seen nothing yet.
[00:04:48.662 --> 00:04:52.305]  I'm going to put it all on the line, straight ahead.
[00:04:52.305 --> 00:04:54.826]  Because if I don't, I'm a seller.
[00:04:54.826 --> 00:04:57.127]  I've got to give my full will to liberty.
[00:04:57.127 --> 00:04:57.948]  I'm a piece of filth.
[00:04:59.324 --> 00:05:02.586]  A clean, toxic-free body is the foundation of true health.
[00:05:02.586 --> 00:05:12.532]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:05:12.532 --> 00:05:17.855]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:05:17.855 --> 00:05:26.740]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:05:27.020 --> 00:05:35.910]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:05:35.910 --> 00:05:42.997]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:05:42.997 --> 00:05:48.944]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:05:49.364 --> 00:05:54.309]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[00:05:54.309 --> 00:05:56.251]  That's Infowarslife.com or call 888-253-3139.
[00:06:11.093 --> 00:06:14.677]  Crashing through the lies and disinformation.
[00:06:14.677 --> 00:06:18.841]  It's Alex Jones on the GCN Radio Network.
[00:06:20.334 --> 00:06:26.018]  It's Sunday, we're live broadcasting worldwide on the 6th day of September 2015.
[00:06:26.018 --> 00:06:36.465]  Here's the tail end of a 14 minute emergency alert I issued yesterday that's gone mega viral with millions of views on Facebook, hundreds of thousands on YouTube right now.
[00:06:36.465 --> 00:06:40.948]  Total emergency alert, the global financial collapse has begun.
[00:06:40.948 --> 00:06:42.509]  Here's the tail end of that report.
[00:06:42.509 --> 00:06:45.411]  So this is a total emergency alert.
[00:06:47.472 --> 00:06:50.634]  Planned financial crisis and global meltdown accelerating.
[00:06:50.634 --> 00:06:52.015]  I don't know if we can stop it.
[00:06:52.015 --> 00:06:55.597]  I don't know what tricks they have up their sleeves, but I study this stuff.
[00:06:55.597 --> 00:06:57.578]  And all I'm saying is get yourself and your family ready.
[00:06:59.335 --> 00:07:02.417]  Defensively, but offensively get out there and warn people.
[00:07:02.417 --> 00:07:04.137]  And let me tell you, the military is waking up.
[00:07:04.137 --> 00:07:05.038]  Police are waking up.
[00:07:05.038 --> 00:07:06.739]  That's why they want us to have a civil war with them.
[00:07:06.739 --> 00:07:09.780]  They're not perfect by any means.
[00:07:09.780 --> 00:07:11.901]  But we just need to be peaceful.
[00:07:11.901 --> 00:07:13.282]  We need to promote liberty.
[00:07:13.282 --> 00:07:14.623]  We need to stand up for ourselves.
[00:07:14.623 --> 00:07:16.944]  But also, people need to get firearms.
[00:07:16.944 --> 00:07:18.244]  They need to train with them.
[00:07:18.244 --> 00:07:19.225]  They need to get prepared.
[00:07:19.225 --> 00:07:21.366]  They need to get ready for self-defense.
[00:07:23.473 --> 00:07:26.836]  So that's what it comes down to, ladies and gentlemen.
[00:07:26.836 --> 00:07:27.797]  I don't know what else to say.
[00:07:27.797 --> 00:07:31.781]  I'm going to post this video to InfoWars.com, PrisonPlanet.com.
[00:07:31.781 --> 00:07:34.143]  I'm going to get it out on Facebook and Twitter.
[00:07:34.143 --> 00:07:41.090]  It needs to not get 1.6 million views like it got on our channel and then a couple million on other places.
[00:07:41.090 --> 00:07:45.635]  This video needs to get 50 million views.
[00:07:45.635 --> 00:07:47.436]  I'm risking my life bringing you this intel.
[00:07:48.692 --> 00:07:51.894]  The enemy attacks us every day in major newspapers and TV for a reason, folks.
[00:07:51.894 --> 00:07:54.075]  We know what we're talking about.
[00:07:54.075 --> 00:07:55.396]  This isn't a game.
[00:07:55.396 --> 00:08:06.482]  And I am basically playing chicken with the globalists, not because I want to play chicken, but because I have to for my family and for honor, going head up against these people.
[00:08:06.482 --> 00:08:08.183]  This is not a game.
[00:08:08.183 --> 00:08:09.584]  This is deadly serious.
[00:08:09.584 --> 00:08:13.807]  And people not taking it serious are going to allow this to come to fruition.
[00:08:13.807 --> 00:08:15.207]  Look at my eyes and look at the evidence.
[00:08:15.207 --> 00:08:16.128]  You think I'm playing games?
[00:08:17.984 --> 00:08:19.806]  You think the police are freaked out?
[00:08:19.806 --> 00:08:24.650]  You think the military's running around preparing for civil unrest and admitting they are for no reason?
[00:08:24.650 --> 00:08:26.872]  We have a depression this time.
[00:08:26.872 --> 00:08:28.554]  Tens of millions will starve to death.
[00:08:28.554 --> 00:08:30.996]  Seven million died during the last Great Depression from malnutrition.
[00:08:30.996 --> 00:08:31.857]  Look it up.
[00:08:31.857 --> 00:08:32.538]  University Studies.
[00:08:34.039 --> 00:08:35.340]  This isn't a game, folks.
[00:08:35.340 --> 00:08:41.062]  This spoiled, rotten, decadent population out there, about half the population, will eat us alive, the producers.
[00:08:41.062 --> 00:08:43.463]  The giant criminal gangs that have been armed.
[00:08:43.463 --> 00:08:44.744]  The time bomb.
[00:08:44.744 --> 00:08:47.985]  You ever wondered how America would be taken down, and a bunch of other countries at the same time?
[00:08:47.985 --> 00:08:50.226]  An organized, worldwide depression.
[00:08:50.226 --> 00:08:56.149]  With shadow, radical Islamic armies there to create the crises whenever the governments need to come in and take liberties.
[00:08:56.149 --> 00:08:57.329]  The government's got a decision.
[00:08:57.329 --> 00:08:59.030]  A lot of good people in government.
[00:08:59.030 --> 00:09:02.152]  You want to be collaborators with this, or you want to wake up and face the facts?
[00:09:03.052 --> 00:09:05.415]  The corporations, people that work in them have a decision to make.
[00:09:05.415 --> 00:09:08.399]  But most importantly, look in the mirror.
[00:09:08.399 --> 00:09:08.839]  Look in the mirror.
[00:09:08.839 --> 00:09:09.540]  Let's get right over here.
[00:09:09.540 --> 00:09:10.862]  Let's look in the mirror right here.
[00:09:10.862 --> 00:09:12.524]  You look in that mirror right there.
[00:09:12.524 --> 00:09:13.966]  Look in it.
[00:09:13.966 --> 00:09:15.007]  Look in that mirror right there.
[00:09:15.007 --> 00:09:16.249]  You need to look in that mirror.
[00:09:16.249 --> 00:09:18.211]  You need to ask yourselves where you stand.
[00:09:18.211 --> 00:09:20.594]  You need to ask yourselves what you're going to do.
[00:09:21.360 --> 00:09:22.741]  Because this is it.
[00:09:22.741 --> 00:09:24.121]  We don't get involved now.
[00:09:24.121 --> 00:09:25.222]  They're test ballooning us.
[00:09:25.222 --> 00:09:27.203]  They're trial ballooning us right now.
[00:09:27.203 --> 00:09:28.463]  They're testing.
[00:09:28.463 --> 00:09:30.424]  And we fail this test.
[00:09:30.424 --> 00:09:31.445]  You like Obamacare?
[00:09:31.445 --> 00:09:33.326]  You like totally open borders?
[00:09:33.326 --> 00:09:37.048]  You like being lectured that you can't say mom or dad or boy or girl in school?
[00:09:37.048 --> 00:09:38.028]  You want to live in a cult?
[00:09:38.028 --> 00:09:39.229]  You want to be a slave?
[00:09:39.229 --> 00:09:41.370]  You want to spy on every corner telling you what to do?
[00:09:41.370 --> 00:09:43.531]  You want to be force-fed GMOs and force-inoculated?
[00:09:44.531 --> 00:09:45.852]  We're already getting gang-raped.
[00:09:45.852 --> 00:09:48.033]  This was just the foreplay.
[00:09:48.033 --> 00:09:49.074]  All right, you've been warned.
[00:09:49.074 --> 00:09:50.175]  Total emergency alert.
[00:09:50.175 --> 00:09:51.716]  Get it out to everybody.
[00:09:51.716 --> 00:09:53.377]  We are the Paul Revere's of this age.
[00:09:53.377 --> 00:09:54.818]  You are the Paul Revere's of this age.
[00:09:54.818 --> 00:09:56.239]  Every race, color, and creed.
[00:09:56.239 --> 00:09:58.901]  Alex Jones signing off for Infowars.com.
[00:09:58.901 --> 00:10:03.064]  The rest is up to you.
[00:10:03.064 --> 00:10:05.525]  And that is just the tail end of a 14-minute report.
[00:10:05.525 --> 00:10:11.009]  The last three minutes, the first 11 minutes, I break down all the news articles, the documents, the graphs.
[00:10:11.009 --> 00:10:11.550]  It's all
[00:10:12.489 --> 00:10:19.736]  Detailed at Infowars.com right now if you want to see that video and then email it to friends and family to warn them.
[00:10:19.736 --> 00:10:25.943]  Because exposing this may stop it.
[00:10:25.943 --> 00:10:30.988]  I remember about six months ago as the massive immigrant waves out of North Africa and the Middle East
[00:10:31.835 --> 00:10:53.136]  After Saudi Arabia launched a bunch of wars against peaceful countries, as these immigrant waves hit, ISIS, which is Al-Qaeda, bragged in the news, it was in Associated Press, it was everywhere, we're using immigrant waves to hide ourselves and our operatives to invade Europe and the United States, and we're going to have sleeper cells start attacking.
[00:10:53.136 --> 00:10:54.137]  And that's now unfolding.
[00:10:55.180 --> 00:11:02.387]  On Friday, ISIS issued a new video and a new statement, WorldNetDaily covered it, DrudgeReport linked to it, so did Infowars.
[00:11:02.387 --> 00:11:04.268]  ISIS smuggler.
[00:11:04.268 --> 00:11:09.173]  We will use refugee crisis to infiltrate West.
[00:11:09.173 --> 00:11:14.278]  ISIS now has more than 4,000 fighters ready throughout the European Union.
[00:11:14.278 --> 00:11:15.659]  Do you have any idea how much havoc?
[00:11:18.368 --> 00:11:26.295]  If 20 hijackers or 19 hijackers could cause the havoc you saw on 9-11, can you imagine what 4,000 can do?
[00:11:26.295 --> 00:11:31.839]  And yes, I'm the guy that exposes an inside job.
[00:11:31.839 --> 00:11:40.806]  But it's a real threat manufactured synthetically by the criminal globalist and then allowed to operate and turned loose.
[00:11:40.806 --> 00:11:46.171]  The average cop, the average judge, the average FBI agent is not involved.
[00:11:48.587 --> 00:11:50.548]  It's staged, but it's real.
[00:11:50.548 --> 00:11:53.309]  And I'll use the analogy for the hundredth time.
[00:11:53.309 --> 00:12:06.973]  If I bred a hundred black widows and hated my neighbor and went and dumped him in their bed during the day, knowing they go under the bed, but at night they'd come out and bite him, because he'd roll over on them, did I run the black widows?
[00:12:06.973 --> 00:12:08.154]  Did I command them?
[00:12:08.154 --> 00:12:09.074]  Did I control them?
[00:12:09.074 --> 00:12:10.494]  No.
[00:12:10.494 --> 00:12:12.315]  But I'm still aiding and abetting.
[00:12:12.315 --> 00:12:17.677]  I'm still premeditatedly trying to kill my neighbor by dumping the black widows in the bed.
[00:12:19.721 --> 00:12:23.704]  Do I run a rattlesnake I put under your car seat?
[00:12:23.704 --> 00:12:26.826]  No.
[00:12:26.826 --> 00:12:30.289]  But I knew what the weapon would do.
[00:12:30.289 --> 00:12:31.249]  And that's the difference.
[00:12:31.249 --> 00:12:35.332]  And then when they attack, they'll take our liberties and our freedoms.
[00:12:35.332 --> 00:12:35.452]  It's 101.
[00:12:38.939 --> 00:12:43.060]  Russia has moved more than 200 pilots in and 200 fighter bombers.
[00:12:43.060 --> 00:12:46.501]  They're battling Al-Qaeda, known as ISIS right now.
[00:12:46.501 --> 00:12:53.444]  And the State Department has warned Russia of all-out war, UPIAP, if they continue to battle Al-Qaeda.
[00:12:53.444 --> 00:12:54.784]  Do I defend Russia?
[00:12:54.784 --> 00:12:56.305]  Have I ever been to Russia?
[00:12:56.305 --> 00:12:57.165]  Am I Slavic?
[00:12:57.165 --> 00:12:57.785]  No!
[00:12:57.785 --> 00:12:59.886]  But Russia's in the right!
[00:12:59.886 --> 00:13:01.927]  They're fighting Al-Qaeda.
[00:13:01.927 --> 00:13:05.108]  Our government runs Al-Qaeda.
[00:13:05.108 --> 00:13:06.048]  Truly sick.
[00:13:07.560 --> 00:13:12.746]  And now the Pope has come out and said Catholic churches across Europe, the same ones here in the U.S.
[00:13:12.746 --> 00:13:21.697]  that take the illegals in, that the feds ship in and give them vouchers, gotta take in all the refugees of North Africa and Europe.
[00:13:23.467 --> 00:13:31.029]  And got to integrate them into society while a large minority of them are ISIS sympathizers.
[00:13:31.029 --> 00:13:36.570]  Upwards of 30% of France now says they endorse ISIS in national polls.
