[00:00:00.209 --> 00:00:01.169]  ...and so on.
[00:00:01.169 --> 00:00:02.790]  Have you checked the results?
[00:00:02.790 --> 00:00:06.151]  Not the pictures of the bikini babes and such, but the results.
[00:00:06.151 --> 00:00:11.492]  Have you checked their pricing and the funky three-month contracts and all that stuff?
[00:00:11.492 --> 00:00:12.672]  Have you checked their results?
[00:00:12.672 --> 00:00:13.773]  Oh, that's right, I said that.
[00:00:13.773 --> 00:00:16.233]  Did you check the ingredients and you check for caffeine?
[00:00:16.233 --> 00:00:17.494]  Yeah!
[00:00:17.494 --> 00:00:19.494]  Life Change Tea's the real deal.
[00:00:19.494 --> 00:00:24.416]  Not a new yippee-yi-yay tea, but a tea if you drink it daily, it'll change your life.
[00:00:24.416 --> 00:00:25.856]  And it will clean your body.
[00:00:25.856 --> 00:00:27.196]  Our middle name is Results.
[00:00:27.196 --> 00:00:29.377]  You can pay more and you can have a celebrity smile.
[00:00:29.597 --> 00:00:29.957]  We're good to go.
[00:01:04.966 --> 00:01:09.809]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:01:09.809 --> 00:01:11.390]  You want answers?
[00:01:11.390 --> 00:01:12.950]  Well, so does he.
[00:01:12.950 --> 00:01:17.133]  He's Alex Jones on the GCN Radio Network.
[00:01:17.133 --> 00:01:21.195]  And now, live from Austin, Texas, Alex Jones.
[00:01:36.826 --> 00:01:43.829]  We have filmmaker, author, economist, successful businessman, George Humphrey, joining us for an hour and a half.
[00:01:43.829 --> 00:01:48.111]  It's the last hour and a half of this transmission today.
[00:01:48.111 --> 00:01:51.453]  It is Thursday, already the second day of April 2009.
[00:01:51.453 --> 00:02:04.839]  We have four hours laying out before us, and yes, I am going to have wide open phones all the way through the full four hours today, including when George Humphrey is in studio with us.
[00:02:06.718 --> 00:02:13.483]  The toll-free number to join us on any news item, any issue, I love the different directions that listeners take us in.
[00:02:13.483 --> 00:02:14.483]  The number is 1-800-259-9231.
[00:02:14.483 --> 00:02:14.803]  1-800-259-9231.
[00:02:14.803 --> 00:02:17.825]  Every week or so, I will type the term New World Order into a search engine.
[00:02:31.187 --> 00:02:46.276]  And hundreds and hundreds of mainstream news articles will pop up from CNN, the New York Times, you name it, saying, yes, there's a new world order, yes, it's world government run by private banks, but this will save you.
[00:02:46.276 --> 00:02:47.757]  These are the good guys.
[00:02:47.757 --> 00:02:52.019]  They know how to fix the crisis which they have engineered.
[00:02:52.019 --> 00:02:54.141]  And here's CNN last night.
[00:02:54.141 --> 00:02:57.623]  Analysts, crisis may lead to new world order.
[00:02:59.943 --> 00:03:02.686]  Here's another one out of the New York Times yesterday.
[00:03:02.686 --> 00:03:05.889]  A world in need of a new world order.
[00:03:05.889 --> 00:03:08.151]  And this is just Googling it last night.
[00:03:08.151 --> 00:03:09.433]  I haven't done it yet this morning.
[00:03:09.433 --> 00:03:11.054]  There's probably 30, 40 today.
[00:03:11.054 --> 00:03:14.297]  When I say hundreds a week, I'm not exaggerating.
[00:03:14.297 --> 00:03:15.338]  And it's the same thing.
[00:03:15.338 --> 00:03:17.781]  Oh yes, we need this new global government.
[00:03:17.781 --> 00:03:18.522]  It will save us.
[00:03:20.939 --> 00:03:23.660]  And everyone's so thankful now of CNN and Fox.
[00:03:23.660 --> 00:03:28.082]  They're admitting it's a world government run by bankers and Fox is even criticizing it.
[00:03:28.082 --> 00:03:32.104]  Oh, we've been endorsed by Glenn Beck and Sean Hannity and uh...
[00:03:33.064 --> 00:03:36.325]  All these other people, they're coming out admitting it's true.
[00:03:36.325 --> 00:03:37.766]  Oh, we can talk about it now.
[00:03:37.766 --> 00:03:39.687]  They say it's okay.
[00:03:39.687 --> 00:03:41.527]  They weren't stupid.
[00:03:41.527 --> 00:03:45.149]  They knew world government was being set up in the last 20 years.
[00:03:45.149 --> 00:03:47.149]  They knew it was all being developed.
[00:03:47.149 --> 00:03:51.851]  They're having to now try to keep some of their credibility by admitting it.
[00:03:51.851 --> 00:03:55.273]  I want apologies from all of these people, but you're not going to get that.
[00:03:55.273 --> 00:03:58.454]  In fact, if you listen to Sean Hannity, I'm going to play the clip again today because it's so important.
[00:03:59.619 --> 00:04:00.500]  He's on there with Dick Morris.
[00:04:00.500 --> 00:04:04.242]  It's like, well, these people are crazy, but they were right.
[00:04:04.242 --> 00:04:08.725]  They're crazy because they know how to read Council on Foreign Relations documents.
[00:04:08.725 --> 00:04:10.506]  They're crazy because they read U.N.
[00:04:10.506 --> 00:04:11.326]  documents.
[00:04:11.326 --> 00:04:13.908]  They're crazy because they read State Department documents.
[00:04:13.908 --> 00:04:16.249]  They're crazy because they read Club of Rome documents.
[00:04:16.249 --> 00:04:18.911]  They're crazy because they read declassified Pentagon documents.
[00:04:19.861 --> 00:04:30.767]  They're crazy because they read Army War College documents where they teach all the Army Captains in Black Ops, Special Ops, and Intelligence how to stage terror attacks.
[00:04:30.767 --> 00:04:42.673]  And every Army Captain out there listening who's been an Army Captain in the last eight years knows you were issued those manuals and you know you're taught how to stage terror attacks.
[00:04:42.673 --> 00:04:47.436]  And we will talk about it and we will link to the Army Manual and we will discuss it.
[00:04:49.045 --> 00:04:58.008]  So, you know, being called almost eight years ago a kook before 9-11 even happened, saying they were going to blow up the World Trade Centers?
[00:04:58.008 --> 00:05:06.871]  Look, I'm only stating the evidence, the facts, and now Michael Savage can come out and say the government's going to stage a big terror attack in the U.S.
[00:05:06.871 --> 00:05:10.812]  to bring in martial law.
[00:05:10.812 --> 00:05:18.014]  Now, the good news is the fact that we laid the groundwork, the fact that we told people what was going to happen before it happened, the fact that we've been right on every major issue,
[00:05:22.310 --> 00:05:27.692]  Now people are listening to us about what we're telling them is coming next, and they're actually looking at our evidence.
