[00:00.000 --> 00:13.160]  You're listening to the Alex Jones show
[00:30.000 --> 00:38.640]  It's Sunday the 22nd day already of April 2018. I'm your host Alex Jones. We'll be here for the next two hours
[00:38.640 --> 00:46.960]  Broadcasting worldwide on over 200 radio stations close to a hundred TV stations and of course streaming
[00:47.960 --> 00:55.080]  Over the internet live and in full wars.com forward slash show and on Twitter Facebook YouTube many other places where they're trying to censor
[00:55.080 --> 00:57.080]  But we're still there partially for now
[00:57.080 --> 01:04.600]  Let me just start the broadcast with this because I don't tend to plant the hook as they say and talk radio or TV and
[01:04.600 --> 01:10.280]  Tell you what's coming up so that you stay tuned for it. I tend to just get into whatever is most important right up front, but
[01:11.920 --> 01:14.320]  In the second hour today
[01:16.160 --> 01:20.360]  We're going to get into a high-level CIA source a
[01:23.200 --> 01:25.200]  Month ago
[01:25.200 --> 01:28.360]  That gave me really important information and
[01:29.760 --> 01:36.600]  Then other information I got from Pentagon sources State Department sources media sources that dubbed dealt with that
[01:40.440 --> 01:42.440]  And then I got
[01:42.760 --> 01:50.040]  Contacted a few days ago, and I was asked why aren't you covering this and I just said look I understand it's not a leak
[01:50.040 --> 01:56.280]  Because you're say you're authorized to tell me this and I know you are who you say you are
[01:56.280 --> 01:58.400]  I mean we're talking right up at the top
[01:59.960 --> 02:05.000]  One of the main directors and of course people in the government know it is so it's not a secret
[02:05.000 --> 02:12.040]  But I'm not gonna say and I've been asked not to but it's it's kind of a pinch yourself moment like why am I being given this information?
[02:12.040 --> 02:19.480]  Well, because I'll put it out unfiltered and because we're the number one broadcast listened to by people that know what's going on sure the average
[02:20.040 --> 02:26.040]  Yuppie or hippie or trendy be conservative or liberal. They don't listen because oh that's the show being attacked
[02:26.040 --> 02:29.960]  You know mainstream media attacks that show we like what's establishment
[02:29.960 --> 02:36.600]  But people that understand what's going on know that our guest our information our analysis is amongst the best in the world
[02:36.600 --> 02:38.600]  And so I'm gonna do my best job
[02:44.040 --> 02:46.040]  In the second hour
[02:46.040 --> 02:50.120]  When one of our sources who's separate from these sources, but it was basically
[02:50.840 --> 02:53.240]  As I sat on this info for almost a month
[02:54.440 --> 02:58.360]  I got the same info from Zach who that's his real first name
[02:58.360 --> 03:03.160]  He's been on TV been in the national news many times. He's well-known famous intelligence operative
[03:03.160 --> 03:05.480]  Now working in other areas of the government
[03:06.520 --> 03:08.520]  dealing with space and
[03:11.080 --> 03:13.080]  I just sat on the info
[03:13.560 --> 03:16.680]  And then I saw it develop in the news and then I got it from other people
[03:17.720 --> 03:20.360]  Who didn't even know I'd gotten it from so high up
[03:21.400 --> 03:23.080]  because
[03:23.080 --> 03:25.080]  My gut told me sit on it
[03:29.080 --> 03:31.080]  But there is that thing when it shows up
[03:31.080 --> 03:34.680]  But there is that thing when extraordinary things happen to somebody
[03:35.160 --> 03:39.560]  It's been said many times that extraordinary men and women aren't extraordinary. They live in extraordinary times
[03:40.200 --> 03:42.440]  And with me that's definitely what's going on here
[03:43.080 --> 03:46.360]  Um, but I know this information is important
[03:47.800 --> 03:50.440]  And it's basically this and I'll flush it out in the second hour
[03:53.320 --> 04:00.200]  The globalists are planning massive terror attacks all over the united states and all over europe to blame it
[04:00.200 --> 04:02.200]  Basically on the trump agenda
[04:03.560 --> 04:05.960]  And to make enemies of trump
[04:07.160 --> 04:09.160]  Look like victims
[04:10.600 --> 04:16.600]  Now one of these sources not the super high level but still high level was the one that told me on march 8th
[04:18.200 --> 04:20.920]  When they had that high level north korean delegation on the 7th
[04:21.960 --> 04:23.960]  Meet with the south korean delegation
[04:24.360 --> 04:29.160]  And the u.s. Intelligence was there. I was told kim jong-un has now already agreed to basically everything
[04:29.160 --> 04:31.640]  But it'll be a 10-year deal for reunification
[04:33.160 --> 04:34.520]  And a big
[04:34.520 --> 04:38.840]  Payment package to him and and I broke all that the day after and now it's in the news
[04:39.480 --> 04:41.720]  So that's how good the info is I get
[04:42.280 --> 04:44.280]  Was that level we broke that
[04:44.440 --> 04:49.000]  And I asked why am I being given this they said well so when you're given more important information
[04:49.320 --> 04:51.320]  People that are in the know will listen to you
[04:51.320 --> 04:59.320]  So this is very sophisticated and you're going to get it coming up stay with us
[04:59.560 --> 05:06.680]  I'm so excited the new product at info wars life.com in a glass bottle two month servings filled to the brim
[05:07.160 --> 05:12.760]  Filled to the absolute top the real red pill. This is a heart and brain pill
[05:13.480 --> 05:19.720]  A new tropic that doesn't have any stimulants in it, but boy does it stimulate because it's beyond that quite frankly
[05:19.720 --> 05:23.320]  Uh, I just went off what I saw medical doctors
[05:23.960 --> 05:29.080]  prescribing to their patients, but it wasn't prescription, but they were charging people 100 200 dollars
[05:29.960 --> 05:31.640]  for the formulae
[05:31.640 --> 05:36.040]  And I came up with our own formula working with some scientists and developers non-gmo
[05:36.600 --> 05:39.560]  Made right here in america 120 capsules
[05:40.120 --> 05:42.920]  And ladies and gentlemen you add the preglenone to it
[05:43.320 --> 05:49.080]  Which is the precursor to all the hormones that your body has to have to even make the hormones in your glands
[05:49.080 --> 05:51.080]  It is amazing
[05:52.200 --> 05:57.320]  Red pill now available at info wars store.com and your purchase fugs the operation
[06:03.160 --> 06:07.160]  You are listening to an info wars dot com front line report
[06:07.160 --> 06:17.320]  If you are receiving this transmission, you are the resistance
[06:21.240 --> 06:29.800]  From deep in the heart of fema region 6 austin texas transmitting worldwide it's alex jones
[06:29.800 --> 06:37.560]  Let me do this just so you know what's up on news wars dot com and info wars dot com
[06:38.440 --> 06:43.080]  Right now. Let me just read to you some of the incredible headlines
[06:44.840 --> 06:48.600]  That we've got here isis used chemical weapons
