[00:00:15.644 --> 00:00:16.994]  Alex Jones
[00:00:30.586 --> 00:00:34.710]  Well, it's hard to believe that it's already the sixth day of December 2015.
[00:00:34.710 --> 00:00:37.893]  Less than a month left in 2015.
[00:00:37.893 --> 00:00:41.277]  It's Sunday, four o'clock Central Standard Time.
[00:00:41.277 --> 00:00:43.279]  We are broadcasting worldwide.
[00:00:43.279 --> 00:00:45.481]  I am your host, Alex Jones.
[00:00:45.481 --> 00:00:49.425]  Joe Biggs and crew are on the ground in San Bernardino, California.
[00:00:49.425 --> 00:00:50.566]  They've been there since yesterday.
[00:00:50.566 --> 00:00:54.230]  And they have been interviewing members of
[00:00:56.094 --> 00:01:07.685]  Mrs. Malik and Mr. Farooq's mosque, the two confirmed mass murderers from the attacks last week.
[00:01:07.685 --> 00:01:14.331]  They have also been visiting different Islamic centers around the country and different reported training camps in Michigan, in upstate New York.
[00:01:14.331 --> 00:01:17.854]  They will continue next week to other states and other areas.
[00:01:20.660 --> 00:01:31.647]  They will be joining us coming up in the third segment, fourth segment, and fifth segment of the first hour today.
[00:01:31.647 --> 00:01:35.989]  We will have open phones in the second hour.
[00:01:35.989 --> 00:01:39.572]  Here, obviously, is the big news right now.
[00:01:39.572 --> 00:01:49.598]  Barack Hussein Obama is set to give a speech coming up at
[00:01:52.189 --> 00:02:02.357]  7 o'clock Central, 8 o'clock Eastern, where he reportedly is going to demonize the Second Amendment and call for massive draconian gun control.
[00:02:02.357 --> 00:02:13.746]  Kurt Nimmo details the statements by the White House, CBS News, the Attorney General, and others in an article titled, Obama to Deliver Primetime Address Sunday on Gun Control.
[00:02:15.009 --> 00:02:21.290]  Now I shot a special video about two hours ago that's on InfoWars.com.
[00:02:21.290 --> 00:02:26.031]  Emergency Obama to announce massive gun restrictions in speech.
[00:02:26.031 --> 00:02:32.632]  And some people in the comments are saying, where does it say he's going to announce more gun control?
[00:02:32.632 --> 00:02:36.013]  Well, go read the article at InfoWars.com.
[00:02:36.013 --> 00:02:40.293]  Here's one right here from NBC News.
[00:02:40.293 --> 00:02:41.894]  NBC News.
[00:02:41.894 --> 00:02:43.474]  This is up on InfoWars.com.
[00:02:45.211 --> 00:02:51.773]  Attorney General Lynch, President, will call on Congress to take actions on guns in San Bernardino Address.
[00:02:51.773 --> 00:02:57.335]  That's going to be a famous name, the San Bernardino Address.
[00:02:57.335 --> 00:03:02.176]  That the highest priority is to restrict the Second Amendment to protect the American people.
[00:03:02.176 --> 00:03:05.157]  That's a quote.
[00:03:05.157 --> 00:03:06.898]  So, get ready, folks.
[00:03:06.898 --> 00:03:09.319]  We know they've been coming for a long time.
[00:03:09.319 --> 00:03:10.319]  We know they've geared up.
[00:03:10.319 --> 00:03:12.240]  They've tripled the size of the ATF, the BATF.
[00:03:14.363 --> 00:03:16.786]  They are brainwashing the Second Amendment across the board.
[00:03:16.786 --> 00:03:26.817]  They are lowering our borders, bringing in radical jihadis, letting them attack, covering up for days it's a terror attack.
[00:03:26.817 --> 00:03:32.323]  And then moving to restrict the Second Amendment for the average American.
[00:03:33.206 --> 00:03:40.113]  This is the suspension of common sense, the suspension of reality, but it's the crisis they're going to use to take our basic freedoms.
[00:03:40.113 --> 00:03:52.644]  Now, Obama said earlier this last week, a day before the attacks in San Bernardino, that there was no terror threat in America and there was no ISIS threat.
[00:03:52.644 --> 00:03:57.009]  That's because they want the terror cells that they've deployed from Africa to Asia
[00:03:58.066 --> 00:04:04.929]  And all of the Middle East and Europe and North America to get in place first before they launch their major operations.
[00:04:04.929 --> 00:04:17.814]  Now, they're not run by the government, but they've been funded, protected, basically bred and prepared in Syria and in Iraq, and that are now allowed entry into Turkey, into Europe, into the United States.
[00:04:19.548 --> 00:04:23.093]  And that's the former head of defense intelligence and others coming out and saying that.
[00:04:23.093 --> 00:04:36.230]  When you see the former head of defense intelligence, who was still the director earlier this year, come out and say the president ordered us to help create ISIS, knowingly, consciously, that is a huge whistleblower.
[00:04:37.364 --> 00:04:40.625]  And the head of South Com's basically coming out warning as well.
[00:04:40.625 --> 00:04:43.005]  That's because they're not involved in this, folks.
[00:04:43.005 --> 00:04:45.386]  This is criminal mafia elements.
[00:04:45.386 --> 00:04:52.868]  Similar to Cobra, Spectre, things you see in Hollywood, but these... Those Hollywood character groups are based off real stuff, okay?
[00:04:52.868 --> 00:04:54.929]  And that's who's quarterbacking ISIS.
[00:04:54.929 --> 00:04:56.409]  They are here, they're getting ready to strike.
[00:04:58.106 --> 00:05:01.628]  When cells become toxic, they die early and aging sets in.
[00:05:01.628 --> 00:05:09.853]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:05:09.853 --> 00:05:15.277]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:05:15.277 --> 00:05:17.818]  You want the best that's out there at the lowest price anywhere?
[00:05:17.818 --> 00:05:19.920]  We now have the synergistic solution.
[00:05:19.920 --> 00:05:24.102]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:05:28.118 --> 00:05:32.501]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:05:32.501 --> 00:05:36.664]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:05:36.664 --> 00:05:41.608]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:05:41.608 --> 00:05:46.251]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:05:46.251 --> 00:05:49.733]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:05:49.733 --> 00:05:53.196]  Now available in our limited first run at Infowarslife.com.
[00:05:53.196 --> 00:05:55.017]  That's Infowarslife.com or call 888-253-3139.
[00:05:58.991 --> 00:05:59.611]  We've got it.
[00:05:59.611 --> 00:06:06.113]  This transmission is coming to you.
[00:06:06.113 --> 00:06:10.495]  Waging war on corruption.
[00:06:10.495 --> 00:06:16.157]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:45.882 --> 00:06:59.974]  And I would add, by the way, these are the same folks oftentimes who suggest that they're so tough that just talking to Putin or staring down ISIL or using some additional rhetoric somehow is going to solve the problems out there.
[00:06:59.974 --> 00:07:01.135]  But apparently they're scared of
[00:07:02.099 --> 00:07:12.465]  Widows and orphans coming into the United States of America as part of our tradition of compassion.
[00:07:12.465 --> 00:07:16.147]  At first they were worried about the press being too tough on them during debates.
[00:07:16.147 --> 00:07:21.109]  Now they're worried about three-year-old orphans.
[00:07:21.109 --> 00:07:28.554]  Okay, there is President Obama on November 18th in Turkey at the Big G20 Summit.
[00:07:32.415 --> 00:07:44.979]  Openly saying that the United States is scared of widows and orphans and that we're trying to break our tradition of having compassionate hearts and an open door.
[00:07:44.979 --> 00:07:53.801]  If you came here from anywhere in the world, you had to wait three months at Ellis Island to make sure you didn't have TB or black plague or something else.
[00:07:53.801 --> 00:08:00.423]  And no one from a country or a region at war with us was ever admitted openly and without being checked to this country.
[00:08:02.725 --> 00:08:12.814]  But we've seen a woman blow herself up with a suicide belt in Paris two weeks ago while my reporters were down the street and kill a police dog.
[00:08:12.814 --> 00:08:19.780]  We've seen a woman, Tashin Malik, lead the attack.
[00:08:20.814 --> 00:08:33.105]  The New York Post and Associated Press report, in command of her husband, Saeed Farooq, killing 14 of his co-workers, picking out the Jewish and Christian ones, it's now confirmed, for execution.
[00:08:33.105 --> 00:08:35.828]  He told them, you will soon die.
[00:08:35.828 --> 00:08:38.170]  And of course, no political correctness stopped it.
[00:08:38.170 --> 00:08:44.896]  It's now come out that the city of San Bernardino, neighbors and others, dare not report or say anything, because after all,
[00:08:47.088 --> 00:08:52.090]  If you're a foreigner, if you've got brown skin, if you're a Muslim, you are above the law.
[00:08:52.090 --> 00:08:55.592]  And your passports will not even be checked.
[00:08:55.592 --> 00:09:09.418]  Just two weeks ago, even CNN reported a plane load of 140-plus people flown in out of Mexico to JFK and allowed to pass without even showing any ID.
[00:09:09.418 --> 00:09:13.940]  Oh, but we're going to hear tonight from the President's address how he's going to take our rights away to keep us safe.
[00:09:16.479 --> 00:09:19.120]  The Second Amendment's gotta go.
[00:09:19.120 --> 00:09:22.422]  It's its fault that radical jihadists are killing everybody.
[00:09:22.422 --> 00:09:28.764]  Well, funny, Syria has a ban on guns in citizens' hands, and they got invaded by a jihad force out of Saudi Arabia.
[00:09:28.764 --> 00:09:44.211]  Funny, France has incredibly restrictive gun laws, and all these terror attacks they've had the last year were illegal guns smuggled into the country that has open borders, and it turns out the lead terrorists were on watch lists and allowed in to France.
[00:09:49.261 --> 00:09:51.443]  Isn't that disgusting?
[00:09:51.443 --> 00:09:59.270]  And now the President is set to give what the Attorney General, Lynch, is calling the Bernardino Address.
[00:09:59.270 --> 00:10:03.534]  The San Bernardino Address.
[00:10:03.534 --> 00:10:12.863]  Where they are going to put citizens outside of law, outside of judges, outside of juries, outside of charges, on no-gun-by list,
[00:10:14.431 --> 00:10:23.318]  There are over 2 million citizens on it, 70 plus members of Homeland Security, 6 members of Congress, last time I checked, who can't fly.
[00:10:23.318 --> 00:10:26.580]  Not just you're on a no-fly list, they can't even fly.
[00:10:26.580 --> 00:10:29.062]  They're beyond a watch list.
[00:10:29.062 --> 00:10:30.343]  For no reason.
[00:10:30.343 --> 00:10:35.146]  And you can't find out why you're on it, you can't get off of it, because it's a shadow government.
[00:10:35.146 --> 00:10:36.267]  Who needs courts?
[00:10:36.267 --> 00:10:40.871]  You've got a shadow government that completes the smuggling process for millions of illegals coming in every year.
[00:10:42.213 --> 00:10:55.995]  Who brings in the millions, the millions in Europe, the hundreds of thousands out of Syria, the Sunnis, 99 plus percent out of batches of hundreds and in some cases thousands of immigrants that come here.
[00:10:57.298 --> 00:11:02.603]  With no IDs or fake IDs, not one of them is Christian, not one of them is Shiite.
