[00:00:20.808 --> 00:00:22.209]  Hello, ladies and gentlemen.
[00:00:22.209 --> 00:00:32.492]  It is already October 20th, 2004, and we have a clip coming up later of the government saying that mercury is actually a nutritional item, part of your daily breakfast.
[00:00:32.492 --> 00:00:33.653]  We've said it's bad for you.
[00:00:33.653 --> 00:00:36.394]  They say it's nutritious.
[00:00:36.394 --> 00:00:37.314]  We've played that before.
[00:00:37.314 --> 00:00:38.195]  People have requested it.
[00:00:38.195 --> 00:00:40.095]  We'll air it one more time.
[00:00:40.095 --> 00:00:47.118]  Also, we're going to play just a few minutes from a documentary film, Supersized,
[00:00:48.584 --> 00:00:56.248]  That gets into, well, what Americans are eating, and how this connects to the whole New World Order agenda.
[00:00:56.248 --> 00:01:12.776]  And then we also have a clip of Bush, this last weekend, slipping up as usual, a Freudian slip, or perhaps it's his psychological, semantical dyslexia, his spoken dyslexia, but saying that we're not going to have an all-volunteer military.
[00:01:12.776 --> 00:01:17.218]  And then he screws up and then corrects himself after the public helps him.
[00:01:17.947 --> 00:01:20.368]  So, that's coming up as well.
[00:01:20.368 --> 00:01:23.249]  Big broadcast lined up for you.
[00:01:23.249 --> 00:01:26.890]  Plus, all the news we have time to cover.
[00:01:26.890 --> 00:01:30.971]  And I do want to have some time tonight to take some of your phone calls.
[00:01:30.971 --> 00:01:34.772]  So, it is September, October 20th, 2004.
[00:01:37.051 --> 00:01:40.074]  Thinking about September 11th, will there be a new terrorist attack?
[00:01:40.074 --> 00:01:45.019]  Dick Cheney's saying that, uh, brace yourself any minute, we're about to have giant nuclear attacks.
[00:01:45.019 --> 00:01:47.241]  Give them all your rights or the terrorists will attack you.
[00:01:47.241 --> 00:01:56.050]  That's coming up too, but first off, I want to get ready to air just a few minutes of this super-sized documentary that I was very impressed with.
[00:01:56.050 --> 00:01:58.112]  I mean, we all know fast food's bad for us.
[00:01:58.112 --> 00:01:59.874]  I eat it occasionally, and just look at me.
[00:02:02.975 --> 00:02:20.875]  But the schools put vending machines, the average sixth grader eats three candy bars, two Cokes a day, then they're bouncing off the walls from Sugar Crash and they say, put them on Ritalin, put them on Prozac, and the same people selling you the school lunches supply the prisons.
[00:02:22.125 --> 00:02:26.587]  And they know full well what they're doing, but why this is important is it shows the denial.
[00:02:26.587 --> 00:02:32.650]  Well, that little kid's buying pizzas and french fries and ice cream, but that's for other kids.
[00:02:32.650 --> 00:02:34.871]  They're gonna share it.
[00:02:34.871 --> 00:02:36.111]  This is what we're facing.
[00:02:36.111 --> 00:02:38.812]  This is why we are the most obese country in the world.
[00:02:38.812 --> 00:02:42.474]  It's all part of our decadence, all part of our denial.
[00:02:42.474 --> 00:02:47.996]  Myself included, going from looking like a Greek Adonis to, well, looking like your average American.
[00:02:47.996 --> 00:02:51.498]  I'm in the process of divulging my calories.
[00:02:52.302 --> 00:02:57.085]  So, once you've gone down the mountain, it's hard to hike back up.
[00:02:57.085 --> 00:03:02.449]  So, to all parents out there, if you really love your children, get them the hell off these poisonous foods.
[00:03:02.449 --> 00:03:07.071]  So, here is five, ten minutes of Super Size Me.
[00:03:07.071 --> 00:03:10.954]  We'll talk about it when we get back, and then talk about a bunch of other important news.
[00:03:10.954 --> 00:03:12.155]  So, again, stay with us.
[00:03:12.155 --> 00:03:17.178]  Infowars.com, PrisonPlanet.tv, Infowars.net.
[00:03:17.178 --> 00:03:20.080]  Those are just... The staff here is calling you Burger Boy.
[00:03:24.855 --> 00:03:30.837]  The one place where the impact of our fast food world has become more and more evident is in our nation's schools.
[00:03:30.837 --> 00:03:33.198]  Can I get a shot of your lunch right there?
[00:03:33.198 --> 00:03:35.099]  You got a cookie and some fries.
[00:03:35.099 --> 00:03:36.680]  You gonna have anything else?
[00:03:36.680 --> 00:03:37.340]  Nope.
[00:03:37.340 --> 00:03:37.820]  Ketchup.
[00:03:37.820 --> 00:03:44.583]  Do you think, uh, judging by the food that's in there, on a whole, do you think the kids make healthy choices for lunch here?
[00:03:44.583 --> 00:03:47.964]  We try to teach them to make the right choices in life.
[00:03:47.964 --> 00:03:48.404]  Yeah.
[00:03:48.404 --> 00:03:50.965]  She's got two bags of rumbles, a pretzel, a cornflour, and a Gatorade.
[00:03:50.965 --> 00:03:52.346]  Alright, you sharing that with us?
[00:03:54.957 --> 00:03:57.898]  How many people actually just have fries for lunch today?
[00:03:57.898 --> 00:03:59.619]  A lot of them do get fries.
[00:03:59.619 --> 00:04:01.660]  A lot of them do have their lunches.
[00:04:01.660 --> 00:04:05.241]  They'll have a sandwich and it's like a side dish.
[00:04:10.083 --> 00:04:11.223]  Is that your own lunch, too?
[00:04:11.223 --> 00:04:12.063]  Well, I'm getting milk.
[00:04:12.063 --> 00:04:13.684]  It's my calcium and vegetable.
[00:04:13.684 --> 00:04:14.884]  Can I have some fries, please?
[00:04:14.884 --> 00:04:21.246]  You don't think you should take away things like the... I love the baguette and Swiss rolls.
[00:04:21.246 --> 00:04:24.606]  I used to eat packs of these all the time.
[00:04:24.606 --> 00:04:30.768]  By just offering these up on the lunch line, are we also... are we setting the kids up to make bad choices?
[00:04:31.288 --> 00:04:34.732]  No, I don't believe so, because a child, just like you saw with Sally, she's not going to sell an e-jacket.
[00:04:34.732 --> 00:04:37.236]  And a child isn't going to pick up two or three puppies.
[00:04:37.236 --> 00:04:38.577]  But that's all she bought.
[00:04:38.577 --> 00:04:41.181]  But it doesn't mean this is all she's going to eat.
[00:04:41.181 --> 00:04:41.401]  Correct.
[00:04:41.401 --> 00:04:43.424]  You have to follow her back to her table and see.
[00:04:43.424 --> 00:04:45.767]  We've got to go find Lori and see if that's all she's going to eat.
[00:04:46.542 --> 00:04:48.503]  This is where schools turn a blind eye.
[00:04:48.503 --> 00:04:51.865]  The student with the french fries probably brought a bag lunch with real food.
[00:04:51.865 --> 00:04:54.887]  The girl with the chips is probably sharing them with someone else.
[00:04:54.887 --> 00:04:57.068]  Out of sight, out of mind.
[00:04:57.068 --> 00:05:01.371]  No, we wanted to see, they question whether you brought your brown bag with you the whole lunch.
[00:05:01.371 --> 00:05:02.752]  I brought mine.
[00:05:02.752 --> 00:05:03.532]  I brought this.
[00:05:03.532 --> 00:05:04.293]  No, you brought that.
[00:05:04.293 --> 00:05:04.973]  You brought a coat.
[00:05:04.973 --> 00:05:06.394]  So you brought the coat.
[00:05:08.483 --> 00:05:08.923]  I think so.
[00:05:34.221 --> 00:05:41.963]  Barbara Brown is the field representative for Sodexo, one of the countless lowest bidders that school districts have farmed out the feeding of your children to.
[00:05:41.963 --> 00:05:52.525]  Sodexo services more than 400 K-12 school districts nationwide every day, providing quality food like Little Debbie snack cakes, Gatorade, and candy bars to your children.
[00:05:52.525 --> 00:05:55.966]  They also operate prisons and feed thousands of inmates worldwide.
[00:05:56.849 --> 00:06:10.419]  Part of our position is that we're hoping that through nutrition education the students will learn to make the right food choices without restricting what they can purchase.
[00:06:12.572 --> 00:06:17.353]  At this middle school in Beckley, West Virginia, the school lunches don't have the flair they do in Illinois.
[00:06:17.353 --> 00:06:25.256]  This school does not outsource their food service, but they are on the federal school lunch program, providing USDA reimbursable meals to the students.
[00:06:25.256 --> 00:06:29.377]  Most of which are reheated, reconstituted packaged foods.
[00:06:29.377 --> 00:06:32.978]  Some days the amount of calories in each meal tops a thousand.
[00:06:32.978 --> 00:06:35.959]  So the USDA sends this food for you to prepare for kids.
[00:06:35.959 --> 00:06:36.979]  Right.
[00:06:36.979 --> 00:06:38.919]  Well, not all of it now.
[00:06:38.919 --> 00:06:40.920]  You've got Fluffy Joe,
[00:06:41.829 --> 00:06:43.674]  Barbecue sauce with pork.
[00:06:43.674 --> 00:06:45.139]  From the government.
[00:06:45.139 --> 00:06:47.385]  Whatever happened to cooks actually cooking?
[00:06:47.385 --> 00:06:48.508]  I don't know what happened.
[00:06:48.508 --> 00:06:49.892]  Too many whiny people.
[00:06:49.892 --> 00:06:50.113]  Yeah?
[00:06:51.181 --> 00:06:51.741]  I don't want her.
[00:06:51.741 --> 00:06:52.722]  Work hard.
[00:06:52.722 --> 00:06:53.802]  It's easy to come in here.
[00:06:53.802 --> 00:06:56.364]  This is the best tool we got right here.
[00:06:56.364 --> 00:06:57.964]  Box opener.
[00:06:57.964 --> 00:06:59.565]  That's your chef's tool, the box cutter.
[00:06:59.565 --> 00:07:00.165]  That's it.
[00:07:00.165 --> 00:07:01.046]  Open up a box.
[00:07:01.046 --> 00:07:01.466]  Serve it.
[00:07:01.466 --> 00:07:02.046]  Give it to them.
[00:07:02.046 --> 00:07:02.527]  Yeah.
[00:07:02.527 --> 00:07:04.047]  Let's look at the things that are actually cooked.
[00:07:04.047 --> 00:07:04.568]  Okay.
[00:07:04.568 --> 00:07:05.188]  Here you go.
[00:07:05.188 --> 00:07:06.108]  Here's a menu.
[00:07:06.108 --> 00:07:06.949]  This day.
[00:07:06.949 --> 00:07:08.930]  Mashed potatoes.
[00:07:08.930 --> 00:07:09.530]  Pan.
[00:07:09.530 --> 00:07:09.870]  Chili.
[00:07:09.870 --> 00:07:10.270]  Homemade.
[00:07:10.270 --> 00:07:11.711]  The chili will be homemade.
[00:07:11.711 --> 00:07:13.712]  What about the tomato soup?
[00:07:13.712 --> 00:07:14.473]  Campbell's.
[00:07:14.473 --> 00:07:15.013]  Meatballs.
[00:07:16.355 --> 00:07:18.336]  Comes in a box, you heat it up.
[00:07:18.336 --> 00:07:24.020]  Out of the course of an entire month, 6 out of 36.
[00:07:24.020 --> 00:07:27.323]  You're only cooking 6 out of 36 meals.
[00:07:27.323 --> 00:07:36.309]  Appleton Central Alternative High School is filled with students who have truancy and behavioral problems, but they've turned things around, not through discipline, but through diet.
[00:07:36.309 --> 00:07:41.914]  We were fortunate to kind of stumble across this healthy program as a result of
[00:07:43.174 --> 00:07:56.177]  It's in contact with Natural Oven and Bakery of Manitowoc, Wisconsin and they believe in low-fat, low-sugar, non-chemically processed foods that are free of dyes and preservatives.
[00:07:57.603 --> 00:08:02.047]  Full of whole grains, a lot of fresh fruits and vegetables.
[00:08:02.047 --> 00:08:04.209]  We do no beef here at all.
[00:08:04.209 --> 00:08:07.152]  And then it's the method of preparation where we don't fry.
[00:08:07.152 --> 00:08:14.899]  We do a lot of baking and then just fresh preparation as opposed to opening cans or thawing things out from the box.
