[00:00:00.000 --> 00:00:23.400]  Welcome back!
[00:00:23.400 --> 00:00:27.640]  The American people don't want war, the people of the world don't want war, but the elites
[00:00:27.640 --> 00:00:33.360]  do and the wars really are waged against the internal populations more than they are against
[00:00:33.360 --> 00:00:35.120]  even foreign nations.
[00:00:35.120 --> 00:00:40.120]  The attack on Iraq is about profit, it's about a police state, it's about domestic control
[00:00:40.120 --> 00:00:44.280]  just as much as it's about seizing control of trillions of oil and hundreds of billions
[00:00:44.280 --> 00:00:46.080]  in no-bid weapons contracts.
[00:00:46.080 --> 00:00:50.040]  Charles, Jeff, Steve, Steve and many others that are holding, we'll go to your calls here
[00:00:50.040 --> 00:00:54.600]  in just about ten minutes, but I wanted to get Cindy Sheehan on because there's been
[00:00:54.600 --> 00:01:00.280]  comments like, you know, good riddance, attention whore and drudge carried that headline.
[00:01:00.280 --> 00:01:06.760]  Her son died and I remember interviewing Cindy before the Democratic Party basically co-opted
[00:01:06.760 --> 00:01:08.120]  her or tried to.
[00:01:08.120 --> 00:01:13.680]  I remember whenever she was really first on this show and shows on Genesis when she was
[00:01:13.680 --> 00:01:19.380]  speaking out about the fraud that is the war and so they've tried to destroy her work and
[00:01:19.380 --> 00:01:23.120]  her son's memory and what she's done, just like you're now claiming Rosie O'Donnell was
[00:01:23.120 --> 00:01:26.040]  fired when it's admitted she wasn't fired.
[00:01:26.040 --> 00:01:30.480]  She left the show because of censorship, they wanted to destroy the fact, that's another
[00:01:30.480 --> 00:01:34.280]  news story today, that she boldly stood up for her convictions.
[00:01:34.280 --> 00:01:39.640]  Fox News and the Pentagon, that's who runs Fox, wanted to take that away and so joining
[00:01:39.640 --> 00:01:40.880]  us is Cindy Sheehan.
[00:01:40.880 --> 00:01:45.840]  She's saying she's not giving up is the headline that I'm reading here, but that she's just
[00:01:45.840 --> 00:01:50.600]  getting out of the so-called peace movement, the co-opted Democratic Party.
[00:01:51.040 --> 00:01:55.880]  As long as anti-war is a set piece for political power it's okay, but now we've got to get
[00:01:55.880 --> 00:02:01.880]  positioned for Hillary to come in and warmonger into Iran and so I've heard locals talk about
[00:02:01.880 --> 00:02:03.240]  how bad she is.
[00:02:03.240 --> 00:02:09.160]  They loved her a year ago, but Cindy Sheehan, she's not good, which shows us that both parties
[00:02:09.160 --> 00:02:10.160]  are controlled.
[00:02:10.160 --> 00:02:11.560]  Cindy Sheehan, thanks for coming on with us.
[00:02:11.560 --> 00:02:16.000]  Oh, thank you, Alex, it's great to talk to you again.
[00:02:16.000 --> 00:02:19.600]  Tell us about the whole saga, just sum it up, what the last two or three years have
[00:02:19.600 --> 00:02:24.840]  been like since you've been going public and really being on the front line and being
