[00:00.000 --> 00:01.500]  We've got a gun.
[00:01.500 --> 00:03.500]  This transmission is coming to you.
[00:07.000 --> 00:09.500]  Waging war on corruption.
[00:11.500 --> 00:13.500]  It's Alex Jones.
[00:13.500 --> 00:34.500]  Coming to you live from the front lines of the Infowar.
[00:34.500 --> 00:44.500]  It was last Sunday that I was broadcasting via an iPhone on Skype from the roadways of London, England.
[00:44.500 --> 00:53.500]  But now, I've been back since Monday afternoon, and here we are. It's Sunday, Father's Day, and we're live, ladies and gentlemen.
[00:53.500 --> 01:01.500]  It is 4 o'clock and 45 seconds Central Standard Time. Thank you so much for joining us today.
[01:01.500 --> 01:12.500]  Okay, wow. People ask, what am I doing for Father's Day? I'm doing a broadcast to fight for liberty and freedom and to try to awaken the sleeping giant that is our constitutional republic.
[01:12.500 --> 01:18.500]  That's what I'm doing on Father's Day, is trying to give the gift of liberty to my children.
[01:18.500 --> 01:22.500]  And I know that's why you're here as well. Thank you so much for joining us.
[01:22.500 --> 01:32.500]  Okay, we've got one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen stacks of news here.
[01:32.500 --> 01:40.500]  And I have read or scanned over all of this. Some of the stacks are like 25 stories thick. Most of them are five or six stories thick.
[01:40.500 --> 01:54.500]  You do the math. That's a lot of news. I'm going to attempt as good as I can, as best I can, to try to go over most of this today and leave some time to open the phones up and take your phone calls.
[01:54.500 --> 02:09.500]  Where to start? Where to start? Well, the good news is Congress, depending on which Gallup poll you look at, has a nine, ten, eleven, or twelve percentage approval rating.
[02:09.500 --> 02:30.500]  So even the brainwashed general public understands that the government itself is a kleptocratic collection on average of very, very wicked, absconding control freaks, poll trunes, and scallywags.
[02:30.500 --> 02:42.500]  We're going to be getting into that. We're going to be getting into Iran has had a new election, has a new, more moderate, conservative El Presidente.
[02:42.500 --> 02:56.500]  So we're going to be breaking that report down. We've got the major buildup towards an expansion of the unconstitutional war via NATO and the jihadi al-Qaeda brigades against Syria.
[02:56.500 --> 03:06.500]  And we've got those reports we're going to be getting to. Also, Obama is heating up to declare victory over America. You cannot make this up. He's set to release new regulations.
[03:06.500 --> 03:14.500]  Congress didn't pass a law, so it's new regulations, basically shutting down more power plants, increasing the cost to do business here in the United States.
[03:14.500 --> 03:19.500]  Nothing to do with helping the environment. Everything to do with transferring our industry to China.
[03:19.500 --> 03:28.500]  They took $22 million of taxpayer money, $21 million in change, to move General Motors to China. That's what we're talking about right there.
[03:28.500 --> 03:39.500]  He set July 4th, just like he did a couple years ago with the NDAA on New Year's Eve. July 4th, a little present for us.
[03:39.500 --> 03:51.500]  He already quietly last week, in a regulatory announcement, not even an executive order, I'm waiting for the president's flatulence to be law.
[03:51.500 --> 04:02.500]  It's just some little side issue. Maybe a piece of spit drips out of his mouth and splatters on the ground, and they can make a shape out of it. It'll become law.
[04:02.500 --> 04:10.500]  You know, the booger falls out of his nose on the ground, it becomes law. I mean, I hate to be sophomoric here, but my point is, any pettiness, just,
[04:10.500 --> 04:21.500]  oh, on the back of a regulation about microwave ovens, we're going to increase the power of carbon, and then he makes money off of it. I just can't get over that.
[04:21.500 --> 04:34.500]  Obviously, the big news that I'll cover after break, all the latest on the NSA, and it's being announced, oh, the NSA via the control grid will give you government announcements hardwired into your phone that you cannot turn off.
[04:34.500 --> 04:48.500]  Your phone will turn on, and a video will pop up or text message with the dear leader, Kim Jong-un, I mean, Obama, Obama announcing how much he loves you, and how government hung the moon,
[04:48.500 --> 04:58.500]  and if you built a business, well, you didn't build that. It's all coming up. Stay with us. We're live on Father's Day.
[04:58.500 --> 05:19.500]  Alex Jones here with a message to fellow freedom lovers. The prognosis for the entire planetary economic system runs from bad to worse. The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover. That's why we've assembled the most vital and important preparedness items at infowarshop.com.
[05:19.500 --> 05:33.500]  These are items that I did research on that I personally use. You've got the LifeStraw so you can turn fetid water into safe water anywhere you go. The Ktor Handcrank Generator to charge up key equipment during power outages or out in the field.
[05:33.500 --> 06:02.500]  Strategic Relocation, third edition by Joel Skousen. When Disaster Strikes by Matthew Stein. TheraSafe used by Homeland Security to protect yourself during any radiological event. Handcrank shortwave AM-FM radios. Everything that we've researched and found to be the best is available at infowarshop.com, and your purchase makes our Infowarshop possible. We're getting prepared. Are you? Infowarshop.com.
[06:02.500 --> 06:20.500]  For 50 years, we've told them what to eat, what to drink, what to wear. For Christ's sake, Ben, don't you understand? Americans love television. They weaned their kids on it. Listen, they love game shows, they love wrestling, they love sports, violence.
[06:20.500 --> 06:32.500]  So what do we do? We give them what they want. We're number one, Ben. That's all that counts. Believe me, I've been in the business 30 years.
[06:32.500 --> 06:41.500]  Well, I haven't been in show business as long as you have, Killian. But I'm a quick learner, so I'm going to give the audience what I think they want.
[06:41.500 --> 06:52.500]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[06:52.500 --> 07:20.500]  Monday through Friday from 12 noon to 3 p.m. Eastern, we're here live. That's 11 a.m. to 2 p.m. Central. But then I return Sundays live 4 to 6 p.m. Central Standard Time. Again, thank you so much for joining us, all of our great AM and FM affiliates out there across the United States, and of course, everyone watching via infowarsnews.com.
[07:20.500 --> 07:31.500]  The websites are infowars.com and prisonplanet.com. We're fighting the construction of a global kleptocratic prison planet with the Infowar.
[07:31.500 --> 08:00.500]  Okay, where to start, ladies and gentlemen? I have major studies out that I'm going to be getting to in the next hour where British, German, and U.S. researchers at universities are finding that pharmacological crops or crops that grow their own pesticides to kill bugs so bugs can't eat it, that that's why honeybee populations are down more than 90% in some places in the Western world, on average about 60%.
[08:00.500 --> 08:19.500]  Oh, I told you that years ago we had scientists on, now that's mainstream news. In fact, here's the New York Times, researchers find biological evidence of Gulf War illness, New York Times, New York Times on Friday reported that little, that little jewel.
[08:19.500 --> 08:37.500]  By the way, that came out back in 1993 in brain scans and in MRIs as well as autopsies of the brain stems filled with sarin and VX nerve gas, but it was a conspiracy theory.
[08:37.500 --> 08:59.500]  They knew day one that 25,000 plus chemical weapons detectors went off and that when they blew up the camosia and other bunkers that were videotaped first showing U.S. had sold Saddam back when he was allies with the U.S., the chemical weapons, he used them against the Iranians in the seven-year U.S.-backed war, that is globalist-backed war.
[08:59.500 --> 09:10.500]  And then our government wanted the evidence blown up and blew it up and told the troops, take your mask off, it's safe. You can ask why they did that. I know why.
[09:10.500 --> 09:18.500]  Same reason they shoot U.S. troops up with deadly vaccines full of cancer viruses and mercury.
[09:18.500 --> 09:30.500]  Same reason they had atomic soldiers. Same reason they injected black men with syphilis telling them it was a vaccine. Same reason they irradiated 4,000 plus U.S. foster children to death. That's declassified.
[09:30.500 --> 09:48.500]  Because the globalist hate us. They're carrying out eugenics operations against those of us that aren't seen as part of the super race of the New World Order. We are not Superman from Krypton.
[09:48.500 --> 10:01.500]  We are not the son of Jor-El, so we must be killed. Oh, you like your eugenics culture thrown right directly in your face and you don't even know what it is when you're seeing it?
[10:01.500 --> 10:15.500]  Superman at age 33 arises to battle the fallen angels that have come to earth to attack. His father's name is Joseph. His mother's name is Mary.
[10:15.500 --> 10:24.500]  And the general public doesn't even know that they're being given a eugenics Jesus when they go and watch it and see it.
[10:24.500 --> 10:32.500]  After all, he wears red, white and blue underwear. People are saying, what are you getting at? I'm getting at the fact that people don't know what I'm talking about right now.
[10:32.500 --> 10:49.500]  That's what I'm getting at for someone initiated into the New World Order like I am. By the way, I've reverse engineered the New World Order. I haven't been formally initiated into it, but I'm more initiated than even most of their high level operatives because they're too lazy to study how this stuff works.
[10:49.500 --> 11:03.500]  It's all hidden in plain view, the world that's being built. Do you just let a cannon lay around after a war? No, they spike the howitzers. They spike the cannons.
[11:03.500 --> 11:14.500]  Do they just let fighter aircraft by the thousands that are now not going to be used or bought? Do they let them just sit around? No, they run over them with bulldozers.
[11:14.500 --> 11:28.500]  And it's the same thing with US troops. You are all injected with binary weapon systems and virus plaques are secreted into your DNA.
[11:28.500 --> 11:38.500]  The RNA waiting until hormone levels drop to a sufficient level with the engineered viruses that then trigger and kill you deader than a hammer.
[11:38.500 --> 11:49.500]  I think the way the globalists dealt with US troops in the first Gulf War, plus it further bankrupts the country, is much smarter. Just have them blow up more than 200 nerve gas caches.
[11:49.500 --> 11:58.500]  One of them, one of the largest in the world, Camasilla, have it rained out and then announce, take your gear off, it's safe.
[11:58.500 --> 12:10.500]  And sure, a few people will be a little more susceptible to it, so they'll have convulsions. There's some died right on the spot, but that's okay.
[12:10.500 --> 12:20.500]  Tell everybody it's no big deal. Kind of like when they gave all the troops back in 2002 and 2003, hundreds of thousands of them, they gave them the smallpox shot.
[12:20.500 --> 12:28.500]  And it caused an autoimmune response in the lungs and the heart and killed a bunch of people. So it was a little, wasn't really a soft kill.
[12:28.500 --> 12:35.500]  So they had to suspend it because so many people died on the basis. And they gave it to a bunch of reporters and a bunch of them died.
[12:35.500 --> 12:43.500]  Because it wasn't just smallpox vaccine, it was something special. The New World Order cooked up for you and your family.
[12:43.500 --> 12:53.500]  Oh, but national pundits call me spooky. I'm spooky, I'm scary, because I'm informed.
[12:53.500 --> 13:07.500]  Because I watched the C-SPAN hearings in 1993, two years after the Gulf War, and watched Marine Corps colonels and people in wheelchairs talking about the chemical weapons detectors went off.
[13:07.500 --> 13:18.500]  And we were wearing our gear. And then they said, no, it's safe, take your gear off. Because they didn't want to admit that they'd ordered them to blow it up and that it was already going to soft kill a bunch of them.
[13:18.500 --> 13:29.500]  So why not have them hard boil? Kind of like they knew day one, and this got declassified a few years ago, because why not throw it in your face, that it was deadly, hundreds of deadly poisons.
[13:29.500 --> 13:38.500]  The aerosolized concrete, mercury, the glass death sentence for the first responders on 9-11, but they told you the second day it's safe.
[13:38.500 --> 13:44.500]  And by the way, don't wear a mask. You don't need a mask, because they have to admit it was dangerous if they said wear a mask.
[13:44.500 --> 13:50.500]  And they knew day one it was a death sentence, and it has been a death sentence.
[13:50.500 --> 14:04.500]  And when I went down for fundraisers and gave 100% of the two different movie showings I did, over $40,000, one of them $20,000 and the other, I went and flew to New York myself, brought my team, premiered Endgame, another film.
[14:04.500 --> 14:12.500]  Gave all the money to the fire department and police department, and the police rewarded me by arresting me for no reason and slamming my head in the wall.
[14:12.500 --> 14:23.500]  Because they want to die. They want to be killed. They don't want to be saved. They don't want to be helped, okay? I mean, some of the firemen and police had respirators and were coughing up blood in the green room.
[14:23.500 --> 14:36.500]  By the way, they're all dead. The guys I was on stage with, they're all dead now. And the New York Post came out and called them ambulance chasers, just like the Gulf War vets in a big, new, major university government study.
[14:36.500 --> 14:46.500]  Oh, we don't know why your brain damaged and why your brain stems are different. See, knowledge goes in reverse now. Knowledge goes in reverse.
[14:46.500 --> 14:54.500]  We've known since 93 it was nerve gas, because scores of universities did the autopsies and the brain stem studies and the brain scans.
[14:54.500 --> 15:07.500]  But see, in the new America, it goes backwards now. How many years since 1991? 22 years later. Oh, we might actually give them benefits. Your brain damage.
[15:07.500 --> 15:18.500]  It must be something that happened overseas. But see, I'm supposed to just wear an American flag shirt and go get drunk on the 4th of July, and that's patriotic to be stupid.
[15:18.500 --> 15:30.500]  Instead, I actually want to save what the country was founded on. The Bill of Rights and Constitution. I want to have a future. I'm upset about them aborting 53 million babies in this country and aborting our troops with soft-kill chemical and biological weapons.
[15:30.500 --> 15:43.500]  And I'm upset about the honeybees dying. And I'm informed and I'm involved. But I'm a bad man. I'm the extremist. I told you the NSA was spying on you without warrants and using it to give it to private companies to corner the stock market.
[15:43.500 --> 15:59.500]  And that's all mainstream news now. But see, I'm not good because I'm so right. I'm bad, bad, bad, bad, bad. Well, the bad man, Alex Jones, that's me. I'll be right back, and my bad website is infowars.com.
[16:13.500 --> 16:23.500]  Visit www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[16:23.500 --> 16:33.500]  Order the sampler, a one to two month supply, or get a one to two year supply of soaps for all your cleaning needs. You're getting soap products twice as good as what you're using now.
[16:33.500 --> 16:45.500]  This is an amazing deal and you will love the way real soap makes your skin feel. Call 1-800-340-7091 or visit www.5starsoap.com.
[16:45.500 --> 16:59.500]  Alex and his staff have used these earth-friendly pure soaps for years. See them on the web, www.5starsoap.com or call 1-800-340-7091 for a catalog.
[16:59.500 --> 17:09.500]  You prepare by purchasing gold, food, and firearms. But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[17:09.500 --> 17:19.500]  When you're sleeping or away from home, who's watching out for intruders? Check out SimpliSafe. It's a new do-it-yourself home security system that is completely wireless.
[17:19.500 --> 17:29.500]  Go to www.getsimplisafe.com. SimpliSafe is independent and off the grid. It runs on battery power, so even if the grid goes down, you're protected.
[17:29.500 --> 17:38.500]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed. www.getsimplisafe.com.
[17:38.500 --> 17:45.500]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[17:45.500 --> 17:49.500]  If you move or need to relocate, you can take the system with you wherever you go.
[17:49.500 --> 17:56.500]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[17:56.500 --> 18:00.500]  Again, that's www.getsimplisafe.com.
[18:00.500 --> 18:04.500]  In the last two years alone, the U.S. has seen huge losses to our food supply.
[18:04.500 --> 18:10.500]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[18:10.500 --> 18:18.500]  In 2012, we saw the largest drought in the country in more than 50 years. You may think out of sight, out of mind, and so you don't think you will be affected.
[18:18.500 --> 18:23.500]  The fact is, you are. We all are. Food shortages drive prices up for everyone.
[18:23.500 --> 18:31.500]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with e Foods Direct.
