[00:00.000 --> 00:21.000]  If you are receiving this transmission, you are the resistance.
[00:21.000 --> 00:29.000]  Live from the InfoWars.com Studios, it's Alex Jones.
[00:29.000 --> 00:37.000]  It's Wednesday, January 29, 2020.
[00:37.000 --> 00:42.000]  I'm your host, Alex Jones. InfoWars is here on air during this global crisis,
[00:42.000 --> 00:49.000]  in defiance to the new world order who wanted us off the air long before they triggered what they've launched.
[00:49.000 --> 00:55.000]  Now, everybody can smell a rat. Everybody deep down knows that this is serious.
[00:55.000 --> 01:00.000]  Is it a serious hoax meant to dive the world economy?
[01:00.000 --> 01:07.000]  Or is it a real super deadly bio-weapon meant to implode the economy and kill tens of millions of people
[01:07.000 --> 01:14.000]  and usher in a planetary world government as the response to the crisis?
[01:14.000 --> 01:20.000]  When you look at the background of the globalists saying they're going to use global pandemics
[01:20.000 --> 01:26.000]  to make people accept and stay in a world government and you now see that unfolding
[01:26.000 --> 01:35.000]  and you see all the preparation and the censorship of anyone exposing the U.N. and Bill and Melinda Gates in the last few years.
[01:35.000 --> 01:42.000]  In the last three or four months, there's been completely draconian censorship level crackdowns.
[01:42.000 --> 01:50.000]  Remember, six months ago, CNN said, oh, Facebook's now banned positive mentions of Alex Jones and others.
[01:50.000 --> 01:57.000]  And CNN said, next, they're going to start censoring private text messages in the WhatsApp that Facebook had bought.
[01:57.000 --> 02:02.000]  It's now official. Facebook admits they're doing it. It's not just Alex Jones.
[02:02.000 --> 02:06.000]  Now it's Jordan Peterson. Next, it'll be Joe Rogan.
[02:06.000 --> 02:13.000]  You say, but Joe Rogan's played ball. He's been friendly to the system. But they know that Joe deep down is a patriot.
[02:13.000 --> 02:18.000]  I can tell you he is. They don't need me to tell them that. And they know he's got more power than they do.
[02:18.000 --> 02:24.000]  Just like M4 Wars has more power than they do because you have more power than the globalist. We are the people.
[02:24.000 --> 02:33.000]  But that's why this is all happening, ladies and gentlemen. It's A.I. live time watching everything you do.
[02:33.000 --> 02:38.000]  This is surveillance. This isn't just private companies doing what they want. This is the new communication system.
[02:38.000 --> 02:45.000]  Imagine if the FBI broke in on your phone call with A.I. listening to it and said, you can't say that in live time.
[02:45.000 --> 02:50.000]  They can now. Almost all the calls are now digital. Live time can break in.
[02:50.000 --> 02:57.000]  I told you this decades ago because they were theoretically talking about the plan. Now it's here.
[02:57.000 --> 03:07.000]  But again, they're implementing all this ahead of this release. And they're going to use this release as a beta test for bigger controlled plagues.
[03:07.000 --> 03:12.000]  They plan to release the future. That's undoubted. And that's the thesis of my film in game.
[03:12.000 --> 03:20.000]  Blueprint for global enslavement that was taken off of Amazon three weeks ago for violating community standards.
[03:20.000 --> 03:28.000]  It predicts the globalist staging worldwide pandemics incrementally expanding how deadly they are for full control.
[03:28.000 --> 03:35.000]  And I show you where they met and even show you the documentation of their operations.
[03:35.000 --> 03:39.000]  So this is what we're laying out. This is what we're breaking down today.
[03:39.000 --> 03:45.000]  And we're going to be going over all of it in great detail how deadly the virus really is.
[03:45.000 --> 03:50.000]  We're not sure how far it spread. We're not sure. But we know the complete lockdown of China.
[03:50.000 --> 03:54.000]  And now all the flights in and out of China beginning to be totally canceled.
[03:54.000 --> 04:09.000]  That is already begun. And the secret evacuations, not just the ones that are on the news of U.S. State Department people, corporate individuals, military, out of China proper, not just out of that particular city, shows you this is serious.
[04:09.000 --> 04:22.000]  And I can tell you the virus has been in the United States for months. And I've had medical doctors on that work inside the military, inside Special Operations Command, Pachennic's heavily attached to that.
