[00:00.000 --> 00:02.000]  We've got it
[00:07.500 --> 00:09.500]  Waging war on corruption
[00:09.500 --> 00:28.500]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:39.500 --> 00:48.500]  Tuesday, March 14th, 2017, I'm your host Alex Jones, the one the only
[00:48.500 --> 00:52.500]  Michael Savage will be joining us coming up at the start of the second hour today
[00:52.500 --> 00:56.500]  We'll have open phones as well and some other guests I'll tell you about a little bit later
[00:56.500 --> 00:59.500]  Got an amazing guest in studio tomorrow
[00:59.500 --> 01:04.500]  Let folks know we've got a surprise for you in studio tomorrow
[01:04.500 --> 01:07.500]  The airplane carrying our guest is on its way right now
[01:07.500 --> 01:11.500]  Got a lot of other amazing guests can be popping in throughout the week as well
[01:11.500 --> 01:14.500]  Everybody knows I like surprises
[01:14.500 --> 01:17.500]  A lot of the listeners like surprises
[01:17.500 --> 01:20.500]  Sometimes I kind of go off the rails a little bit in a good way
[01:20.500 --> 01:25.500]  But I shouldn't have spent probably two hours of four hours yesterday on air
[01:25.500 --> 01:27.500]  Because I hosted the fourth hour of the day of the night as well
[01:27.500 --> 01:33.500]  Ranting and raving about fake news packaged in entertainment
[01:33.500 --> 01:38.500]  That of course being Saturday Night Live on my NBC and then Viacom that owns CBS
[01:38.500 --> 01:44.500]  And Showtime Channel with their show Homeland that steals my identity
[01:44.500 --> 01:50.500]  Admits it's supposed to be me and then plagiarizes real things I say
[01:50.500 --> 01:54.500]  I mean I'm the main writer I guess on that show now, literally
[01:54.500 --> 01:59.500]  And then puts horrible things in the middle of what I've said
[01:59.500 --> 02:04.500]  So that when people hear what I'm really saying, they then psychologically associate it with the lies
[02:04.500 --> 02:09.500]  That I'm a racist, that I frame people, that I put out fake news, that I'm a liar
[02:09.500 --> 02:11.500]  It's the same thing with Saturday Night Live
[02:11.500 --> 02:14.500]  And fake news came out of that again last night and today
[02:14.500 --> 02:18.500]  The Hill and hundreds of other publications, I mean I just saw them listed
[02:18.500 --> 02:20.500]  I looked at five or six of them last night and this morning
[02:20.500 --> 02:25.500]  Would not say why I said I wanted to have a bear knuckles fight with Alec Baldwin
[02:25.500 --> 02:28.500]  It was tongue in cheek for his lying about me and Donald Trump
[02:28.500 --> 02:32.500]  And they're like what's the big deal, it's a cute little space aliens skit
[02:32.500 --> 02:38.500]  About the 4th of July or Independence Day, you know the Alien Attack movie
[02:38.500 --> 02:41.500]  And Jones acts like a crazy person says he wants to fight him
[02:41.500 --> 02:46.500]  Didn't even tell their readers, in all these publications I looked at it was always the same
[02:46.500 --> 02:52.500]  That he said, playing the part of Donald Trump, that he learned that black people weren't human from Alec Jones
[02:52.500 --> 02:55.500]  Then the black people on the show get mad at Trump
[02:55.500 --> 02:59.500]  I mean that is the most base brainwashing there is
[02:59.500 --> 03:03.500]  And then of course it gets even worse in the fake media
[03:03.500 --> 03:10.500]  They won't even tell you in all these publications why I'm angry
[03:10.500 --> 03:15.500]  They just have a clip and that's the end of it
[03:15.500 --> 03:17.500]  No context
[03:17.500 --> 03:21.500]  They do it over and over and over again
[03:21.500 --> 03:23.500]  This is the type of brainwashing we're dealing with
[03:23.500 --> 03:25.500]  And there's more
[03:25.500 --> 03:29.500]  Colbert took a break I guess from attacking you shrewly this week
[03:29.500 --> 03:33.500]  And has gone after Conway
[03:33.500 --> 03:38.500]  Colbert mocks Conway by replacing show cameras with microwaves
[03:38.500 --> 03:45.500]  And they make the joke that she's completely insane saying that appliances could have been spying on the president
[03:45.500 --> 03:48.500]  You know I wonder where she got that
[03:48.500 --> 03:53.500]  Vault 7 that was released last week, admitting it all but I told you 18 years ago
[03:53.500 --> 03:58.500]  Or maybe this from 2012 315 2012 Wired Magazine
[03:58.500 --> 04:03.500]  CIA chief will spy on you through your dishwasher
[04:03.500 --> 04:07.500]  So she's informed so see hahaha she's so dumb
[04:07.500 --> 04:09.500]  Because they think their audience are idiots
[04:09.500 --> 04:14.500]  Oh here's a whole map from Vault 7 and the CIA and how they spy on you through your appliances
[04:14.500 --> 04:19.500]  Oh look the New York Times, sound waves to hack your appliances and your smart phone
[04:19.500 --> 04:22.500]  Oh yeah, told you about that 15 years ago, 16 years ago
[04:22.500 --> 04:24.500]  Because they were putting them in nationwide
[04:24.500 --> 04:28.500]  The fluorescent light bulbs can access your computers and take control
[04:28.500 --> 04:30.500]  But oh again, that's because I'm informed though
[04:30.500 --> 04:35.500]  They can just go hahaha Colbert laugh hahaha
[04:35.500 --> 04:40.500]  Total surveillance, total 1984 on steroids but it's okay
[04:40.500 --> 04:44.500]  Colbert's got the cute little you know short hair and the glasses and looks real trendy
[04:44.500 --> 04:46.500]  And if he laughs at you it's over
[04:46.500 --> 04:51.500]  Hahaha, Donald Trump will never be president, he said that too
[04:51.500 --> 04:54.500]  Ashley Beckford here for infowars.com
[04:54.500 --> 04:58.500]  I have an article from the telegraph linked on drudgerport.com
[04:58.500 --> 05:04.500]  This creepy facial recognition app lets users find strangers on Facebook by simply taking their picture
[05:04.500 --> 05:08.500]  This facial recognition app was created by British entrepreneur Jack Kenyon
[05:08.500 --> 05:15.500]  And guess what, people can identify others by matching a photo of them with their Facebook profile
[05:15.500 --> 05:19.500]  It scans more than a billion images per second
[05:19.500 --> 05:26.500]  You can find a person on the street, run their image through the app and find out exactly who that person is
[05:26.500 --> 05:29.500]  This will launch on iOS, March 21st
[05:29.500 --> 05:36.500]  But it's already been tested on more than 10,000 images to date with a 70% accuracy
[05:36.500 --> 05:39.500]  Is this the end of Autonomous Societies?
[05:39.500 --> 06:07.500]  If you're concerned about spy news, you need to tune in to the Alex Jones show at infowars.com.
[06:07.500 --> 06:13.500]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house
[06:13.500 --> 06:16.500]  Like a small refrigerator so you can keep food from spoiling
[06:16.500 --> 06:22.500]  Plus, you can take it with you to jumpstart cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes
[06:22.500 --> 06:27.500]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid
[06:27.500 --> 06:29.500]  Literally anywhere in the world
[06:29.500 --> 06:34.500]  Perfect for cabins, remote locations, any time you need to get off the grid for a while
[06:34.500 --> 06:37.500]  Go to privatepowergrid.com to watch this thing in action
[06:37.500 --> 06:39.500]  That's privatepowergrid.com
[06:39.500 --> 06:45.500]  Even better, use coupon code private at checkout and get a second PPX Energy Unit for free
[06:45.500 --> 06:47.500]  Check it out at privatepowergrid.com
[06:47.500 --> 07:12.500]  That's privatepowergrid.com
[07:12.500 --> 07:17.500]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets
[07:17.500 --> 07:25.500]  Seeker 12xInfoWarsLife is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems
[07:25.500 --> 07:30.500]  It pairs two forms of vitamin B12 into one explosive formula
[07:30.500 --> 07:36.500]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes
[07:36.500 --> 07:43.500]  But it also assists with many other functions of the body, electrify your mind and body, and take your health to the next level
[07:43.500 --> 07:47.500]  Experience the power of Seeker 12 at infowarslife.com
[07:47.500 --> 08:09.500]  Seeker 12xInfoWarsLife.com
[08:09.500 --> 08:27.500]  Seeker 12xInfoWarsLife.com
[08:27.500 --> 08:34.500]  If we don't all stand up for free speech and if we don't all stand up for our basic bill of rights and constitution, we're going to lose it
[08:34.500 --> 08:40.500]  Everything you see being done in Europe is then deployed here in the United States
[08:40.500 --> 08:52.500]  And we're seeing the very same censorship tools deployed in the last five years in Germany and in Austria and in France and in the Netherlands and in Sweden and in Denmark
[08:52.500 --> 09:02.500]  All the countries are adopting the very same systems of stealth censorship which then moves into open censorship and then it moves into this
[09:02.500 --> 09:10.500]  Remember just a year ago we tell you Twitter and Facebook and Google are getting ready to censor because they were making those announcements in policy reports
[09:10.500 --> 09:17.500]  And the media would make jokes and say Alex Jones is crazy, there's no plan to censor anybody, that doesn't exist, we don't do that in America
[09:17.500 --> 09:24.500]  And now they're announcing everywhere, oh we're getting our censorship tools in line with Communist China so they'll let us come back into China
[09:24.500 --> 09:32.500]  We have to prove ourselves in Europe and the US first censoring people and Zuckerberg and the rest of them have begun to prove themselves
[09:32.500 --> 09:34.500]  Here's AP Today
[09:34.500 --> 09:40.500]  German official wants 53 million dollar fines
[09:40.500 --> 09:42.500]  This is Associated Press
[09:42.500 --> 09:48.500]  German official wants 53 million dollar fines for social media hate post
[09:48.500 --> 09:56.500]  That's right, that means any nationalism mentioning that an immigrant or an illegal committed a crime, Milto stuff
[09:56.500 --> 10:06.500]  It's already 500 euro fines in Germany, they already hired the former Stasi to actually run it for Facebook, they then report you and the police come
[10:06.500 --> 10:15.500]  They actually throw people out of their section 8 housing in Germany and in Italy and now over their own hotels and their own paid for homes
[10:15.500 --> 10:21.500]  And put the invaders in, the military aged men, we have footage, we have mainstream news
[10:21.500 --> 10:29.500]  But if you criticize it, you could show it on the Italian news or German news and say how wonderful these old people were thrown out on the street
[10:29.500 --> 10:35.500]  And made way for the poor migrants, look they're all military aged men, look there's no women, look
