[00:00.000 --> 00:08.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08.000 --> 00:13.000]  It's Alex Jones and the GCN Radio Network.
[00:13.000 --> 00:22.000]  Welcome, my friends. It is a little bit past 4 p.m. Central Standard Time on this Sunday, June 13, 2010.
[00:22.000 --> 00:26.000]  I'm Alex Jones. We're going to be here with you for the next two hours.
[00:26.000 --> 00:34.000]  Coming up in the next segment, Congressman Ron Paul will join us on a host of key issues.
[00:34.000 --> 00:41.000]  Then Jeffrey Smith, who has authored two amazing books that we carry at infowars.com,
[00:41.000 --> 00:51.000]  Seeds of Deceptions and one other genetic roulette that go over the incredible fact that every major study out there on GMO,
[00:51.000 --> 00:57.000]  even the company's own studies show that it is reducing fertility in every mammal species and attacking their organs.
[00:57.000 --> 01:01.000]  I mean, this is so important. So, Ron Paul, Jeffrey Smith coming up in this hour.
[01:01.000 --> 01:09.000]  And then we're going to look at Bilderberg 2010 in retrospect.
[01:09.000 --> 01:14.000]  We've got Charlie Skelton, the London Guardian coming on to go over all of what happened at Bilderberg.
[01:14.000 --> 01:21.000]  Then Jim Tucker of American Free Press, the big granddaddy of exposing the Bilderberg group, and Mark Anderson,
[01:21.000 --> 01:24.000]  who's also the deputy editor at that publication.
[01:24.000 --> 01:30.000]  So it's going to be all Bilderberg coming up in the second hour of this radio broadcast today.
[01:30.000 --> 01:34.000]  So I will assure you this is information that everyone needs to hear.
[01:34.000 --> 01:37.000]  We are on the cusp of a massive awakening.
[01:37.000 --> 01:44.000]  All of the people we've seen waking up so far, and what appears to be a just explosive awakening,
[01:44.000 --> 01:52.000]  is actually just the primary ignition or the firing pin hitting the blasting cap in the 30-odd 6 shell casing.
[01:52.000 --> 01:57.000]  We're about to see the true explosion as the powder inside the cartridge, this is my analogy,
[01:57.000 --> 02:07.000]  and fires the projectile of liberty out of the barrel towards the enemy, which is spiritual, financial, and physical tyranny.
[02:07.000 --> 02:16.000]  So we're nonviolent, ladies and gentlemen, but make no mistake, we are warring in the information war against the forces of the New World Order
[02:16.000 --> 02:21.000]  and having an ultra-massive effect. That's why the system is scared.
[02:21.000 --> 02:27.000]  A microcosm example of that is all over the country. Police are arresting people for videotaping them in public,
[02:27.000 --> 02:31.000]  when there's no reasonable perception of privacy.
[02:31.000 --> 02:34.000]  And court after court is throwing it out, pointing out that this is fraud.
[02:34.000 --> 02:38.000]  But why would the police, in many cases, be so arrogant and out of control?
[02:38.000 --> 02:44.000]  Because they're scared. Their unconstitutional police tactics are backfiring on them
[02:44.000 --> 02:50.000]  and are really exposing what they're doing, and their attempt to shut down free speech with cameras is only going to backfire as well.
[02:50.000 --> 02:53.000]  And the same thing is going to happen with the mainstream media.
[02:53.000 --> 03:00.000]  Chris Matthews, Carlos Watson, The New York Times, Cass Sunstein, Elena Kagan, and all these thugs openly coming out and saying,
[03:00.000 --> 03:10.000]  shut down free speech in America, tax the Internet, shut down alternative news, make alternative blogs, carry government propaganda.
[03:10.000 --> 03:21.000]  That is only illustrating to everyone just how corrupt this system is, and just how much trouble this corrupt mockery is in.
[03:21.000 --> 03:26.000]  So I want to encourage everyone to redouble your efforts to reach out and wake up everybody you know.
[03:26.000 --> 03:34.000]  As I keep saying over and over again, like a woodpecker or like a siren, an air raid siren repeating the same droning signal,
[03:34.000 --> 03:37.000]  but it's important. Now is the time.
[03:37.000 --> 03:41.000]  Yes, a lot of you reached out to people. You made copies of films. You had newsletters.
[03:41.000 --> 03:45.000]  You called in to talk radio. You went to the city council. You went to the county commensurers.
[03:45.000 --> 03:48.000]  You went to the water board and said, get the floor right out of my water.
[03:48.000 --> 03:52.000]  I'm going to carry that in the first five minutes of the next hour, by the way, in between interviews.
[03:52.000 --> 03:54.000]  So stay with us for that coming up in T-minus one hour.
[03:54.000 --> 03:59.000]  We want to be technical 57 minutes from now.
[03:59.000 --> 04:10.000]  The issue is now people are really ready to be awakened and the globalists know that. So they're pulling out all the stops moving against our society in mass.
[04:10.000 --> 04:19.000]  So it is so key. It is so essential to reach out to everyone you know, like your life and your financial future and your liberty depends on it,
[04:19.000 --> 04:25.000]  because it does. The denial is over. The admissions of the attack on free speech are now openly being stated.
[04:25.000 --> 04:32.000]  They're admitting world government. They're admitting that we're not going to have a good future and that the quote good times are over ahead of the IMF
[04:32.000 --> 04:37.000]  and the head of the central bank of Europe bragging in the Washington Post. It is happening.
[04:37.000 --> 04:44.000]  Powers from Ron Paul is coming up on this Sunday edition and then Jeffrey Smith, Charlie Skelton, Jim Tucker, Mark Anderson,
[04:44.000 --> 04:47.000]  and of course yours truly, Alex Jones.
[04:47.000 --> 04:51.000]  So stay with us on this Sunday, June 13th, 2010 transmission.
[04:51.000 --> 05:00.000]  The websites are infowars.com, prisonplanet.tv, infowars.net, and jonesreport.com. We shall return.
[05:22.000 --> 05:31.000]  Once you've used pure soap, you won't buy anything else. Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[05:31.000 --> 05:39.000]  Buy American and stay clean. As well as support infowars, visit 5starsoap.com today or call 1-800-340-7091.
[05:39.000 --> 05:41.000]  Well, Marty, what do you have to say?
[05:41.000 --> 05:55.000]  Founder and owner for over 63 years, satisfaction is guaranteed on W. Dirtback. Call us at 1-800-340-7091 for a free catalog
[05:55.000 --> 06:00.000]  or visit our website 5starsoap.com. Thank you.
[06:00.000 --> 06:16.000]  Well, so much is going on. We've only got in for about 20 minutes or so. Congressman Ron Paul, I don't know how he does it, legislation, lobbing on the floor,
