[00:00.000 --> 00:18.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the Info War.
[00:18.000 --> 00:35.000]  Ladies and gentlemen, it is the fourth day of August 2013 on this live Sunday edition.
[00:35.000 --> 00:42.000]  I am your host Alex Jones. We're going to be here as we are every Sunday, 4-6pm central for the next two hours.
[00:42.000 --> 01:02.000]  This happens more and more when I'm about to start a broadcast that I just try to focus as much as I can to cover every bit of news and information we have and to try to lay it all out as best we can understand exactly what's happening.
[01:02.000 --> 01:14.000]  I got here three hours before the show today and I prepared for the broadcast basically for about four hours before that at home.
[01:14.000 --> 01:22.000]  And I think I'm almost like a race car driver or something that goes out and does a bunch of laps and almost practices too much beforehand.
[01:22.000 --> 01:29.000]  Now, you know, some days I come in there 30 months for the show and don't do a lot of preparation because I already know what I want to talk about.
[01:29.000 --> 01:43.000]  But when it gets into a subject like Benghazi or it gets into a subject like the NSA or a subject like Obamacare or a subject like immigration reform,
[01:43.000 --> 01:52.000]  I start studying the subject and then get so much knowledge it's hard to put it all out there.
[01:52.000 --> 01:55.000]  But I'm going to try to go over it all today.
[01:55.000 --> 02:15.000]  I think the most amazing facet of it and what kind of dumbfound me personally is that it's 100% fact that the White House, Obama, the State Department, the CIA, the Pentagon,
[02:15.000 --> 02:30.000]  ordered to stand down and sat there and waited 14 hours to get people on the ground and it took them over six hours to overrun the embassy substation arms cache and kill the people inside.
[02:30.000 --> 02:42.000]  It was the front office of a large warehouse complex out back with thousands of heat seeking missiles, anti-aircraft guns, rocket launchers,
[02:42.000 --> 02:45.000]  so both small, medium and some heavy arms.
[02:45.000 --> 03:00.000]  And I've spent the last day going back and digging up the Colonel Schaefer interviews, the Wayne Madsen interviews, the Dr. Steve Pachennick interviews,
[03:00.000 --> 03:09.000]  where they all laid out in the days, weeks and months after.
[03:09.000 --> 03:22.000]  Going back 10 months ago to September 11th last year, within just a few days and then weeks and months they laid it all out that their sources said there was a stand down ordered by Obama,
[03:22.000 --> 03:31.000]  that there was a arms, giant arms cache there with the ambassador from Turkey being there and then it was being transferred to Syria.
[03:31.000 --> 03:42.000]  And that the Benghazi security force had been ordered to basically go over and kill the ambassador and everybody inside by an unnamed group,
[03:42.000 --> 03:52.000]  who do you think pays them, the White House, to get rid of witnesses so they could basically have plausible deniability later and say,
[03:52.000 --> 04:01.000]  oh my gosh, Al Qaeda got all these missiles, we've got to take your rights away, they've got thousands of missiles crippling Europe and the U.S.,
[04:01.000 --> 04:10.000]  we've got to set checkpoints up everywhere and take all your rights and have the TSA stick their hands down your pants everywhere because of Al Qaeda.
[04:10.000 --> 04:25.000]  We laid all that out with our guests and our sources, who weren't speculating, they were told this by their CIA, FBI, Defense Department, State Department sources.
[04:25.000 --> 04:34.000]  And then I went back last night this morning today and I watched these hour long interviews with Wayne Madsen, Colonel Schaefer's, Pachinic,
[04:34.000 --> 04:45.000]  Dr. Pachinic, and it was all exactly accurate. Then I even found Kudlow reports a month after we broke it with their witnesses saying the same thing on CNBC.
[04:45.000 --> 04:54.000]  So all this big news coming out, because now CNN is reporting the same thing we've been saying in the last few days, is that we've caught them red-handed.
[04:54.000 --> 04:59.000]  There's no mystery to Benghazi. We're going to break all that down when we come back.
[04:59.000 --> 05:08.000]  Protecting your home with a security system is a must, but when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[05:08.000 --> 05:17.000]  Listen, there is some real scum in the alarm business cashing in by locking you into long punishing contracts, not with Simply Safe Home Security.
[05:17.000 --> 05:22.000]  They're the good guys. You can trust Simply Safe to protect your family.
[05:22.000 --> 05:30.000]  Simply Safe was created by a Harvard Business School engineer and it's revolutionary. You'll get 24-hour protection for just $14.99 a month.
[05:30.000 --> 05:37.000]  There are no hidden fees and no contracts. You'll save thousands, plus you're protected by their 100% money-back guarantee.
[05:37.000 --> 05:47.000]  Protect yourself against home invasions and break-ins. Order your Simply Safe system now and receive a wireless keychain remote, a $25 gift, free.
[05:47.000 --> 05:57.000]  So don't waste your time dealing with scum. Visit GetSimplySafe.com. GetSimplySafe.com. GetSimplySafe.com.
[06:17.000 --> 06:36.000]  Welcome, ladies and gentlemen. I am your host, Alex Jones, and we are here six days a week live.
[06:36.000 --> 06:49.000]  You have just now tuned into the Sunday edition 4-6 p.m. every single Sunday central time. It is the fourth day of August 2013.
[06:49.000 --> 07:15.000]  Ladies and gentlemen, we have solved the Benghazi mystery and we solved it nine months ago, just a few weeks after the September 11th attack on the embassy substation that killed Ambassador Stevens and other CIA State Department personnel.
[07:15.000 --> 07:34.000]  And we on record with an NSA whistleblower, Wayne Madsen, with the former head of State Department Psychological Warfare, Dr. Steve Pachennick, with the former head of major operations in Black Ops, Colonel Tony Schaefer, and other guests we had on.
[07:34.000 --> 07:49.000]  And up on infowars.com right now, we have the confirmed Benghazi was cover-up of Arms Transfer to Al Qaeda by Curt Nemo and yours truly, Alex Jones.
[07:49.000 --> 08:18.000]  And we worked yesterday and today on this article that has, from September of last year and October and November, seven different links, three of them posted, video interviews slash radio with Colonel Schaefer, Wayne Madsen, Dr. Steve Pachennick, on the show first.
[08:18.000 --> 08:28.000]  On our broadcast, breaking down exactly what happened at Benghazi.
[08:28.000 --> 08:44.000]  And ladies and gentlemen, if I knew this a few days and a few weeks after the entire government in the State Department, the FBI, the CIA, the Defense Department, NATO, they all know there was two predator drones over.
[08:44.000 --> 08:54.000]  There was a C-130. It took them 14 hours to get personnel there. They stood down for over six hours to let them be killed. That is a premeditated, deliberate stand down.
[08:54.000 --> 09:09.000]  And we have a Congresswoman who was a former ambassador saying only the president could order a stand down of something of that magnitude on a State Department facility.
[09:09.000 --> 09:18.000]  And that's what went on. That's what happened. Congresswoman, Obama gave Benghazi stand down order.
[09:18.000 --> 09:25.000]  And we're going to be going over Ann Wagner's comments, the Congresswoman, on that as well.
[09:25.000 --> 09:30.000]  So the point is, is that you've got all this other incredibly important news. We're going to get to that in the second hour.
[09:30.000 --> 09:39.000]  We've got NSA whistleblower and Navy veteran Wayne Madsen joining us at the bottom of the hour to go over this.
[09:39.000 --> 09:59.000]  But if you want to go to infowars.com or prisonplanet.com and click on the top red link story, confirm Benghazi was cover up of arms transferred al Qaeda, you will see my guest with their sources in the Pentagon, the State Department, the NSA, the CIA, and NATO.
[09:59.000 --> 10:09.000]  Madsen had just been in Libya right before that happened, by the way. He actually goes to these places, rise for some of the biggest publications in the country.
[10:09.000 --> 10:18.000]  They all laid it out. Three different guests. And I had some others on as well, but they were speculating these guys all had sources that said the same thing.
[10:18.000 --> 10:29.000]  And by the way, when Colonel Schaefer was on the broadcast, he ran Stratas IV and other major programs could have killed bin Laden twice in order to stand down in 2000 and 2001, testify the 9 11 hearings.
[10:29.000 --> 10:33.000]  He was called in and threatened.
[10:33.000 --> 10:49.000]  Because he teaches at the Army War College and also run some other think tanks. And is also a contributor to Fox News, but he was called in and threatened when he came on my show and said that and couldn't come on for like six, seven months after that happened.
