[00:00.000 --> 00:25.900]  Infowars, tomorrow's news, today.
[00:25.900 --> 00:32.040]  This lady, Vija Gade, I'm saying that right there, quote, Chief Counsel, she tells Super
[00:32.040 --> 00:36.080]  Whopper allies that I got kicked off for beating up a kid.
[00:36.080 --> 00:38.160]  So what was it that made you ban him?
[00:38.160 --> 00:42.800]  So there were three separate incidents that came to our attention after the fact that
[00:42.800 --> 00:46.000]  were reported to us by different users.
[00:46.000 --> 00:50.720]  There was a video that was uploaded that showed a child being violently thrown to the ground
[00:50.720 --> 00:51.720]  and crying.
[00:51.720 --> 00:52.720]  So that was the first one.
[00:52.720 --> 00:56.300]  And the question is, what was the video context of the kid being thrown to the ground?
[00:56.300 --> 00:57.300]  Was it newsworthy?
[00:57.300 --> 01:01.040]  We obviously didn't think so, and depicting violence against a child is not something
[01:01.040 --> 01:02.880]  that we would allow on the platform.
[01:02.880 --> 01:04.520]  Even if it's news content?
[01:04.520 --> 01:10.760]  If it was, there are certain types of situations where if you were reporting on war zone and
[01:10.760 --> 01:14.200]  things that might be happening, we would put an interstitial on that type of content that's
[01:14.200 --> 01:18.000]  graphic or violent, but we didn't feel that that was the context here.
[01:18.000 --> 01:21.720]  So there's a video that's been going around that was going around a few, four or five
[01:21.720 --> 01:25.720]  weeks ago, the one where the girls were yelling at that big giant guy, and the guy punched
[01:25.720 --> 01:28.080]  that girl in the face, and she was like 11 years old.
[01:28.080 --> 01:30.400]  I saw that multiple times on Twitter.
[01:30.400 --> 01:35.040]  That was one of the most violent things I've ever seen, this giant man punched this 11-year-old
[01:35.040 --> 01:37.120]  girl in the face.
[01:37.120 --> 01:39.240]  And that was, was that removed from Twitter?
[01:39.240 --> 01:40.240]  I don't know.
[01:40.240 --> 01:43.880]  Also, that I'm doing all these other horrible things, that I was mean to Oliver Darcy, even
[01:43.880 --> 01:46.160]  though he's a public figure and it's in public.
[01:46.160 --> 01:51.800]  So the third strike that we looked at was a verbal altercation that Alex got into with
[01:51.800 --> 01:52.800]  a journalist.
[01:52.800 --> 01:57.680]  And in that altercation, which was uploaded to Twitter, there were a number of statements
[01:57.680 --> 02:01.040]  using eyes of the rat, even more evil-looking person.
[02:01.040 --> 02:02.040]  He's just scum.
[02:02.040 --> 02:06.280]  You're a virus to America and freedom, smelling like a possum that climbed out of the rear
[02:06.280 --> 02:08.080]  and of a dead cow.
[02:08.080 --> 02:11.880]  You look like a possum that got caught doing some really, really nasty stuff, in my view.
[02:11.880 --> 02:13.880]  So it was a bunch of...
[02:13.880 --> 02:14.880]  That's enough?
[02:14.880 --> 02:15.880]  Really?
[02:15.880 --> 02:16.880]  It was a pattern in practice.
[02:16.880 --> 02:17.880]  I understand.
[02:17.880 --> 02:20.720]  But it was a verbal altercation that was posted on our platform.
[02:20.720 --> 02:25.440]  So we took the totality of this, having been warned that we have rules against the abuse
[02:25.440 --> 02:27.320]  and harassment of individuals.
[02:27.320 --> 02:32.120]  We saw this pattern in practice, one strike, two strikes, three strikes, and we made a decision.
[02:32.120 --> 02:36.920]  Here are the Twitter executives being fired.
[02:36.920 --> 02:38.960]  They don't look too happy now.
[02:38.960 --> 02:43.560]  Among the three top executives who were reportedly fired is Vijaya Gatti, who oversaw Twitter's
[02:43.560 --> 02:45.840]  policy on misinformation.
[02:45.840 --> 02:48.360]  Musk has been outspoken against censorship.
[02:48.360 --> 02:54.160]  A lot of people are saying, Jones, when are you going to challenge Elon Musk and demand
[02:54.160 --> 02:55.640]  that you be reinstated to Twitter?
[02:55.640 --> 02:57.760]  The wheels are coming off the new world order.
[02:57.760 --> 03:01.040]  I don't know if Elon Musk is the guy we want to piss off.
[03:01.040 --> 03:02.480]  Are you scared of Elon Musk or...?
[03:02.480 --> 03:03.800]  I'm not scared of him, no.
[03:03.800 --> 03:05.200]  You sound like you're scared of him.
[03:05.200 --> 03:06.200]  I'm not scared of him.
[03:06.200 --> 03:07.200]  I like him.
[03:07.200 --> 03:09.160]  But the thing is, this is not a technological problem.
[03:09.160 --> 03:12.800]  I mean, if you have a technological problem, yes, you need the tech genius.
[03:12.800 --> 03:18.840]  No, I'm talking about taking over Twitter, for instance, that this is a problem of politics,
[03:18.840 --> 03:21.560]  of sociology, of human psychology.
[03:21.560 --> 03:25.080]  I'm not sure that he's necessarily the best one to address it.
[03:25.080 --> 03:29.000]  I mean, his view of Twitter, he often says that it's like the town square, that we need
[03:29.000 --> 03:30.920]  to protect the free speech there.
[03:30.920 --> 03:32.880]  But Twitter is not the town square.
[03:32.880 --> 03:39.640]  I mean, Tristan Harris recently said that Twitter is actually the town's gladiator arena.
[03:39.640 --> 03:48.000]  The world population is waking up at record levels, and the globalists are completely
[03:48.000 --> 03:51.600]  and totally, absolutely desperate right now.
[03:51.600 --> 03:55.600]  But despite the robust protections of the First Amendment, the federal government is
[03:55.600 --> 04:00.360]  making every effort to pressure social media companies into punishing speech.
[04:00.360 --> 04:04.320]  Now, according to the Intercept, Facebook maintains a special portal for law enforcement
[04:04.320 --> 04:07.760]  to make requests that content be removed from the platform.
[04:07.760 --> 04:09.960]  Indeed, the portal exists here.
[04:09.960 --> 04:14.560]  We were able to find it, and requires law enforcement credentials to access it.
[04:14.560 --> 04:18.640]  According to the Intercept, the FBI's Laura Demlo breached a cybersecurity agency on the
[04:18.640 --> 04:24.320]  spread of misinformation, warning that, quote, we need a media infrastructure that is held
[04:24.320 --> 04:25.320]  accountable.
[04:25.320 --> 04:29.920]  Excuse me, another DHS report obtained by the Intercept explained that its coming priorities
[04:29.920 --> 04:34.880]  are preventing, quote, inaccurate information on a wide range of topics, including, quote,
[04:34.880 --> 04:39.960]  the origins of the COVID-19 pandemic, the efficacy of COVID-19 vaccines, racial justice,
[04:39.960 --> 04:44.760]  U.S. withdrawal from Afghanistan, and the nature of U.S. support to Ukraine.
[04:44.760 --> 04:49.840]  God gave us all this technology to use and to build our future, but it serves us, not
[04:49.840 --> 04:50.840]  them.
[04:50.840 --> 05:01.440]  That's a prime rule in my rules, or I think the future should be run.
[05:01.440 --> 05:06.680]  Don't let the globalist monsters and their mercenary minions be successful at silencing
[05:06.680 --> 05:08.080]  you.
[05:08.080 --> 05:11.760]  And the globalist's number one mission is to silence info wars, because they rightly
[05:11.760 --> 05:17.080]  see us as one of the main beacons of resistance alerting the people, not as of America, but
[05:17.080 --> 05:21.320]  the world, for the threat of the globalist and their censorship and tyranny.
[05:21.320 --> 05:27.360]  That's why it's so essential today, now more than ever, to share links from infowars.com
[05:27.360 --> 05:31.680]  and to also financially support infowars.com at the most critical time on our fight by
[05:31.680 --> 05:36.880]  using promo code 1776 at checkout, so you get additional 10% off.
