[00:00.000 --> 00:02.000]  We've got it.
[00:02.000 --> 00:04.000]  This transmission is coming to you.
[00:07.000 --> 00:09.000]  Waging war on corruption.
[00:11.000 --> 00:17.000]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:21.000 --> 00:25.000]  We are live, ladies and gentlemen, and I love it, I love it, I love it.
[00:25.000 --> 00:33.000]  I am always chomping at the bit to get back on air and expose corruption and defend our precious constitutional republic.
[00:34.000 --> 00:41.000]  We're now more than a month into the gun grab push on Sandy Hook, and we know exactly what they're doing.
[00:41.000 --> 00:44.000]  They're coming for our guns, but that signifies a lot more.
[00:44.000 --> 00:49.000]  What does it signify? Why are they so desperate to get the firearms now?
[00:49.000 --> 00:54.000]  Why are the globalists pulling out all the stops? We're going to be looking at that today.
[00:54.000 --> 01:03.000]  And the Washington Post is reporting and confirming what we have been saying for several years is going to be their attack profile
[01:03.000 --> 01:14.000]  because the top victim disarmament tyrants, the top mafia dons posing as the anti-gun lobby told us that they may just go directly to an executive order.
[01:14.000 --> 01:20.000]  Rahm Emanuel said that three years ago when he was White House chief of staff. He said that five years ago when Obama wasn't even in office.
[01:20.000 --> 01:28.000]  Also in another separate speech, but he said it five years ago and then three years ago that they would use executive orders or rule making to take our guns.
[01:28.000 --> 01:35.000]  And that they would just put us on a no gun buy list. Outside of law, they have a no fly list.
[01:35.000 --> 01:44.000]  And he said just like you have a no fly list, we'll just put whoever we want, mainly veterans and conservatives on a no gun buy list.
[01:44.000 --> 01:52.000]  And we're going to play that clip again today, but the Washington Post has come out and because they want to report to everybody first.
[01:52.000 --> 02:00.000]  It's all the lemmings. It's just their old plans regurgitated. So we knew what their plans would be, how they're going to get our guns.
[02:00.000 --> 02:07.000]  And it's just you go in to get a gun and sorry, you can't buy one, but I have no criminal record.
[02:07.000 --> 02:12.000]  I've never been adjudicated to be mentally ill. Doesn't matter, Jack, you can't get off the list. So shut up.
[02:12.000 --> 02:20.000]  And then, of course, you'll also get a letter saying come turn them into the local police department or you will get SWAT teamed.
[02:20.000 --> 02:26.000]  Now, this is over the top aggressive and it's very unconstitutional, outright illegal.
[02:26.000 --> 02:31.000]  Just because they even pass an unconstitutional law doesn't mean it's really law.
[02:31.000 --> 02:36.000]  But when they just come out with, oh, the UN is the boss of the military because we said so.
[02:36.000 --> 02:43.000]  We're going to open the border up because we said so. Remember Obama last year started legalizing illegal aliens without a law.
[02:43.000 --> 02:48.000]  This just did it by fiat executive directive, not even an executive order.
[02:48.000 --> 02:55.000]  Just just he just wrote a letter to the head of the immigration services telling him to do that.
[02:55.000 --> 03:00.000]  So more and more, he's getting away with it and the client Congress is going along with it.
[03:00.000 --> 03:06.000]  So now they're sending up trial balloons. I remember a few months ago before the Sandy Hook tragedy,
[03:06.000 --> 03:12.000]  I said he's going to use executive orders to go after our guns because I had a different anti-gun groups bragging he'd do it.
[03:12.000 --> 03:17.000]  I mean, it's love to say I predicted it. No, they told us what they do.
[03:17.000 --> 03:27.000]  And they said that they use his executive orders. And now, sure enough, they're getting ready to do that.
[03:27.000 --> 03:30.000]  And it will cause resistance, which is exactly what they want.
[03:30.000 --> 03:37.000]  The new terrorist is the gun owner for a decade. All the real training, almost all the real training has been about gun owners,
[03:37.000 --> 03:42.000]  libertarians, conservatives, constitutionalist in the fetters, anti New World Order people,
[03:42.000 --> 03:47.000]  basically folks whose elevator goes all the way to the top, people that can tie their shoelaces,
[03:47.000 --> 03:55.000]  people that own their own businesses, people that actually read world newspapers,
[03:55.000 --> 04:02.000]  that actually read Council on Foreign Relations, press releases, people that actually read think tank publications,
[04:02.000 --> 04:06.000]  generally successful entrepreneur, upper middle class, wealthy people.
[04:06.000 --> 04:11.000]  You are the enemy of the mega bank mafia because they know you're informed.
[04:11.000 --> 04:16.000]  They know you know what's going on. And so you are listed as the enemy.
[04:16.000 --> 04:22.000]  All authoritarian systems for thousands of years, when they would come in and take over an area, the Romans would do this.
[04:22.000 --> 04:26.000]  Alexander the Great would do this. Others after them would do it.
[04:26.000 --> 04:32.000]  First, Alexander the Great, then the Romans and then the Byzantines and throughout,
[04:32.000 --> 04:38.000]  they'd come in and assess who the upper middle class was. And that's the group they just wipe out.
[04:38.000 --> 04:43.000]  Whole pot, same deal in Cambodia. Fascists do it. Communists do it. Authoritarians do it.
[04:43.000 --> 04:49.000]  And they're not worried about the dumbed down mass out there that doesn't know how to tie their shoelaces.
[04:49.000 --> 04:54.000]  They're worried about those of us that are aware of their criminal mafia takeover.
[04:54.000 --> 04:57.000]  We're the only ones that can stop them. That's why.
[05:01.000 --> 05:09.000]  If you want an American company with American products made by Americans, here is the Cal-Ben Soap Company.
[05:09.000 --> 05:13.000]  Alex and his staff have used these pure soap products for years.
[05:13.000 --> 05:20.000]  These all natural soaps are made from the highest quality vegetable and coconut oils that are earth friendly and safe.
[05:20.000 --> 05:28.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
