[00:00:05.495 --> 00:00:06.215]  We're live.
[00:00:06.215 --> 00:00:08.377]  It's April 20th.
[00:00:08.377 --> 00:00:13.940]  The year is 2020 on this Monday transmission, 196 days out from the election.
[00:00:13.940 --> 00:00:15.261]  World government's been announced.
[00:00:15.261 --> 00:00:19.664]  Forced inoculations have been announced.
[00:00:19.664 --> 00:00:24.407]  World champion tennis players are being told they can't play tennis unless they take an inoculation that doesn't even exist yet.
[00:00:26.368 --> 00:00:34.150]  And Bill and Melinda Gates are working with Communist China to roll out a digital currency that's under the skin.
[00:00:34.150 --> 00:00:37.291]  You might have heard about it in the last book of the Bible.
[00:00:37.291 --> 00:00:44.373]  It's called the Mark of the Beast, and it's here.
[00:00:44.373 --> 00:00:52.275]  You may be an atheist, and you may not believe in Holy Scripture, but that does not change the fact that the Mark of the Beast is upon us.
[00:00:53.444 --> 00:00:59.887]  For those unfamiliar with the Mark of the Beast, it comes from Revelation 13 in the Bible.
[00:00:59.887 --> 00:01:12.273]  It also forced all people, great and small, rich and poor, free and slave, to receive a mark on their right hands or on their foreheads, so that they could not buy or sell unless they had the mark.
[00:01:13.223 --> 00:01:17.167]  Which is the name of the beast or the number of its name?
[00:01:17.167 --> 00:01:19.289]  This calls for wisdom.
[00:01:19.289 --> 00:01:25.514]  Let the person who has insight calculate the number of the beast, for it is the number of a man.
[00:01:25.514 --> 00:01:28.957]  That number is 666.
[00:01:28.957 --> 00:01:34.583]  Whether it is biblical prophecy or not, the evidence suggests it is a very real agenda.
[00:01:35.976 --> 00:01:41.621]  Every universal barcode has three guide bars, each one representing a six.
[00:01:41.621 --> 00:01:50.888]  When the inventor George Joseph Lohrer of IBM was asked of this, he replied, Yes, they do resemble the code for a six.
[00:01:50.888 --> 00:01:56.433]  There is nothing sinister about this, nor does it have anything to do with the Bible's Mark of the Beast.
[00:01:56.433 --> 00:02:03.698]  It is simply a coincidence, like the fact that my first, middle, and last name all have six letters.
[00:02:03.698 --> 00:02:05.019]  Perhaps it was a coincidence.
[00:02:05.785 --> 00:02:07.566]  Or even a joke.
[00:02:07.566 --> 00:02:09.528]  But look at what we have today.
[00:02:09.528 --> 00:02:16.673]  In 2004, the FDA approved a chip that is implanted into a person's hand.
[00:02:16.673 --> 00:02:27.240]  In 2019, Elon Musk and Neuralink have announced that they are planning on implanting computer chips into people's heads so that we can merge with artificial intelligence.
[00:02:29.056 --> 00:02:40.380]  MIT, under funding of the Bill and Melinda Gates Foundation, has developed a quantum dot ink implant that can be monitored by a smartphone.
[00:02:40.380 --> 00:02:54.486]  And in 2020, world patent number 060606 was published by Microsoft Technology, titled, Cryptocurrency System Using Body Activity Data.
[00:02:55.911 --> 00:03:07.940]  It outlines a technology wherein human body activity associated with a task provided to a user may be used in a mining process of a cryptocurrency system.
[00:03:07.940 --> 00:03:18.468]  The human is given an activity to accomplish, which is sent from a body sensor to the cloud and to the cryptocurrency system, rewarding the human with money.
[00:03:20.049 --> 00:03:33.762]  And while this is happening, the world is being told to stay at home until a vaccine can be developed, while the 5G needed to run artificial intelligence is rapidly rolling out worldwide.
[00:03:33.762 --> 00:03:38.926]  Let the person who has insight calculate the number of the beast, for it is the number of a man.
[00:03:40.120 --> 00:03:47.825]  Humanity is being asked to abandon a world based on God's law and accept a world based on man's law.
[00:03:47.825 --> 00:03:51.108]  In other words, the law of the state.
[00:03:51.108 --> 00:03:57.873]  Whether you believe in biblical prophecy or not, the mark of the beast is becoming very real.
[00:03:57.873 --> 00:04:07.379]  And at the speed of which things are now going, it seems we will soon discover how many people will accept the mark and how many will resist.
[00:04:07.379 --> 00:04:09.521]  For InfoWars.com, this is Greg Reese.
[00:04:13.371 --> 00:04:18.634]  And then I have a stack of news articles here.
[00:04:18.634 --> 00:04:28.679]  The IBM front company, Microsoft's official spokespersons are high priests in satanic orders like Aleister Crowley's high priestess.
[00:04:28.679 --> 00:04:31.360]  You cannot make that up.
[00:04:31.360 --> 00:04:35.962]  The article and the video you just saw is going live at Band.Video.
[00:04:35.962 --> 00:04:39.224]  On the mark of the beast, I suggest you share it or just roll over and submit.
[00:04:40.464 --> 00:04:45.725]  I'm here to tell you I don't need you to thank me and tell me I've done a good job.
[00:04:45.725 --> 00:04:46.905]  I've done nothing but my duty!
[00:04:46.905 --> 00:04:50.166]  I discovered a bunch of bloodthirsty scum coming after innocent people and I've been
[00:05:16.454 --> 00:05:24.216]  For 26 years, Alex Jones and Infowars have been sounding the alarm for patriots worldwide.
[00:05:24.216 --> 00:05:27.817]  Waking people up to the new world order.
[00:05:27.817 --> 00:05:28.898]  Bohemian Grove.
[00:05:30.058 --> 00:05:42.444]  The American deep state, the rise of communist China, the plan for global depopulation, and global elite pedophiles who prey off of our young.
[00:05:42.444 --> 00:05:49.568]  The enemy has done their best to destroy us, but because of your support, our fight continues.
[00:05:49.568 --> 00:05:50.689]  Join us.
[00:05:50.689 --> 00:05:55.191]  Support the Info War, and together, we will slay the dragon.
[00:05:55.191 --> 00:05:57.092]  Keep fighting Alex, you're the gladiator.
[00:06:23.971 --> 00:06:24.751]  Wake up!
[00:06:24.751 --> 00:06:29.613]  Boys, there's a light at the window.
[00:06:29.613 --> 00:06:34.794]  I can hear someone knocking on the door.
[00:06:34.794 --> 00:06:40.156]  There are voices in the street and the sound of running feet.
[00:06:40.156 --> 00:06:45.318]  And they whisper the word, revolution.
[00:06:45.318 --> 00:06:49.379]  There are men coming down from the valleys.
[00:06:51.072 --> 00:07:08.162]  There are tall ships flying off the coast And they carry the light in the dark of the night Like a whisper in the wind Revolution!
[00:07:08.162 --> 00:07:17.587]  Bring my gun and a handful of silver By the sea we will gather for the fight
[00:07:19.995 --> 00:07:37.838]  It's been so many years So many tears We have lost once before Now we'll settle the score When our cannons will roar Revolution!
[00:07:37.838 --> 00:07:40.779]  Prophecy is now being fulfilled.
