[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[00:00:06.303 --> 00:00:08.504]  The year is 2022.
[00:00:08.504 --> 00:00:15.907]  We are in the last hours of our Republic, unless we awaken now.
[00:00:15.907 --> 00:00:17.027]  InfoWars.
[00:00:17.027 --> 00:00:18.568]  Tomorrow's news, today.
[00:00:21.184 --> 00:00:30.927]  If you ignore all the huffing and puffing on TV and just look at the video evidence, it's been clear for a while now that the Department of Justice probably had some role in the events of January 6th.
[00:00:30.927 --> 00:00:32.147]  It's obvious.
[00:00:32.147 --> 00:00:35.848]  After hearings on Capitol Hill today, it became even clearer.
[00:00:35.848 --> 00:00:44.090]  Watch Senator Ted Cruz of Texas ask an FBI official called Jill Sanborn point-blank whether the FBI was involved.
[00:00:44.090 --> 00:00:50.012]  How many FBI agents or confidential informants actively participated in the events of January 6th?
[00:00:53.934 --> 00:00:59.456]  Sir, I'm sure you can appreciate that I can't go into the specifics of sources and methods.
[00:00:59.456 --> 00:01:05.779]  Did any FBI agents or confidential informants actively participate in the events of January 6th?
[00:01:05.779 --> 00:01:07.680]  Yes or no?
[00:01:07.680 --> 00:01:09.861]  Sir, I can't answer that.
[00:01:09.861 --> 00:01:17.063]  Did any FBI agents or confidential informants commit crimes of violence on January 6th?
[00:01:17.063 --> 00:01:17.864]  I can't answer that, sir.
[00:01:18.766 --> 00:01:27.606]  Did any FBI agents or FBI informants actively encourage and incite crimes of violence on January 6th?
[00:01:27.606 --> 00:01:28.507]  January 6th.
[00:01:28.507 --> 00:01:29.470]  Sir, I can't answer that.
[00:01:31.334 --> 00:01:32.955]  Did you hear that?
[00:01:32.955 --> 00:01:40.221]  Cruz asked, quote, did any FBI agents or confidential informants commit crimes of violence on January 6th?
[00:01:40.221 --> 00:01:40.962]  That's what he asked.
[00:01:40.962 --> 00:01:42.723]  And the obvious answer is, are you kidding?
[00:01:42.723 --> 00:01:43.684]  Come on now.
[00:01:43.684 --> 00:01:46.887]  Of course the FBI isn't secretly committing crimes of violence.
[00:01:46.887 --> 00:01:48.168]  That's insane.
[00:01:48.168 --> 00:01:49.689]  We're a federal law enforcement agency.
[00:01:49.689 --> 00:01:51.130]  We're not the Tauntaun Makut.
[00:01:51.130 --> 00:01:53.092]  Next question, please.
[00:01:53.092 --> 00:01:56.455]  That's what Jill Sanborn should have said, but that is not what she said.
[00:01:56.455 --> 00:01:58.937]  Instead, she replied, quote, I can't answer that.
[00:01:59.991 --> 00:02:04.833]  But of course Jill Sanborn can answer that, and she should be forced to answer that immediately.
[00:02:04.833 --> 00:02:08.555]  No sources or methods would be revealed, just answer the question.
[00:02:08.555 --> 00:02:09.856]  Did they participate in violence or not?
[00:02:09.856 --> 00:02:11.437]  Why is that hard?
[00:02:11.437 --> 00:02:12.997]  Tells you a lot.
[00:02:12.997 --> 00:02:18.660]  At another point, Senator Tom Cotton of Arkansas asked the Assistant Attorney General Matt Olson about Ray Epps.
