[00:00:01.627 --> 00:00:02.367]  I don't know.
[00:00:16.650 --> 00:00:26.934]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:00:26.934 --> 00:00:35.918]  It only happens to me every couple years.
[00:00:35.918 --> 00:00:42.481]  I go to sleep, in a deep sleep, face down, and wake up with one of my eyes open, stuck to the pillow.
[00:00:43.544 --> 00:00:44.544]  You ever done that?
[00:00:44.544 --> 00:00:47.365]  Right over here, this eye is just blasted out.
[00:00:47.365 --> 00:00:49.345]  Big cut on the side.
[00:00:49.345 --> 00:00:50.245]  Had a doctor look at it.
[00:00:50.245 --> 00:00:52.266]  They said it should be fine.
[00:00:52.266 --> 00:00:54.546]  But let's just say this.
[00:00:54.546 --> 00:01:00.748]  If I seem a little bummed out on here, it's not because we're the number one news story in the country and they're trying to shut us down.
[00:01:00.748 --> 00:01:01.588]  That bums me out.
[00:01:01.588 --> 00:01:05.328]  But there's a little bit of pain going on over here in the eye.
[00:01:05.328 --> 00:01:12.430]  So that may actually make me settle down a little bit today and actually be a little bit more congruent than I can be sometimes.
[00:01:19.943 --> 00:01:24.024]  We're going to be live here for the next two hours.
[00:01:24.024 --> 00:01:32.887]  And then Mike Adams produces every week, usually on about a Friday, a one-hour special called CounterThink.
[00:01:32.887 --> 00:01:35.988]  Counter thought to the establishment that's very informative.
[00:01:35.988 --> 00:01:38.909]  And then we're not live until 8 a.m.
[00:01:38.909 --> 00:01:42.970]  the next day when David Knight comes on with the real news.
[00:01:42.970 --> 00:01:49.292]  We're going to do a couple hours live tonight, just an exercise of free speech on the state of the internet.
[00:01:50.327 --> 00:01:55.888]  And really where the planet is right now in relation to the Mark of the Beast.
[00:01:55.888 --> 00:01:57.989]  That's really what it is.
[00:01:57.989 --> 00:02:17.794]  And we're going to talk to Mike Cernovich and some other folks that are also going to be not just on the InfoWars platform but streaming on their own platforms from their own studios their own broadcast that we'll just be interfacing with just to give people an example of how this deplatforming operation works.
[00:02:17.794 --> 00:02:18.154]  So it's a
[00:02:19.588 --> 00:02:25.331]  little legal test that we're doing just to illustrate to people what the real plan is here.
[00:02:25.331 --> 00:02:30.054]  InfoWars is being watched obviously extremely closely right now.
[00:02:30.054 --> 00:02:32.135]  Tucker Carlson's weighed in.
[00:02:32.135 --> 00:02:48.205]  Senator Ted Cruz has weighed in supporting InfoWars and pointing out that there is a test case going to de-platform us off the internet to set the precedent to do it to conservatives and nationalists and whoever else the establishment wants to muzzle into the future.
[00:02:49.207 --> 00:02:54.153]  So that is all coming up during the broadcast as well.
[00:02:54.153 --> 00:03:06.608]  Now, regular listeners know that we've been spot on about what was going to happen, when it was going to happen with The Globalist because we read their trade publications.
[00:03:09.002 --> 00:03:11.384]  They are really upset at how influential we are.
[00:03:11.384 --> 00:03:14.626]  They're very, very upset about how accurate we are.
[00:03:14.626 --> 00:03:28.196]  They're really upset that government agencies, not just here, but around the world, are increasingly tuning in and that it's decompartmentalizing their global plan.
[00:03:35.868 --> 00:03:39.689]  So I'm going to do my best today to just go 35,000 foot view.
[00:03:39.689 --> 00:03:43.070]  So I tend to get on air and then I just say, let me prove it all to you.
[00:03:43.070 --> 00:03:47.271]  And I show you each and every little factoid and then tie it all together.
[00:03:47.271 --> 00:03:48.251]  We've done that.
[00:03:48.251 --> 00:03:49.451]  We'll do that later in the broadcast.
[00:03:49.451 --> 00:03:54.252]  I think it's important just to lay out the big picture here and what we're facing.
[00:03:54.252 --> 00:04:00.994]  Now that said, they're making their move.
[00:04:03.086 --> 00:04:06.229]  Not just against Infowars, but against everybody.
[00:04:06.229 --> 00:04:12.176]  And it's not just ahead of the midterms, it's a global crackdown on free speech.
[00:04:12.176 --> 00:04:17.761]  And they're very brazen about who's helping them do it, who's haunt-showing.
[00:04:17.761 --> 00:04:19.383]  And it's so historical.
[00:04:19.383 --> 00:04:20.685]  History is happening now.
[00:04:20.685 --> 00:04:23.508]  This is outrageous tyranny.
[00:04:23.508 --> 00:04:24.589]  It's extremely naked.
[00:04:26.041 --> 00:04:33.705]  And it operates like you're completely unconscious and aren't consciously looking at what's happening.
[00:04:33.705 --> 00:04:41.749]  There's no logical 2 plus 2 equals 4 to any of it.
[00:04:41.749 --> 00:04:43.990]  And it's just unbelievable.
[00:04:44.938 --> 00:04:46.200]  How naked it is.
[00:04:46.200 --> 00:04:50.525]  I mean, it's really stunningly ridiculous.
[00:04:50.525 --> 00:04:52.387]  So we're going to break it all down straight ahead.
[00:04:52.387 --> 00:04:58.275]  I cannot stress enough to all of you out there how critical word of mouth is in this information war.
[00:05:00.273 --> 00:05:04.417]  We all know that the outside toxins in the water is a serious health issue.
[00:05:04.417 --> 00:05:11.463]  InfoWars is proud to sell incredible filters, but it's almost impossible to keep up with every faucet, shower, and sink in your home.
[00:05:11.463 --> 00:05:16.287]  That's why we're bringing you something to provide clean water for your whole house with one system.
[00:05:16.287 --> 00:05:23.193]  The Pro-Pure Whole House Water Filtration System is an advanced, four-stage, compact filtration system
[00:05:23.613 --> 00:05:29.615]  That will provide water filtration for your entire home, removing 220 plus contaminants from your water.
[00:05:29.615 --> 00:05:38.739]  It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[00:05:39.199 --> 00:05:46.664]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[00:05:46.664 --> 00:06:04.497]  Head to InfoWarsStore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the Pro-Pure Whole House Filtration System today.
[00:06:04.497 --> 00:06:08.480]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.082 --> 00:06:22.614]  If you are receiving this transmission, you are the resistance.
[00:06:22.614 --> 00:06:31.023]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:32.975 --> 00:06:45.290]  The United States of America and hundreds of other nations are now locked in a struggle against multinational corporations backed up by the communist Chinese and the elites that own Hollywood.
[00:06:46.107 --> 00:07:11.408]  We're attempting to dominate humanity and bring in an anti-human world government where normal human processes are taken control of and then artificiality is then enforced to set up a new paradigm of complete and total synthetic corporate technological scientific elite military industrial complex elite control.
[00:07:11.408 --> 00:07:13.749]  The brave new world is here.
[00:07:13.749 --> 00:07:15.131]  It is the establishment's plan.
[00:07:15.811 --> 00:07:19.492]  And we are here simply trying to ring the alarm bell and expose it.
[00:07:19.492 --> 00:07:34.318]  Because the information is so on target about the Globalist program, because it's from their own admissions, they were so arrogant they bragged about for decades, they're scared of this broadcast and they want it shut down.
