[00:00:01.275 --> 00:00:02.839]  Welcome, ladies and gentlemen.
[00:00:02.839 --> 00:00:04.242]  Welcome.
[00:00:04.242 --> 00:00:04.903]  Here we are.
[00:00:04.903 --> 00:00:06.727]  It is the sixth day of June 2007.
[00:00:06.727 --> 00:00:09.634]  We're going to be live for the next three hours.
[00:00:13.104 --> 00:00:16.406]  Senator Sessions has finally gotten a copy of the complete bill.
[00:00:16.406 --> 00:00:19.528]  It's even semi-secret from high-ranking senators.
[00:00:19.528 --> 00:00:22.510]  It is total, absolute mega-amnesty.
[00:00:22.510 --> 00:00:26.733]  The worst ever, even worse than we thought from the subsections that we've gotten.
[00:00:26.733 --> 00:00:31.856]  We'll be going over the 20 total loopholes, the end of America, in the second hour.
[00:00:31.856 --> 00:00:32.917]  In the first hour!
[00:00:35.157 --> 00:00:53.508]  Matt Lepasic, reporting for InfoWars.com and WeAreChange.org, with Luke Rudowsky and Michael Narb, were at the Republican debates last night in New Hampshire, in the big media gymnasium area, separate from the debates.
[00:00:53.508 --> 00:01:01.993]  They went in, said who they were with, got CNN press passes, they were letting, you know, small newspapers, TV stations, all over the country, didn't matter, Big Ten,
[00:01:02.927 --> 00:01:20.824]  They went in and they asked serious follow-up questions to Rudolph Giuliani's minions about the two separate times in the last two weeks where they confronted him in New York and surrounding areas, politely as well, asking him about his comments that he was told Tower One and Two were going to fall.
[00:01:20.824 --> 00:01:21.945]  He then denied it.
[00:01:21.945 --> 00:01:26.249]  We have played, of course, the national television program Giuliani was on with
[00:01:28.832 --> 00:01:36.037]  The now, of course, deceased anchor of ABC News, Peter Jennings, he also said it in front of the 9-11 Commission.
[00:01:36.037 --> 00:01:40.381]  And his head pollster said, no, it's a lie, you don't have any documentation.
[00:01:40.381 --> 00:01:44.003]  And then the press secretary was there in the crowd and ran off.
[00:01:44.003 --> 00:01:47.606]  We have this from eyewitnesses and I was watching a live video cam feed.
[00:01:47.606 --> 00:01:52.370]  It's not on the main video feed that's out there on the web.
[00:01:52.370 --> 00:01:52.490]  And
[00:01:53.599 --> 00:02:05.505]  They went and got the police and the state police came in and arrested Matt LePacek and charged him with criminal trespass, ladies and gentlemen, which depending on how they apply, it could be a felony or a misdemeanor.
[00:02:05.505 --> 00:02:08.327]  He has since now gotten out of jail in the early morning.
[00:02:09.551 --> 00:02:10.111]  Hours.
[00:02:10.111 --> 00:02:20.597]  It was historical because they had wireless internet via a cell phone hooked up to the laptop and when they took his camera away and unplugged it, he still had the audio separately hooked into the laptop.
[00:02:20.597 --> 00:02:24.900]  That went out for about five minutes in the squad car.
[00:02:24.900 --> 00:02:27.441]  The only question is, were we able to save it?
[00:02:27.441 --> 00:02:29.402]  I was watching it at home as it happened.
[00:02:29.402 --> 00:02:31.663]  It was cutting in and out because of buffering issues.
[00:02:31.663 --> 00:02:34.945]  So many people trying to watch it, which we were worried about.
[00:02:34.945 --> 00:02:36.826]  But for other people, it wasn't buffering.
[00:02:36.826 --> 00:02:37.787]  They were able to see it.
[00:02:39.187 --> 00:02:46.816]  So I saw a lot of this live from the camera that he was holding in his hand, one of the Infowars cameras that we donated.
[00:02:46.816 --> 00:02:48.038]  Just absolutely amazing.
[00:02:48.038 --> 00:02:49.840]  We have Matt LePacek with us.
[00:02:49.840 --> 00:02:53.885]  When we get back in the second segment, we're going straight to him.
[00:02:53.885 --> 00:02:55.787]  It is on the front page of the Drudge Report.
