[00:00:03.963 --> 00:00:05.171]  We're good.
[00:00:11.527 --> 00:00:12.968]  Resistance to tyrants is obedience to God.
[00:00:12.968 --> 00:00:13.408]  It's Alex Jones.
[00:00:13.408 --> 00:00:14.328]  It's Wednesday, October 10th, 2018.
[00:00:14.328 --> 00:00:15.369]  We're now only 27 days out from the midterms.
[00:00:15.369 --> 00:00:18.150]  And yes, Hurricane Michael is slamming into the Florida panhandle as we speak.
[00:00:18.150 --> 00:00:19.990]  At 140 miles an hour, they're calling it the hellstorm.
[00:00:36.457 --> 00:00:41.142]  So notice the media hyped up the hurricane a month ago that they thought would be totally devastating.
[00:00:41.142 --> 00:00:43.464]  And it was bad, but not as devastating as they thought.
[00:00:43.464 --> 00:00:49.690]  And then now, out of nowhere, comes Hurricane Michael, and it looks like it is going to be a hellstorm.
[00:00:49.690 --> 00:00:51.332]  So let's pray for everybody.
[00:00:51.332 --> 00:00:58.278]  Obviously, they're in the panhandle, everybody in Louisiana, Mississippi especially, and other areas of the Deep South.
[00:00:58.278 --> 00:00:59.199]  But here's the deal.
[00:01:00.160 --> 00:01:04.643]  We've been dealing with natural storms on this planet since God created us.
[00:01:04.643 --> 00:01:06.204]  And they come and they go.
[00:01:06.204 --> 00:01:08.866]  And it's just part of life on this planet.
[00:01:08.866 --> 00:01:12.548]  But the cycle we're going through politically is the real issue.
[00:01:12.548 --> 00:01:14.089]  We've hit rock bottom.
[00:01:14.089 --> 00:01:21.834]  And we have our own corrupt elites allied with the communist Chinese and others in an attempt to try to totally take control of civilization and society.
[00:01:22.714 --> 00:01:35.865]  And with just 27 days out, we have reports flooding in that are on Infowars.com with a whole string of critical reports that are absolutely critical that people check out.
[00:01:35.865 --> 00:01:38.688]  And the biggest one is Trump on Dems.
[00:01:38.688 --> 00:01:41.730]  Their whole campaign is to resist, ours is to create.
[00:01:41.730 --> 00:01:43.272]  These are not good people, folks.
[00:01:44.557 --> 00:01:50.121]  Now that's an important headline from Information Liberation, excellent website, informationliberation.com.
[00:01:50.121 --> 00:01:55.565]  But the article is really about the left launching vicious violent attacks all over the United States.
[00:01:55.565 --> 00:01:59.168]  We're going to look at some of these when we come back from break.
[00:01:59.168 --> 00:02:14.240]  You have got in blue controlled areas like San Francisco, like Portland, Oregon, like Seattle, Washington, like Austin, Texas, like Los Angeles, California, Washington, D.C., Baltimore, Maryland, Chicago, Illinois, the left
[00:02:15.260 --> 00:02:35.369]  Literally shooting police officers in the back of the head, burning Trump supporters' vehicles, vandalizing every day Republican candidate headquarters, shooting members of Congress, doxing their families, sending them beheading videos, breaking Rand Paul's ribs, puncturing his lung.
[00:02:35.369 --> 00:02:38.370]  So much violence, I can't even keep track of it.
[00:02:38.370 --> 00:02:41.772]  And then we've got Hillary Clinton, and we're going to play a clip of this when we come back.
[00:02:42.930 --> 00:02:46.291]  Saying that, there's no place for civil discourse.
[00:02:46.291 --> 00:02:51.393]  Cuz you've got all the Republicans and us and others saying, let's have civil discourse, let's not have violence.
[00:02:51.393 --> 00:02:55.995]  And you've got Hillary Clinton and others saying, no, until we win the midterms, we're not gonna be civil.
[00:02:55.995 --> 00:02:59.077]  Well, we know they're gonna get worse if they do win the midterms.
[00:02:59.077 --> 00:03:01.097]  This is an authoritarian push.
[00:03:01.097 --> 00:03:04.899]  And then you've got people like the editor of Raw Story.
[00:03:04.899 --> 00:03:11.121]  When Congressman Scalise, who was shot in the hospital months, almost died, shattered a whole bunch of his bones, organs.
[00:03:11.121 --> 00:03:12.222]  It's a tough cookie.
[00:03:13.581 --> 00:03:16.144]  He survived combat in Iraq, but almost got killed here.
[00:03:16.144 --> 00:03:22.673]  And the scumbag coming to shoot him was trying to kill all 17 Republicans that were conservative.
[00:03:22.673 --> 00:03:23.814]  That was his plan.
[00:03:23.814 --> 00:03:25.296]  Thank God the leftists couldn't shoot very well.
[00:03:28.522 --> 00:03:33.708]  You see the Raw Story editors celebrating and saying boo-hoo, you know, you deserve this.
[00:03:33.708 --> 00:03:35.690]  This is a responsive defense against you.
[00:03:35.690 --> 00:03:37.632]  You can go read his tweets.
[00:03:37.632 --> 00:03:38.773]  I'm paraphrasing them.
[00:03:38.773 --> 00:03:42.037]  And then other people defended that and Twitter leaves that up.
[00:03:42.037 --> 00:03:44.500]  Just like the professors that say, you know, kill.
[00:03:46.181 --> 00:03:51.304]  Gorsuch cut his testicles off, or excuse me, kill Kavanaugh.
[00:03:51.304 --> 00:03:54.006]  This is the type of insanity we're dealing with.
[00:03:54.006 --> 00:03:55.888]  And it's only intensifying.
[00:03:55.888 --> 00:03:58.109]  And they're going to get more violent if they win the midterms.
[00:03:58.109 --> 00:04:01.231]  They're going to get more violent if they lose the midterms.
[00:04:01.231 --> 00:04:07.195]  They are now truly a domestic terror organization, just as Homeland Security listed them as that a year and a half ago.
[00:04:07.195 --> 00:04:15.661]  But we have to get on the ball and deal with this, because when you look at the white trash scum that makes up Antifa, literal little black clothed
[00:04:17.022 --> 00:04:21.386]  Skinny jeans, welfare head, scum, basically.
[00:04:21.386 --> 00:04:28.393]  You have to understand, they're only the smoke screen for the real violent forces that are waiting behind the scenes.
[00:04:28.393 --> 00:04:32.156]  They're just the detonator and the cover for the globalist operations.
[00:04:32.156 --> 00:04:39.223]  And we know that from the George Soros documents we got in January of this year that we'll cover when we come back, where they were planning martial law in Maryland
[00:04:39.623 --> 00:04:42.967]  Using Antifa with the police to trigger the black community.
[00:04:42.967 --> 00:04:45.430]  We'll be right back on the other side of this quick break.
[00:04:45.430 --> 00:04:47.853]  Infowars.com, Newswars.com.
[00:04:47.853 --> 00:04:50.436]  Tomorrow's news today.
[00:04:50.436 --> 00:04:55.322]  Defending the Republic from enemies foreign and domestic.
[00:04:55.322 --> 00:04:56.844]  It's Alex Jones.
[00:05:00.410 --> 00:05:07.877]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWars Life has the formula for you.
[00:05:07.877 --> 00:05:17.145]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:05:17.145 --> 00:05:26.213]  Containing powerful antioxidants such as astaxanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:05:27.151 --> 00:05:38.597]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:05:38.597 --> 00:05:47.681]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:05:48.161 --> 00:05:48.742]  We're good to go.
[00:06:12.865 --> 00:06:15.470]  Waging war on corruption.
[00:06:15.470 --> 00:06:16.872]  It's Alex Jones.
[00:06:24.019 --> 00:06:32.201]  You cannot be civil with a political party that wants to destroy what you stand for, what you care about.
[00:06:32.201 --> 00:06:40.763]  That's why I believe if we are fortunate enough to win back the House and or the Senate, that's when civility can start again.
[00:06:40.763 --> 00:06:47.085]  You cannot be civil with a political party that wants to destroy what you stand for.
[00:06:47.085 --> 00:06:50.346]  That's Hillary Clinton, the sore loser, on CNN last night.
[00:06:51.630 --> 00:06:52.191]  What is she saying?
[00:06:52.191 --> 00:06:53.694]  Well, she's projecting.
[00:06:53.694 --> 00:06:55.157]  They always do the inverse.
[00:06:55.157 --> 00:06:59.887]  It's like the creator of Minecraft has come out and said, look, liberals are now inherently the party of evil.
