[00:00.000 --> 00:07.000]  And now, without a heart to call my own, I've been a happiness I've never known
[00:07.000 --> 00:14.000]  Because your kisses are for me alone, for one safe friend I see
[00:16.000 --> 00:26.000]  Do the perp-re-down, the perp-re-down, the perp-re-down, the perp-re-down
[00:26.000 --> 00:36.000]  Do the perp-re-down, the perp-re-down, the perp-re-down
[00:36.000 --> 00:49.000]  Do the perp-re-down, the perp-re-down, the perp-re-down, the perp-re-down, the perp-re-down
[00:50.000 --> 00:57.000]  The question, how do they symbolize mollock as an owl?
[00:57.000 --> 01:04.000]  Which is staggering considering this is what I discovered, it wasn't in the book, I just saw it as I was looking at a street plan of Washington
[01:05.000 --> 01:14.000]  This is the Congress building, and all I've done is draw a red line around the roads within the Congress complex
[01:14.000 --> 01:17.000]  It is a quite obvious owl, but don't take my word for it
[01:17.000 --> 01:23.000]  This next one I have not even touched, it's a straight picture from a Washington street directory
[01:23.000 --> 01:30.000]  Not only is Congress building in the belly of the owl, it's standing on a pyramid
[01:31.000 --> 01:36.000]  And they can keep you spellbound, you know, and you can imagine, well I'm in New York and they're keeping me spellbound
[01:36.000 --> 01:43.000]  Imagine being isolated on a ranch in Montana with nobody except, you know, your son that you're teaching to shoot a rifle
[01:43.000 --> 01:53.000]  This would be pretty amazing stuff coming through you, coming through the night to you, you know?
[01:53.000 --> 01:59.000]  In the weeks that followed, Alex dreamed his footage on his website and released it as a sell-through video
[01:59.000 --> 02:03.000]  It immediately became an underground blockbuster, a bestseller
[02:03.000 --> 02:08.000]  Everywhere I looked, the internet was aflame with news of the Daring Raid
[02:08.000 --> 02:16.000]  First off, I wanted to draw your attention to the program that was given out to the spectators or the viewers
[02:16.000 --> 02:24.000]  The figure of a human body burning in the flames, in fact I've shown it to people that are experts in anatomy
[02:24.000 --> 02:30.000]  They say that the anatomical size is that of a baby or small child
[02:30.000 --> 02:40.000]  Understand, ladies and gentlemen, this is from the program itself given out to the establishment lackeys witnessing these sinister activities
[02:42.000 --> 02:49.000]  But some more mainstream Americans were not convinced that the ceremony proved that the men of Bohemian Grove are devil worshipers
[02:49.000 --> 02:56.000]  If you've ever been through a secret society in college, you know this stuff, you can write it from memory
[02:56.000 --> 03:03.000]  It's just add two zeros to the budget and you're doing what you did when you were 18 years old
[03:03.000 --> 03:05.000]  So it is a secret society, do you think?
[03:05.000 --> 03:06.000]  Is it?
[03:06.000 --> 03:07.000]  Yes
[03:07.000 --> 03:14.000]  Yeah, but I mean it's a secret society the way, the secret society that I was inducted into at UCLA in my senior year is a secret society
[03:14.000 --> 03:20.000]  There's a lot of meaningless mumbo-jumbo and people, the main conspiracy is to take it seriously
[03:20.000 --> 03:26.000]  You know, that's the real conspiracy is, okay, let's pretend we're not being absolutely silly
[03:26.000 --> 03:32.000]  I later learned that George Bush Sr. attended the Grove in the days following the cremation of care
[03:32.000 --> 03:39.000]  Other visitors to the Grove in 2000 included Henry Kissinger and Vice President Dick Cheney
[03:39.000 --> 03:44.000]  For Alex, the story wasn't over, he had one final task to accomplish
[03:44.000 --> 03:53.000]  George Bush is down here at the governor's mansion across the street from the Capitol about to announce Dick Cheney as his vice presidential running mate
[03:53.000 --> 03:56.000]  We're going to go blow the party for him and get the information out to people
[03:56.000 --> 04:03.000]  Although I considered Alex's footage to be incredible, I shared Harry Shearer's interpretation of what the ceremony meant
[04:03.000 --> 04:10.000]  But who knows, Harry Shearer is a Hollywood Jew, a Jew in the media, just like I am
[04:10.000 --> 04:17.000]  And for many conspiracy theorists, the Jews in the media are very much part of the shadowy elite
[04:33.000 --> 04:38.000]  It didn't matter what my interpretation was, Alex has 8 million listeners
[04:38.000 --> 04:46.000]  There are millions out there who, like Alex, absolutely believe that the men at Bohemian Grove are the satanic secret rulers of the world
[04:55.000 --> 05:01.000]  Alex's infiltration has made him a bigger star than ever, but he says he won't rest on his laurels
[05:01.000 --> 05:07.000]  He says this is a war and he won't stop until the New World Order are wiped off the face of the Earth
[05:07.000 --> 05:10.000]  Damn it, I wish they'd just stop, they've got enough power now
[05:10.000 --> 05:15.000]  But it's the sick stuff they come out with, the United Nations, we've got to reduce world population by 80%
[05:15.000 --> 05:18.000]  It's just how they want it, they want to serfs out there
[05:18.000 --> 05:24.000]  Oh, you know, like your serfs over in Britain, my people that left to get away with it
[05:24.000 --> 05:30.000]  Eating little turnips and little onions they grill and they're like a foot and a half shorter than the noblemen
[05:30.000 --> 05:34.000]  With their teeth hanging out as they ride by on their horse, oh look at them, they're much better than them
[05:34.000 --> 05:37.000]  That's their pleasure, no, their pleasure
[05:37.000 --> 05:42.000]  Well, I'm not going to give them their pleasure, I'm going to cram a gun in their mouth and see how they like it, because I'm free
[05:42.000 --> 05:49.000]  And it's been in my family history to fight, and I'm not your slave, so get it straight and we're ready, you can nerve gas us all day
