[00:00.000 --> 00:12.800]  Big Brother, mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:12.800 --> 00:22.800]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:22.800 --> 00:32.800]  Well, she's very busy tracking election fraud, and she normally gives her reports in the days after and she'll be with us in the coming days.
[00:32.800 --> 00:41.800]  But Bev Harris is joining us in 30 minutes, a black box of voting to go over all the irregularities and fraud that have been confirmed around the country.
[00:41.800 --> 00:51.800]  We then have William Gean joining us of AliPak, dealing with all the evidence of illegal aliens being allowed to vote in places like Arizona and Nevada.
[00:51.800 --> 00:57.800]  He'll be joining us in the last 30 minutes of the third hour today.
[00:57.800 --> 01:09.800]  We are going to cover a giant mass of incredibly important news, and later I'm going to play some video from a helicopter.
[01:09.800 --> 01:24.800]  And there's also some surveillance footage from cameras on polls of people rioting last night in San Francisco when the Giants won the World Series against the Texas Rangers.
[01:24.800 --> 01:38.800]  Rioting over a baseball team winning the World Series, I saw the ABC News headline that the torture is over, wanting to know who was going to win.
[01:38.800 --> 01:46.800]  The torture, the torture of not knowing if people would be fulfilled in their lives by a baseball team winning a game.
[01:46.800 --> 01:58.800]  Instead of being fulfilled by getting a Bill of Rights Constitution back in place in this country, instead of being fulfilled by securing the dollar, which is in freefall right now.
[01:58.800 --> 02:11.800]  Instead of securing jobs for themselves and a future for their children, no, they stayed up all night and were there this morning when the Giants arrived in San Francisco for an early morning press conference.
[02:11.800 --> 02:18.800]  They were there by the thousands worshipping them. Would they stay up all night to get their Bill of Rights and Constitution back? No, they wouldn't.
[02:18.800 --> 02:28.800]  And it's the screwed up priorities that the mainstream corporate media has force fed this nation for decades that has allowed the type of tyranny to take root that we see.
[02:28.800 --> 02:31.800]  So that is coming up as well.
[02:31.800 --> 02:42.800]  Meanwhile, a political organization, Citizens Against Government Waste, has put out a TV ad. We're going to be showing later as we stream live at prisonplanet.tv.
[02:42.800 --> 02:52.800]  And it's also posted up on prisonplanet.com and infowars.com, the television commercial about the national debt that is being banned by major networks.
[02:52.800 --> 03:07.800]  And it shows the Communist Chinese professor in a fictitious 2030, 20 years from now, teaching students about how the American Empire fell and bragging that's why the Americans are basically our slaves today.
[03:07.800 --> 03:15.800]  Well, China is the number one owner of the fraudulent debt. The private fellow reserve that teamed up with them to do this is the number two owner.
[03:15.800 --> 03:27.800]  And this ad is very accurate and should not be banned by ABC, A&E, History Channel and many others that are refusing to show the ad.
[03:27.800 --> 03:39.800]  We're going to work on next week, or maybe even later this week, getting Citizens Against Government Waste on to talk about this very well produced TV ad that they attempted to put out to the American people.
[03:39.800 --> 03:46.800]  But it will not be censored here on this radio broadcast.
[03:46.800 --> 03:55.800]  Obviously, after the break that's coming up here in just a minute, I'm going to get into the huge stack of election news and the giant Republican sweep that's taking place right now.
[03:55.800 --> 04:02.800]  And we'll try to look at the different angles of that and what that really means going into the future of this country.
[04:02.800 --> 04:12.800]  We'll also look at the incredible financial news feds poised for biggest decision in decades coming up just in the next few days.
[04:12.800 --> 04:20.800]  They're announcing quantitative easing or dollar devaluation, QE2 risk currency wars, and the end of the dollar hegemony.
