[00:01:09.073 --> 00:01:09.973]  Okay, welcome back.
[00:01:09.973 --> 00:01:11.174]  We begin another week.
[00:01:11.174 --> 00:01:13.455]  Hard to believe it's May 23rd already.
[00:01:13.455 --> 00:01:16.876]  Only, well, part of one week next week.
[00:01:16.876 --> 00:01:19.077]  It's the Memorial Day weekend.
[00:01:19.077 --> 00:01:20.677]  Three-day weekend for most folks.
[00:01:20.677 --> 00:01:22.858]  Some will be lucky enough to stretch it into four.
[00:01:22.858 --> 00:01:24.519]  Monday is Memorial Day.
[00:01:24.519 --> 00:01:27.500]  Then Tuesday and then we're off into June already.
[00:01:27.500 --> 00:01:28.720]  Half the year gone.
[00:01:28.720 --> 00:01:29.301]  Can it be?
[00:01:29.301 --> 00:01:30.601]  It is.
[00:01:30.601 --> 00:01:33.142]  I'm holding my left hand because I'm left-handed.
[00:01:34.708 --> 00:01:37.310]  Marshall Law, 9-11, Rise of the Police State.
[00:01:37.310 --> 00:01:39.651]  My guest tonight, as many of you know, is Alex Jones.
[00:01:39.651 --> 00:01:47.096]  Alex is kind enough to spend three hours of his time once a month here, the fourth Monday of each month, and tonight is the night.
[00:01:47.096 --> 00:01:51.319]  I'm going to read the back jacket of the DVD case.
[00:01:51.319 --> 00:01:52.400]  Hi, Alex.
[00:01:52.400 --> 00:01:53.000]  Hey, Jeff.
[00:01:53.000 --> 00:01:54.341]  It's great to be on with you.
[00:01:54.341 --> 00:01:56.203]  Always good to talk to you.
[00:01:56.203 --> 00:01:56.723]  I'm going to read
[00:01:57.575 --> 00:02:08.819]  This jacket to you folks who have not yet availed yourself of the opportunity of the greatest single serving of political truth and awareness that I have yet come across in my life.
[00:02:08.819 --> 00:02:10.699]  It is an awesome achievement.
[00:02:10.699 --> 00:02:12.580]  Here's the back jacket.
[00:02:12.580 --> 00:02:16.121]  Martial Law 9-11 The Rise of the Police State.
[00:02:16.121 --> 00:02:22.923]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:02:24.361 --> 00:02:31.003]  The Constitution has been shredded and America is now a police state.
[00:02:31.003 --> 00:02:38.105]  This film exposes not just who was behind the 9-11 attacks but the roots and the history of its orchestrators.
[00:02:38.105 --> 00:02:42.326]  Learn the terrifying secret that holds the future of the world in its grasp.
[00:02:42.326 --> 00:02:52.669]  From the front lines of the police state to the darkest sanctums of the secret society that controls it, martial law reveals the master plan of a group hell
[00:02:53.829 --> 00:03:00.457]  How about Satan-bent on capturing America today, and tomorrow, the world.
[00:03:00.457 --> 00:03:02.639]  Or as much of it as they can get hold of.
[00:03:02.639 --> 00:03:06.344]  The New World Order has set in motion the Fourth Reich.
[00:03:07.270 --> 00:03:13.074]  Martial law is a blazing spotlight piercing the electronic Berlin Mall of controlled corporate media.
[00:03:13.074 --> 00:03:25.821]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that is sworn to turn the earth into their own prison planet.
[00:03:25.821 --> 00:03:30.844]  Discover the documented truth for yourself before it is too late.
[00:03:31.425 --> 00:03:33.387]  This is produced by Alex Jones.
[00:03:33.387 --> 00:03:36.350]  Alex is in it from start to finish.
[00:03:36.350 --> 00:03:39.673]  But what is in it more than that is the truth.
[00:03:39.673 --> 00:03:48.461]  And if any of you can look at this honestly and objectively and not come away with a reality in your mind that this is in fact a police state.
[00:03:48.461 --> 00:03:52.946]  Granted we're on the threshold and maybe your small town police department isn't there yet.
[00:03:53.346 --> 00:04:00.112]  But by and large, the police state ethic has been imbued into what's left of the United States of America.
[00:04:00.112 --> 00:04:01.092]  It is here.
[00:04:01.092 --> 00:04:03.014]  You will see it in living color.
[00:04:03.014 --> 00:04:04.495]  You will see horrible things.
[00:04:04.495 --> 00:04:08.138]  You will see police breaking a man's arm.
[00:04:08.138 --> 00:04:11.381]  You will be appalled at what you see from start to finish.
[00:04:11.381 --> 00:04:17.786]  But beyond that, weaving this entire fabric together is the inimitable Alex Jones.
[00:04:17.786 --> 00:04:21.469]  His passion for the truth, his passion for reality,
[00:04:22.398 --> 00:04:27.399]  His passion for, not hyperbole, but accuracy is unrivaled.
[00:04:27.399 --> 00:04:31.200]  I have not seen anything on video or DVD that can match this.
[00:04:31.200 --> 00:04:33.241]  It is two hours and thirty-five minutes long.
[00:04:33.241 --> 00:04:45.004]  I would urge you to watch it, perhaps in two segments, especially if you're new to this whole issue, because it is so intense, it is so full of information, that literally it is two or three productions in one.
[00:04:45.004 --> 00:04:47.805]  And the second time you watch it, the more you will see.
[00:04:47.805 --> 00:04:51.526]  It is one of those things that never will stop teaching you the truth.
[00:04:51.986 --> 00:04:58.650]  And for those skeptics and phonies out there who suggest we're not in a police state yet, guess again.
[00:04:58.650 --> 00:05:00.371]  I don't need Alex to tell me.
[00:05:00.371 --> 00:05:01.211]  I happen to know that.
[00:05:01.211 --> 00:05:02.752]  Many of you do know that.
[00:05:02.752 --> 00:05:11.998]  But I would dare any of you who doubt that we are in a police state, at least the incipient stages of one, to look at this DVD with an open mind.
[00:05:11.998 --> 00:05:13.098]  I dare you.
[00:05:13.098 --> 00:05:15.400]  You will come away changed.
[00:05:15.400 --> 00:05:16.040]  Is it too late?
[00:05:16.937 --> 00:05:18.699]  Maybe, maybe not.
[00:05:18.699 --> 00:05:20.981]  It really depends on you.
[00:05:20.981 --> 00:05:22.403]  Welcome back, Alex Jones.
[00:05:32.192 --> 00:05:33.974]  I mean, I really didn't make it too long.
[00:05:33.974 --> 00:05:36.376]  It's three hours on the DVD.
[00:05:36.376 --> 00:05:39.799]  You're right, the main film is two hours, thirty-five minutes long.
[00:05:39.799 --> 00:05:41.520]  With the extras, it's over three hours.
[00:05:41.520 --> 00:05:43.802]  Oh, I thought it was a little longer than two-thirty-five.
[00:05:43.802 --> 00:05:44.963]  Okay, yeah, I hear you.
[00:05:44.963 --> 00:05:47.505]  Well, you must have watched the extras, but you're right.
[00:05:47.505 --> 00:05:50.227]  It's two hours, thirty-five minutes.
