[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[00:00:07.112 --> 00:00:09.694]  The year is 2020.
[00:00:09.694 --> 00:00:11.295]  187 days out from the election.
[00:00:11.295 --> 00:00:16.779]  And the globalist coup against America and President Trump, and against you and your family, is live.
[00:00:16.779 --> 00:00:18.300]  This is The Guide.
[00:00:18.300 --> 00:00:21.583]  The globalist guide to crushing the United States forever.
[00:00:22.955 --> 00:00:28.577]  If you are a globalist technocrat, I wish I could say that we're halfway through, but I don't think so.
[00:00:28.577 --> 00:00:30.617]  It takes time to make a vaccine.
[00:00:30.617 --> 00:00:33.378]  There's a lot about the disease we don't understand.
[00:00:33.378 --> 00:00:39.380]  We know that we can get out of this, but it's going to be a while before things go back to normal.
[00:00:39.380 --> 00:00:40.160]  Media stew.
[00:00:40.160 --> 00:00:45.462]  But I don't want to hear from those people who are out there protesting with guns, right?
[00:00:45.462 --> 00:00:46.422]  And that is threatening.
[00:00:46.422 --> 00:00:47.682]  A threatening look for people.
[00:00:47.682 --> 00:00:49.203]  You're protesting with guns.
[00:00:49.203 --> 00:00:49.503]  Don't!
[00:00:50.023 --> 00:00:55.427]  Don't criticize people who are taking a knee for at a ball game and entertainment.
[00:00:55.427 --> 00:00:57.548]  They say, I don't want people protesting at a ball game.
[00:00:57.548 --> 00:01:00.670]  When people who are peacefully protesting, don't give me that!
[00:01:00.670 --> 00:01:05.734]  When you're out there protesting with guns and saying, I want to get back to work, I want my liberty.
[00:01:05.734 --> 00:01:08.676]  Even a low-level power-mad politician.
[00:01:08.676 --> 00:01:13.039]  Untold numbers who gassed up on the way here or grabbed a bite on the way home.
[00:01:14.028 --> 00:01:18.050]  We know that this rally endangered people.
[00:01:29.935 --> 00:01:31.376]  Well, this is a good start.
[00:01:31.376 --> 00:01:34.338]  First, you have to separate yourself from the chaff.
[00:01:34.338 --> 00:01:46.006]  As Greenwich Time reported, set in the director's office of the 270-acre Les Pars de Saint-Tropez, where LVMH Luxury Group Chairman Bernard Alnott, Ritz-Paris owner,
[00:01:46.226 --> 00:01:51.788]  Mohammed Al-Fayed and Indian steel magnate Lakshima Mittal have palatial villas.
[00:01:51.788 --> 00:01:58.590]  The medical unit is staffed with a doctor and lab technician to take and process samples from residents and their friends.
[00:01:58.590 --> 00:02:04.072]  And if you live in the Hamptons, you can have a doctor come to your house for just $1,000 a visit.
[00:02:04.072 --> 00:02:09.774]  As millions of average Americans lose their jobs, the billionaire class benefits.
[00:02:09.774 --> 00:02:11.315]  As Fast Company reported,
[00:02:11.815 --> 00:02:20.481]  Though the coronavirus itself may not discriminate in terms of who can be infected, the COVID-19 pandemic is far from a great equalizer.
[00:02:20.481 --> 00:02:34.110]  In the same month that 22 million Americans lost their jobs, the American billionaire class' total wealth increased by about 10%, or $282 billion more than it was at the beginning of March.
[00:02:34.110 --> 00:02:37.333]  They now have a combined net worth of $3.23 trillion.
[00:02:39.474 --> 00:02:45.156]  Of course, the populace must be controlled and culled, as was written on the Georgia Guidestones.
[00:02:45.156 --> 00:02:55.840]  Silicon Valley will continue to do its part to censor any dissent while using their digital herding platforms to monitor every life choice that the imprisoned populace makes.
[00:02:55.840 --> 00:03:04.763]  While the 5G grid rolls out and low-atmosphere satellites are positioned to aid in the Bill Gates' Mark of the Beast mandatory vaccination scenario,
[00:03:05.103 --> 00:03:10.527]  One way or another, everyone will be forced to submit their individuality to the Panopticon.
[00:03:10.527 --> 00:03:19.693]  And those that don't will become societal pariahs that will be cut off from the state, whether if it's by a chip under the skin or a tattoo on top of it.
[00:03:19.693 --> 00:03:25.978]  As Science Alert reported, for the people overseeing nationwide vaccination initiatives in developing countries,
[00:03:26.198 --> 00:03:30.621]  Keeping track of who had which vaccination and when can be a tough task.
[00:03:30.621 --> 00:03:33.603]  Researchers from MIT might have a solution.
[00:03:33.603 --> 00:03:43.389]  They've created an ink that can be safely embedded in the skin alongside the vaccine itself, and it's only visible using a special smartphone camera app and filter.
[00:03:43.949 --> 00:03:46.330]  Or we could just give them all chips in the head.
[00:03:46.330 --> 00:03:51.731]  Of course, it's key that currency becomes digital, as China is doing, working with U.S.
[00:03:51.731 --> 00:03:52.791]  multinationals.
[00:03:52.791 --> 00:04:04.634]  As Forbes reports, China, the country that banned initial coin offerings and made it tough for Bitcoin to operate, has been tossing around the idea to build its own digital currency, and some U.S.
[00:04:04.634 --> 00:04:10.315]  multinationals are reportedly willing to help roll it out, the South China Morning Post reported.
[00:04:10.675 --> 00:04:20.600]  Many American politicians will do their due diligence after being paid off by foreign entities to ignore the very laws of their land, as California is doing, for example.
[00:04:20.600 --> 00:04:31.805]  As Jamie White reported, California Governor Gavin Newsom awarded a Chinese Communist Party-linked company $1 billion in taxpayer funds in exchange for $200 million protective masks.
[00:04:32.085 --> 00:04:46.762]  Newsom signed a $990 million contract earlier this month with Build Your Dreams, a Chinese electric car company, whose founder, Wang Qianfu, is a member of the CCP and has served the party in numerous official capacities.
[00:04:47.022 --> 00:05:04.669]  Gradually, if the current coronavirus doesn't force the Americans into trading their liberty for security, we have plenty more pathogens, compromised politicians, media, prostitutes, and there's a process where you take a stallion and you tie him down and you cut his testicles off and then he becomes gelded.
[00:05:04.669 --> 00:05:07.410]  Well, that's what's happening to the entire world right now.
[00:05:07.410 --> 00:05:09.471]  We're going into deep, deep tyranny.
[00:05:09.471 --> 00:05:12.332]  Places like North Korea and China are going into deeper tyranny as well.
[00:05:12.332 --> 00:05:13.993]  It's all directed by the UN.
[00:05:13.993 --> 00:05:16.354]  It's all a big, cooked up, giant plan.
[00:05:17.034 --> 00:05:22.417]  To absolutely take control of your life, bankrupt the economy, and make you dependent on the big mega banks.
[00:05:22.417 --> 00:05:29.701]  And to get your universal income, you're going to have to take the inoculations, brainwash your kids the way they say, and have absolutely no freedom.
[00:05:29.701 --> 00:05:31.702]  And it's all happening, boom, overnight.
[00:05:31.702 --> 00:05:33.723]  This is a giant revolution.
[00:05:33.723 --> 00:05:37.625]  And as soon as you put the handcuffs on, they said, oh, it's just an extended spring break, two weeks.
[00:05:37.625 --> 00:05:40.406]  Notice now it's 18 months, two years, five years.
[00:05:40.406 --> 00:05:41.547]  It never ends.
[00:05:41.547 --> 00:05:43.728]  No one can ever die from a virus again.
[00:05:43.728 --> 00:05:44.769]  Government will save you.
[00:05:45.609 --> 00:05:46.830]  It's a takeover.
[00:05:46.830 --> 00:05:47.590]  It's the opposite.
[00:05:47.590 --> 00:05:50.031]  They're coming with forced inoculations on record.
[00:05:50.031 --> 00:06:04.457]  They'll reduce your fertility, lower your immunity, and in many cases, kill you, and they're telling you it's gonna hurt a lot of people.
[00:06:04.457 --> 00:06:06.178]  It is Monday, April 27th.
[00:06:06.178 --> 00:06:11.300]  The year is 2020.
[00:06:11.300 --> 00:06:13.681]  I'm your host, Alex Jones.
[00:06:13.681 --> 00:06:14.401]  We're witnessing
[00:06:16.010 --> 00:06:27.584]  The globalist controlled demolition of the Western world, the free market system, the anti-human global carbon tax, the planetary lockdown is here.
[00:06:27.584 --> 00:06:31.449]  The world ID, the total surveillance grid has all been publicly announced.
[00:06:32.955 --> 00:06:41.844]  Major newspapers are celebrating the end of the average person's free speech and the long, dark night of tyranny.
[00:06:41.844 --> 00:06:47.590]  But here is my message to the New World Order.
[00:06:47.590 --> 00:06:50.613]  Think you can really be a gangster, huh?
[00:06:50.613 --> 00:06:52.174]  You got what it takes, huh?
[00:06:52.174 --> 00:06:53.395]  Roll with the big boys?
[00:07:00.746 --> 00:07:07.128]  The other left sees me as Godzilla wrapped in Darth Vader.
[00:07:07.128 --> 00:07:10.690]  And that's because they believe their own propaganda.
[00:07:10.690 --> 00:07:13.991]  All I'm doing is exposing the horrible nasty things they're involved in.
[00:07:13.991 --> 00:07:20.613]  And so the devastation that that exposure causes them, they then attribute to me, when they're the ones that committed these incredible crimes.
