[00:00.000 --> 00:17.000]  Music
[00:17.000 --> 00:21.000]  Resistance to tyrants is obedience to God.
[00:21.000 --> 00:26.000]  It's Alex Jones.
[00:26.000 --> 00:30.000]  Wow, things just get more and more explosive, more and more interesting.
[00:30.000 --> 00:33.000]  It was two weeks ago, they had another previous hoax,
[00:33.000 --> 00:38.000]  that Trump said everybody coming from Haiti has AIDS, or HIV.
[00:38.000 --> 00:40.000]  Of course, it turns out that wasn't true.
[00:40.000 --> 00:43.000]  The same anonymous sources, you know, tell us that Trump didn't want to run for president,
[00:43.000 --> 00:45.000]  didn't want to win, that his wife hates it.
[00:45.000 --> 00:48.000]  The same sources told us he would lose the election.
[00:48.000 --> 00:50.000]  The same sources told us he'd throw it to Hillary.
[00:50.000 --> 00:53.000]  The same sources told us he wouldn't give us tax cuts.
[00:53.000 --> 00:56.000]  The same sources said he wouldn't try to reform the VA.
[00:56.000 --> 00:59.000]  The same sources said he wouldn't pull out of the TPP.
[00:59.000 --> 01:02.000]  The same sources said that he was going to sign DACA and screw us over.
[01:02.000 --> 01:05.000]  He just didn't go with their bad plan.
[01:05.000 --> 01:07.000]  He was just trying to do a deal.
[01:07.000 --> 01:11.000]  And he's still being attacked by the trolls and the bots on infowars.com that we know are bots,
[01:11.000 --> 01:17.000]  saying, Trump betrayed us on DACA when he didn't betray you on DACA, just as we said he wouldn't.
[01:17.000 --> 01:22.000]  And then someone in the Oval Office, there were other witnesses say he didn't say it,
[01:22.000 --> 01:26.000]  whispered to somebody, why aren't we only getting people from, you know what, whole countries?
[01:26.000 --> 01:29.000]  And that's the other big controversy.
[01:29.000 --> 01:34.000]  Remember F. Lee Bailey, the famous corrupt lawyer, known for big problems,
[01:34.000 --> 01:37.000]  a million dollar fines, you name it.
[01:37.000 --> 01:41.000]  Remember F. Lee Bailey on the OJ Simpson trial, they had a white guy do it,
[01:41.000 --> 01:46.000]  get up and say the N-word over and over and over again to the black jury.
[01:46.000 --> 01:49.000]  And that's how they got him off.
[01:49.000 --> 01:52.000]  He said the N-word 41 times.
[01:52.000 --> 01:54.000]  I want to go to YouTube and grab it for documentary purposes.
[01:54.000 --> 01:57.000]  They aired it on court TV, ABC, NBC, NBC.
[01:57.000 --> 02:00.000]  But I remember years later, airing it on talk radio,
[02:00.000 --> 02:03.000]  the station manager coming and saying, you don't do that.
[02:03.000 --> 02:05.000]  And that's the big issue.
[02:05.000 --> 02:10.000]  CNN, MSNBC, broadcast, you name it, on CBS, ABC,
[02:10.000 --> 02:14.000]  they are saying every 10 minutes, they're playing the clip.
[02:14.000 --> 02:20.000]  Sometimes every minute of quoting the president when he says he didn't say it,
[02:20.000 --> 02:24.000]  saying these are SH, you know what, T countries.
[02:24.000 --> 02:26.000]  We've got Acosta saying it.
