[00:00.000 --> 00:16.640]  Defending the Republic from enemies, foreign, and domestic, it's Alex Jones.
[00:16.640 --> 00:34.640]  Trump is now doing the right thing, taking control away from Fauci and the rest of those NIH New World Order WHO criminals.
[00:34.640 --> 00:43.640]  He is now turning the economy back on. They are going to count every death in this country, whether it's from shark attack or car wreck or heart attack,
[00:43.640 --> 00:51.640]  as COVID-19 and the American people must expose the hoax or the depression that's already unfolding will destroy us all.
[00:51.640 --> 00:55.640]  Here's the president last night calling out the human scum.
[00:55.640 --> 01:12.640]  I didn't know that was happening at this moment. I felt it was going to happen just by watching and seeing like everybody else does.
[01:12.640 --> 01:24.640]  He was an innocent man. He is a great gentleman. He was targeted by the Obama administration and he was targeted in order to try and take down a president.
[01:24.640 --> 01:31.640]  And what they've done is a disgrace and I hope a big price is going to be paid. A big price should be paid.
[01:31.640 --> 01:34.640]  There's never been anything like this in the history of our country.
[01:34.640 --> 01:42.640]  What they did, what the Obama administration did, is unprecedented. It's never happened. Never happened.
[01:42.640 --> 01:45.640]  A thing like this has never happened before in the history of our country.
[01:45.640 --> 01:52.640]  And I hope a lot of people are going to pay a big price because they're dishonest, crooked people. They're scum and I say it a lot.
[01:52.640 --> 01:56.640]  They're scum. They're human scum. They should never have happened in this country.
[01:56.640 --> 02:01.640]  A duly elected president and they went after him by going after fine people.
[02:01.640 --> 02:09.640]  And those fine people said, no, I'm not going to lie. I can't lie. He's not the only one. There are many of them.
[02:09.640 --> 02:15.640]  And they all said, I can't lie. They could have said something like, oh, make up a lie.
[02:15.640 --> 02:20.640]  Trump loves somebody or something or some country.
[02:20.640 --> 02:25.640]  And they said, oh, you wouldn't have any problem. That's what they were trying to do.
[02:25.640 --> 02:31.640]  And it's a disgrace. The Obama administration, Justice Department was a disgrace.
[02:31.640 --> 02:40.640]  And they got caught. They got caught. Very dishonest people. But much more than this. It's treason. It's treason.
[02:40.640 --> 02:45.640]  Very powerful press conference. We've got more of that press conference coming up today.
[02:45.640 --> 02:55.640]  History is happening before our very eyes. We're learning who's on the side of good. We're learning who is on the side of bad right now.
[02:55.640 --> 03:04.640]  But on this Friday, May 8 global transmission, we have a whole bunch of really exceptional guests as well.
[03:04.640 --> 03:16.640]  We have Ivan Raiklin, a Defense Intelligence Agency, a former officer and lawyer in Green Beret, and good friends with Michael Flynn,
[03:16.640 --> 03:25.640]  senior and junior. And he, of course, brought Michael Flynn's son to our DC event to lay out the treason just a few months ago.
[03:25.640 --> 03:29.640]  We're going to air that speech here today as well. He's going to be joining us at the bottom of the hour.
[03:29.640 --> 03:37.640]  You know, folks, the inside scoop on what's coming next in the general, what he's planning next. I'll just leave it at that and let Ivan Raiklin lay it out for you.
[03:37.640 --> 03:46.640]  James O'Keefe doesn't need any introduction. One of his greatest coups yet, exposing, indeed, that CBS and others are staging fake hospital lines.
[03:46.640 --> 03:50.640]  Steve Pachennick, former head of psychological warfare operations for the State Department.
[03:50.640 --> 03:55.640]  The CIA will be joining us to talk about the psychological operation being run against us by the Deep State.
[03:55.640 --> 04:03.640]  And, of course, Dr. Nick Begich as well, one of the top experts on the globalist takeover.
[04:03.640 --> 04:11.640]  One of the first people to expose it in great detail, 27 years ago, his father was murdered for exposing it.
[04:11.640 --> 04:14.640]  U.S. Congressman, brother, of course, has been a famous U.S. senator.
[04:14.640 --> 04:20.640]  So that's all coming up today. You want what's going on to tomorrow's news today?
[04:20.640 --> 04:23.640]  You want to understand the trends?
[04:23.640 --> 04:27.640]  You want to be able to call in with your views that we cherish and relish as well?
[04:27.640 --> 04:30.640]  That's what this place is about.
[04:30.640 --> 04:34.640]  That's what Info Wars is about, and that's why you have put us in the field.
[04:34.640 --> 04:41.640]  And that's why your support leads us into information warfare combat with the weapon, the sword of truth,
[04:41.640 --> 04:44.640]  the shield that God's given us of your prayers.
[04:44.640 --> 04:46.640]  I am Alex Jones, your host.
[04:46.640 --> 04:49.640]  Whatever you do, remember, you are the hope.
[04:49.640 --> 04:54.640]  When you spread the word about the broadcast, however you're listening to it, it breaks the globalist back.
[04:54.640 --> 04:58.640]  When you don't, we all lose.
[04:58.640 --> 05:04.640]  Make a friend with death. It's the same soul that no one knows who first said it.
[05:04.640 --> 05:10.640]  Every culture has their own way of memorializing that simple statement,
[05:10.640 --> 05:16.640]  but you don't want to make a friend of the death of civilization and the death of the human species.
[05:16.640 --> 05:21.640]  The moment of truth is now here. We are facing the post-human era,
