[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:17.000]  It's Alex Jones and the GCN Radio Network.
[00:17.000 --> 00:22.000]  It is Sunday, the fifth day of December 2010.
[00:22.000 --> 00:26.000]  We're going to be live here on this Sunday broadcast the next two hours.
[00:26.000 --> 00:39.000]  Webster Griffin Tarpley, economist and doctor of history, will be joining us to look at the amazing developments in the economy just seven days ago.
[00:39.000 --> 00:54.000]  Last Monday, the federal government announced that a little over a trillion dollars have been given to offshore banks and that also hundreds of billions had gone to private domestic corporations here in the United States,
[00:54.000 --> 01:01.000]  including MSNBC and NBC Television through their parent company General Electric.
[01:01.000 --> 01:06.000]  Now, again, I covered this in my film The Obama Deception a year and a half ago.
[01:06.000 --> 01:14.000]  We knew hundreds of billions went to foreign banks and then through subsidiaries to U.S. corporations, buying them off, but we didn't know the full magnitude.
[01:14.000 --> 01:29.000]  And I had pointed out that there were surely trillions more, not just the one trillion. Here's Bloomberg today, Fed created conflicts in improvising 3.3 trillion financial system rescue.
[01:29.000 --> 01:44.000]  Of course, I had previous Bloomberg's reporting the total number is above 28 trillion dollars, so we're going to be talking about that with Tarpley coming up. We're also going to be getting into the latest developments on the WikiLeaks front.
[01:44.000 --> 01:57.000]  That story is just getting crazier and crazier. We're going to get Lord Moncton on coming up during the week from the climate change, global government, global taxation, fear mongering summit going on in Cancun, Mexico.
[01:57.000 --> 02:16.000]  There's some WikiLeaks angles on that as well. You know, I'm still open-minded to a great extent on the WikiLeaks situation. Though I respect Wayne Madsen, Webster Tarpley, Bob Chapman, many others who say it reads like classic psi-op or disinformation,
[02:16.000 --> 02:36.000]  that there's some nuggets mixed in there to make you take the bait and like a bass biting on a topwater lure. But when you really look at the full spectrum of it, it just bolsters the pro-war global government propaganda about attacking Iran, Iraq, Pakistan, Afghanistan, and so much more.
[02:36.000 --> 02:51.000]  You know, they know when they put the propaganda out on the nightly news, none of us buy into it. But when they put it in secret cables and then leak it out there and then the main body of it pushes the WMDs and Iraq fable and things like that,
[02:51.000 --> 03:05.000]  it does make it very suspicious. And I predicted months ago with some of the previous leaks, they would use this to clamp down on free speech in the U.S. and the Internet and legislations now have been introduced to do that, new legislation, not just the Cyber Security Act.
[03:05.000 --> 03:21.000]  We're going to be discussing that coming up as well and looking more at real discrimination in this country. We tend to get conditioned that discrimination can only be discussed by the ADL or the Southern Property Law Center or the NAACP.
[03:21.000 --> 03:37.000]  But what about all the other forms of real discrimination that go on? I mean, things that are bonafide, like Obama signing hundreds and hundreds of waivers for major Fortune 500 corporations that don't have to buy their employees health care,
[03:37.000 --> 03:44.000]  but then your company will. How are you going to compete with that? I know I've been talking about this a lot, but it just really blows me away.
[03:44.000 --> 04:02.000]  In fact, guys, I want to talk about that coming up out of the break. Will you pull me Friday's article out of MSNBC with the Small Business Association pointing out that 97% of stimulus money goes to globalist corporations and that they're now trying to pass a bill where the government
[04:02.000 --> 04:18.000]  can just deny any of the funds to U.S. companies or small corporations or businesses in Pentagon bids. I mean, this is a giant globalist scam. That's what NAFTA got, WTO, all of this is about the big mega insiders,
[04:18.000 --> 04:35.000]  writing laws to suppress regular normal grassroots free market business and conduiting all business into their coffers. Same thing with the Food Safety Act that's passed the Senate. Now it has to go back to the Senate because the spending bill can't originate the Senate.
[04:35.000 --> 04:44.000]  That's the law and the Constitution, but they don't need any stinking Constitution. That's meant to shut down the small farms and ranches. Who funded it? Big mega agribusiness.
[04:44.000 --> 04:53.000]  It's the same story over and over again. It's all coming up today. More on the TSA and a lot more straight ahead. Stay with us. We'll be right back.
[05:14.000 --> 05:19.000]  Total government control of electricity in the name of smart grid technology is coming.
[05:19.000 --> 05:27.000]  Number three, in some areas of the country, the power grid is dangerously overloaded and now new socialist legislation is only compounding the problem.
[05:27.000 --> 05:34.000]  Number four, dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather related onages.
[05:34.000 --> 05:44.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind. Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[05:44.000 --> 05:59.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com. Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[05:59.000 --> 06:08.000]  The Genesis Communications Radio Network proudly presents The Alex Jones Show because there's a war on for your mind.
[06:08.000 --> 06:24.000]  It is Sunday. We're here every Sunday, 4 to 6 p.m. Central Standard Time, blasting out on the Amonetham Dial all across this fine land,
[06:24.000 --> 06:46.000]  simulcasting on global shortwave, and also the number one show streamed on the internet at infowars.com and prisonplanet.com. We have economist and again doctor of history, Webster Griffin Tarpley joining us coming up in about 30 minutes from now to get into his breakdown of WikiLeaks
